,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28S,29H,30C,31O,32O,33H
1N,0.0,1.020029520965107,1.021611165025734,1.4677969134468842,2.0837238951336383,2.4770585359257615,2.7018190781008307,2.919950027292239,2.5528626145803637,3.8999265756626826,3.846286550930597,4.199644504989026,4.176472049355678,4.647198074401063,3.5764181785785514,4.301509937807305,3.1487267439909945,4.333363795556885,2.472214775845868,2.8893927591716615,3.555635497239346,3.844167742869119,4.823089322111673,5.068566772895205,5.262852893679455,6.287598237227014,4.759263517318532,5.759101400658315,4.655676928228273,5.957146950204159,6.036864378813448,7.139180753447227,7.832709172062398
2H,0.0,0.0,1.625410290786299,2.0487286075877074,2.3342755211697708,3.365597482736435,3.649327977384097,3.829840428431972,3.4635804052693997,4.857339848965057,4.595379355291916,4.854917515599472,4.7829928987705745,5.489531968638597,4.233966053879743,4.923100963087678,3.581084225075935,4.977267883540713,2.7122449188593283,3.1614364269988453,3.555521870076135,3.8439152882307632,4.7678096776795735,5.184951749884576,4.960156952596792,6.018869946424534,4.45312668541059,5.180989810007968,3.9901241249948303,5.899989995421125,6.005599952923101,7.05791161517866,7.751928001924549
3H,0.0,0.0,0.0,2.023419076610458,2.913105159796071,2.7472111670120545,2.5455791370166856,3.3418164723252595,2.8672505690037298,4.151445368916141,4.140509914689862,4.342594935318561,4.687859597001267,4.858929535079896,4.306895163162669,5.032950138024116,4.044450241512878,5.021202926731158,2.5581227839083795,2.5065881788353024,3.8283791085150347,4.334167398657302,4.904107357352453,4.9695577065920675,5.2358096937051135,6.184793737360295,4.566501173700495,5.961045927473802,4.985934930327335,6.194428256366488,6.449214277083868,7.271303771767507,8.044957679741062
4C,0.0,0.0,0.0,0.0,1.0981206907897976,1.5526187055296483,2.133437530798879,2.572294472462369,2.79154408932746,3.497897524464806,2.5600277345299203,2.851270086462494,2.8237811221023716,3.511090808498144,3.162226245783166,3.5430666577717527,2.8948066279329807,4.157158164585044,1.5385253839552488,2.418273368405183,2.4756454277957047,2.6315770516423824,3.834875735094919,4.068884428130454,4.643810160056879,5.636567674439312,4.387370931192072,5.298328010409856,4.334448085312901,4.7958196811807365,4.776363182485641,6.030966187180362,6.6578579727687375
5H,0.0,0.0,0.0,0.0,0.0,2.173865193876806,3.0459964895201916,2.8501875723597285,3.210494020951067,3.8427710064417697,2.803511598735656,3.2128062896240106,2.622726621570094,3.793038580889155,2.8656949305050565,3.101532138224143,2.3499577308158086,3.8927615167049203,2.1681532724861037,3.282090624878687,2.5353817089624027,2.2810167445582725,3.9860701961337055,4.449651665485944,4.8351401043230675,5.861503962265506,4.775235903745708,5.165222048836254,4.114145396180866,4.670657252606787,4.408319643108186,5.986785406408393,6.493524438065604
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1002874232588766,1.5457327152386613,2.157249735078928,2.148644448364156,1.538717752352746,2.197830967735639,2.199548979773702,2.1772035196315835,2.610666994148179,2.890733357324704,2.9222147080259098,3.54289762099699,2.529168479290923,3.1079065913174144,3.4573043530288547,3.5259913463178787,4.65719087911193,4.601042330473545,5.7191678667461785,6.59629144241253,5.488706719319608,6.617316800099301,5.774953664299911,5.476456302401831,5.380486831184959,6.662962512820879,7.234959519763759
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.143246687188765,2.418089678585258,2.4318727736555306,2.142186499735603,2.4586537689582735,3.0749817324827444,2.517492003783776,3.514778189814559,3.878876923869038,3.8781169829151776,4.309101519067102,2.68886028587258,2.802518283072498,3.83599738363744,4.155665746615653,4.838360310466915,4.567881926155554,5.797921959335704,6.598071544416252,5.4151355357019755,6.913755424260206,6.162568652097099,5.835256617695296,5.941348637789007,6.903268468302506,7.564648548849853
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0942639255130115,1.0993878703701665,2.559833624027968,3.5162175949017316,2.9040954520305653,2.742669474760078,1.5342678663085059,2.1996316215984577,2.1878708329358516,2.1727614520516276,3.9160217757861613,4.499403469316877,4.812072982222807,4.717193920833617,6.110796477530858,6.13149613735758,7.123774028440598,8.053176878331055,6.864433064790388,7.834130236164406,6.842978393206815,6.8511953256777245,6.598745615996179,8.090057743509368,8.60121308383822
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7625349911422274,3.48657741015915,4.321591893461751,3.9008227608269994,3.720612993626672,2.151101180815679,3.0832906156573663,2.4971227990237064,2.491199929292656,4.169004824896677,4.587123011917026,5.230935145424128,5.263491286029057,6.5409504048610225,6.573202298052564,7.366825954263683,8.328469645791097,6.964036410457473,8.03150662885597,6.9674055945354505,7.44720538597007,7.29529355964591,8.677064095630909,9.26023021955302
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7525183464210015,3.7152179411559088,3.229932703745388,2.48199747711151,2.1606944813348545,2.5538891568807616,3.082328381952358,2.4722061948717884,4.669779656938264,5.124879507502828,5.566416086630651,5.486180472797055,6.762902265853806,6.642538796965532,7.867188619715587,8.73062406746746,7.612745895768927,8.718512217448747,7.800764630693989,7.450829485346548,7.1980931298848665,8.633392507346572,9.12114800931145
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095860527916264,1.0973309622081246,1.0962192627780922,3.1713317633869336,2.8787064679905625,3.6304683320545603,4.131497592422957,2.995707298028316,3.6811861124972216,3.421705943766693,3.2810481406735126,4.403733883831848,4.268803674399919,5.7506239040171945,6.497939356066319,5.772364161431703,6.733119064535444,6.092967816373328,4.8584412045933805,4.617434678731702,5.990054669665301,6.4265418257961615
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.769953307351149,1.7654503865733766,4.211245856392156,3.919330428615674,4.545589527274491,5.202718980070428,2.681345217706903,3.2126821496748446,2.9400748579584275,2.9783250861677284,3.628633921109896,3.331560739934081,5.033348863307167,5.666850436584558,5.111114090095752,6.206414924064574,5.760846640997919,4.088374549035482,4.033725355518395,5.1075859956302105,5.591736069161467
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7678288248240124,2.950403817804023,2.37135609662679,3.290172952556875,3.9404215954237563,3.3630959006501575,4.296249513032223,3.4424194221288036,2.9807135858081737,4.493765648312904,4.582624331196913,5.878833306995439,6.656760970224769,6.056892554147984,6.613667702693158,5.939614370244285,4.674069868162539,4.171576647259316,5.878901148629946,6.183912651493167
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.420410355200004,3.0431323332373594,4.143101284452769,4.187773074926772,4.001448282518151,4.525186261969021,4.479618209012955,4.343984527109635,5.356173365339586,5.088421617239799,6.731990998054848,7.4151995562795765,6.7339380456924305,7.7943925283353845,7.184528973896823,5.740695548552245,5.478609231134471,6.787505303331881,7.177118321994918
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966509950616938,1.0961708827226102,1.0962975938130985,4.603736331254606,5.459818147506456,5.183513831020326,4.80116576343257,6.569089314121271,6.799904638346625,7.608574485498373,8.585169872359813,7.502717684686595,8.016899996728752,6.945137793668231,7.068508388597787,6.5742914098350305,8.37866301515441,8.760635111248252
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7748463595772523,1.7661501621399625,4.797652657281141,5.747542612159133,5.145149775518846,4.6145993474411116,6.453648849525646,6.686389883466987,7.637367832354328,8.559244670083398,7.676369156873853,8.055065744797933,7.0822878238006455,6.731405823678207,6.105401654055929,8.021341249545683,8.300919411947572
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7637712576415319,4.361965314412407,5.308470887725657,4.848824777630366,4.428617557916883,6.287084358347049,6.675163284430282,7.182732831600916,8.210129510619705,7.085136790743338,7.375204622643429,6.220261754181385,6.804200199735193,6.303906664583653,8.142718757756116,8.53202356642274
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.637526248704123,6.430239373722511,6.266964577770684,5.884505880002254,7.659393196555152,7.87706277352981,8.67130599955412,9.658897806209886,8.527133267853072,9.037222451334236,7.920631336476508,8.15916218722901,7.636111145870893,9.470435133969996,9.837251666957147
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2299143619632613,1.3679549262336876,2.0741421376167626,2.454967151649739,2.615981958324652,3.2348440512092185,4.167939673810525,2.9828270782454775,4.225148051429316,3.549540405945965,3.6641153986942343,3.979568728290265,4.768783072657949,5.511585911769937
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2725539827968113,3.1707728150332763,2.781433623455491,2.5675701184875903,3.2401680888789,4.018269727339091,2.664914561872966,4.550938757494324,4.067427637066654,4.207153718590779,4.790261407625947,5.0737850224751515,5.9307552220574635
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013995471666219,1.4513642306553223,2.085790105149714,2.5003424024818606,3.4247042780716352,2.7294185258591757,3.3198688487179155,2.8377844618540817,2.403113473353028,2.6835510270994574,3.606017151391566,4.27756106163637
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0976714852668428,2.824595546274151,3.218624466310158,4.10058335264841,3.623432458312471,3.649227853677713,3.0804483809489804,2.414388706366438,2.204907997351292,3.749715311482226,4.2193152621224606
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1001096641567687,1.543162635449775,2.167284899899465,2.150790844770256,2.8535290727822558,3.010438284406803,1.5233072015272755,2.4272377110015104,2.3770375140798494,3.2125783354906394
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1306639106818137,2.4295164537806877,2.433593119138367,3.779977883602727,3.9909992198281774,2.1385748389712194,3.0926619688216945,2.650144567718257,3.5327227879767884
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0929176605271609,1.0915483943692743,1.8379813952124804,2.398767987653268,2.549885840792041,3.543563919092534,2.8923023222430277,3.7787631556792336
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7726471367671732,2.3737130974527263,3.3042641259995977,2.7976025865364367,3.937325999123755,2.6009615351703905,3.4968136367361127
