 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,S28,H29,C30,O31,O32,H33
N1,0.0,2.055514489144976,1.7959378591488395,2.895386010191915,0.08743671277827836,0.18046188513215294,0.007384492926997277,0.042535141077702426,0.031772228491013244,0.003025767242124666,0.03220026203179213,0.000644205944609566,0.0008822685098703875,0.003819805940134424,0.0051143234765037016,0.0002905012257696793,0.003280657172364254,0.00026309276947011906,0.24636639433025032,0.05359070446933265,0.03615834481893308,0.002221519516792947,0.0060239338683121535,0.0006426317441325935,0.0011557769985584276,0.0002505250958557692,8.848267844219215e-05,0.00012914696050640023,5.7453121608874724e-05,0.0007107749529444429,8.149552737456156e-05,0.0002267276193470419,6.074630430863426e-05
H2,0.0,0.0,0.027093124303638305,0.10498196509337854,0.006912912607218047,0.031494645063316895,0.0005697978631356015,0.0022484579540935634,0.00037241963513734433,9.011438529160642e-06,0.0039525003934236524,7.254243342003086e-05,3.052826059835034e-05,0.0010253998786324825,0.0001509159517482095,2.3104187253819575e-05,5.2199823862064676e-05,3.888750428338028e-06,0.00876387198375439,0.0017257683575024885,0.0009088127658541945,5.111432055726617e-05,0.00018832085123887676,4.2015705244091706e-05,5.407424856951337e-05,1.2503197223123763e-05,3.335250168934323e-06,9.280898571040197e-05,6.910533746795622e-05,1.720552055761715e-05,2.2778069543871737e-06,7.737102086902148e-06,1.4784589967842265e-06
H3,0.0,0.0,0.0,0.10451267695721245,0.035997266701324415,0.008377377911802264,0.005041537314717459,0.0008986638709352901,0.0005725164879120115,6.888960644424458e-05,0.0007364222101297058,2.5580063964358857e-05,0.000436976006046752,0.00011762705080187175,0.000283159859793658,7.412657907557296e-05,2.1016493140457726e-05,7.710846096520285e-06,0.01939578866957503,0.041889352535646185,0.003313883571719245,0.0007311490306571855,0.0004300309452357487,5.0990911175663456e-05,3.920761333275902e-05,1.7058636452293996e-06,1.4710931871331212e-05,1.2402641673459058e-05,7.4664096487708775e-06,6.268191524416711e-05,3.3577471677315174e-05,7.672641208045228e-06,2.5311971816321943e-06
C4,0.0,0.0,0.0,0.0,1.7778199185380172,2.759523353329243,0.08497270501965626,0.15222064217828038,0.007843503175516853,0.028378950687774074,0.16280919959187606,0.005822742418496452,0.010087608684808957,0.030140060764182186,0.020027910433789417,0.0005038173244580335,0.007421041590054633,0.0021586913318309975,2.5048269849276474,0.2701061472687841,0.22996864855545476,0.016102988590356304,0.035559108314881294,0.0034724353311349487,0.0034008431807630163,0.0006721464688392853,0.0012387696109028568,0.0003985964341755993,8.606391075094422e-05,0.004285185695532767,0.0004497311424851991,0.0012019456959359437,0.000247675037789552
H5,0.0,0.0,0.0,0.0,0.0,0.07723220597099045,0.03516661266983068,0.006325677346243008,7.601227023079637e-05,0.0005509306317410534,0.00812075799279044,9.526998574682644e-05,0.004236031870215484,0.00036858042379850353,0.009845754147019159,7.792681051688177e-05,0.008659020057079081,0.0006757325094361999,0.09249688723839622,0.020300482783734863,0.01257835532729934,0.010706246554345489,0.0019102512865243337,0.0002924274956852546,0.00017608733000251675,2.1280924844768734e-05,6.93349227569584e-05,2.8303716980926374e-05,2.9706181416955246e-06,9.290007782492005e-05,0.00014821711581247676,3.59441908274194e-05,1.1166359213277133e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.810263599309506,2.61273308423209,0.09122846345290458,0.09316231424286325,2.68822624217633,0.08515247729658171,0.08083900764318663,0.08864976684200032,0.1491546428176841,0.006976817498374199,0.006152438473967736,0.02960279199125493,0.17973384608896753,0.0363061295547929,0.02858595588688731,0.001197363964397069,0.004074240522902894,0.00042399114618230094,0.0007974042914989238,4.5751503933155746e-05,0.00016567901685293762,0.00014810400669151846,4.192512392009462e-05,0.0006287862125169963,8.438171825379814e-05,0.00020849016224543104,6.376808955010915e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08985501190158884,0.00564464326711156,0.004825130279836554,0.08461726484877619,0.005855007208122043,0.03390169466792692,0.003621509386660504,0.02772268094642083,0.0005441629372915369,0.00038988085046964827,0.0006851319318808002,0.012315707591404212,0.012278217875550612,0.002098406380724338,0.0006266256924021274,0.00018073457893352796,3.741868573947649e-05,4.0425539059918414e-05,1.4347432271133442e-06,1.5337533648684953e-05,1.0015372747917972e-05,1.463595847406296e-06,3.0538158220627665e-05,1.1686838318092363e-05,4.44999275339697e-06,4.1575065301557856e-07
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9508822109606043,2.1511493904062386,0.16061920211625366,0.030691411081442688,0.005402038112002128,0.012102584291614482,2.804360495933065,0.08009811632056785,0.08018228485972378,0.09204062403353341,0.031150839866846525,0.006788992424349716,0.004741680158793074,0.00012007700259319964,0.001023611651072981,0.00010607039204457713,8.93532386924828e-05,4.379950876209904e-06,9.329863493001689e-06,1.9705031345906843e-05,1.980914516419574e-06,0.00020359996028526672,1.406836689554769e-05,6.351920411970524e-05,1.666890260254572e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023127382969347243,0.029166419391895793,0.0016648918718318306,0.0003998748270912511,0.0008098194266181746,0.08633292904125389,0.03323211783877755,0.0055686606173923625,0.004460400713889534,0.001512499482490881,0.00019796601545873926,0.00021103072543127155,4.883606500083459e-06,5.4193123008028365e-05,4.450865962457584e-06,3.5717539759172467e-06,8.034915830457123e-07,6.313620353193272e-07,3.936758458111811e-07,1.969731378004269e-08,7.1507301373507914e-06,8.918723690687358e-07,2.069942965921001e-06,7.473073460051438e-07
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01015928487281359,0.0004705864586609376,7.83314830368198e-05,0.0055819771808232055,0.08086021513701525,0.004060598972997598,0.03376925933363362,0.005391478171674624,0.003961242537762422,0.0011065530207831076,0.0009980111835885541,3.4727211650764644e-06,0.0001713968918435338,6.696688018781316e-06,2.643813938441042e-05,9.324470799931817e-07,3.355612794520013e-06,5.018149620394929e-06,7.146726974660567e-07,3.630765746764908e-05,1.9772567703135735e-06,1.2081973975508475e-05,4.321478123348044e-06
