 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,C17,H18,C19,H20,H21,C22,H23,H24,C25,H26,H27,C28,O29,O30,H31
N1,0.0,1.8241592443615084,1.9028457036900503,2.970514697876867,0.08487603026643842,0.20518414042499397,0.008731540480257927,0.0932579643584548,0.1956639112627787,0.0312732720084214,0.003985535872125023,0.0011009836465979417,0.000773365478389465,0.22354091366029755,0.06003806977464993,0.031718774058296526,0.005851142429726661,0.0002444173440634412,0.0013709765407168006,0.00029353409761534444,6.5944185551058965e-06,0.0007556180547918651,1.6899299547290525e-05,4.183193546569708e-05,0.004652542311608568,0.000825406751998492,0.00037622426737571324,0.0008929689786945083,0.00014403246139073345,7.510751748153466e-05,4.814474886649656e-06
H2,0.0,0.0,0.028892334027539768,0.1012006153173165,0.03210760768778176,0.00691099401406714,0.003966150601877327,0.0015791371406022048,0.001485463761032202,0.000650438760794847,0.0001307153235381442,1.7992525424448402e-05,0.00030855060338796925,0.027348228904640948,0.06623515966524662,0.004410345241290026,0.0005073609737694662,6.667680128003006e-05,7.670230077594375e-05,1.5386119116556074e-06,7.004268396393343e-07,0.0003384401560283523,1.2765463974773184e-06,1.2025973806339962e-05,0.0014833264107314559,0.0003137082231514654,6.758771522852314e-05,9.277516245442818e-05,5.8618085590156355e-05,6.421574356152426e-06,3.254965481591654e-07
H3,0.0,0.0,0.0,0.10230483073051344,0.008704160789244408,0.02935526866182303,0.000723594141624373,0.003616785843239212,0.001244732724513753,0.003629884371206815,0.0010195120422769044,0.00012375710473833124,3.128067227176068e-05,0.005767767987473027,0.0014401929613115927,0.00030992641916027797,9.428876287453924e-05,1.8211748002983086e-06,1.6546505527625932e-05,3.738331549207885e-06,8.045965989023074e-07,3.380379326356486e-05,1.5565332374123386e-06,2.242988613510022e-06,0.0001278226634878754,2.7078760101328925e-05,1.0669018806419572e-05,3.507843624250828e-05,1.5164946837065152e-05,4.266048595602534e-06,8.876353261300096e-07
C4,0.0,0.0,0.0,0.0,2.045970775375293,2.700918678777173,0.0866358667421212,0.21550143730635923,0.03288440749214683,0.1606666043931282,0.0318663004852493,0.004887163516078985,0.00928418495581318,2.6645113142359236,0.28283133577295605,0.20553272637293718,0.03455974188725436,0.0022963069387992308,0.005037453601339947,0.0013763725599114096,4.111020528485554e-05,0.005203779757392751,0.00011655100044127842,0.0003025845190958165,0.030431445626436626,0.006581923341566931,0.0025190441530924534,0.004422300799655721,0.0010360242645568452,0.0007945890428691371,8.315899091593248e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07737092565051884,0.03527398341109511,0.010833896021010703,0.0014569623908655682,0.008675933059444807,0.00040474222459163656,5.543234555149823e-05,0.003935116260167293,0.08981589575246685,0.02218809062845528,0.006176322807430745,0.0013399343188513768,5.393463430425349e-05,0.000728798757514415,9.742035915794034e-05,3.1657885004587882e-06,0.0020157075526305857,0.0001683661135016834,6.0930753609023114e-05,0.02026319690751266,0.006607997987914338,0.0033342917101133462,0.0001955108955078444,1.3386254853808843e-05,3.4273143107110826e-05,4.128991207386079e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.071014407756283,3.0938804381243026,0.1179175488871883,2.8845664224043617,0.10224206185801843,0.09782468395399424,0.08724992242963459,0.1809204057614584,0.040363906170952174,0.023054634190244422,0.0033416982543488793,0.0004694367971971314,0.00032225704969571223,7.424983127912732e-05,7.527460581302492e-06,0.00030685813260572514,3.638377559256334e-05,5.4611737577259234e-05,0.0027377154260262437,0.0010091781313719128,0.0005640668527122639,0.001149186192849705,0.0006985898819241165,0.0002035208512015524,4.3959185788366995e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11007409608421104,0.007069675612209281,0.08482335148506659,0.005606166769374976,0.003679686726447695,0.03674041410044282,0.01144199734901119,0.011407855419075852,0.0015203146854803062,0.00015643002391185767,2.002900226139026e-05,3.253441941120094e-05,5.069314389816171e-06,1.4645265071777658e-06,0.00016934244088662176,1.4259305551878043e-06,6.98250428721181e-06,0.0008182101080151938,0.00029799716949874266,0.00018060866868574443,3.1687663166746205e-05,1.7234581817682226e-05,5.573714780160444e-06,1.2523075847425957e-06
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6279872855842383,0.19860816073693496,0.009603520852364045,0.028566342356385444,0.010160935881180944,0.04059783132967679,0.009763113724715403,0.005897020465245303,0.001017399175899908,0.00012990763725884147,8.732946125243612e-05,1.9101048512659702e-05,1.0956829474828567e-06,9.385486691025624e-05,1.618819279958217e-05,2.326805419627931e-05,0.000518544453391126,0.0003981614234452868,0.00015261723212622869,0.0004434394888478965,0.0003128482839002411,8.912845543017356e-05,1.4120144081641861e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333558579627938,0.000629253413924058,0.0024711025266745956,0.0007927337655779798,0.005304444785467433,0.0011453827743098666,0.0006809496275168581,0.00014508987273420537,6.2418957331722424e-06,2.0333543480077765e-05,5.65459065038354e-06,1.0049962528846379e-07,1.5537422648148613e-05,1.0007024404679044e-06,7.604746263822904e-07,7.260653005347617e-05,8.985682363071845e-06,4.336053189613054e-06,3.7756067793548453e-05,4.1850341027438454e-05,1.028155858784352e-05,1.9472495544903268e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1412683796763687,2.1370515959586953,2.096842328348005,0.015180690282456707,0.003142654212986734,0.005242111301885663,0.0006029477578802789,0.0001242509929523239,0.00036239440349201957,4.934811952495011e-05,9.411036220874358e-06,0.0008070485630312374,0.0001502322074350415,3.567834572149042e-05,0.010201653497399946,0.01515073670765199,0.0002961122660595228,0.0020120926699117025,0.008868424135592898,0.0008758154185095277,9.901109274745856e-05
