,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17C,18H,19C,20H,21H,22C,23H,24H,25C,26H,27H,28C,29O,30O,31H
1N,0.0,1.02215820896656,1.0186700984814128,1.4730377217950372,2.0899083688816487,2.4270929738451974,2.6721847234537974,2.7023867973413633,2.08578034378115,3.819766057035728,4.573234723860646,4.222687397231617,4.126558491874736,2.4754179482262164,2.824565303093902,3.630075764796861,4.825078823116447,4.837937540345969,5.901397516051695,6.887143006317215,6.024358301068827,5.737817065807264,6.186237481796795,6.44073291977795,4.286544287705367,4.263528332076762,4.220788636365647,5.516273305303839,5.619031030431385,6.470988601790814,7.032186819770755
2H,0.0,0.0,1.6340576356651377,2.0243782095093166,2.902005380116068,2.7824651750640785,2.6110688966046065,3.2657943860145835,2.685585681144781,4.19736664464674,4.882761266151834,4.440579174927442,4.7132414852324365,2.4814868247544575,2.348138217543106,3.781091277724148,4.748399531457517,4.597754659968759,6.00228620103323,6.91509051579506,6.1465928280812046,6.066341042817472,6.482001086584401,6.86693212556884,4.731922532568692,4.822412409331132,4.783322869448243,5.310316540063316,5.493338845468592,6.105818053640548,6.637355671683194
3H,0.0,0.0,0.0,2.062706538163985,2.302406506855829,3.3152335181775276,3.655406757166887,3.530415094731692,2.8644439356389975,4.587544392757577,5.4274075590146795,4.936014835980838,4.732324194254431,2.835330395770972,3.246214973745194,3.771952285002196,4.928611266544596,4.837564758482178,5.855600734627232,6.889163935497458,5.79332733540163,5.753984309530401,6.362828538706272,6.341972608318216,4.313401924582272,4.455231241315912,4.002382828467235,5.8597393764432795,6.1206463422128,6.770974448904646,7.436911883106307
4C,0.0,0.0,0.0,0.0,1.09463134393527,1.5579993073599125,2.146676935628115,2.4091826078506453,2.348540756331101,2.5910001685013553,3.5232897528810994,2.8769853114012425,2.8549459286940704,1.5322868351934333,2.3950982691315037,2.5046923799269387,3.8454658836144544,4.155292580944256,4.841144114194161,5.8021340484744215,5.1499495566425155,4.482922161528531,4.813397214659145,5.238754117594707,3.0410470389342286,2.8851696299675127,3.2274467529954927,4.447611904200968,4.401861684607616,5.573764823716104,6.0958180263050625
5H,0.0,0.0,0.0,0.0,0.0,2.1634320193603047,3.0456698612014548,2.6671496011164133,2.672432929573541,2.7983393832349726,3.787200668794066,3.181964429057485,2.620782253493446,2.1966959423789647,3.2871321281637527,2.6481950203800615,4.101745500697874,4.53379561606064,4.773672520212097,5.792923142666029,5.00170356785319,4.154589341086191,4.5709020199142305,4.726659382479546,2.6237951904541843,2.350352804360186,2.5763923668124216,4.887405063872155,4.8295018142882125,6.095956007111619,6.6665846491096605
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1045098609131299,1.4147998510690407,1.9044924747989145,1.5232583495895753,2.150180489913947,2.1798674365448423,2.1647637072528836,2.5443641114997355,3.1227848225491917,3.4645076363280896,4.685845847707652,5.14559603958752,5.734154355131015,6.566546810119819,6.262157678994133,5.212011529016848,5.227970623692969,6.0255933799975985,3.9139639318108412,3.3917013744665363,4.360426809998167,4.823551974832998,4.3988758280064495,5.980091754976171,6.2758893710980415
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.079497744250084,2.3758804659118176,2.1529385920397766,2.4898188529538974,2.4929442827607975,3.069832418199134,2.683959998410518,2.8015147102636773,3.790299020689554,4.781369220670395,5.107702354710554,6.0320869419073775,6.780555657490513,6.59897799226685,5.742890725381791,5.7089469511242985,6.660983713035375,4.562293918849776,4.187439588455548,5.093789694191347,4.699111052569157,4.290083131342366,5.697303504247037,5.906463624874126
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9789942069395822,2.382779736372512,2.6144083087024486,3.346923344674322,2.6454272834586234,3.7618094500158348,4.3383920025241105,4.682114791490301,5.99803958432259,6.425043963727197,6.95537402909243,7.841542916787074,7.399209419537374,6.299782390969219,6.353807744860862,6.986598273765786,4.908645494401092,4.267677204893459,5.150232318353009,6.228072376803037,5.780598437556549,7.391299628616431,7.686576314499184
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.191074025060222,3.5395422115684685,4.044390792972413,3.4428782409472807,3.774882734684758,4.250781131374476,4.827976344271416,6.148670693959509,6.4267547644355165,7.157094716183505,8.098437760913484,7.47780283196732,6.630397175030441,6.825723875114329,7.302291746960312,5.162304257749619,4.680818810007741,5.248222916491777,6.531754200215141,6.246820741840213,7.630938170710555,8.00503276485312
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0948656893248572,1.095442605800024,1.0971258005914744,3.1391059575925215,3.8709960987593295,3.539612857562712,4.641931694141156,5.371920966414298,5.457984710854469,6.160307587031612,6.17269433630625,4.678759804581545,4.415139678661854,5.465698799565169,3.6496190022278054,2.8604239617309797,4.341353293570741,4.529789258527241,3.801737957783946,5.78508452570465,5.954180258380961
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7762170569428135,1.767241958364274,4.11219327516538,4.676787169189824,4.577675970694685,5.580499848858617,6.305810830161335,6.419690349415647,7.039892976515776,7.193168438570683,5.6289310711408085,5.2310490943492995,6.405505604375899,4.7039028309789375,3.8667990193390387,5.416281952518074,5.256756041133664,4.375687884493129,6.440850405666265,6.4660975533187965
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7911821452123704,2.84897444927682,3.495244768383196,3.0046130289649358,3.85902769324159,4.661580629510152,4.688946412383907,5.2789687961239435,5.515359011168393,4.032319341290756,3.6479693399983097,4.927255355338456,3.2627288361004863,2.6429629113954944,4.156283925851856,3.539695307922084,2.7256925134957726,4.789148715044445,4.915742171307237
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.561766195403115,4.521131160414337,3.6997352584820624,4.910228895376871,5.7216160975512125,5.452519516428447,6.203407506829279,6.103729018537074,4.4194218961885365,4.200072691796326,5.0275670268627675,3.3689869181886434,2.3822337276294823,3.935933685493036,5.010277941395741,4.333122924138059,6.3349294419022,6.578077226947517
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.233724572475428,1.3642971855813972,2.429750796649665,2.6715194314344726,3.654305752857499,4.541985734397099,4.025741087152821,3.6940645528625526,4.052289082860801,4.609642548235495,2.5551618865501973,2.838576822264548,2.9902536823595973,3.069068443533666,3.2982419245961045,4.107416079513542,4.71047499160103
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.260234684366333,2.7059524022975623,2.5653158931961118,4.177833882109086,4.911991550310621,4.532752591996697,4.569702355312896,4.868037794287297,5.546036405181041,3.6578562365936094,4.011655015006199,4.105086597499162,3.0465462999141915,3.428187082301594,3.7579855286330086,4.315974229605074
