 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,H17,C18,O19,O20,H21
N1,0.0,1.9206985017216267,1.7546262015558673,2.976834392930308,0.09302584030069982,0.19452373117962662,0.028500723602694844,0.008353198939620388,0.0483664254144326,0.0007951152563789865,0.19558570112507367,0.03872674363495483,0.07941061682715282,0.11955657722656265,0.009860832207188752,0.0011435940368942354,0.0007503487489219918,0.0013440883092543932,0.0008653257660988511,0.00023746191326690091,1.301806854703269e-05
H2,0.0,0.0,0.028910333338015626,0.10167046578087802,0.03388573278587659,0.013001233927458222,0.0009946336405441958,0.0001724461827738999,0.060523334626084724,0.0003331311822365457,0.0060818617980937795,0.0009723953842734057,0.003200635478128766,0.0017333452536953953,0.0002482439616450227,0.00017334227230003663,3.328964721172056e-05,1.1643545770989583e-05,8.407675093580202e-06,5.076205952914137e-06,3.4271085458392747e-07
H3,0.0,0.0,0.0,0.10863383020932094,0.008814331716767487,0.005940534510073148,0.0003153506651352167,0.0024216731126462943,0.0007845817760496754,7.575717658792058e-05,0.029796740136202482,0.005359360242987998,0.0048569801787501365,0.000830916665371495,0.00045317954688772755,0.0003074813923973352,3.326129754577245e-05,7.482347131504419e-05,2.9671823384647134e-05,1.1525224459352224e-05,6.073709475362676e-07
C4,0.0,0.0,0.0,0.0,2.0497290062139655,2.6364925493202267,0.09414186110397726,0.09097711282105858,0.18068622397038714,0.004007321441417133,2.519202905464945,0.28156041431330026,0.2271978960946969,0.01894119098174374,0.038577945587215196,0.001403366706188125,0.0024990974993972515,0.005013643001661766,0.0003726143747474764,0.0014594032325103146,0.000300465282187079
H5,0.0,0.0,0.0,0.0,0.0,0.08935626947199704,0.0038624186595341836,0.005328702208894143,0.04133601478731197,0.0002274991740967014,0.10573694974629344,0.024385998164676903,0.01779595970876502,0.0003367617378169374,0.0014351940314619727,0.0006122406690642901,0.00044689772812733786,0.0001015158295667451,1.3173153221024414e-05,3.794627062025935e-05,1.626261936893414e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9791490138247996,1.8016898729249,2.8552438064400545,0.05110813476382292,0.17535338513131138,0.05014836584927547,0.030376238989232626,0.005077668804987834,0.005039391094874293,0.00035849421048883556,0.000315697364886236,0.0010763639190023155,8.762471360415636e-05,0.00030853393188844114,7.898029389730166e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026581964127330604,0.08637526357828884,0.006916054615238476,0.01026924027192555,0.021811025007718476,0.0019673111635151175,9.208225638435152e-05,0.00019607076535244072,1.3945275665117052e-05,1.3892721636876715e-05,2.542705505526044e-05,1.721561225620505e-05,4.0773557459239385e-06,1.4659074767386926e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08459683799846496,0.02388557464416774,0.026256018516146007,0.004309393265440109,0.003912629398015399,0.00018075431880526516,0.0011003056212803841,8.45696876927704e-06,1.4474512273210394e-05,0.00017750814017070127,5.415498674388175e-06,6.0670169525822715e-05,2.089353869227928e-05
S9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.978555404392697,0.028088808704693977,0.022491956183258485,0.0036965378971118568,0.000239411766911779,0.0004941300005478072,0.00013020671901309289,9.489350813618458e-05,6.740702732110915e-05,1.9374245857212147e-05,2.3511179600727017e-05,4.98690263472934e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00895567913573081,0.019167622733440304,0.0023149772105972577,2.1275224269645676e-05,0.00015378742646920962,4.942817845687841e-05,0.00012477570497182455,8.42756687702284e-06,8.025524833588094e-06,3.525558877948143e-06,4.919641511946793e-07
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.977001679688783,3.615810293056587,0.14072622550615987,0.2797493310238833,0.023889632013140094,0.024765653744129867,0.029806692193372314,0.005518238415353566,0.005919912040287106,0.0012182078648798056
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5616000287604949,0.023894613543496535,0.07638724944673596,0.015910578306826295,0.023852125906899002,0.00789795569324675,0.0035546887532991595,0.0010799064573349532,0.00019676421857905968
