,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17H,18C,19O,20O,21H
1N,0.0,1.0214992623987513,1.0182106878738904,1.4637313376109398,2.072428413046357,2.552951571321229,3.4706108145112813,2.8154652027506573,3.3104509743103567,3.79799662833301,2.473598985459206,3.60210120523911,2.677946454235772,2.2119422286670236,4.091796803928725,4.748068184534471,4.554246788034451,4.688026663940611,4.373152320914245,6.012726196106984,6.485416871354582
2H,0.0,0.0,1.6382197700472338,2.038837875111182,2.9148638590234452,2.6762839833552365,3.689204999068845,2.9755018245460056,2.8067104620899466,3.3885967606177116,2.828645986366441,3.8441973444056865,3.0181785555882703,2.5986702436928395,4.310440918127843,5.1220661692317435,4.568891493153966,4.84730987998237,4.527559183844912,6.1297416141416186,6.578691890594508
3H,0.0,0.0,0.0,2.0532044368821123,2.296660674697738,2.8601281705903165,3.8070589741814063,2.7231571293149943,3.771085034839514,4.501933776198493,3.3491176522329447,4.4256590886717255,3.615946473193591,3.076908334683724,5.04054869742741,5.630512539888364,5.556336657269372,5.572647540363505,5.145436648088777,6.9136872087295815,7.335952924979197
4C,0.0,0.0,0.0,0.0,1.1009452583185346,1.5403727617874976,2.173624287517178,2.1696932912273694,2.845279080341843,3.0735039215274726,1.5435539008366128,2.431878821254918,2.438241659792912,2.5361597975615764,3.803853188555375,4.232273821063379,4.165392795438553,4.821509282728977,4.860058303086938,6.044747292545347,6.697145093814275
5H,0.0,0.0,0.0,0.0,0.0,2.135065753234272,2.4563643868213445,2.461150196818989,3.782294154316296,4.0159023482346345,2.1195082534232927,2.876759889586658,2.9076015374589295,2.9737927357631007,4.22062505812217,4.415699512679416,4.755445162874039,5.225243932751002,5.249704595810086,6.433031698252632,7.079263092733105
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0915890933601438,1.0948202620630187,1.8438917394688887,2.3876360311031752,2.528562632464865,2.8204138668808567,3.7072730147286403,3.9458472111737493,4.923307939027685,5.33670901263537,5.0064756945692555,6.075077250239123,6.209043774774533,7.219887683838347,7.930879009533597
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.775444684196612,2.4255048600084894,2.5515225463590268,2.7271262263696228,2.568794923320493,4.056380597246302,4.505734327472204,5.102357175369985,5.3242179555495435,5.120396259960402,6.415951241208615,6.722275193612051,7.456304585430915,8.24931190424645
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3799699458381083,3.2867915922723125,3.4775953291965314,3.8720779687871865,4.556525694743174,4.620756332614039,5.864195937783171,6.2777203329184745,6.029259224922314,6.9239831920859745,6.922455620376376,8.129439878206753,8.789793630167416
9S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3500175561715098,3.327734016590004,3.4656721155813415,4.288784373232741,4.528538983781609,5.289918113057183,5.935365033451832,5.045926664241539,6.332982015983995,6.483802725595223,7.381051920158436,8.059127544004392
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.888673878935734,2.654196579452596,3.8436001157709883,4.347433175340471,4.545686608680206,5.1284017133836475,4.100209029992292,5.714304302170326,6.098293268662812,6.602441713402993,7.361499705046126
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2307485078584341,1.3528579352515626,2.04502820515186,2.4367737061731667,2.8264097862754434,2.711918181146653,3.698006706033834,4.067358850795944,4.7797049730222065,5.543531438522705
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27567709996779,3.165055588765584,2.788760613419353,2.9098508055716743,2.7166053825615166,4.2585654421202985,4.891502119944345,5.0963259414778115,5.973360950751198
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0160920076261377,1.4410707689253182,2.1125759206112393,2.1044884745056964,2.4158902872057335,2.7234669063872423,3.6087344389992153,4.289045582705864
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1349156782336447,2.8680898138686604,2.880561263001141,2.512678148044333,2.3333138838759533,3.8461629555401387,4.330630701142345
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0990358410814087,1.0981847769834892,1.5138609389315585,2.4244442250188247,2.3642752758910657,3.1994494510138587
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7517346445843671,2.139205749605145,3.12522525236072,2.6087156619806766,3.497409215710435
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14516009034701,3.1295257790782367,2.6206308558512976,3.50918943738834
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2114272819704621,1.349617839564585,1.8767384984525208
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.257309578667263,2.296970498162212
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9762981267544556
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
