 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,H3,H3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,H5,H5,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,H7,H7,H8,H8,S9,S9,S9,S9,S9,S9,S9,S9,S9,S9,S9,S9,S9,S9,S9,S9,S9,S9,H10,H10,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,O12,O12,O12,O12,O12,O12,O12,O12,O12,O12,O12,O12,O12,O12,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,H14,H14,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,C15,H16,H16,H17,H17,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,O19,O19,O19,O19,O19,O19,O19,O19,O19,O19,O19,O19,O19,O19,O20,O20,O20,O20,O20,O20,O20,O20,O20,O20,O20,O20,O20,O20,H21,H21
1N1S,N1,0.0,0.02390927476201532,0.0013412113011534998,2.615778478487485e-06,0.00038675692346745727,8.999598746006754e-05,0.0028789602696353,3.131411390877581e-05,0.0004684649172297384,7.012085168406346e-05,3.657236318288515e-06,0.00011444106177063706,1.7197826652770587e-06,8.462964216096602e-06,0.008016574875567395,0.001326968897767844,0.008167761144620922,0.0014379435221628656,0.0011989004304975293,0.0021606573378119,0.003982710879583351,0.0056729473209868875,6.2994604290711465e-06,0.0005806295351800106,0.0003551041087495044,0.00040479155840089653,3.6912742811257004e-06,0.00015935719459431175,0.000658552540978824,2.885629395377176e-06,0.00017689045023194794,7.882627360622507e-06,0.00015983179541989578,2.1141305052263526e-05,2.8452222650132697e-07,5.819080880042904e-06,2.584412083517229e-05,2.3263011008634038e-05,8.662484063393094e-10,3.0197817475707822e-05,0.0001315674064161776,6.116414253076741e-06,1.0573125676760498e-05,9.179497228756217e-06,2.8798675353464143e-05,2.1664056798487152e-09,1.0665359984063372e-09,1.1834128625098916e-06,3.663811558141106e-05,1.5169890890676108e-05,1.549846967385804e-05,2.3666118154075377e-07,3.9679088589816836e-07,5.292919727381551e-06,5.488412749080074e-05,7.531445361808053e-08,1.578261155099625e-08,5.8418601833754025e-06,0.00015745508739817282,2.2110891162441249e-07,6.045500855478281e-08,3.384975633125009e-09,2.390475480229526e-06,4.04037888435127e-06,2.9307775089026933e-06,1.0867238824791015e-06,4.257755676639885e-07,2.8604814962529534e-07,5.490119819318018e-07,9.946960560780482e-09,7.214489228246634e-09,1.5320046387046204e-07,3.89003207429961e-05,0.00018349283142460315,1.865698644043512e-05,7.751547298040506e-05,0.00019644994763945434,1.7884666678735783e-06,9.046975337712038e-05,0.00018599163551802356,5.661105419696444e-05,4.051837509955192e-07,2.138595984341185e-05,7.345846222028829e-06,1.1553375070388894e-05,4.071137261849045e-05,3.3182406900672534e-06,1.3227740514265562e-05,9.44636430877388e-06,1.9716556514115524e-06,0.00013714676817677685,4.67181221441848e-06,1.5302676570350116e-07,8.446795221717096e-06,2.3171519807796415e-05,1.420394250578605e-06,9.774057616318554e-07,3.919774372918017e-06,7.782778337073193e-08,2.271535181647133e-06,2.277340582809706e-05,0.0001294658194439524,4.3056003340646853e-05,0.00023050365398513684,7.427165227857913e-05,1.717466312944893e-05,8.257280064150052e-06,9.275046706447299e-06,0.00011385783147566109,6.977996635793016e-06,1.275981276638305e-06,6.262155264752378e-06,2.008100622452602e-07,1.7912611727899375e-05,1.9068818114531538e-05,0.0006896814036883026,6.33589635395948e-07,1.8025092572093726e-05,6.024320866604427e-07,5.194075190173564e-06,2.6091800801486542e-05,8.764465657673526e-07,2.21494115115739e-06,2.0770650588364248e-06,5.203385904373192e-07,2.686648291339022e-07,1.1650273755436924e-07,2.5749214559722677e-06,1.6262068943673214e-06,3.4424344320105327e-06,3.977362983187405e-06,2.0111970828740056e-06,4.2213409878755215e-08,5.788396183481481e-07,1.8457881198474801e-07,1.8076422509949452e-06,1.1882696313580965e-06,2.7288837856076498e-11,8.001429203652322e-07,1.4944583348608376e-08,2.419535284348129e-07,5.052757497958638e-07,2.348995227885453e-06,1.0398110633635937e-07,3.8206963481890455e-08,6.112710349004402e-08,3.746423449246805e-09,1.353731393649582e-07,1.7456795139980663e-07,4.376855766707877e-09,8.357834380134932e-08,8.159683684283436e-08,4.553800263540353e-07,2.8036565979938644e-07,1.0618983143917404e-06,1.0948112416642175e-07,3.87013217895138e-06,4.743089240810683e-09,1.8775143412197437e-08,2.0721390545097584e-07,7.540425159269226e-08,3.4529994974441536e-09,6.754785897289395e-10,7.609381791340297e-09,1.169983865345614e-08,2.747343053055573e-07,1.1245775177748385e-07,1.4879364007569507e-07,3.271599191556618e-08,2.7884414777190614e-09,6.324943901958591e-08,5.803055341813135e-09,1.7213624220469015e-08,1.1299074106907447e-08,1.694685781983285e-08,9.014725160794157e-09,1.2131763149625385e-08,2.45503487539267e-08
2N1S,N1,0.0,0.0,0.024082695927307274,0.0007299231500823566,0.00944521382402197,0.26563361032699984,0.04450130445504774,0.00012769535284506972,0.013335100115818399,0.0019487159660318554,2.7514020386476545e-05,0.004421422964659305,2.1892350599017618e-08,0.000287436053450163,0.10876136123489699,0.15934465871064463,0.11065994936857404,0.16145386550669993,0.003514081013371362,0.0055244091784429905,0.037088430557939756,0.06187478333614971,2.147036251898271e-05,0.040348286396233224,0.11066013615812009,0.13180363559013486,5.03333771240122e-05,0.008041859987555133,0.03638377084971345,0.00034013125785192777,0.010563369505473652,0.00020671355195323038,0.005582965153520192,0.00015971473064269048,4.5954801735303974e-05,0.00011075042748132091,0.000742813898420458,0.0017527681174214216,3.24468614678608e-05,0.00041406755349004953,0.0002801889776931077,0.0012354804929253227,0.000348269541312618,1.8823288039371278e-08,0.0002911715987365948,2.308992971200574e-05,1.3055161712127727e-05,2.0729003846753358e-08,0.0015685231179762837,0.0010776489735286887,0.00019812856478784724,0.00025737597437602844,2.1040462172550178e-07,4.434591090252127e-05,0.0002121862872004332,3.480144790124484e-07,1.2708940544392533e-06,2.0049535021549048e-05,0.00324696393792534,6.508647572900372e-06,1.766813863879335e-05,7.855855403882117e-05,0.0016115114414398946,0.00022931462842024075,8.176353828348581e-05,9.761408360464685e-05,2.5585209522116514e-06,5.45714801525321e-06,3.353240457237838e-05,1.6515628908919666e-07,1.4108886450259206e-06,4.043695153832516e-06,0.00020259245407561188,0.0024051661979953565,0.0006694537957891988,0.0031719212531484686,0.003841783285792655,0.00035267521550075287,0.0006715264313910119,0.0011573524278332137,0.001436682139865919,0.0001736495261122073,0.0002524651226196717,7.065760684321631e-06,0.000265090600818807,0.0002618480371572307,4.249898150066045e-06,0.00013530428500807545,0.0002549710258108462,9.215354673086651e-05,0.003311473827606104,2.556695221489491e-05,8.303228630879289e-06,1.392534889532726e-05,0.0016874007391618484,0.00010650998558947578,1.7397406804064985e-06,6.168762206248957e-05,1.328618486895472e-05,3.131510965270756e-05,7.904955734283625e-05,0.0013106187707432326,0.0007134503110375334,0.004378766744740581,0.0011698271299214191,0.0005848018067871052,6.648558573330021e-05,0.0003076635986429821,0.00020230651624153495,0.00018490750361377373,2.5271708108398627e-05,0.000262359409993973,9.612682583259868e-08,0.00022773471826664782,0.0007527233247586196,0.009768444364888218,8.566700707701713e-06,0.00018516759484965561,2.0486334548319718e-05,0.00016059136108115268,0.000596202979242122,1.41992757995979e-06,1.4113229882983802e-05,7.635002687855774e-07,2.410569019284381e-05,2.6043858081248317e-06,5.577936064815603e-06,9.380702673156271e-05,0.00013019222698384958,9.80484819128602e-05,0.00016850649046018518,0.0001427279130483683,1.7872516133721206e-06,3.7677296005789174e-05,9.227371466913326e-08,1.7464886744367192e-05,1.2279328210240692e-05,7.537266677459797e-08,5.412261352422121e-06,1.1973319620217637e-06,1.5399940389571043e-07,1.9359080125624928e-06,4.377408833633467e-05,1.5052097459555824e-06,3.229852183928017e-06,5.227599093604596e-07,5.215798348778833e-08,1.125738534168974e-06,2.6389483487321286e-08,6.37734607344953e-08,9.474167605993955e-07,8.932352555390821e-07,4.248732077272166e-07,1.351600857901758e-06,1.2512010567622411e-05,5.703695835634903e-07,1.6690492240289956e-05,2.2511702280070267e-08,2.3270687909970889e-07,4.904750644518785e-06,1.1556519334821047e-06,1.1702708868632783e-07,6.535862207002197e-08,5.694810321088539e-07,5.867728147812556e-07,5.6534171606337225e-06,9.31819479355056e-08,3.13455999378931e-07,9.601086059518593e-08,8.011720482592466e-07,5.738787773879039e-07,1.826610169786136e-07,9.199020019057258e-07,1.6089519294659738e-07,3.692459513704449e-07,4.0730438688463266e-07,8.4208614614667e-07,1.0838154289594115e-06
3N1P+1,N1,0.0,0.0,0.0,0.008715264838794923,0.022745223177645713,0.028814654857414634,0.19073833186787725,0.009871179097008742,0.02435611419074757,0.0047643325688084825,0.0005756977163904331,0.0014569032454689879,0.013906143985792818,0.002442358258741395,0.09808076753245532,0.0287216436525628,0.038098935898084996,0.031116242122934956,0.00797789089747436,0.042879587221286375,0.07385935955679601,0.14272065418774948,0.0018860306116526004,0.012720479130722495,0.00010680435004095656,0.06831725537291078,0.0021843824012988122,0.032128109953139194,0.007523345165032946,0.004904079229102187,0.01933992272957097,0.0015770749259913508,0.00022667190275793558,4.6603241615095214e-05,0.0005965433214036864,0.017603639915134917,0.024353385189965326,0.0006162203398112354,0.002320024492688866,0.0024894132130452995,8.544673259613944e-06,0.002004541951340588,0.0004746264165396141,0.004828064614260663,0.006462604341568534,5.9312576050185584e-05,0.0004180939448872323,0.00019369707674266046,0.008021069190301322,0.0055818107361718106,0.002707292101943981,8.846597769895936e-07,6.82775134808189e-06,0.00010873739107064573,0.0003508659128788061,6.740608970989825e-06,1.81496429441097e-07,0.0015855250991654302,0.005530382968741421,6.938163796199603e-05,2.2099731644686926e-07,0.00036354567064345034,0.0003741731789741465,0.00025945166276653,0.0004076327605058161,3.1840869718635645e-07,0.0020680425501991007,0.0003213339422571959,2.6598422987911263e-05,1.3861974450968262e-05,8.802965282939113e-05,8.507433698490274e-05,8.885458532947865e-06,0.00012370860303345665,4.551422999954369e-05,5.067823284976569e-05,4.508045584827869e-06,0.000475440606430233,0.0005866241117309379,0.0003583607391233201,0.00012550262705746107,5.7927689977033126e-05,0.0004015460960826722,0.0010757178479794405,0.0019969931550272157,0.00013718234770565552,5.503457041866611e-06,0.00011894727798855698,0.0004266227437224046,1.4232580776152304e-06,0.000623593882463247,2.196973245283118e-05,5.317879409405535e-05,0.00016159446439356628,0.00023245398198801226,1.976913603374264e-05,1.5466514912354512e-05,1.9308934036788017e-05,1.9537804485381116e-08,3.356367897899837e-05,5.125604850753085e-05,0.0018984721750507916,0.005205019642239517,0.0007974537802803994,0.0008450167708322631,0.0005711468147624466,0.0009921092165785517,0.00025158548864645525,0.0006252357237359618,0.0003583017767267993,1.6605404900005283e-06,0.00019057972567293469,0.0001470918982320324,0.0008835259263191286,4.8393103302402096e-08,0.022413117021705453,2.1860944292573237e-06,0.00023303955280118416,4.52519535354412e-06,2.6936747156813823e-05,0.000477411458152055,1.0666575842588344e-05,5.122936976365011e-05,7.818359814226739e-06,4.471573195896639e-05,6.285110739190358e-05,2.5235576233573198e-05,0.0005171695802643761,3.7736619431516516e-06,0.0001240617218827289,1.183136167881571e-05,3.1399699930378944e-05,0.00017314609252583324,0.00011364107332800799,2.60122415385311e-06,9.526924833425099e-05,5.675769044533041e-05,1.448225813271975e-05,4.379525033781917e-05,6.139245016800743e-06,4.7145216441890625e-07,2.2816772691669485e-05,5.9042477391191284e-05,3.5377744584952353e-06,3.464624971361019e-07,2.9144748556753086e-06,9.923175757098335e-06,2.4159261673428745e-05,7.215010353611717e-07,3.1547941259368883e-06,7.965818230815103e-06,1.7256465989490266e-07,4.0104335553348136e-05,4.378941457439112e-06,2.0559623282956352e-05,1.044949020645447e-07,7.37664552779016e-05,5.957887028174014e-08,1.292425620080806e-06,4.37953098164634e-06,2.1428992964533933e-06,7.673400910235273e-07,2.1822747164890188e-08,1.1258171150885232e-06,2.4609409932097037e-06,1.7373379503915487e-06,1.890849500751912e-05,3.1797366131236515e-06,5.500264435021052e-07,1.1473265804085031e-07,4.467453614154238e-06,2.0584703186443676e-06,7.024162667068623e-07,2.2456206911769527e-06,3.767707265733833e-06,2.6963769661492165e-08,2.5151787319543928e-09,2.389773081645785e-07
4N1P-1,N1,0.0,0.0,0.0,0.0,0.00135997524548781,3.855044656519979e-05,0.013198037137078789,0.28301545063573075,0.0012994934359302768,0.007879946906748536,0.04825306397028539,0.002647940181845998,1.572654937387341e-06,0.002688197388259761,0.27286960603001686,0.16817425541321995,0.02280914503006759,0.01570629277434632,0.008516540630896241,0.055338693802794214,0.12876579136223532,0.1507408429333421,0.00031948629152589447,0.025432744099785687,0.06892858949512037,0.03582055824678232,9.304576617363836e-05,0.02252444936447673,0.022722266709703787,6.310486777572066e-08,0.00025159664072993415,9.77598921814149e-07,0.007841730219934284,0.0004247385750351107,9.807826375496376e-07,0.0004619388328008789,0.0008392355946673646,6.16230138028584e-08,1.5132761532754557e-05,0.000627169627906099,3.791252388918309e-06,1.7263766037611816e-05,0.0003065292928736696,0.00020978284878991893,0.003645439324800215,8.258503728431066e-06,2.1211789583475138e-05,0.0005262712987073037,0.0025610935761992693,0.0009511504046808561,5.933272337710349e-05,0.00015323023532598512,1.8757508954969637e-06,3.5306831352333035e-05,0.00018445292963176207,0.0001484459454856868,5.548301647340104e-05,0.0004809917580868017,0.0030048222044527506,0.0023333782664058944,0.0008901331216470965,3.510140411711049e-05,4.0141735063059514e-05,0.00039642704611830837,0.0008287242449416254,0.00016352205127345698,0.00014716137978987298,2.0663414622923426e-05,8.545042411589598e-05,8.663151412435788e-05,0.000128791223779956,0.00012475870029238223,0.00018003162392377092,0.0029021226785999055,0.0008070215898761113,0.00033236856600060705,0.005565287366499305,0.0005772153962522175,0.0012876456069550457,0.004528169815953831,0.0004309603984671284,0.0001366219318077455,0.0017662439099999094,0.000756983678822154,0.0017629132927863278,0.002469778027331726,1.5967451843401648e-05,0.00048808950528078654,0.0008226653511811399,1.661284349641079e-06,0.004446865455117077,4.664191335113088e-05,2.0699599222240295e-05,0.00024385141479887906,0.001102031845852558,5.0752319933344836e-05,1.6553495987503553e-05,0.0003063695500378216,4.15599843797132e-05,0.0001104461424275005,4.388418013157036e-05,0.0009613152744680775,0.00013149684128688222,0.0007360918060625998,0.0011213629653852308,0.00036880291572316537,8.369971382649055e-11,8.57821673339032e-06,0.00017258258873242838,7.065718087684303e-05,2.7215764748733662e-05,0.0002655906340240932,2.2349989738712495e-05,0.00042514268598981,0.00011616350342968929,0.001901871593685378,5.5333119239886486e-06,0.00017211662942395733,3.351362591708096e-05,5.0436002474008035e-05,0.00036682561619638676,7.232939776891101e-06,7.693003210906824e-06,2.946720328633745e-06,4.0714000384411975e-06,9.575123627314497e-08,4.06223745530454e-06,3.0459895671519632e-05,1.3331659861393064e-05,1.5935255554433425e-05,1.7471936898605378e-05,2.6196388886567945e-05,1.6013899117872654e-06,6.0790109909891754e-05,5.794881285936526e-08,1.0489194544049951e-06,5.51632250989087e-08,1.448933667269614e-06,4.5668276715815637e-08,1.3229212312282357e-06,5.791782280439861e-07,1.0741206812880932e-07,1.0273240260705307e-05,2.1285322171493704e-08,1.6627221597342867e-06,4.1771960046510515e-07,6.579458380340242e-07,6.056048151847904e-08,1.54172230537597e-11,4.3691282902713624e-07,4.701676061813487e-07,7.300033422197316e-08,8.359922780698525e-07,2.1765923641225982e-07,1.9679494380753226e-06,5.693601146106175e-10,1.7814479460476207e-06,5.360378629859497e-08,1.62294322425538e-08,2.1770745071147957e-06,1.0172694842047747e-07,2.5912533341276855e-07,7.108470878591788e-08,1.3965197820375863e-06,5.959337845418133e-07,8.03386888570401e-07,8.617524169807211e-07,7.097384857601696e-08,2.0635404807123336e-07,6.453710099663112e-08,3.289762107172578e-08,1.4470735565375037e-07,2.407326797904119e-07,2.3876965693503394e-07,3.0038491694028835e-09,2.735410469245636e-07,1.0816052804507592e-06,2.045615236756504e-06
5N1P0,N1,0.0,0.0,0.0,0.0,0.0,0.008895787807366329,0.028990695023965785,0.0010449897408144615,0.24835236108156344,0.005279693975432709,0.002836062567618036,4.690916968130843e-05,0.03428573800389234,0.016737912343600447,0.08936426092640293,0.04760270828537472,0.3013022757555608,0.19175413399218044,2.8575579905432136e-05,0.00016048788946720904,0.00031091345161327055,2.5442721973689686e-06,0.0012462455360089386,0.000614853784588032,0.002021867364267571,7.490485510519562e-06,0.027147615678771775,0.006232279491240167,9.154127280774915e-05,0.01851166499216972,0.0008934814412941972,0.025903058615332153,0.0012821438089929416,0.00017371804959287473,7.240366278171706e-05,0.0030887579805818355,0.00422997906279976,9.061226454942783e-06,0.0004062854458006804,0.000794526304813914,1.5123299872410456e-05,0.0008307806690033281,5.498578898333051e-05,0.0002042279418148496,0.00048603128059587775,1.792073782125314e-05,6.448038370465703e-05,1.8938963656900398e-05,0.0008516974923953313,0.0003462837427967713,0.00117102660371593,0.00023611656688915517,7.1150006109022e-08,1.0316797913079157e-05,5.3068195489114345e-05,4.396795240557694e-06,1.8892674260584386e-06,1.9023138926321792e-06,0.000669058077564344,8.715977030249178e-05,5.540019076999414e-05,4.109522431239299e-06,0.0002510876061094791,4.415820253012015e-05,2.1432525097342392e-05,7.38729483271694e-05,6.0834690504441014e-05,4.4200927000526136e-05,7.82469690796539e-06,2.5273712478401933e-07,2.2085491266921053e-06,1.0366044158161003e-05,0.0001599113921568751,0.006190683612451231,0.0002843912529861825,0.002727186019893857,0.005346602499062492,0.002022167742651071,0.0013230178063170506,0.0014380412275976084,0.00016380659110559748,4.7210534845909535e-06,0.0002454982900501612,5.043743946719914e-06,2.906598252261361e-05,0.0004634553700597621,3.53751541548597e-06,0.000197807568188324,7.452842022193096e-06,0.00016358466377175418,0.0008034963701359921,9.169910182293961e-07,7.205968078594083e-05,5.10881601818447e-05,1.560829447511125e-05,0.00016282935045852653,4.09745158147512e-05,0.0003122687458281259,3.0056769517727844e-08,0.0002575191757927531,0.00010928526740916489,0.00278256779880115,0.0016806871977492754,0.004049000607991626,0.0013730269361453828,0.0011892963336159745,0.00012765438163642173,1.208637254990208e-05,0.00041542167293107113,0.0004045561198595671,7.423836558539954e-05,0.0005684845856404053,5.0477483191091466e-06,0.0008791161920842505,0.00026769706895901635,0.014974676913229512,5.684925523663509e-06,0.0002836621980222276,9.526051357067189e-06,6.256242750701801e-05,0.0005862078336873466,7.956396359531936e-07,2.6229138432309895e-05,2.8667228044731985e-05,2.3441212526620347e-06,2.5717190246909993e-05,1.043118179211433e-05,0.00025526281681331753,7.29229262275144e-05,0.000193829631329967,0.00010276738439785049,0.00011122090830317788,2.303491171451455e-05,7.187341046543949e-05,8.674352169890653e-07,5.515522218413338e-05,3.542046201454596e-05,2.0337711483797705e-06,1.928161860087485e-05,7.449552086313815e-10,1.1678358724509508e-08,7.670311125806961e-06,7.668043489594822e-05,4.161747080511091e-06,9.05704689246889e-07,5.623976924162832e-07,2.50939142421025e-06,9.29927439163869e-06,2.380698203019449e-07,2.9267255285958527e-07,2.8672759189163344e-06,1.376862579061111e-06,1.0279348326314164e-05,3.1743402564288203e-06,1.922014331778854e-05,1.416359243222587e-07,4.275349129034822e-05,4.02138031763144e-08,6.390453639593119e-07,7.113362765487352e-06,2.1177130997696025e-06,3.6163899763685947e-07,2.190727599327147e-10,3.193244060284428e-07,6.038271234132253e-07,4.70270913011106e-06,5.818170353499852e-06,2.4324892815563715e-06,3.346116210778405e-07,9.741243234273611e-08,2.0311688526675198e-06,5.447705095917854e-07,6.305838815556797e-07,1.5628513501120267e-06,1.919046552778525e-06,4.3282488593199275e-07,6.488909898294537e-08,6.069999392011027e-08
6N1S,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.04131003830477553,0.0002796561259983399,0.013006227530683923,0.0021312102059589666,8.867336429707606e-05,0.004434235881514148,1.4759613801151872e-05,0.000277188337411749,0.09899964225768088,0.15161788639560125,0.10089035015799963,0.15343366956863802,0.0002742351239037877,0.0230127849430648,0.021140029563634144,0.032188332299671885,0.00010414059746066684,0.0677622975331702,0.08801732259122463,0.09687488189180193,4.467653395678894e-06,0.0072134108967658594,0.02792416411626375,0.00044954693355858666,0.008022753632756174,0.00037320116726768937,0.00010501154624176223,0.005710969317327397,5.426262213847899e-05,0.0013001723786087993,0.000669860915538667,0.0008825503218528041,0.0003026823934222378,0.0025786929069240294,0.0055086680915441555,0.0010550802854631947,0.0009801122561028386,0.00010540945902159926,4.66212481087247e-06,2.487012676177791e-05,8.189800904112587e-08,7.197315704532414e-06,0.00023709000718818984,0.0004943323210446771,3.598074854016531e-05,4.226481553626371e-06,1.0878024925276009e-08,1.3763596636184872e-05,0.00013143477003030313,3.5145478038955957e-07,3.3081219383834792e-06,1.467853976144795e-07,0.0019140057941835487,1.1512720792694608e-05,7.545481944726262e-05,7.719109415216252e-06,0.0005682545636243042,0.0003270952574716546,0.00017609749898950255,2.9776152518978805e-05,1.700971439566601e-05,5.25977341458983e-07,2.737412266351491e-05,7.059552131760682e-07,4.352717391853389e-06,1.2662047319089709e-05,5.382958367938784e-07,0.0006806082965358229,0.00033198892791341805,0.0007439811329708057,0.00047960157268089887,0.0003249967497551687,0.0005843432297845119,0.0027689824302861155,0.006180986774017239,5.753983911338523e-06,0.00024722030153623287,3.7734461113547724e-06,1.880525282160761e-07,0.00048672872865562766,1.0332890247877202e-05,0.00033093351030144547,8.655095541865165e-05,1.622765432740536e-05,0.0007181224673855624,0.0002930677333283782,1.3901651271019944e-05,8.76111437722038e-05,0.00039448627976002015,1.5148917505758419e-05,7.597022227745498e-06,3.537758706362304e-05,1.957629246041037e-05,1.0562593525831332e-05,6.509032352441935e-06,0.0009589497357191945,0.0003250240657384218,0.0008924946777102427,0.0005176849668764305,0.0001799728737919004,0.00010425402612623813,8.295768791644065e-05,0.0007138082677968782,0.00014901546348333738,3.7347401470100294e-05,0.0002019646436679512,1.0413604700776347e-06,0.0003203273339389412,2.0377535526971968e-05,0.012913030195494724,4.995021596343463e-07,0.00016605615092402104,1.9796825537099494e-05,1.7799020118225428e-05,0.00015710112505651352,2.376730109521219e-05,5.123201664813948e-05,1.7577385334810458e-05,2.729562149639264e-06,8.024208019596912e-06,5.573785222257044e-06,6.150385565328875e-05,1.1415086576427314e-05,5.477873318393556e-05,8.482624619610135e-06,5.082163212932755e-06,2.454536551788067e-07,5.784856238477687e-07,2.834763734860246e-08,1.5238568047415413e-05,2.3802606450296082e-06,5.941247493979063e-11,3.321527569433158e-06,7.604875129629818e-08,1.2485698306363702e-06,6.297761238283073e-06,2.7692260138323377e-05,4.8789135840277e-06,2.157062617413885e-08,6.115151673924402e-07,1.604023082801831e-06,4.9474648176062175e-06,3.960335490660327e-07,1.0569990855913147e-06,2.690583628783827e-06,4.219056243037755e-06,2.1615016163156753e-05,3.4217140707504257e-06,1.0346786942783126e-05,2.3084963420849647e-06,4.138182601609586e-05,2.785801100912977e-08,2.948265305224851e-07,3.4770573733577947e-06,5.721896694232953e-07,6.611478713391961e-07,4.566025135765983e-08,9.698726297635574e-07,2.571302646359186e-07,1.2016389634439406e-06,1.2785336074294662e-06,2.302429106482151e-06,2.542425168172713e-07,5.379704237640226e-09,2.223276744928171e-07,4.257888504000107e-07,1.6011537584681435e-07,5.360458077419139e-08,6.070103346633715e-07,4.7210307352330005e-07,3.297811215219326e-07,9.810703360813022e-08
7N1P+1,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009025676386816173,0.029939120731573787,0.00528060796501717,0.0009467155661113669,0.001301874483873977,0.011842514626328127,0.001636641223215607,0.07303566751981139,0.020587584568403372,0.030573787258066698,0.0268189322994834,2.06937378939287e-05,0.07963281321031435,0.02483512991511061,0.09822415983528199,0.0007073027967892109,0.03468734623415859,0.006090688868516825,0.044805778962556,0.0013842335419438356,0.030681554930429566,0.0020850251346702375,0.003579934325582901,0.012721563340893027,0.0023907045387208115,0.0020926984047915376,0.0024018821139599744,5.930854254376783e-05,0.00569144514084563,0.0018770391691371735,1.0326738245414191e-05,0.0006021320913398576,2.1637662837470373e-05,0.010608371955471707,0.0038515209232952152,1.2109876785793006e-05,0.006093503915822307,0.003161476880682468,0.000804364671146196,9.554511716358682e-05,7.535485126197727e-05,0.0016853760427490982,0.0023986591798763612,0.0008076853172225285,0.0007002139809464403,1.829633424099697e-06,7.313681161358332e-06,4.72352080969074e-05,3.411940118436263e-06,1.8649519328839403e-07,0.0006289875855478577,0.0009418555913422999,9.059710952863398e-05,1.160746044126526e-05,0.0010834637018168891,0.0037321548878646027,3.065340779428993e-05,0.00033924077071256775,0.00012100758543986956,0.0010307236124269537,0.0001432981559745805,5.012815353189204e-05,5.367015806001518e-06,3.482843610846942e-06,3.1650893471013575e-05,0.00012513933400870592,0.002727029585452012,0.0004956185087463538,0.0012753277445392008,0.0025307744092484263,0.005008937084458598,0.00010966812976764828,0.0019920738865519816,0.003367560926857305,0.00025406540562644686,7.242974370624822e-05,0.0004468029162829623,0.0004915008480632643,0.0004246122018929377,8.261194495151614e-07,4.681119215943497e-05,4.026015969627039e-05,0.0004429412756672413,1.2647151490519093e-06,0.0001245377032708106,0.00010814518108226423,0.0003059735066184288,1.5414091318888268e-06,4.161011510683821e-06,5.9831017980016554e-06,7.149846990706088e-05,9.54008645415172e-08,2.5433169437150127e-07,2.4445681317208923e-05,0.001672396274028376,0.0014193391266412725,0.0009485789103007569,0.00014668998670419597,0.0007457105512371776,2.337143670549935e-05,0.00016696109545577542,0.0009111450806043031,0.0002544459863846882,0.00010836410231096494,0.0007625127232167017,7.3890379599372835e-06,0.0008362424957906178,0.0004626504752813787,0.024849087261824554,1.006787418766919e-06,0.00010687640931106301,1.0587569542863662e-05,7.844141869384202e-07,7.172740889949125e-05,1.7433509746922482e-07,3.396181732817638e-05,2.874423051535402e-05,1.0811899670670755e-05,6.130711058682792e-05,1.8560590440364066e-05,0.00022415297457589745,3.85688532222872e-08,0.00019151355263069547,1.5445677568948213e-05,6.083917802834904e-05,1.272786756079114e-05,4.742614264818812e-05,2.1990972021157518e-07,4.751252565249331e-05,2.4273872264668483e-05,2.573474941591769e-06,1.1342889701726477e-05,1.368168391913116e-07,7.115081857023142e-10,1.2243901801767265e-05,8.964254921917103e-05,6.285870342237487e-06,1.0215388090983879e-07,1.4463830133593092e-10,1.4083597648317792e-05,1.4420377662860417e-05,1.3889082750573323e-06,3.5139877265777386e-06,2.111106679691943e-06,6.109301899925867e-07,3.21856264799969e-05,6.845674622280029e-06,1.6608551127283988e-05,1.9546524354652206e-07,5.280906100590954e-05,1.6389811618999772e-07,1.7648468508824067e-07,4.826347730357838e-06,3.912845871756332e-07,1.086267600536317e-06,2.6830697974489226e-07,5.635187585451007e-06,1.006779815071468e-08,2.4948094905496987e-06,7.502115477286964e-06,1.0485475215649132e-05,2.130490833973653e-06,2.2777720154465442e-08,1.6360047183638926e-06,1.0747515970521704e-06,4.1728824218267846e-07,1.581492715230226e-06,2.8240463101347757e-06,4.738665535519715e-07,2.033187174177442e-08,3.6306347706016595e-08
