,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28C,29H,30H,31H,32C,33H,34H,35H,36C,37O,38O,39H
1N,0.0,1.0205211205826221,1.0217727911044638,1.4616128751679949,2.0752130792730834,2.4601620889949687,2.432729960954174,2.904427111422212,3.7870885651936312,4.899102290135507,5.000741617938815,4.318531012464665,3.9355176913627794,6.140038760526139,7.020612065226018,5.684251234652501,6.3013266144147115,6.474767311118975,7.536910109278734,2.4953025919502183,2.7479478267310165,3.7403334341603878,4.02103543439893,4.946531846958408,4.88662994662406,6.149878642100881,6.985850078027967,6.168877681221906,6.115657367716575,5.534871222130096,7.199387216121591,6.7348168602416605,6.218017228021051,7.0458234111389695,7.702723608727248,5.592822101587444,5.484795145113343,6.714146774227464,7.211512228120434
2H,0.0,0.0,1.6027769880222167,2.024602001380924,2.3856982907145308,3.344419559682873,3.427688125440908,3.764320550272703,4.567061372420535,5.636375749683936,5.720421920822303,5.023570187486834,4.597722330036562,6.836915938211659,7.700279553715202,6.3379895611179125,6.899728702797917,7.14261162930691,8.179108990706563,2.60409756447202,2.5500268019476637,3.888233414717878,4.353957506011629,4.96427630606931,4.715558424915196,6.099397631337666,6.891781861372403,5.919680491240657,5.711495820793894,5.3095623521693325,6.941367888729999,6.86802138836591,6.421990164979942,7.291271220058244,7.7797702845565615,5.792366623961099,5.888531060977179,6.804507450813961,7.394235073753986
3H,0.0,0.0,0.0,2.0246895664431026,2.9178790470999676,2.6661510206697177,2.6410157382330044,2.7157249288704217,4.148183811415488,5.097074516085109,4.997108234927986,4.913214662259544,4.657020399389322,6.432395907371759,7.227519577255171,6.284267229702647,6.9933981545113415,6.94268764562156,8.024816696854042,2.67981526362313,2.651313163376063,3.984340651107533,4.342849379321903,5.028029256052934,4.89734172093154,6.388807484881515,7.122760027662483,6.58492036756809,6.474096567695354,6.086628644848651,7.6554212383011615,7.033835235078031,6.626737419657924,7.220182533701367,8.053908853695841,5.438423440866603,5.252486922594353,6.487088938867319,6.8879568538413904
4C,0.0,0.0,0.0,0.0,1.0987072432289202,1.5572897712142477,2.1265951064209383,2.183763449305502,2.6018779366306672,3.620409931403242,3.7877455968503475,3.2694811316879955,3.175365689531124,4.816290829853105,5.678840506805118,4.555924342992239,5.283990925042313,5.203511182729172,6.257624142546619,1.5492212883230736,2.423579984830269,2.484607059395084,2.5965462522216693,3.840431221802835,4.041096040330415,4.946084520896678,5.857535776288228,5.088005472978015,5.239038065947627,4.436198155081079,6.092829533806101,5.361758674775633,4.793119051111889,5.667027380794247,6.336102713591545,4.531723113029205,4.4132192975342015,5.760774245918187,6.285837455910922
5H,0.0,0.0,0.0,0.0,0.0,2.166564884687447,2.6111168696190976,3.0518185570417247,2.6722835945319603,3.8018501230068713,4.2240004250167384,2.874490523977417,2.6224295356940166,4.771126852852751,5.710981271319182,4.0688548556651964,4.643950772384017,4.885516732042496,5.879729599139124,2.1527753795696776,3.1046863081061002,2.724494834648079,2.6792428278819553,4.136096493715085,4.403807558515879,4.945664421547017,5.9512491267736545,4.8320384210782015,5.070082397651256,3.9977167079283156,5.7437793597167355,5.255003515677871,4.545165552104679,5.7245427589513715,6.121770577554644,5.0636644034358245,5.0494275831313065,6.295673716279553,6.904536915606475
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0964306450614736,1.0971474817868667,1.5170011059822168,2.5498059657573116,2.7547479843602765,2.5318189823108552,2.7224053072413885,3.835521348449776,4.70280102082172,3.821267286764489,4.683623366002616,4.336927590840899,5.423927166351532,2.583221114913098,3.52826216806563,3.0795530024279887,2.7601288734672065,4.383860876234642,4.848835173870021,5.490873273439298,6.38840299837171,5.9527894711535785,6.294790440641773,5.347482354509694,6.901664618937791,5.550797585391033,4.909313597219229,5.605569381250532,6.56797341442715,4.643974983431383,4.124682824734344,5.961232074218056,6.285987732905112
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7635038283456825,2.1433027231250588,3.3121698825220753,3.6085335407174957,2.741044045701582,2.608280220899119,4.488506226964968,5.407085204735102,4.082215893996064,4.800075876113474,4.800662940301933,5.865209422965786,3.4457540953240566,4.245878389418017,4.11888048080883,3.8213485777941067,5.443874643455126,5.8346463257579595,6.5572388760874025,7.466113863311369,6.928914972906719,7.230689043585674,6.252720612371551,7.874212259885985,6.610395947593947,5.914083548490927,6.674693707399567,7.606810386285406,5.699228713894619,5.131993386097014,6.998166202660676,7.287846888606418
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1543944794732734,2.647033318169011,2.4108253564360744,3.420321870383203,3.7611692769406546,4.037958527879145,4.717080476625327,4.580070399033902,5.531486181001847,4.830778313862617,5.898262098231685,2.6869311211997955,3.422833469946275,3.169575292048335,2.9731721516727934,4.230576710238582,4.667751622842358,5.5005787852338,6.268098181321941,6.189523172828772,6.481844659823602,5.758267122196554,7.171461626802732,5.6178833996080515,5.148542821816672,5.495333783583034,6.688922058833161,4.153837993795833,3.4734642467353662,5.411531481035159,5.605986924553448
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4033922077400345,2.156820593319369,1.4051559380367007,2.1581856624796787,2.4359171960158963,3.415793711786586,2.4364809985503646,3.4175499984747795,2.820049403882232,3.907069907827391,3.3720255355448034,4.522589999632706,3.255823221373788,2.494224693841461,4.510968932154045,5.247835757179253,5.271191790137146,6.230419416975629,5.789318723320127,6.376807448728702,5.137186181858648,6.584496996445578,4.921463701632851,4.112011575411897,4.945301812989375,5.847559803436355,4.760865346065052,4.1848044505067845,6.111631814246103,6.423097803855102
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869844249782616,2.411944559646674,3.3992658837817102,1.3994990098480113,2.154403787037149,2.790023127054748,3.8772608298669438,2.4239632183379087,3.4102839171044836,3.8954650653224085,5.003100300317312,3.3699211395986572,2.480597119992922,4.280540489069994,5.192339120715,4.908157086658797,5.753023425876341,5.734821403710363,6.438307184097906,5.281712430640556,6.442869025541481,4.289799653031168,3.6012283451354685,4.049347465961485,5.2039131842418795,4.1892031873051,3.451132854857056,5.476186061307682,5.6576727560477496
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.399100562564045,4.300073439754812,2.157147435838525,2.4763262858531716,3.876946333639326,4.964201433145868,3.406321684879831,4.304956176653347,3.7548051576663273,4.704324240889697,3.234146483118966,2.542445060298776,3.8947212933024193,4.776410210431602,4.703743725410312,5.406160174095878,5.74463597947503,6.364355654131162,5.471485848485407,6.50776270675536,4.227132859825839,3.7939201927835406,3.7924078387552465,5.216306216406691,3.462900123976104,2.5401049650175365,4.69977256590397,4.763078793009889
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0884088566210328,2.7856350547866757,3.8728685644127308,1.3944059086448624,2.1523741048973712,2.42036144509556,3.40594804759569,4.269686218570185,5.44996476712872,4.140685509414033,3.344519830364015,5.455039177876741,6.185628380222569,5.964310321090757,7.002476404216144,6.215321898449082,6.868734762308153,5.38961566795047,6.889818087440788,5.487198811468213,4.505101271255629,5.6788278799166765,6.258239756980291,5.930436510288197,5.468975910808062,7.2695326159120865,7.653946281976748
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8739863814562865,4.9612113194193,2.1521024136565883,2.4732704792652234,3.4042818685000853,4.301720446422903,4.432096409766745,5.528967565891595,4.572512318271557,3.9423363897986987,5.9769659369630785,6.569017385520412,6.544271231217968,7.609060456442405,6.596583627833924,7.142211484703746,5.678162596265947,7.300410206689395,6.24085498789695,5.2571716079934365,6.543619530230565,7.0005130218121785,6.598041314488322,6.213856107278898,7.937433125458101,8.378385223563791
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872670481379696,2.413209298945768,3.400476501968424,1.3951619188021929,2.1583240342024856,5.064704780001479,6.2112022237382645,4.308022920119887,3.320143249375624,5.059598581778122,6.075822926490675,5.306106929225326,6.1278896515263614,6.109218217222028,6.972925447545998,5.658606467098766,6.616682739472914,4.308401758547301,3.539330723331498,4.029893342348586,5.008138280635793,4.9843024935567355,4.31744490632515,6.1643946737647415,6.322932065231425
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4014812374579493,4.303193134003314,2.156920463481322,2.489639713639614,5.719776303193554,6.796745674622607,4.826608315419471,3.892886825216528,5.306489813964238,6.368863655552732,5.428522352104039,6.105175392608258,6.406161859869137,7.307574597454486,6.116530089106004,6.825397244775415,4.275556301783715,3.704821534294892,3.7688898998807936,4.881352484944073,4.997565329428332,4.289108179541191,6.030042238974652,6.071458021094454
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872714922854119,1.3984099754234394,2.1601838871740004,5.356181044849616,6.574405869285593,4.933999990213862,4.007346996724355,6.0856634508406815,6.943351916340006,6.29710857083353,7.3148265049002,6.563425674177674,7.372563953470161,5.760431863261331,7.05432593841947,5.504339980791662,4.45878736204551,5.667623232846966,6.099578611882818,6.516614559738955,6.053195455533437,7.8013943663470995,8.158317147298868
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1590694445573475,2.490042821437748,6.177317871418631,7.383127277233003,5.799591004796089,4.914315012086521,6.969716518858743,7.793286331955922,7.070888051086259,8.108754480207232,7.164576840973154,7.978628825904258,6.285786668481375,7.568490660265763,6.262722959862404,5.181780785394469,6.522024585243083,6.742380972681341,7.511575316523802,7.107253631752773,8.78382740442789,9.180528438256866
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870234145503141,5.697404588836519,6.909013821891199,5.009385841045826,4.00135756847811,5.915427983341675,6.898184622049039,5.997057024764658,6.912407070070086,6.515547376359022,7.423990616774483,5.890700347790262,6.923564687061793,4.952450129435711,4.000177745568985,4.910636091048531,5.491293565740183,6.110038868500015,5.570831062523389,7.311979356263896,7.568288137534307
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.697107328051862,7.906616374032165,5.911472559567229,4.90365818406002,6.701359641400272,7.719198884166989,6.58748650555043,7.451074104500582,7.083657595111906,8.060425430300544,6.494635508203793,7.347588379466589,5.3776001814998455,4.463293286594101,5.31544127316841,5.733727563461533,6.874192743766552,6.3645861490831885,7.996901984196094,8.229658522141737
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2265630216276258,1.3731495642446299,2.048809056403413,2.4514991799747534,2.507239512069628,3.717038371650443,4.508216509395998,3.987007185806885,4.019672186650888,3.604231471352943,5.061215444805654,4.441085362053912,4.1564676769956925,4.751457545245487,5.434383633533273,3.261322841736487,3.4565794372666354,4.375785389555057,4.99840617367498
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.279378210529902,3.1501496941678253,2.781902119367901,2.3394962321801773,4.140058851072347,4.714509040386424,4.345629399654613,4.070808710506781,4.161557705340166,5.440043517742678,5.161165356010721,5.076354629830931,5.454681844086793,6.116512622672861,3.4969401858534708,3.869035534187565,4.334423265064541,4.96657074664257
