 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,C28,H29,H30,H31,C32,H33,H34,H35,C36,O37,O38,H39
N1,0.0,2.03702859608059,1.93162556063494,3.010603970344872,0.09436494993891342,0.19350905424175044,0.03533513278337119,0.0037485774542174166,0.028190232701241547,0.005814888119439782,0.00022362803713804613,0.004109637241887704,0.0003736795853050978,0.0011962220561332754,0.0001252672653704323,0.0006999850295324322,3.3233625368889186e-05,0.0011972586681273795,6.940223957196956e-06,0.2298510018750379,0.04932526305623085,0.0341101824396606,0.0019982235812791016,0.007476190811459171,0.00041096715943789164,0.0013980492511553866,0.00029048466550662955,8.571552007290845e-05,1.1304733353867391e-06,1.3127704740600876e-05,3.8857137243386575e-06,8.441457894518833e-05,1.1884684649965394e-05,1.4634291849446868e-06,1.1510111553203473e-05,0.0004804645528313778,7.040187750473326e-05,0.00013924582623775494,3.957023000911164e-05
H2,0.0,0.0,0.026770826089860478,0.1105841560962828,0.005023407463583318,0.0351214237210844,0.0024932372305046524,0.00012316919365229495,0.004514634104956561,0.0011632384991021594,4.9651256864846616e-05,0.0005160514225148738,3.525180491092961e-05,0.0002456975702730402,4.786820082025578e-05,7.018614477127816e-05,9.587714248970869e-06,0.00020084957103605472,8.516171388084359e-07,0.014298910325168723,0.026491978234260527,0.0022101994222237797,5.0557839367249e-05,0.0003713010524687421,2.879466531169328e-05,2.640303458889548e-05,2.2018189835826263e-06,5.64806326353029e-06,8.168722565038422e-08,2.189122892293227e-06,5.480622580211758e-07,1.493995368151424e-05,4.767316392095822e-06,3.202426719361995e-07,3.742227953296151e-06,4.6754453094211e-05,5.49361007218252e-06,1.1315216076335233e-05,1.5921438962784862e-06
H3,0.0,0.0,0.0,0.10507235441327811,0.038192266568129574,0.011436955456635256,0.0014554300687821264,0.00255176609856389,0.0011690176773420102,0.00018745434686417983,1.3918615803909518e-05,0.0005482769266178522,6.387599961321655e-05,6.503129164825427e-05,7.910722706006013e-06,0.00014841776814300545,1.4742354890850962e-05,1.7152895614991337e-05,6.799356087050512e-07,0.011192455400283241,0.01953335537763623,0.0017054684981264723,0.00021477814155157482,0.00031984486832703496,2.5047873755568162e-05,5.696346524242113e-05,6.662710543059447e-06,5.727829712420807e-06,2.6418413034967614e-07,1.7938353267243912e-06,5.524800195111368e-08,1.2832573977217265e-05,1.560449632176386e-06,3.2743052247319326e-07,3.0485785316169967e-06,2.3698673870642395e-05,9.822127729264274e-06,3.1348835785038887e-06,7.801272285945515e-07
C4,0.0,0.0,0.0,0.0,2.00506970272576,2.759781494270472,0.09294195692443408,0.07857409661966197,0.16813764507157916,0.03397114960585254,0.0007121473455118377,0.03525786695729599,0.0025801737604123076,0.004934554851472983,0.00026042644987178676,0.004510851628290041,0.00010995772808675142,0.01206608328306416,5.7454680094659594e-05,2.6277408333746566,0.27830582168244866,0.20813176382058166,0.010994550255206126,0.03427300790470039,0.005627278224964116,0.004170555440657392,0.001256937043940809,0.0002747501266362612,8.026409378469879e-06,6.667827207906818e-05,1.3772777944121017e-05,0.00043001701075451315,0.00010504978522307695,9.123486748752185e-06,3.6595486269774824e-05,0.0030959348545494536,0.000559807826874148,0.0007763716466263337,0.0001553690443681921
H5,0.0,0.0,0.0,0.0,0.0,0.07747722995866779,0.0018875415893171432,0.02927402509171917,0.016455486560964516,0.0015158584572950717,0.0001905709747840323,0.009897157654834454,0.003504100460193893,0.0008148956106298622,3.8983760159316816e-05,0.001042498823431326,6.548434875486286e-05,0.0006616743059695285,1.820855667511445e-05,0.09842578955287862,0.028339099608522766,0.010369382352073409,0.0010527490764102865,0.0014124247452707017,4.9276506770334905e-05,0.0001704726178093363,5.630878412210549e-06,5.507095301338083e-05,1.8319269179389863e-06,4.6342485646277964e-05,6.432749752427469e-06,1.3441384138390688e-05,6.22117821702517e-07,1.78439148568188e-07,5.906826623380823e-07,0.0006062693459705226,6.507527607368946e-05,9.071249652792268e-05,2.3370201335692897e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.120856628774078,2.1320059736357155,2.8736567605793613,0.24239703695526923,0.014539226530254634,0.23371173741305323,0.013411401678552037,0.03499841364165723,0.002677888871433942,0.03677854125055982,0.0027069149059302244,0.021281970597385028,0.000517117498014974,0.17151434567517324,0.03877204398405963,0.023533096869204406,0.004362625334481285,0.0024647608795221043,0.0005607352525568432,0.0005283579829610668,6.0935356548053043e-05,7.004170828961431e-05,2.033107035392945e-06,2.8194507737833163e-05,7.083970787746807e-07,7.608321241116267e-05,4.2777883245914694e-05,2.909639309045531e-06,2.1871651237681533e-05,0.0010662991932258448,0.0010866056106413058,0.00027196766595165983,5.7512821642347056e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02583301335434518,0.09975085726280164,0.029661557372465785,0.00036729450277084297,0.01892122181885414,0.0028874360515469544,0.00296826129524308,0.0004216736207121041,0.002023706498981759,4.186334537026326e-05,0.007059112913906818,1.3073837520138909e-05,0.02605636572113279,0.00360349643132285,0.004344484906369517,0.0006732171292747058,0.0004407677430704471,0.0001888832767189541,5.603938854537027e-05,2.864540544766925e-07,1.3500339880900825e-05,2.896224695625449e-07,6.197205573155173e-06,2.123433227030347e-07,2.7739105248891782e-05,1.123679321368698e-05,1.2159501252551053e-06,1.2509579662811632e-05,0.00026638614740748245,3.4082110900279794e-05,7.016708062668187e-05,1.8614277804474e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10046448405963426,0.017747956486424243,0.007343137366682795,0.023479520266825427,0.0008578672757064698,0.001510431123419309,7.18346022665628e-05,0.0028907580695869406,0.0008031148094131968,0.0009365302269801479,4.170104289924481e-05,0.01565930120894321,0.0024646874368903227,0.0016469337304008125,0.00010910616481396573,0.00021085235058149188,4.931598015245342e-05,7.345341700881747e-05,5.330521723134751e-06,1.056672962684857e-05,1.3434703927117653e-07,6.70812057879111e-06,9.855323288565643e-07,3.706887513832413e-06,1.0591092591827334e-06,3.676033411004198e-07,4.576690562085872e-07,0.0004585384795228187,0.0019780193381156996,0.0001897251493212515,1.1561900350010035e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.517070630822937,0.12506846482423417,3.7108998314256776,0.12412289076067773,0.3271089169430431,0.025937542301503136,0.33077579606153695,0.026593321914006207,0.29903798052847874,0.003955546344497796,0.008661531409951378,0.002792292426614301,0.016653400958875186,0.04683058198567491,0.002115585532249803,0.0005419415647873738,0.0001429525308542512,4.039287032653327e-05,1.6458568703678345e-05,1.3266438332326658e-06,4.609872990890551e-06,1.3139701033892948e-06,0.0003871613442797267,0.00016232847459529687,2.5537744734460688e-05,6.817129983049952e-05,0.0005649924561878517,0.002248658894214828,0.0002065145506326277,1.9612038859695424e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.984032730370111,0.3191244886646322,0.02805282339876669,3.9317535023133763,0.1315227333905129,0.3057177314894793,0.003565517207047897,0.3331202048908227,0.02751081796645205,0.003421416138749994,0.001624199811114252,0.021657661439476283,0.05598346646704366,0.0020296078965570397,0.0005002618092261324,0.0002912262890462647,3.469603216899042e-05,3.275529710466962e-05,2.683401325587198e-06,2.0201485232629324e-05,3.3179116414316923e-06,0.001593501908104894,0.001858857661995339,0.00025984832390091306,0.00015131418914493544,0.003065469216597977,0.015823160214476606,0.0011528153683456333,0.00011036163169597657
