 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,C28,H29,H30,H31,C32,H33,H34,H35,C36,O37,O38,H39
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027844603520271072,0.001531300425077875,0.12986972402177877,0.008264858841576572,0.003803030107577321,0.0004750149830614614,0.026100390314450328,0.001195451536424308,0.00030471337664939036,0.00017744299592836743,0.0023307895847843874,0.003622559088571675,0.00023854853446225732,9.7733621251761e-05,2.5489632421438202e-05,1.9915062781095116e-06,6.829930209839574e-06,1.0870286777375782e-06,1.3118779709220263e-06,4.813355918287243e-07,6.0980764286955313e-05,8.935420710898256e-06,3.993846791394695e-05,1.1080763270499006e-05,0.005165570335080805,0.03922656329651175,0.001904335210763275,5.3360755416731465e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7879223196848766,0.31521451518903315,0.003561989378703334,4.001520541895418,0.131651732223653,0.33298973529149856,0.027086017662602657,0.0027144680808944555,0.001628168751171083,0.003544177177855254,0.0035804439844675517,0.0006668892051215902,0.00018180500636733044,5.31340999680302e-05,1.6904508505888316e-05,6.745765351465205e-06,1.3764381425751537e-06,6.457755467259574e-06,3.445756004971656e-07,0.0002397691277219588,0.00020357016269900718,4.549572749601438e-05,2.2281655105427234e-05,0.0001106165469423881,0.0003798525395186103,3.706828498895032e-05,8.564425274970588e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038721977848916733,0.0005267613182207143,0.13074698288765263,0.008368521659948946,0.02694656198523937,0.0012272512805204805,0.0002370168716807619,0.00027063546573491415,7.864331113771605e-05,7.247934279286383e-05,9.850219698126494e-06,1.6070322004235749e-06,2.770035313348629e-06,4.754804323603423e-07,3.937327941461177e-07,8.06443067880025e-09,1.0238696179776241e-07,1.9179319910023196e-08,5.38671752647879e-07,1.4779868373615557e-07,1.1240720865224318e-07,6.67077939553451e-08,1.4550920310441029e-05,3.953639739040504e-05,3.5465793815081526e-06,6.195808068820696e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7881169548544826,0.32822988090449295,0.027322580562011867,3.8592213705217207,0.12823591436823367,0.0007651671907897561,0.0006179569080945885,0.005058721316298101,0.006233929527381332,0.00044504222017724415,0.00019932434611447114,0.0002733457496881808,5.1197534991165305e-05,2.3220139984014843e-05,6.714266228113885e-06,6.3522964441897756e-06,2.890630617091716e-06,0.001944194558204479,0.003438560851040773,0.000281395360645309,0.0001254807434634131,0.00042133256037163447,0.0017963105826174636,0.00014418655404777048,2.5755714097353e-05
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02742797302361777,0.0013852303240153852,0.12637982482069776,0.008035592773140587,6.1830145519081725e-06,3.9267094752437615e-06,1.3883839160788725e-05,5.247317164069898e-05,4.677375544437368e-06,1.6427292059972842e-07,3.3617834536148195e-05,3.726501335954424e-06,8.630068902171217e-06,2.9616630172757397e-06,2.716977094419093e-07,1.606190667136076e-07,0.00014556958421652055,4.200450577340753e-05,9.623234821676263e-05,1.5611856466701823e-05,2.2779797487659792e-05,8.635619967323205e-05,8.799481902799222e-06,1.3031901857640804e-06
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.008118232794494,3.5847845485897785,0.1258614167082801,0.0009624843831966268,0.000664312942814313,0.002550437270759834,0.003930517451521176,0.00022345659374464755,9.956243918629593e-05,2.791937789872745e-05,3.6751117337141537e-06,4.635831628185816e-06,5.544163634851884e-07,1.5555298351621616e-06,1.114098411303388e-06,0.00014314383440951206,5.5046043785589305e-05,4.63188902555256e-05,2.9293484445247486e-05,9.349730501800879e-05,0.000248534026506389,2.7302703965628727e-05,6.953530644837613e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12401359711833759,0.007974305800650727,1.1847266027764647e-05,5.699716213780626e-06,2.9555153857607763e-06,1.3472832121053102e-05,9.084834065031799e-07,1.6739708064150705e-08,1.9430543862775096e-07,2.5426605043676886e-08,2.9799729794888208e-08,5.7204849746028685e-09,6.990532597228594e-10,1.4785810353856732e-09,3.3401995158666153e-07,3.0779819248927254e-07,8.023480266849958e-07,4.71142880265063e-09,1.4130385361799114e-06,6.578610916907479e-06,2.531844420783358e-07,8.603055245970381e-08
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1336400885497504,0.0010008771674448746,0.000603581885404797,0.002248062547268795,0.003087103627727683,0.0003562130257282192,6.466846259522985e-05,7.352893124898396e-05,3.157304600298616e-05,6.8035528752175e-06,2.629842835721874e-06,2.5351039063536973e-06,3.372920278632563e-07,0.0005770216147457791,0.00101561017054963,3.7317202562725527e-05,1.8444299633380012e-05,9.82816892926841e-05,0.0003283957337035931,3.272028761054646e-05,6.641059762335644e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.898414496722907e-06,2.914167684497926e-06,9.267864418349703e-06,6.047306689849208e-06,1.5980390812853074e-06,1.2430487594805584e-07,4.379340232674167e-07,1.241020737285936e-07,1.3271884979904058e-07,8.895445491319265e-09,9.103933584775348e-08,3.101591206089438e-09,1.1005770795824432e-06,2.1565195700290474e-06,2.7494380194781343e-07,2.719838776421568e-08,1.1784109775092588e-05,4.555633254388347e-05,3.777951262717849e-06,9.900188127076603e-07
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8623769119138665,3.4325906486821696,0.13648326128819777,0.27517124143046773,0.025691521559124686,0.03369047141669268,0.003436452166148518,0.0037420225132556023,0.00013250268846420887,0.0017955345903082343,0.00021331397975310473,0.003375080922596363,0.0009372977794985804,9.074003275677534e-05,0.0003940953100416422,0.036564299248090515,0.006330855547756947,0.0070115671351747705,0.0012361441766092218
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5305369226461188,0.025255336625163882,0.07522295586076673,0.05481746660518827,0.00803383729549896,0.0007962889670813933,0.001813109050747573,9.482264723614797e-05,0.0011448285835813365,8.505223884380797e-05,0.0033190039021183185,0.0008390495276769938,0.00016094873339100868,0.000617765433554518,0.01213252530065155,0.0019212543318839204,0.0022599037678149234,0.0005540622348053637
N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7811647756522362,2.885657806135219,0.09929709525820651,0.17092790171611383,0.024217714694782844,0.025363163671246317,0.0005181981821356096,0.015482740963394637,0.002281224524761649,0.020293749840734593,0.006369664020473342,0.0005577320799814434,0.0020663236268398943,0.2038095297205282,0.03315011996696858,0.030837315488018324,0.005084368864046063
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09805404911599658,0.03023804139219477,0.005873446445191499,0.000627879739823145,0.00048421313946778177,7.330858165977006e-05,0.0004286635527752658,1.1512975893968047e-05,0.011810227747985902,0.01069825923446066,6.528347039425064e-05,0.0009812695644153546,0.006094805274821202,0.00639729503254538,0.0008437077968908024,0.00014194447689264145
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9360019796519377,2.5578932298637556,0.09799524561265249,0.16906299217701287,0.009979043193668602,0.007841208993178306,0.02963572854831953,0.1563184771356171,0.006479957073469489,0.00791952354054204,0.030821160687102722,2.723908183814416,0.27252180782893787,0.21803111783575702,0.053760035157317865
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08705822669141428,0.00455727729382982,0.011722160519966995,0.0049514575896381086,0.0002023237227557484,0.0009310394670902777,0.02627602514671523,0.00024722733297566357,0.0007350389803437718,0.0010303092269094982,0.11486680947017525,0.030077365625607477,0.011352113454067059,0.0004845993197151177
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9379557934300342,2.809554174381657,0.08623874777557683,0.08381139323840103,0.08997919105304719,2.781349456644485,0.08069945147106061,0.08586866838300455,0.09146379272268423,0.18541946843326687,0.04057004054472159,0.03151061469404953,0.0022652711998784048
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08213141331897778,0.004540591809515604,0.03413401813770012,0.004694806538347862,0.08014380225980244,0.03410603729652384,0.004180076642867903,0.005241440016633625,0.010036667954253398,0.001699220442963223,0.017739625509214485,0.000400563675431842
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0398195156249668,2.009594674678568,1.882126871764772,0.1704709196967636,0.00914925494485086,0.03158689517481983,0.00911804889068879,0.03194417069988624,0.007409740433198211,0.005102916009858738,0.0004729684454154448
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024001348230716868,0.024313324724881236,0.031192884034987434,0.0005092854842494443,0.0027984672427465718,0.0006837056022443999,0.0008420079279352066,0.000426011553196215,0.0001450242780776101,5.9421992619768105e-06
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02328331726150079,0.008720158499736175,0.003991221062013883,0.00045306855569449134,0.00015757358923185194,0.0011968496867453826,0.00021686722761415922,0.0005333028545846386,0.00019300706020164426
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009280405735436648,0.00015707669406506142,0.0006737699278898113,0.004028352030235105,0.0046274517292081985,0.001705463852439637,0.00030278857126142533,7.069060260422866e-05
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9546372960664335,2.0565057691679116,1.887504390840479,0.024159079475494255,0.0068169664448264194,0.003718290655427392,0.00032545515631976496
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024105858558235438,0.023740491677032738,0.0007635860667245531,9.419376553077008e-05,0.00037800187723746603,3.7809148633716205e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024505995611300513,0.013131488737484487,0.004031295432714854,0.0005884343507919221,6.32279718832951e-05
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002004917932795447,0.00018690073329008516,0.0002775117779655334,1.183591790865357e-05
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.223202460956875,3.4360860053032676,0.17100549247566343
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5117479310253469,0.06920643115942016
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7693615877124416
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
