 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,C21,O22,N23,H24,H25,C26,O27,O28,H29
N1,0.0,1.7231346522722868,1.902885048058987,3.040411777911527,0.09692606024926675,0.1772607081810223,0.021468004097519033,0.006242797371517117,0.03199811971971214,0.006548061253488599,0.006255425120293687,0.21399520836597014,0.062406544452129134,0.03583438357901454,0.0015136526337166112,0.006955143010286907,0.0004099972889144432,0.0008257608982168013,3.355658586223775e-05,0.00018342717018726695,7.538851582664097e-05,2.936003492368111e-05,0.0002933354158556889,0.00045161334682375376,1.531735340054574e-05,0.0010246293552532149,0.0001532896066177708,0.0002386400455527543,6.222599479177582e-05
H2,0.0,0.0,0.02743528237348003,0.10532821548665983,0.003810532673098832,0.0317017281045735,0.0017045437362426252,0.0002356179793376878,0.004833239735142936,0.001034743561779794,0.0012813947116957491,0.02913881363735349,0.08547078071188519,0.00499337940518374,0.00019525539108067314,0.0005963421390580148,5.184226070986675e-05,8.753567045793886e-05,2.04701134345342e-05,9.02089364651637e-06,1.575814127485753e-05,7.819364251093752e-06,7.796037200480388e-05,0.00012371867609917153,2.00358425028746e-06,6.056390938624645e-05,2.1704202250893978e-05,7.350222672397599e-06,2.1467737065794523e-06
H3,0.0,0.0,0.0,0.09666648892937113,0.03672702103550596,0.01733917850779365,0.0013492926448070985,0.0060050330733187884,0.0020501231379570495,0.0011839793474864857,0.0005164437513229814,0.007416933022875494,0.0032601133192550202,0.0005936530082893965,4.2171916714961455e-05,0.00018084867585577147,1.7722707991829623e-05,1.548561231623502e-05,2.296118028155547e-06,4.798625084401209e-06,3.558654189661503e-06,5.557570261771616e-07,9.908380992462718e-06,1.7413896574947074e-05,7.791127569767298e-07,3.3351392696001625e-05,8.647102156311703e-06,5.537955131362793e-06,2.8418171460486974e-07
C4,0.0,0.0,0.0,0.0,1.9315159198800942,2.4580400303870094,0.1014469934767146,0.08222941639544823,0.17000599427506968,0.04159451218853087,0.02693129530571034,2.442566682569931,0.277503293562925,0.22802416371651613,0.009211920517882666,0.03777267217516442,0.00245711570059326,0.0035778323814886215,0.0002056686904725602,0.0012675308553593556,0.00023715084065067948,0.00010377795737552542,0.0006739634588278087,0.0008435705466548482,3.7718937142994236e-05,0.004854456178324418,0.0007937443582900633,0.0009410342198770266,0.0001368109075936541
H5,0.0,0.0,0.0,0.0,0.0,0.08105118162513303,0.003419101504487543,0.035110450952968275,0.01469257643605415,0.01168484759577293,0.0019040112112777008,0.1098960546822465,0.022798215184064552,0.019066781405491562,0.0002545014056418715,0.0018123606469000464,0.00024155026348582354,0.0003420523620670801,3.304724708197426e-05,5.078706304351144e-05,2.5903642208335853e-05,2.5369113210715888e-05,7.104792967804752e-05,1.6514185435356765e-05,1.4048832213120477e-06,0.0007945085232370364,9.504193783937964e-05,5.6225323522896e-05,4.389599343790351e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7250403410970034,2.0756769245381603,2.618487385473925,0.2978237366630808,0.2630515435120022,0.15184249192341026,0.034898877341311946,0.02236476937162403,0.014306997856804782,0.002990638342491747,0.0008113961021322114,0.00037560062127683924,6.903553737458434e-05,4.3685964482897965e-05,0.0006151991186239547,0.00023243623904069255,0.004519072433231325,0.01152598443541264,0.00012455896573604353,0.0003935944329317431,0.000126880030123816,7.483943124730885e-05,8.244692534353781e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024985811482132636,0.08829504938877197,0.01841231616782646,0.022397048904958194,0.02843015015287431,0.004370148815076247,0.002273182065280266,0.0010013728018223311,0.0002559545135156771,0.0002179249342566525,3.884098941242531e-05,4.070395867916687e-06,9.70463596305926e-06,1.5392664101554487e-05,1.3953441469150007e-05,7.583134507316291e-05,7.478739710187199e-05,1.479854268016112e-06,8.038270438648354e-05,2.1979251431769598e-05,1.3617029422041682e-05,9.676668577540681e-08
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07810466952052186,0.026981415491750926,0.013993981665172073,0.009684213885328363,0.0013332595670204617,0.00498564954792835,0.0032468245684966757,0.00040708846266568344,0.00018572358510016151,6.438145404352724e-05,1.1531538837372679e-05,1.3412380540644975e-05,2.382204833462076e-05,2.405904547897464e-05,0.00018960715255578187,0.00018711298337970028,4.198421636125715e-06,0.00010007564816150172,0.00012536718505762323,2.609782815099493e-05,3.131083717189398e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.741310949896,3.992445684357408,0.008250771884098895,0.00287333911957742,0.02860491026175263,0.05894866533558618,0.0035182083469214587,0.0003491249897438209,0.0010541940092057833,0.0008387248509940104,7.876778267834617e-05,0.0022769955159667177,0.0011026193815643626,0.01865503487150713,0.03447691723576085,0.0006493233057078829,0.0006307885277304082,5.515007687456608e-05,0.00015718575091938636,5.340377688678455e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5637030913601104,0.0026265589290240254,0.0011083716099168292,0.008350987737883439,0.011484484046634158,0.000832844697423063,0.00016410242885211979,0.0005872556478370844,0.0005432462922924097,3.8890813057190776e-05,0.0005360254582537083,0.0002587964181178376,0.004944604685207785,0.005399119059887769,0.00046694647848288806,8.469304767527719e-05,9.677135705404849e-06,2.8134332094711945e-05,1.2967202274727363e-05
