,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20H,21C,22O,23N,24H,25H,26C,27O,28O,29H
1N,0.0,1.023567914646902,1.0232941442917936,1.4757851200198517,2.080729912456817,2.4802162882972265,2.5448981191450826,2.8473455942799712,3.864592041901933,4.414691282807067,4.650016053711737,2.4826762156844535,2.7836158947662204,3.660077710492154,3.925974598083123,4.896315408617648,5.09223599362312,6.09849169696666,6.160488492580833,7.00301418114677,6.450977777779372,7.164626608710235,6.335740778591914,5.725863271891738,6.72590201169174,5.350793620421142,5.212149031790597,6.429669181789968,6.850973769796508
2H,0.0,0.0,1.614589163936456,2.006208576455982,2.4362034161397372,3.3252226807294125,3.530300420491519,3.646199240275359,4.593444333354166,5.153234471742978,5.261796524339742,2.4393114754648386,2.2579114635557875,3.7646976760622297,4.27586081185194,4.795526770440959,4.804670263866654,6.143783677780106,6.3637872760968905,6.956540607007275,6.517437897415318,7.092752443101529,6.591634651048595,6.114973173958996,6.971775857984736,5.172886394312535,5.144060778815292,6.093549013418417,6.508171702012261
3H,0.0,0.0,0.0,2.0279903010417857,2.914102867564802,2.6053593540062017,2.69526461557349,2.5630458662438866,4.1292419848500135,4.856355773257003,4.771337272884015,2.773121093646393,3.0844362984508535,3.797311403024359,4.019990037892537,4.99159701884041,5.340772803783708,6.204107413940068,6.145127726766596,7.067430253252464,6.772027265740078,7.573589264972233,6.694900834654605,6.0145579799744056,7.205013689186982,5.184937778542647,4.821266254828528,6.315524384370856,6.608256638303707
4C,0.0,0.0,0.0,0.0,1.1009135587077992,1.544485715608965,2.1282702191648735,2.175331544591293,2.602414249509023,3.2606057348602513,3.304496161725828,1.5524614258940244,2.424265772378086,2.47228252800951,2.6011916254284344,3.8304876458906087,4.107834494071607,4.84425006007179,4.898735001159108,5.822973433933053,5.069065166768027,5.844739614225209,4.870346448333878,4.259498528857238,5.267630375316962,4.595221442472778,4.638077011704525,5.739755482817715,6.30193035402888
5H,0.0,0.0,0.0,0.0,0.0,2.142477719006011,2.507214469399272,3.0527621012589985,2.700227379305902,2.9650427559466563,3.5596411344970518,2.1266873473871133,2.840216104846655,2.9631630826695257,3.0719249133193807,4.223607041643514,4.301320846568771,5.115090111486135,5.294193770574041,6.10961957223507,5.012013350344846,5.654346252190132,4.71622707145167,4.219727248198707,4.905288463240156,5.233515552214421,5.471882209232018,6.272635486834561,6.940378555765457
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0946675240208477,1.0990373598460195,1.5601852523635018,2.402542558614336,2.407044869060038,2.635883470494941,3.745769108193337,2.9052297927216992,2.4522924119694958,4.335443811086138,4.9091559806230105,4.983868228434782,4.709347758368304,6.030944586730517,5.232285565610485,6.221340685364419,4.725391745384751,3.866278014320963,5.181125870069332,5.069562445324523,4.912171502112827,6.360746897865925,6.872704952430235
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7818995800903987,2.1666214403152746,2.547924962667702,3.246974455706824,3.519300551704934,4.501368361975719,3.9710220424803544,3.538809065826527,5.40822252237084,5.927105805984736,6.065841997136284,5.773387171147995,7.119921161487552,6.231550997120645,7.193094364571445,5.620808769175901,4.744367997725861,5.967500375592115,6.110587022868429,5.887573170844195,7.398180737674742,7.8809924690461655
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.196202182325155,3.2490109840837227,2.55595116891517,2.837200889537086,3.901686620647354,2.915516615302934,2.44140192564919,4.240281418518643,4.984772960396145,4.893124855928847,4.465293646468112,5.871451075240915,5.439702192385235,6.50748995158002,5.050653476962521,4.1526764012696,5.672345762353075,4.676009018711585,4.284693393508485,6.0226535338756575,6.407817377043567
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.236509841462362,1.2923367259356378,3.3120728731882805,4.525799645689157,3.0505374778972643,2.2446718195566495,4.319639283095271,4.915548594079005,4.494470407808879,4.151405819466222,5.583212340688141,4.411218682621261,5.446614928278854,3.5850978046257636,2.655344047570956,3.9444887593734363,5.348777743591983,5.396899279571802,6.587134177093673,7.218233468049941
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.265615544069431,4.176712489773713,5.3119985085988475,4.057723202856024,3.3380851425450366,5.2800989990496845,5.7277015744661535,5.366389700776034,5.108705008596283,6.4508447746673125,4.965213903919754,5.874123808297122,3.9488196015895705,3.144350853142587,4.001840534596662,6.442199744463548,6.581230734186367,7.620882134633181,8.311319386088709
