 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,C29,H30,C31,H32,H33,H34,C35,H36,H37,H38,C39,O40,O41,H42
N1,0.0,1.8646778763136012,1.627165123426264,3.004353007189544,0.09413621517568238,0.18970521567108173,0.00981352153566184,0.028819226276589505,0.021543869603829036,0.0038593847031660328,0.0002476049555173443,0.011234340314677488,0.0015489469481009266,0.0011917789034114473,8.06496600791462e-06,0.0014240723842943032,1.9966792036418823e-05,0.001341927645165393,1.139424791063437e-05,0.19224440441424578,0.03840902490565341,0.08245450479544728,0.12530389353452465,0.010627627546077531,0.002297136047163195,0.0006232752467606878,9.290223435687306e-05,9.037785513887897e-05,0.0001397249956423957,0.00018491072841098077,2.525244855590414e-05,5.551498941325228e-06,1.5334634768660038e-06,1.833933826911327e-06,0.0002694004590993865,1.184662079678489e-05,0.00030533769362017793,1.1470846477790175e-05,0.0010460963833212322,0.0006190288608642208,0.00025948557543906126,4.4312997460438375e-05
H2,0.0,0.0,0.02831993689418222,0.09594354843695185,0.035756403566267414,0.014089648781331565,0.007499777113948225,0.0007197514677086403,0.0011492549429922283,0.00041847829442176465,0.00011163601819852431,0.0016661715308956548,0.0009107173841114147,0.0003157807233421517,1.160134717892447e-05,0.0002687942680708044,5.318760212258411e-06,0.00020756699926149924,1.0001655819324995e-05,0.006262491430510275,0.001105346773461302,0.005196661618667497,0.0021810123101613232,0.00042935190405579693,0.00012174880687809697,0.00013213493274755184,6.914107248956469e-06,1.5500313953475953e-05,0.00013893856177482622,0.0002806022112218365,3.20538640212753e-05,8.443460292273386e-06,7.606485419309195e-08,8.201694223775036e-07,2.6822896007749897e-05,1.1900956439436783e-05,8.974137815531691e-06,4.1908670977974793e-08,0.00013797378517543812,1.266996501569917e-05,3.905567632256357e-05,1.2333136421682767e-05
H3,0.0,0.0,0.0,0.11127865507563528,0.008456365612941497,0.004814923494021461,0.00018394987305159205,0.00011834748529704342,0.01319813643645662,0.0022482832484784776,2.0052284174232327e-05,0.009228278124860378,0.00013198500796129942,0.000594196604854158,3.642597395270286e-06,0.0007293972267810034,8.482377899188265e-06,0.0011810263275991995,5.897386976538854e-07,0.029507154375542632,0.0052584551713203975,0.005192800215571669,0.0009627801275677861,0.0005720558139856724,0.0005176077134485535,8.146604641290356e-05,4.829363202452086e-06,6.391311099473995e-06,8.59412263132242e-06,1.2313073622927106e-06,3.543888785539906e-06,7.842080915754224e-07,9.430336063154243e-07,2.612473146701433e-07,5.632954982204286e-05,3.589776991219651e-07,8.245363362013869e-05,2.1685896818279815e-06,4.340733632224314e-05,3.163874433120828e-05,1.620313324546263e-05,7.70239993408417e-06
C4,0.0,0.0,0.0,0.0,1.981658686797331,2.5247270678512748,0.08053495587903048,0.09471572858672839,0.18503093074319477,0.03720115697361068,0.0021705084939340757,0.03736150243962122,0.000865846262297465,0.004584231427385371,0.00011948847026066467,0.005208249735184495,0.00024950489919506325,0.012952462757767763,5.473886793061489e-05,2.387076497554192,0.2818931916520214,0.22414977524396026,0.02099736428649146,0.03664577686637896,0.004868696731049282,0.003884952912663636,0.00011710543014453734,0.0010678656029738942,0.00039830913569244286,0.0002921666621384933,8.009444143917965e-05,3.0423856864691956e-05,1.1436177476342735e-05,6.817966207606219e-06,0.000988132916011547,1.1310895920102482e-05,0.002145122513824038,1.2290264632452974e-05,0.003356107504476097,0.00030679021915337723,0.0010523653400811295,0.00021663990151998824
H5,0.0,0.0,0.0,0.0,0.0,0.07989820578678342,0.033336319280690585,0.0039589249193805465,0.010920092874338816,0.007212622807074243,0.0030845333115709916,0.0010185013318094738,0.0003215641754990006,0.0008394634839945514,3.653092664945845e-05,0.0006354655879701188,2.186057519804052e-05,0.0005056839265417112,1.8223021621466273e-05,0.10559737723268525,0.024346113237715628,0.01858300473256358,0.00038098773012129605,0.0016796098532116943,2.5633847923201003e-05,0.0005222456750804128,1.195242420060083e-05,2.3757109789634967e-05,0.0001311598663551461,0.00023137277174312132,1.573073573446493e-05,5.133156699921315e-06,4.335227293150723e-06,1.0326791999304419e-06,9.129076838976236e-05,1.2172206547145237e-06,0.00011378953990748286,1.1353818885062594e-06,0.0006538180804325222,6.889018720546147e-05,0.00015031675487242602,6.022247073711462e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.992848378025195,2.0530441867479245,2.448257059741331,0.22963189230940975,0.013515186885839414,0.24054063108840454,0.01573277250119065,0.03638759155409134,0.002616358879847347,0.03475731315006715,0.0026136294828675855,0.021205064703345544,0.0005087245274106866,0.1773629701777504,0.055257596534866504,0.02642598893710546,0.00510219761250974,0.0045483562551818235,0.0004201009460980121,0.0012009665206288433,2.0355103214075854e-05,0.00019949574188227182,0.00012229711683803268,0.00012665367922526372,2.2167684788673703e-05,7.318967826908107e-06,4.3616572298343925e-06,1.0485680019822752e-06,8.318127334572267e-05,2.824869576700806e-06,8.542824071500199e-05,2.385145619454576e-06,0.0004163725443887545,7.496766106766806e-05,0.00011369578185076168,1.7982876963196226e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025919044453398987,0.09458092657536632,0.02414392086868722,0.0008084272995216857,0.018350195692067972,0.008361354957973965,0.0027852469930060852,0.0008158589590070431,0.001544239320367069,5.913883938490905e-05,0.0012826861393437916,4.3500344357960685e-05,0.007407950709050981,0.0017516674227162632,0.0005841924387122166,8.678992635791083e-05,0.00011011230463586763,1.0456052782936709e-05,1.5041173414775955e-05,5.966998759543429e-07,4.386906779396682e-06,3.840664899135149e-05,0.00010603188554769716,6.743713956480768e-06,2.4277286538865184e-06,9.90475756967868e-08,2.190484005293314e-07,6.270761833571115e-06,5.1397378197926e-07,3.647850369992156e-06,3.848243834703169e-08,3.460115358144833e-05,2.008914036677467e-06,1.034036766345281e-05,3.244210255548552e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09556381207476772,0.016841045490479822,0.003185724093062836,0.02871523691617872,0.00046087585265275344,0.001888726729235124,3.626418009972099e-05,0.003047274006236278,0.00048390457348124194,0.005864850305968394,1.4196550791378826e-05,0.014990047584007682,0.031954259485612146,0.0028490563720168227,4.8733152708368976e-05,0.00030211762316811885,3.861075834499239e-05,3.172810986951102e-05,7.2208578383303745e-06,6.05704986256228e-06,4.642968297163819e-06,5.268468699526352e-06,1.3869729728055447e-06,2.99262378211651e-07,5.577921635691041e-08,2.2173350644472123e-07,2.807758571354846e-05,1.1126659369420366e-06,7.921594572746216e-06,1.8324987720585995e-06,2.8432457498617225e-05,2.0638628336788756e-05,4.116497543837916e-06,1.0262147562833945e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5662221523768505,0.12480108721683547,3.57769081623195,0.12382281407993756,0.32626132308183103,0.026076352549520454,0.32318414865868206,0.02585535345930845,0.29555108319460444,0.004017669452083927,0.027572601765083415,0.0072322684683184535,0.00543534455552494,0.0005570910352471481,0.0012956638542792331,5.703585133953748e-05,0.00020978465013837821,2.7654334142646064e-06,5.518429204176556e-05,1.8697597615607853e-05,8.989178546636722e-06,3.745984520575618e-06,1.107432661795471e-06,3.897365654648155e-07,1.5292793609233968e-07,1.4683249963926004e-05,6.957486220482423e-07,2.03376230172303e-05,3.7596753266200267e-07,0.00011089747013340312,1.2874217107022856e-05,3.520803159701158e-05,8.188453740509694e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9237020438730967,0.34021665832684517,0.028783660465156125,3.3833737998189353,0.1241837321887096,0.3134945650707015,0.0035208324993807327,0.3241863170107036,0.026662135799469855,0.004251581010594585,0.0012394813270415195,0.0014108288737245123,7.217366385592339e-05,0.0003096391205664045,1.585020154448724e-05,6.0422074004792825e-05,1.6255447026214398e-06,1.712139582421557e-05,6.730355670989119e-06,7.24378838745654e-06,1.3085066130069656e-06,5.212077784921831e-07,2.3584229036366366e-07,7.412128577577448e-08,7.329028756081213e-06,2.0243011200626881e-07,8.424639929116573e-06,1.0436749264819412e-07,2.9898027112534864e-05,3.3909442417046076e-06,9.098217054664959e-06,2.1847403454122727e-06
