,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29C,30H,31C,32H,33H,34H,35C,36H,37H,38H,39C,40O,41O,42H
1N,0.0,1.0206580482648453,1.018405479680373,1.467902234404243,2.065817745807067,2.5543915870261333,2.803398626537569,3.45419838588924,3.1079771623969394,3.950906660325649,4.196960063063104,3.560415905653135,3.5195581033803705,4.943466078694299,5.764806937600382,4.639401457441445,5.293413612383591,5.238865557181608,6.2101739897986805,2.481846817314401,3.6171914944634356,2.6625178194641173,2.1759096853203816,4.096918191251613,4.646791821375438,4.846803048083197,4.729877060014463,5.888267451692074,5.018641137430002,4.17289698925424,6.167652333170744,7.050795797466682,6.566600823751744,6.064200938024426,5.722802461180957,6.604779627720832,5.228924810584497,6.223622942595454,4.743516883791424,4.490133576464817,6.0496583921941465,6.5426022899714305
2H,0.0,0.0,1.6307365989432536,2.05129510241026,2.9192504431198243,2.698087822574179,2.5306476612051347,3.6711205355241403,3.3107572002942978,4.414076812273275,4.8031547621171375,3.4599008343490656,3.1090157830070826,5.37217893277562,6.297487512138141,4.621209435885103,5.1243776454346195,5.463117558901609,6.433380737253405,2.8276478161240193,3.880384689195996,2.936430875716371,2.533776684553457,4.297163597738309,4.880130800197217,4.739124259957387,4.572538185923013,5.8281112310958765,4.654133130395682,3.6848835439164738,5.653152551535593,6.619901931256078,5.93406263710706,5.5086527477574485,5.443920321280418,6.403949846499474,5.08508964968804,5.808796268206728,5.141242953965678,4.998591298834882,6.432052050697254,6.995517618544556
3H,0.0,0.0,0.0,2.048259907675146,2.2990554040582256,2.827057363893082,3.209270104949384,3.797213158152734,2.848794921464447,3.5400802145631203,3.9432295862340907,3.127673910964766,3.2631675870249257,4.309340409380195,5.12058775683356,3.979411583555883,4.618474960688384,4.501178603979243,5.404523068989789,3.356088125322502,4.424260555227777,3.6281420156158926,3.0666475183308184,5.056474724551171,5.593391896422385,5.841625332273604,5.6658461826633895,6.876059743282629,6.022998518102182,5.147789898939671,7.131231124983286,8.0353018966865,7.496527957411201,6.974488964798602,6.7193793366053525,7.612729134087276,6.196506943388189,7.182404891242051,5.572157268312238,5.1745890409057855,6.886975201238154,7.304339005760775
4C,0.0,0.0,0.0,0.0,1.0994582046621526,1.5487167995045048,2.1635919040472227,2.152606584171801,2.5492544427153607,3.261520058142022,3.2336091989249254,3.5057098527912465,3.6624441131597476,4.516395146015531,5.266988307479197,4.698863860188814,5.5428914934557945,5.116553893758514,6.166057230648891,1.5435452983959608,2.4249807885294765,2.441617296492042,2.4977593038333095,3.817266331821123,4.023566485916261,4.822266419026466,5.032469101786011,5.7882024269357,4.904585579331925,4.1617301925486,6.263737211392518,7.0694160073199885,6.622157755645747,6.4135023820351345,5.216065027238608,6.069647916916916,4.490185144851979,5.718087432235097,4.630976696721555,4.645742883938142,5.79306073714525,6.385736802469209
5H,0.0,0.0,0.0,0.0,0.0,2.158265621364366,3.0587897405703446,2.50000338872877,2.746422852186283,2.9575116448369507,2.6812418862396714,3.8814426934970294,4.298490353326508,4.164401076077603,4.734025346902758,4.868253074135667,5.807979183958439,4.987746101311647,5.984639255083835,2.115218417265433,2.835852279256972,2.9458912833085518,2.9275559681929884,4.213362893501078,4.352178438243604,5.439489038020026,5.6552841760898565,6.321118036286213,5.734781586235842,5.100268806694441,7.144969201282807,7.8777888742615865,7.582126761261689,7.292401512626276,5.982332104408147,6.734205502377961,5.174480223582447,6.572042975927943,4.7357048230409315,4.618039944214259,5.847631335685642,6.329482233940595
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.098814909202253,1.0946923458079634,1.5129499466666743,2.5331506992480275,2.729024945437663,2.5418538868942697,2.7440070584797245,3.821251380814544,4.6851681131997935,3.8294167951785405,4.695903396010401,4.333613533576355,5.420558832335202,2.5358845376250754,2.843271661980541,3.6934362481011678,3.9120358351068947,4.959704265100206,4.965125748078891,5.800833439929764,6.120463473500874,6.766597499531613,5.504938955962942,4.668257471346522,6.805636156223378,7.669382548432071,6.929961818060197,7.0709155172878315,5.554474774471262,6.499443879731061,4.77594746202736,5.792346570998961,5.9845624567104885,6.134285668945906,7.057764600556817,7.734200562556761
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.757690424429241,2.1535605815700403,3.4191530877398195,3.7608995054367997,2.649085165088499,2.40931406127999,4.579566352657485,5.530780626620875,4.038268896116591,4.718051534417537,4.8307935168787,5.898176877171441,2.8125618818126923,3.0883267050628187,3.809606709494111,4.064597918598187,5.007967756573093,5.059364783804867,5.567235818025844,5.869245533924584,6.562621355458895,5.013753240768092,4.087678524823179,6.17904562640024,7.104435372540991,6.169095396337343,6.449642233973327,5.0974240607323456,6.124031844573693,4.46024184414014,5.173195741498991,6.205711122338067,6.443404452577743,7.274958610471945,8.017858939312864
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1627406930571365,2.761063297203475,2.6113906853986673,3.3453624228401693,3.6319650111254473,4.114757156214827,4.829338204595259,4.5305670592900675,5.451787815857782,4.8421091804845755,5.909270975566154,2.6444033986518973,2.4661000249818374,3.9739726560524935,4.41186144839505,5.0459606455399815,4.8122150942130855,5.979551557943914,6.473785245038367,6.843638285703093,5.6579953214889755,4.963129562269349,7.036092845820409,7.807384565782422,7.1460491622550135,7.450717748969403,5.415600348281515,6.280735408344693,4.50444653669361,5.641398977557735,6.101807813484344,6.401227123070293,7.025227443370088,7.741395199552711
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4042749259606235,2.1577014365032556,1.4018846685246473,2.1551953642865977,2.4366189999525116,3.4173727421479603,2.4373588801442687,3.4175792863384604,2.8209301822460513,3.907883045345868,3.8915103401848885,4.281292186264843,4.9479821492046625,4.948416370327547,6.301272425056007,6.378611948280326,7.171478963538089,7.372930939810013,8.167889630999257,6.91770137695138,6.01505693841296,8.152545703623899,9.065016387640654,8.242014250882837,8.319509179819665,7.047246815785234,8.0068827453131,6.286917757383115,7.23970020019477,7.176650054880999,7.1401956786734235,8.310979159292355,8.903212683127137
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0885337688415115,2.4072320552042226,3.3956426127588224,1.395022207790088,2.1527983873272714,2.78592197808808,3.873204336639123,2.420577375116464,3.4063190404565282,4.576267704481117,4.864467478694343,5.6743499444282435,5.666252354472925,6.980535317104262,6.975639741244404,8.049465872282136,8.28749380383268,8.988239343019233,7.958903599695609,7.139042338283984,9.284753713805758,10.138403627532135,9.447423000734366,9.47649294383768,8.001836564134166,8.881980300267406,7.138222945365963,8.277778183447959,7.6720159626649815,7.562049987524195,8.746909471068632,9.258384607990312
