 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,N34,C35,H36,C37,H38,N39,H40,C41,O42,O43,H44
N1,0.0,1.8750313467880915,2.0090202093145555,2.7316180509328243,0.09506534548001111,0.1918434914416383,0.03983879628839959,0.00472731081801947,0.0247620577441897,0.000752859068683831,0.0024160805255436513,0.003309391036986603,0.0009362412773598061,0.0002988300658280929,0.0005604182622308967,0.00010042737837645532,0.00035742208713421264,0.00010596762307117646,1.4682416136779786e-05,8.473533700215086e-05,0.0003322572042409877,0.00019870045176551,5.321182621864651e-06,0.2798846408178016,0.062183933366848784,0.04309781824341012,0.00607881402517696,0.0049525118233188226,0.0011485856596479271,0.0005155599331297944,6.305746954682334e-05,0.00014215000881723228,0.0006159452129748944,0.00482020121751052,0.0004737963261733369,2.0076166164617604e-05,0.0013062661833027067,3.634275937358655e-05,0.0002723822408129406,8.337169778438458e-06,0.001356050137062359,0.00021384135609637395,0.0001331906588511872,6.411190381472309e-06
H2,0.0,0.0,0.028013270598569173,0.10252999037664146,0.0056858601582217005,0.033116906495661014,0.002937962243819481,0.00018453560523368218,0.0036343392215529846,0.00014305570145212165,0.0007558209472005029,0.0002981497528824484,4.471500600899958e-05,4.781130284636781e-05,2.4769643005129183e-05,1.26132671003365e-05,2.2951167301887843e-05,6.414384022490616e-06,6.778473129465112e-07,3.205683357210276e-06,3.765517425868836e-06,3.258997095967331e-06,3.2925046888898635e-07,0.009403510879544164,0.0007414479888540049,0.00930060412315925,0.0033315632877159995,0.0005682706406759941,0.00010026605778779007,0.00013816375512709644,2.5173428193969727e-05,7.709630548191626e-06,0.001643767909191296,0.018794255530582227,0.0018598433057822605,5.1821940179719306e-05,0.0052692088856647334,3.843079238108338e-05,0.001249520289347883,7.0065571993183084e-06,0.00023469624242866693,6.990868143641471e-05,2.108733370254079e-05,5.571974403872915e-06
H3,0.0,0.0,0.0,0.0995237483838044,0.03553913645173279,0.009860433006012359,0.0032393942635753348,0.0008336458891922138,0.001017626983047526,6.697466704475019e-05,0.0001194418310310752,0.0006335413631406439,0.0005128909624940725,6.57288209544582e-05,3.6173152326290925e-05,6.12661651189228e-06,2.7224044250928614e-05,1.1127246484998743e-05,3.685961245780689e-06,4.096533001707314e-08,4.356657057158486e-05,1.000803649642279e-05,1.6161800568958995e-06,0.01238494754889008,0.006956349788007077,0.0007312974477847733,2.894096243322153e-05,7.972079164364487e-05,1.7707988356541193e-05,5.992926470188564e-06,1.225860929432443e-06,1.9232946231184656e-06,1.484251648997681e-05,9.744743693218538e-05,3.929419169712567e-06,3.9128853046577206e-07,4.498445744938184e-05,6.466119663928183e-06,3.2220767037793863e-06,6.062283548491365e-07,2.6370532912767253e-05,3.1454971205602256e-05,4.130755727138613e-06,4.571671929909371e-07
C4,0.0,0.0,0.0,0.0,2.0555277643515,2.6166829575839206,0.09087007062994945,0.08054854579104065,0.15626142108318036,0.0061793849524214295,0.02736849537765873,0.01654805871793505,0.0062882535838237885,0.0011409350294746545,0.0017752605973147956,0.0002744372174491305,0.0008571470836717665,0.0003124127391855719,6.629612033237642e-05,5.879143280207444e-05,0.00044427981817592166,0.0004139430381625564,3.567273705773477e-05,2.547540188932291,0.25768423973864557,0.22627070602836155,0.016522608435063257,0.03504425740145792,0.0020439738156075027,0.003601690666871743,0.00019233762302550694,0.0013963147900937223,0.00038378279124337555,0.0010061868515166827,8.507087353931686e-05,9.006417508450326e-06,0.00021117193378189514,1.566163878630178e-05,6.036839001166694e-05,3.576157552087622e-06,0.006779415727290988,0.0011943973084356657,0.0011199189035543539,9.456407502927977e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07477105217690228,0.0020903552733091413,0.02295781758433102,0.017147585142538224,0.0028122609341310056,0.0014332408066966007,0.004488613796103769,0.0056579427859095865,0.0004959503814563337,0.0006226845721619689,0.00014556692094269685,0.0001501612391325846,8.420111573070876e-05,1.6395616272202318e-05,4.384815314839585e-06,0.00017805199461184973,3.799093566958511e-05,1.1171592148473408e-05,0.09122485098375233,0.021907725309054382,0.011029609165649434,0.007664749984385599,0.0017088346014324518,0.0002508938391962978,7.433167300430199e-05,1.4132941973832303e-05,1.111244072471429e-05,7.181733448513583e-05,0.00036355304613189254,2.5060152256006774e-05,6.115919525040425e-06,3.355957992545733e-05,4.935649690063215e-06,1.1191948768418669e-05,1.2582247947978686e-06,0.00017286718709574878,6.534043360995057e-05,4.2588157273981686e-05,1.5456103040545344e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.1177877986700584,1.804853208490688,2.7432905303411976,0.08269635434345712,0.09111083868548975,0.1504745218599814,0.006021720790694518,0.02781048003539377,0.02187116986261642,0.003624987946064362,0.0031340061653575,0.0011967058374593026,0.0002082623072668932,6.056233296158897e-05,0.0007975277268263137,0.0003496065193901998,5.714327370209826e-05,0.16857149335775848,0.04372882501221759,0.026112345800089976,0.0024382887388242347,0.00537974490460516,0.00022581820210954007,0.0008056411154032384,1.857074245870116e-05,0.00019303551068405866,8.907012154640848e-05,0.00022309988936014546,1.9326319535412084e-05,1.237847880863896e-06,7.120342585861805e-05,4.736545736516717e-06,1.8039982277562316e-05,1.7013522595199504e-06,0.0007986047735180635,0.00018173632007240093,0.00015768067785186524,3.5360476429713295e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026110439376407335,0.10379233121457954,0.0067694358261618515,0.004210544752647927,0.02897889256706443,0.00036328620629721975,0.0007473063985854456,0.0022635841782326915,0.00044556604969425706,0.00020481500277846898,9.560883869630388e-05,8.875404672403775e-05,5.80161022378789e-06,3.368421991567505e-05,2.8802911464342884e-05,3.6515075800824803e-06,0.02082042793741623,0.0021795963746729097,0.003504250776436235,0.00029780486134156625,0.0009285991483409806,1.0399146961326267e-05,0.00013137636988380663,1.921781851432769e-06,4.1077156787361346e-05,8.399444355600139e-06,1.3802455471223496e-05,4.573259918316808e-06,1.6122511126148709e-07,5.81666086141297e-06,3.3380144315309224e-07,8.826228077296605e-07,2.0290301883107986e-08,6.867160782975112e-05,1.4404768545528412e-05,1.8485774175514003e-05,2.270506979540343e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08396110747708374,0.031775513810115896,0.005626842099936136,0.00617038217125776,0.00010639497432851641,0.00035132674198856684,0.007522145378661138,0.0026619876006235277,0.0012632090885815739,0.0005321038616220575,9.675001449771514e-06,2.0161579181943168e-05,0.00025434328344009494,0.0007963084946145393,1.6191349237804076e-05,0.027354578418683495,0.04423118076460508,0.004418800105731702,0.0005584358017662883,0.00038426230687482743,1.500459881409455e-05,0.0001096171730183837,7.711936206078462e-06,2.1214610342212836e-05,1.2273263358064668e-05,2.9788193655733153e-05,2.6122615639501134e-06,2.6806843145266157e-07,5.518886771360698e-06,1.8927823930425802e-07,1.7683721682537623e-06,3.405704005476906e-07,9.394077390001421e-05,8.432678881764577e-05,9.947470210436293e-06,8.908546977881571e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7321059284806224,1.8497913678251283,2.862955697320886,0.08151196422295293,0.089261584236904,0.18261721793433655,0.01292919143611726,0.033433006766281886,0.009418452267775365,0.0021023921285698854,0.00022558995850863184,0.00726762169339093,0.00024055571427450406,0.0003414663477158131,0.010429449407091618,0.003287156176618629,0.0018248614417677445,9.764503817266679e-05,0.000360397583515068,3.349081811598875e-05,7.468257800474776e-05,2.046560045432244e-06,1.4361964258413629e-05,1.3229739916256755e-05,5.3237461708460776e-05,3.6500971571928886e-06,4.7619469134563275e-07,1.4493799148335151e-05,1.2847023417306147e-06,3.879442082715956e-06,4.5772119328102434e-07,8.671048660310876e-05,5.64536260644552e-05,1.7642087234245873e-05,2.058544034566623e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024316561158068017,0.11131505391150742,0.005653851959404488,0.0035665176595502945,0.029171167147739152,0.00041115686915116356,0.004866349423463534,0.0007580097998255431,4.385337670953504e-05,6.0610468453292654e-05,0.0016221082116805174,4.484561334328063e-05,9.97010313994462e-05,0.00048576808780498304,0.0007250581737356931,6.326860696048708e-05,9.799782944019952e-06,1.67842028182541e-05,1.3918516705846429e-06,4.842463101395467e-06,5.908453148961712e-08,4.055209463782461e-07,6.138868913208029e-07,1.6083977929515214e-06,4.961487878318849e-07,1.0012106255175013e-08,6.444744367062327e-07,1.976879682175081e-08,1.618321616714269e-07,2.2173698432936817e-08,2.336804621627664e-05,1.836660386711486e-05,5.318211236837733e-06,3.32353630838611e-07
