,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34N,35C,36H,37C,38H,39N,40H,41C,42O,43O,44H
1N,0.0,1.0197641434338496,1.0202251975938221,1.4744230320804008,2.0699630191867033,2.4615091474939845,2.4007451134601134,3.009837220327035,3.7413568138848303,3.8340430689411757,4.515219274057691,4.595219683758758,4.349439486217736,5.561167362173809,5.069079144127417,5.337405661380538,5.362321511693873,5.74137379222121,5.946540657036799,5.814323480670812,5.79215591978794,5.293990090062691,6.273751073761014,2.455517444811949,3.2261744094590967,3.125615043098343,2.987476395793452,4.19763433317921,4.062374128714023,5.0975513421946586,5.5623178592616735,5.986297397112354,4.7766603217300965,3.9476747365325426,5.678373882931745,6.5928727984359385,4.509038483253548,4.537475229235945,5.521731776841273,6.263703743026156,5.3272968640468275,5.823584541280693,6.139169348079556,6.943201413888465
2H,0.0,0.0,1.641649050336545,2.068956449330548,2.356746358775606,3.3625467939766085,3.4033855917412033,3.886797255172692,4.5404281894038885,4.5547305902796085,5.405950840956513,5.203995356801956,4.766286252456216,6.169399617604081,5.6781533279209455,6.060412149201561,5.789276523703777,5.9746094427992835,6.168945252859096,5.8966520079539215,6.215360544270323,5.785351749607713,6.558941983759569,2.6556984572979623,3.56199403831299,2.8666496964820025,2.505865033175246,3.7894148205276847,3.6384714808765386,4.4442838337928805,4.973464828255242,5.326981346821615,3.912724048685254,3.0473023482185626,4.725389387100478,5.659751566640942,3.519096750436056,3.598532025472074,4.508061661388943,5.244139333197231,5.110117497980112,5.730260997886054,5.886702534110281,6.758920528638754
3H,0.0,0.0,0.0,2.0585446115065964,2.9294546722798036,2.6954417418942613,2.528329380040508,2.9019210067689833,4.17062970920919,4.448492207446623,4.785598037407512,5.077806649752883,4.972078196987161,6.085660595069504,5.317513208456968,5.427364673336979,5.572885681669944,6.115261786702864,6.45905590547092,6.153825705002032,5.776350677064627,5.126921190950627,6.2532353529302505,2.6454160359592493,3.0391437213968286,3.4926553259171547,3.5821251650146535,4.327119893754107,3.9622376888729094,5.38649289074371,5.984442455976364,6.152623656285876,5.157890700282653,4.5385001994736935,5.979837163629153,6.7937786192542,5.079401115448091,5.19611252820597,5.923754680241882,6.6317649832494645,5.358822440540402,5.952977983448948,5.990792638638437,6.788494367793321
4C,0.0,0.0,0.0,0.0,1.0986516512127351,1.5418244634758933,2.1345662705622717,2.15647390063725,2.619997442219485,2.9160822931866486,3.5363283947298108,3.196758089564434,2.9352277901034185,4.211431406940713,3.6497819216098413,4.035905516393905,3.956451505352387,4.337172385278863,4.521673001199157,4.527707439745648,4.545003042260212,4.1916612162638485,5.0881701915277135,1.5477832829558307,2.4528747680073235,2.459407266052806,2.5463202321676905,3.781219510721865,3.9635648363586933,4.826407042997557,5.060963363763474,5.7743968501631935,4.872683533603423,4.130252247463082,6.022189928561953,6.938061950629972,5.016551691464645,5.173287855404482,6.080249690072118,6.947274942077799,4.634145065190148,4.85530876103882,5.642501542768552,6.322032741147365
5H,0.0,0.0,0.0,0.0,0.0,2.184393069984517,2.7480012397300015,3.01336408537639,2.668238726120515,2.626164908888609,3.726286659828331,3.026562229711832,2.483909400801158,3.910379721110474,3.8151823276398567,4.400120905951728,4.130534604478478,4.221958848499079,4.175062614811874,4.444122636457874,4.972148387044067,4.822995779576781,5.471416881229502,2.1711581254766066,3.274257227596993,2.572880886643526,2.3180139560066952,4.016665056231889,4.41723293602506,4.779371667928579,4.82349480096093,5.819312789207708,4.722906660561748,3.794928715662774,5.904417576226817,6.890226140023183,4.671321226278152,4.734145810354933,5.859701321558605,6.730387162639959,4.927837982124468,5.029220637973472,6.068760856902847,6.7378405020749765
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0946901989929498,1.0960178485519132,1.5399016589966876,2.174011972893585,2.1579681260876575,2.617151997782848,2.9166706314000623,3.5436627355195243,3.0464188054824453,3.1170245690720675,3.8021282819138347,4.546967325500558,4.718672556516894,5.010443048741489,4.374272736502153,3.93297747655265,5.159527585598188,2.5733971000002516,2.9127103434516513,3.7665816592959263,4.01866978397554,5.01783080751062,5.157928298967874,6.215667664793352,6.396169433534537,7.117606970525045,6.389067500021092,5.668310429705654,7.546778724728059,8.439145638652429,6.526526553336927,6.600776958864629,7.6051111953243336,8.45153462648283,5.572702659732606,5.603116253298902,6.536100327717532,7.085584012912908
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7579519490763087,2.1333095355234706,2.4293874224409153,2.4448992173217565,3.512350749236904,3.8523682707031806,4.299529809721822,4.048513560721366,3.986645989452312,4.878451466701506,5.637768842263239,5.771294463831565,6.091478773150566,5.386234308157038,4.8524143780137825,6.182142590473432,3.377580803598681,3.704403541197879,4.5414487231297604,4.669894568273232,5.764104448808507,5.7631736111024265,6.9179740538736745,7.187930882396668,7.819021017934429,6.904459455973944,6.083461921917195,7.952454912616743,8.862386882359697,6.764595875940485,6.703840461865195,7.859693821215086,8.625872307730782,6.456091038564512,6.598264985427627,7.3431782043052785,7.948582406681071
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1848476293448145,3.0834743003543887,2.475993494834178,2.9537129937417244,3.398648530759954,3.9080056985907587,2.8335922486653744,2.646602010805676,3.4772996894412405,4.457938738541316,4.835709899154897,4.886658275137357,3.7362745687684553,3.1204257560418136,4.553734930139142,2.5669299599780815,2.4044517807759136,3.9081624322533393,4.405660933713802,4.947660072298114,4.989117831622763,6.315595717287928,6.561551635966675,7.107446991324972,6.672613210700669,6.153440807169783,7.832218507677884,8.636844800422757,7.085219842689028,7.28409108108077,8.044974473561812,8.911703022746323,5.277026195150644,5.305445305927157,6.107283761689917,6.580346954765045
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0976891393093806,1.0985925799060414,1.5354666868963807,2.170335609536769,2.1716610042277065,2.491406791420729,2.6698212879239804,3.5978880932383785,4.252289715341243,4.155360839711248,4.967123135587022,4.500398494018228,4.341246851110778,5.36816687082486,3.5754280034104853,3.9743016917885954,4.560016618317622,4.732298295422787,5.902503673191004,6.265419822021832,6.983794758111814,6.933647483800652,7.939133718473015,7.233222176075709,6.43483219351954,8.471094991417939,9.403853087061744,7.33529928985059,7.34068706951589,8.509291773064023,9.378460940625677,6.293581539809263,6.0418577021081585,7.3949138325292925,7.832289067603395
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7507368319201704,2.126539411250084,2.4456693451156433,2.4560537618378304,3.4038958749258965,3.7023551845943223,4.450237289800544,4.874876617192521,4.589724536264466,5.5675317098554675,5.468556093777255,5.366628944814072,6.282343551288526,4.131324853502608,4.760209443598346,4.9353294864390564,4.879805330483511,6.360919113008964,6.759870818399054,7.26849022623311,7.172474259824343,8.287871002212652,7.333444896900134,6.36858254422409,8.523166241144393,9.51513933148417,7.143868157205796,7.002451561844032,8.401569839876013,9.221863905502051,6.9230648538929405,6.7055074329203075,8.08035620947531,8.577992430611253
