 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,H29,H30,C31,O32,N33,H34,H35,C36,O37,O38,H39
N1,0.0,1.9302027379037643,1.8838143695126943,3.0094489117951415,0.10147807142893561,0.18471086776501822,0.02143765697547373,0.031633406892661184,0.00320302759603619,0.0007269489755301617,0.024898637478630414,0.0028762277358393984,0.008345353831801017,0.00059041700418061,0.004130477312110095,0.001100197654310131,0.00020410127927528166,0.00046494638110017306,0.20907014282409517,0.0405844536197212,0.051352137827604574,0.07186690670921414,0.006085402221939901,0.0004975977660435227,0.0009954771707062354,8.089929267307561e-05,8.853160484934008e-06,0.00024881665541265363,4.84098492506968e-05,5.524231749487463e-06,9.686532242289547e-05,5.163328879867479e-05,0.0007822835178134258,0.001303692251027888,1.8995642609431762e-05,0.0012595495443579185,0.0007212684842986816,0.00024159693725475662,1.734475141290659e-05
H2,0.0,0.0,0.02805644162167753,0.1027840525824888,0.004869909778635773,0.03164991339144996,0.001167302139525761,0.004271388549963451,0.0010872910137065261,7.185115608021597e-05,0.00196701243623143,3.35077032203035e-05,0.0008414785255965729,5.48091154588537e-05,0.00023653911539056605,4.951541513253943e-05,9.122115752324689e-06,4.032964510725101e-05,0.007258044248721229,0.0012453265759831966,0.00955310248180452,0.0048917407946291735,0.0007403650734141287,4.392320000734529e-05,0.0005091666967600439,3.450630199841598e-05,2.9662323666190815e-06,0.00011662878186258219,2.1850404415602043e-05,4.82299709947398e-07,8.804852837163146e-06,3.609522354564021e-06,1.7930226685392014e-05,3.2261238140929294e-05,4.1212134505030917e-07,6.559370381953311e-05,9.838082975854867e-05,1.1737237069819884e-05,1.288403114640957e-06
H3,0.0,0.0,0.0,0.10193171877564544,0.03401021204418897,0.009413623265376092,0.00033886229953017377,0.0006512546760372162,0.0001484197074723692,7.217354457167424e-05,0.01996037820985086,0.0015121818132683984,0.01956167278984622,0.0001758199410397676,0.0007571147189529004,0.00034335548202801824,1.9838540990191333e-05,0.0002046800267010429,0.005244796827336695,0.001027773738407789,0.006870182628265775,0.012001915800460061,0.0009863747488206842,0.00034238971967881504,6.860197698521642e-05,1.5385210625051826e-05,6.031264006667314e-06,2.823929781747836e-05,6.4626036717641e-06,3.10333572839383e-07,4.742170890303932e-06,2.5464793573792832e-06,2.4485750315439425e-05,3.5399926992418784e-05,2.2649556230547319e-07,9.512513568199488e-05,4.581441996709401e-05,2.863214834492034e-05,1.1432743411976531e-06
C4,0.0,0.0,0.0,0.0,1.8219600517676098,2.680032384750635,0.0954416992436975,0.14741832934708635,0.02892019215557262,0.005658035813074891,0.15292849694596555,0.03163096045720026,0.005968445453975235,0.0075017507648034165,0.02299155149889362,0.007758964599307472,0.00111403601239779,0.003319791498622937,2.697040020474149,0.274368730655297,0.22476776405713492,0.01294833152723407,0.03680220584094265,0.0018813786041047553,0.002994952785768945,0.0010051329922864394,0.00010598740572298482,0.0006177941465269621,6.817649266555037e-05,2.2296870755056375e-05,0.0003197513946102126,0.00016607614728667008,0.0029236913192074443,0.007305583019712958,5.398157379721269e-05,0.004668704855928768,0.0003380815932803871,0.001373248387600362,0.00029218503408312557
H5,0.0,0.0,0.0,0.0,0.0,0.08642152950239224,0.004707433000862071,0.009085716239705666,0.001425870141787966,9.438744484335793e-05,0.026530098470492813,0.0009042133967929189,0.0005627682188931171,0.0004556048676498392,0.016523817330132307,0.012322226237062583,0.000690517941063451,0.00111410967407366,0.1171750611962763,0.017626011157905297,0.02471120310483632,0.002077883396850222,0.0027784917940940623,0.00027855296595102885,0.0005974773686430179,0.0003107484436413177,2.2585909258854286e-05,3.187049326991431e-05,1.148766538561219e-06,3.9506755284968165e-06,5.093798052913101e-06,5.491567460658153e-06,3.7652230369111805e-05,3.210986120549819e-05,2.9249419861709924e-06,0.0006590922782521158,3.03415558113862e-05,0.00019249758264872074,6.816978215073988e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.975336389346013,2.745483871204491,0.09692436103137503,0.08382433488648378,2.6116499678323564,0.08925520194366521,0.08268683078951411,0.08094236084991446,0.15883259034985822,0.004993753820738522,0.010870670117941295,0.028334464065824072,0.17403201201420626,0.03223862378651264,0.027667315435660728,0.0011682176331087035,0.0031696492287799083,0.0005575134822277672,0.0011100564582239014,0.00038878219794935553,5.460165501003367e-05,0.00019707837092969305,2.0680566866992933e-05,5.681425174097754e-06,1.684141327590316e-05,1.3754900544629689e-05,7.675443151476669e-05,0.00019754301746155445,3.645161124277152e-06,0.00040645079753010016,4.181780177139882e-05,0.00012934221826517434,2.3063833830661018e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08293220551311276,0.005291535318763252,0.03486826642437202,0.0822583505021468,0.004443957263812637,0.004574118286859941,0.034950838942155116,0.0081588791207855,0.0001454857633491624,0.004637252933980207,0.00027179094629770084,0.02956063984866364,0.003951080838057397,0.003869378540017454,0.00013840777048335084,0.0007145326888384762,7.008039374056807e-05,0.00023995877042115588,0.0002430882614425922,1.3319399520650421e-05,5.989749301194003e-05,1.7634444866576615e-06,2.777044465274159e-06,1.883566232097067e-06,4.3834649927632086e-06,3.930919698780233e-05,0.0001109124886600199,9.045289024456338e-07,0.00012118996810772664,2.893593227248914e-06,3.597314397618678e-05,1.0075567207668001e-05
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.072940173116688,2.005072367471244,0.1777781668524529,0.012084715550519709,0.030450542078929166,0.008935538941196919,2.717225171407331,0.08321304161624377,0.0800460187642269,0.09323226962179176,0.016475485648585836,0.024845778051295356,0.0036194230983138953,0.0001568248577499265,0.0004128691575143173,9.533193367849968e-05,0.0001938083958766823,0.0001542106629690565,2.994127470179464e-06,3.0280287024786467e-05,2.892063194370742e-06,3.149515784617307e-06,5.695182340170746e-06,7.021883879035351e-06,5.772956607391633e-05,5.342578998779324e-05,2.8989052355266054e-06,4.347556843856126e-05,2.0156888277014784e-05,8.119818807383883e-06,2.0848661429484494e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022521593454966737,0.012644253379836212,0.006702829593040693,0.0007349985839522066,0.00020536568607210093,0.08406731331703754,0.03241000800523519,0.0030134975543838483,0.006719074093865629,0.0022259192710780695,0.002007766480441875,0.0008523051596638354,8.207856762032506e-06,8.257564243807636e-05,3.000179345802323e-05,5.293733503086706e-05,2.4199983005734893e-05,6.381130071009267e-07,8.55835293567253e-06,1.2644047877596876e-06,6.214602521481538e-08,1.0702685588892535e-06,1.876559509783604e-06,1.845196255101378e-05,2.1807047567268256e-05,8.699023517078075e-07,3.5325026319643626e-06,2.6491374225390274e-06,6.172150406325017e-07,2.9370209819745696e-08
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00962523538086335,0.00020640500330482148,0.0005383026767424859,0.004437983674037138,0.08241633300729778,0.006752977335244603,0.033472515748766085,0.0030694255752838906,0.008461159847018784,0.025876297853023478,0.002044054448212762,2.2838632644628376e-05,0.00015675370695023005,4.6894204037251086e-05,9.159394535340759e-05,0.00034348028742470227,6.024319825659319e-06,2.710227937097187e-05,3.878966321479993e-07,3.279932938360375e-06,3.7033506623540546e-06,4.584673490626301e-06,2.6539652303814165e-05,9.665793831237224e-05,1.5735409917283505e-06,6.8676716598048415e-06,7.643170390148057e-06,1.7180471333366754e-06,2.9624505248904143e-07
