,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29H,30H,31C,32O,33N,34H,35H,36C,37O,38O,39H
1N,0.0,1.0168103912843778,1.0164093850129203,1.4625543830014267,2.0626838270940215,2.468652641835826,2.5327327413566767,3.8519579430442557,4.589719514918442,4.280231674188092,3.066016290824223,4.008831416644961,2.7712072521419477,3.5615405182111863,4.36816745139805,4.213733215048207,4.320734389538382,5.4517863416295995,2.5605583754036045,3.678162098791986,2.8462706718467214,2.4392782514208093,4.277982683633122,4.708371498805972,5.232976204167762,4.968273529947563,5.4286597449998215,6.649500801964634,7.340284007389152,7.113448194021476,7.118447207960897,8.293043891128752,6.444930305542492,5.479424205372127,7.068461942492646,4.800151477839482,4.4238810256843335,6.111814742486157,6.547847950149241
2H,0.0,0.0,1.651451589412284,2.0754477724898313,2.398306239564485,3.380676231097894,3.4860495692200204,4.64576141751905,5.477577567696738,4.977722017106478,3.995102287025677,4.983663286158665,3.6648417937982147,4.345707361203627,4.991399628695498,4.6384993372315,4.957307561409672,6.073302786936175,2.780156586273806,3.873156000360885,2.8415293360820777,2.357809116788746,4.1401171108030415,4.444044663718862,5.336890968925121,5.240348963356159,5.599823287704099,6.667018489476225,7.469300867602107,7.007852198302063,7.081329228768433,8.200058907034727,6.447699709370137,5.542056862986972,7.033110109554547,4.476603712639621,4.054011961770834,5.734712043919488,6.109695086052366
3H,0.0,0.0,0.0,2.083415075511921,2.942508874230442,2.69692667464283,2.816104600167231,4.1988028882526125,4.796067393664953,4.554858578822809,2.7417523391276175,3.677590832266544,2.1328678033050514,3.2122786179469367,4.994502218107612,4.960757933565181,4.999271482063312,6.043013432049073,2.9044779257057143,4.106942733803431,2.835620067865705,2.199360655003023,4.219500576361614,4.861697776328676,5.050366473867226,4.858496880885068,5.040517410296113,6.540131541710781,7.1541577037208794,6.959713680846912,7.218628298119302,8.405091412892803,6.703323694873928,5.764251679779167,7.4319392283892975,4.565256190937079,4.039000819786739,5.909286940055035,6.267997746826157
4C,0.0,0.0,0.0,0.0,1.0956181334289083,1.5598304326301626,2.1103425394581854,2.607739327221577,3.519214098815548,2.915332433706067,2.5769713226839737,3.522298362571342,2.836710208972483,2.888952512602107,3.1321558226671646,2.9261039744099198,3.361051839369953,4.177196565531081,1.5417817249509256,2.423391345294775,2.4704877640084786,2.6163528028737817,3.8458463395112177,4.144534281929583,4.572288356354572,4.073138970097337,4.962322580226944,5.904411966891149,6.545361121220061,6.541852495736021,6.18590774609486,7.374098661022145,5.354589956195835,4.3476364420267135,5.9225758848580785,4.802027424293686,4.786482005647421,6.0335634349743765,6.65796004690056
5H,0.0,0.0,0.0,0.0,0.0,2.154688456046744,2.439677975350759,2.745878396335038,3.73341724872815,3.1593711423137325,3.4934014529965176,4.311665698200406,3.840013100641994,3.843257272815035,2.6816596056492887,2.244330287391665,2.799176239562875,3.738993313342393,2.0985854219089144,2.5757182346411613,3.207575084520424,3.450610185593319,4.458642554070606,4.507232113119265,5.270039413170926,4.744638497012867,5.809474936254395,6.4620466030032615,7.159296316985541,7.1106315210018884,6.502566164173747,7.636238885946409,5.507962639933664,4.522197695744536,5.906003011710958,5.469146247813297,5.527106367017233,6.62447904197633,7.278404435783248
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0990293962445368,1.5436633539594242,2.1381496224013077,2.172501809682555,1.5390953066311313,2.1744068108725783,2.2091824563016975,2.1946543814540127,2.5997611560680243,2.9588412411646288,2.8169578932614288,3.531075682640408,2.5687791877818027,3.1336198481485718,3.490227190429818,3.650337287445408,4.779130180567466,5.219142614057953,5.068314900442742,4.332935841430043,5.305261236700093,6.422346903011339,6.8388642743829084,7.200797339011371,6.778026504698478,7.987872254817196,5.946437408150687,4.940277945642476,6.53237890202815,5.818923561321662,5.805892618967279,7.046058975361491,7.691827789161454
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1512794482411945,2.45206838192672,3.0611781967949465,2.1480825697296115,2.4910892528165287,2.5045804158355254,3.0769969615530948,2.8186401263822862,3.320235087995403,2.5950930672220016,3.7638344316126786,3.460346008369049,4.0868424635135865,4.330433593307359,4.312062577254122,5.702909768140618,6.1340260631142645,6.106149520057453,5.414469157370899,6.294529618201827,7.48822288595678,7.922016454233773,8.231882832230035,7.8424238487769244,9.049601154863224,6.979856263429374,5.966309740666196,7.522185035826548,6.62349973864993,6.462724180688311,7.898486260968363,8.48126412124445
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0991373180310395,1.0960512464178673,2.527166765259587,2.732137518036637,3.5026686742838606,2.8183283304043196,1.5330763124482691,2.1838453217764227,2.1897161681669823,2.174409450145272,3.143971508353938,3.0920613075068606,4.30788040534404,4.756259300929085,5.353533227131648,5.610705078925602,5.37555584584528,4.435768007812881,5.77409264608038,6.504870517932652,6.812865881719576,7.4266119381531315,6.600517001143598,7.7490512184079945,5.6127725334318885,4.6653385753200975,6.046823232221642,6.631977738501645,6.856001959516733,7.725579749069067,8.48888036084689
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7592741228463005,2.6768336387670977,2.417947954694021,3.676871081677372,3.076125379390561,2.1581897987075256,3.073263851502994,2.577586401925879,2.438637674781289,4.127102353704192,4.109471784855613,5.182175039484916,5.558344038942915,6.212601195558139,6.560555103220661,6.065620884683562,5.082206754429725,6.336521850503955,7.1916413244714485,7.363914940676833,8.14638957061062,7.364366909706944,8.499025296628792,6.439046977958687,5.536176290105671,6.88442202948755,7.4542725563777825,7.6299387052861025,8.554969866463553,9.29936523140837
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7611976118882873,3.057708841672619,3.7972560581269783,2.604377026576012,2.157350770888057,2.469563548451162,3.0812492710517394,2.5364405821744556,2.8752133266973647,2.529902105943917,3.977155838826044,4.606469959156579,4.780873337165721,5.0031039125213566,4.587125472425219,3.574956824512569,5.057055740340808,5.590713651201329,5.83931912821446,6.565805478585693,5.639009318439162,6.767004846561645,4.680707262534457,3.783616663187948,5.141423015321616,6.161729434993264,6.554951058521424,7.1420986314854344,7.964104475627872
