 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,C14,H15,C16,H17,H18,C19,H20,H21,C22,H23,H24,C25,O26,O27,H28
N1,0.0,2.006906395840855,1.6259704981448961,2.8996106234252546,0.08193186791983864,0.21163031923076414,0.023675235667738992,0.004598255439960397,0.09553509060374751,0.1690696650690966,0.20675820372924314,0.07350079848990276,0.029236132740141876,0.006348721860429785,0.00023654119232641158,0.0014312582035619081,0.0003023076042293349,3.7854404939530184e-06,0.0009394212278491382,1.6307982685037636e-05,6.162695598654899e-05,0.005779655575387899,0.0006289491436425321,0.0005589525534870354,0.0005180080770288142,0.00010228655876770576,7.412627786154702e-05,1.144528049934479e-05
H2,0.0,0.0,0.031194403170372142,0.10421008520401276,0.013189296175599052,0.01953872581920757,0.0004429460685797526,7.546348512477152e-05,0.007365690038010353,0.00186128463090518,0.008060743072269672,0.0014962750676030812,0.0007982210596804151,0.000285311565310975,5.639044101668489e-06,6.693224691145527e-05,1.1570872111787978e-05,4.9383820011073e-07,3.689190075817361e-05,2.50716760574754e-06,1.1579247816140281e-06,0.00013705162742150279,2.842581143691625e-05,3.8033430314277084e-05,2.1913447161625577e-05,3.478205472751128e-06,1.78489506452717e-06,1.333926802349339e-07
H3,0.0,0.0,0.0,0.10286947351463105,0.019876419779758292,0.008706006167063962,0.00045093374873705905,6.467675830656994e-05,0.0036265024889412523,0.004959449183381537,0.04453300527736159,0.11374535915597939,0.007171329506095114,0.0007995019311310969,7.087771797431586e-05,0.00013585695115347907,7.944475782561966e-06,2.44247449820989e-07,0.00041214101920894475,1.4425247401028685e-06,2.2826867936753814e-05,0.0014189825125602296,0.00014432703071243225,0.00010935893403174468,7.123359182525935e-05,3.7340410860342566e-05,8.850144046612662e-06,1.688171045177711e-06
C4,0.0,0.0,0.0,0.0,1.937525279632129,2.6158595357764924,0.07765932556297739,0.0899302582117818,0.21158890120290713,0.026587697008289224,2.7464023696726434,0.28285907881930894,0.20719622399159734,0.035146289364899,0.0024487541823563497,0.005051540535721072,0.0013736382565097127,3.820056864678456e-05,0.004987505008931428,0.00016568315255849342,0.0003549862077114607,0.027511773439023474,0.005416316986102121,0.003612680039437377,0.00391158411841358,0.0010138283772463674,0.0007526714637800525,7.953372840285855e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08361946403968568,0.0011343848588485361,0.00904321449713108,0.022842729724999566,0.0015856986447042587,0.09848665588641103,0.025429300793679666,0.008514623496922447,0.0014342478647870749,0.00010072745849676323,0.0004274576053311385,6.316598175715171e-05,3.935559532264321e-06,0.0016744157231463053,0.0003099926637810668,2.002881755247543e-05,0.01567645956879571,0.0020065973330347653,0.00597946576432884,0.000507816923181359,4.204486404313368e-05,7.189559858522543e-05,1.0620631932578561e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7104034829496253,2.017831718122281,3.116744043349076,0.12346021083432535,0.17754257456482908,0.03659802825956053,0.022920930995313588,0.0027144774042724973,0.0005362653525556871,0.0006776395159267812,0.00012761420431006698,1.259439288636699e-05,0.0013051111741620713,0.00017139854149506029,0.00012860992636443136,0.014096760523104462,0.012232646471515674,0.0011857192995388122,0.0013046771330012252,0.0010785159872485905,0.0002861711526809668,4.985842879823288e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02539504237423973,0.10295638737089385,0.03596257680425463,0.013465130619249699,0.0020559776601533075,0.00283242293167163,0.00036385503792835117,9.07784102330833e-05,0.00024555738195619625,3.693557246164936e-05,5.707840872171133e-06,0.0005947464012905357,6.492921539247298e-05,4.1683530451530615e-05,0.00805452226793113,0.013575057633915089,0.00015561461610524852,0.0005671641375499803,0.002723492479588918,0.0002684849441091375,2.0566508374342263e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1239453476075536,0.008002375682969243,0.02586280648499728,0.0055746083787810985,0.0028749700208532403,0.0004959263862474028,0.00012577029153981734,2.2555370458032797e-05,9.293615486072326e-07,6.982187663595596e-07,7.250485863741218e-05,4.838845663268643e-06,7.975212514610419e-06,0.0005872727012330436,0.000306091633741179,7.176028164379566e-05,0.00027423635659951096,4.969990751946263e-05,7.005602668619382e-05,1.1771607471011691e-05
O9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.516113816917286,0.01865374069279624,0.004323752243947425,0.0028741815957628036,0.0003908389494510778,7.586181617347254e-05,0.0001270025018295512,2.5414000503265477e-05,3.7822413854193826e-06,0.00023003230237107763,4.112233344477634e-05,2.5237811485556705e-05,0.002214197593829556,0.001834189904526995,0.00034549264222927256,0.00017693384307138071,0.00010599053433429928,2.9936403860397753e-05,4.275570457124012e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003035176189018718,0.0002545017545617645,0.00058011709013428,0.00012458418387939485,1.258401141512877e-06,3.811470107928372e-05,1.230069238022935e-05,6.975434987399609e-07,5.1491347891285955e-05,3.3388374818255073e-06,6.586707668176928e-08,0.0006759516706157376,0.0008786914288316794,2.9688233379454587e-05,1.2614303811719907e-05,1.961802836791815e-05,1.4501704411751248e-06,2.592003438550705e-07
