,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14C,15H,16C,17H,18H,19C,20H,21H,22C,23H,24H,25C,26O,27O,28H
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.182724316942787,3.0711357171593154,2.47067169897934,2.813983656657337,3.8695735294805456,2.9061901856218375,3.4328385526789003,4.2610315000264976,3.955048902755282,4.827225469401087
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09472397889014,1.0940935450900375,1.5375999774097036,2.194990801964775,2.1908078329599134,3.168813177408811,3.3498789650323952,4.2314857862452495,4.837352117889967
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.774805460833441,2.165982588171067,2.383508635200186,3.051555272139439,3.005960596665121,2.838409339198732,4.107342827529401,4.511016739662818
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.198965744546855,2.748811072033217,2.420712737324031,4.2177398069143095,4.3972873884919075,5.192270622669468,5.804538121586521
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0934206638312218,1.1001100180127164,3.397364263395133,3.50850731873963,4.621782921096149,5.263740668304818
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7751217532235604,3.867756898644949,3.6335425026766237,5.190358608774453,5.6888036933787935
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.310799968132609,4.5603655393948195,5.440132315030628,6.170166731139218
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.209927469391081,1.3522036136731477,1.8771495359287875
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2573200153997495,2.2943729743088257
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765809195458072
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
