,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14C,15H,16C,17H,18H,19C,20H,21H,22C,23H,24H,25C,26O,27O,28H
1N,0.0,1.0165425293165047,1.0227102937119958,1.4690048141273633,2.115548397534433,2.44533616034516,3.384698474096393,2.85708225677324,2.6650357575015775,2.089642674790598,2.4626872244311415,2.720694185873922,3.700942651035192,4.885160366836998,4.922334720832298,6.009802589285353,6.97274589165895,6.188774425130621,5.836066774219991,6.225309564155452,6.574349156141688,4.396883534261597,4.32068127925179,4.412350428714931,5.478048765202082,5.552171601231259,6.397565054505139,6.91837111604819
2H,0.0,0.0,1.6398564607821582,2.0630866599880804,2.234569757767043,3.2347116294596145,4.160121785996479,3.4273742919463173,3.627515666155091,3.0120863320582565,3.0228584862504784,3.309609022007226,4.1358347644053035,5.320741422066424,5.2594720022078,6.320925301036242,7.33809769503057,6.329858424665943,6.173015055187059,6.703582901621036,6.797815259450576,4.705383939173024,4.7304987999961075,4.479768383890531,6.124778063456892,6.317120511246825,7.014715292041406,7.62296559451925
3H,0.0,0.0,0.0,2.014564577789335,2.8303674979850473,3.006437362050044,3.805599048397761,3.6565210122016674,2.9298961301711217,2.3657384386230733,2.3488970806934693,2.1193355755618457,3.69882593236789,4.643743466915362,4.511589548209175,5.931558572503629,6.823939780541837,6.118549625075324,6.001960031284297,6.378457139884748,6.8312523285953795,4.6903976552629425,4.766249301485058,4.8072559439873555,5.1400878381235335,5.3321389377006705,5.889430240593863,6.4002363523729855
4C,0.0,0.0,0.0,0.0,1.096873578441574,1.5633787828043604,2.2149246073772932,2.169895537403449,2.4429888614580433,2.4287408010605844,1.5374877224572618,2.414433897791727,2.487289741998222,3.840700206796096,4.145684383638936,4.81211188493461,5.7848807190041995,5.099204363934605,4.4498271362298745,4.803151631607587,5.189426224994783,2.9945889856307857,2.856639722656812,3.147750165188077,4.475903832111424,4.468039361280885,5.57690435437172,6.113133675360622
5H,0.0,0.0,0.0,0.0,0.0,2.174226616998924,2.679286498528742,2.3363378120206515,3.337896852432793,3.3260578491328743,2.1663604291698824,3.207356320294851,2.6633200504185814,4.093136940896571,4.4407886617310455,4.754063641443503,5.80065266615858,4.888903452991926,4.2242119157493985,4.732760675347538,4.765312290955531,2.689685121461293,2.5764768554299464,2.4969816939872667,4.980130656562317,5.029490140140858,6.129595212207739,6.746288840257892
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0950485432623767,1.1043336028640491,1.4042555217498527,1.8932123617340828,2.5600244922239366,3.3617924125188323,3.229477037913837,4.523610443659273,5.075578846835473,5.434194102563298,6.288140956500569,5.960746336860843,4.779944925694806,4.801653838307977,5.537656918263404,3.4628866573284145,2.8475198709817406,3.90027887327397,4.736689201040259,4.315991685319019,5.939627825705525,6.265210399097983
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.781341376156503,2.0186098015338367,2.789270220655463,2.679137910972191,3.5684737063220835,2.913801784684317,4.0823979674161945,4.824231487506277,4.853918415059136,5.6111155246648075,5.525632281415064,4.072916113809636,3.9109353303523315,4.858697616983657,2.9747644017758645,2.2265711760030267,3.657127217891648,4.125312976845633,3.5336262823067335,5.401923425298555,5.663311998645314
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.082078730489654,2.367245611686027,3.4589268413647347,4.341947456195053,4.02282263207438,5.402799421838557,5.982545650475753,6.139148523503675,7.034409799233607,6.595872534914678,5.294036553304778,5.344815812589122,5.890945348399558,3.927737950058481,3.1590197454884046,4.1717682341427516,5.723116844636404,5.2689890489634434,6.968440548978328,7.30680339742504
9O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9782823624551846,3.1680798680427493,3.504866914002056,4.089057746693268,5.167398960396641,5.598717836994101,6.306579438617846,7.063582633209709,6.902400873022745,5.842881076508307,5.747583167548434,6.70733570887391,4.642329151590154,4.10358762814139,5.172363607317097,5.072105477956119,4.572383360247508,6.1110145906981455,6.286977453126431
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.329597370487118,3.5166394632918156,4.458558793739601,5.571297760774549,5.8460170797835795,6.773950117319569,7.593413811994858,7.252504208921135,6.4091321382430095,6.445996000214049,7.252077254561456,5.100064536033229,4.665123522443114,5.472628784932415,5.628862777794689,5.289116581147737,6.592804754336923,6.837516423498625
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.231139019685874,1.3646942976225194,2.4370146669971713,2.6548026588746345,3.6488390460021893,4.548594551948109,3.99447375247968,3.6992559690958697,4.080712245519143,4.6032403460040605,2.548591803263267,2.8553159365457508,2.955579695346092,3.116781683609726,3.3912712211315794,4.117166117526339,4.736858331535343
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.261883697713339,2.7224782719467746,2.5384473175508107,4.177420959991233,4.931233327076306,4.4931348305688426,4.583245880677179,4.915210171458524,5.543875892903662,3.6528808492716895,4.032933150455719,4.063825132601982,3.1418962696308785,3.5928014036120035,3.797489909977412,4.3889355547411375
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4610188192924007,2.110955834366535,2.357447196308091,3.3028005246654204,2.816158457350862,2.361802401240015,2.8364602017809997,3.299102294424781,1.4715619287993529,2.132677003026466,2.1241663778772177,2.4598334940545445,2.8342819449368206,3.6007207877793905,4.298656833053711
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0921057036763038,1.546524620239997,2.2106161516133334,2.1669407889947423,2.415266273393419,2.8065035460106413,3.3893210135488525,2.4446788391366803,3.2563405438366546,3.108485711824498,1.529504580616322,2.438724921858146,2.378035143882277,3.2133738482808245
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2142906273287584,2.7639337020496475,2.399966640359596,3.3565093786743594,3.8647110925368633,4.218125877203731,3.267291058725853,4.145195200543601,3.6895280865713693,2.14235586811548,3.235850791878534,2.4557334801589406,3.398692091747758
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093832200864106,1.0962817970565475,1.5379555031519172,2.1710668883028563,2.20996040425286,2.414673348035472,3.3461841272298334,2.917573256018877,2.5319429745417406,3.2418545652669755,3.2258193363338035,4.005385474318188
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77001329278132,2.2145469298529616,2.4615862597001024,2.7207269946535693,3.390180592653632,4.20633488839502,3.9618533644973746,2.6461768071495686,3.352651509314273,2.998726741584746,3.669268738904798
