 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,H3,H3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,H5,H5,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,H7,H7,H8,H8,O9,O9,O9,O9,O9,O9,O9,O9,O9,O9,O9,O9,O9,O9,H10,H10,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,O12,O12,O12,O12,O12,O12,O12,O12,O12,O12,O12,O12,O12,O12,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,N13,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,H15,H15,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,H17,H17,H18,H18,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,H20,H20,H21,H21,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,C22,H23,H23,H24,H24,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,C25,O26,O26,O26,O26,O26,O26,O26,O26,O26,O26,O26,O26,O26,O26,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,O27,H28,H28
1N1S,N1,0.0,0.023991428233813394,0.00031471236964630833,3.822449383239501e-06,0.0013677036895889394,0.00010527451695896417,0.0011931465553214338,1.1513482451208645e-05,0.0022296258402656477,2.400318116213551e-07,2.5327754735807173e-05,7.87154096560938e-05,8.570460516910128e-05,5.146318929005744e-06,0.008169161942303882,0.001469201299900913,0.007941833704633972,0.0012985349653558131,0.0011929644230871395,0.002157886082024163,0.006946216621130263,0.001979112283334805,0.0002862093139615052,0.0006180192934266415,0.0005775193259387468,0.000123663996357104,7.920789773652182e-05,0.0004557473559367864,0.00030355750608060394,0.00021678332635211017,2.665444809249462e-05,5.6489240244483874e-05,7.119460772231356e-05,4.454249646812514e-05,1.9595599064392566e-05,0.0002062958273325588,0.0001527994352665818,1.1987639765731473e-05,0.00019162685368345755,7.5014724441047065e-06,0.0002045554546261652,6.696329264310741e-05,1.2964476754362408e-06,5.040474932124783e-05,1.3784564420388223e-05,5.6261123190654017e-05,2.0296924696516783e-08,1.8950990335053763e-05,8.315556695137616e-05,6.682312378614164e-05,2.1336086066359172e-05,7.004261151299929e-06,2.817685803174763e-05,0.00011886808476124777,0.0002977132071941835,7.781616786495249e-07,0.00016911902117500155,5.2702993115660846e-05,1.475672924566851e-05,3.672476848848305e-06,7.771891463725922e-07,4.517346833793345e-06,5.2314930172742136e-06,8.844959488565896e-06,2.1056923324436205e-07,2.17702297020117e-06,1.2641451438977214e-06,0.0010628164671613316,4.461267406885572e-07,2.092336817138829e-05,3.0257812512646254e-05,1.7123868250035201e-06,1.2293182617195697e-05,2.7900421817328436e-05,0.00020663274007282073,2.646337157186096e-07,3.909981047622857e-05,2.4907720233779962e-05,4.81864156698375e-06,1.602848864110107e-05,4.6743583484443185e-06,3.7153492782326936e-08,9.0554733906123e-06,1.7832506409520832e-05,0.0001717754602370558,2.364760583639658e-05,5.213525503666716e-05,2.1745023719432766e-06,2.5709049982891585e-05,3.609565822682015e-06,4.1882172778784366e-06,1.6925199271822233e-06,3.1920789136941075e-07,2.2194306204675884e-06,1.7018656975342772e-07,6.601022950469826e-08,5.483604006983889e-08,3.907023955251887e-06,5.052115140458113e-06,7.347864585671715e-07,7.616904472040886e-06,9.84198529785374e-07,7.032913216242775e-07,7.103614645398437e-07,1.178788807676412e-06,3.1455150001358234e-07,6.430974702487102e-07,1.1495640200864798e-07,9.506614878640463e-08,2.5153676311284734e-07,3.146053828562145e-08,9.497401980418374e-07,1.7813664363597326e-06,5.52368262241032e-09,6.371519674086557e-07,4.782642544221005e-07,1.9660170214041983e-06,5.5709270530002186e-08,1.300576382812224e-06,3.6255464797019243e-08,3.0162791522792e-07,1.3308956584023868e-07,7.453366784870852e-09,1.2571155583174232e-07,9.827992109023853e-08,9.705142057780947e-07,6.075075487110837e-08,1.7439532640217692e-07,3.541124071748669e-07,2.490051351777822e-07,3.32571327588127e-07,1.6333203634033566e-07,5.3221365980959945e-08,1.0391322446956508e-07,1.827098714546338e-07,1.626616139005499e-08,3.7495309912483066e-09,8.842462234648352e-09,2.7958244885883943e-09,3.932786041271896e-09,1.26685285817274e-07,3.837697937214557e-09,6.683542608243442e-14,2.6665563090944033e-09,1.6573142608278246e-08,8.324053824004807e-08,4.356646650105489e-07,2.377680274889826e-10,1.8333197493447528e-07,2.0675113576729132e-07,1.3118280217661038e-07,1.6658560308968617e-08,3.9381022887141626e-08,8.967664028025624e-09,1.3726562636540152e-08,2.9619887653709043e-09,2.7406763081216923e-08,3.7799265106830404e-09,2.9163205184090657e-10,2.4232473805341215e-08,5.5639213902836104e-08,9.866340588970957e-08,4.0683163707311287e-07,2.926282631765531e-07,1.805285004152779e-06,5.040560087099522e-07,3.329894540105016e-07,7.06486814827656e-07,6.211751599760618e-07,1.1504068129220002e-06,6.891341139958485e-07,1.4150644506161214e-07,1.259772940409576e-07,1.0310736486829342e-08,9.818321350385517e-09,8.678560095565224e-08,7.70634467350817e-08,4.256647549993886e-07,2.165122796604635e-07,1.1372587427338487e-07,4.576989315330238e-09,5.8579157746763144e-08,1.396012243581879e-07,4.394463015700012e-09,4.164145694929289e-09,1.415567822959929e-07,5.217144155578168e-07,1.4736245557145367e-10,7.008981683931381e-08,5.9697935761438e-09,1.8575914778606872e-08,7.719115846516189e-09,7.681128511016766e-10,4.17372086891632e-09,1.0539096748085619e-08,4.0366697540150653e-08,1.0190660559850073e-07,7.396074641619066e-09,2.4748725957479678e-08,1.100909807760786e-09,2.7288615811471573e-11,1.2287182382664241e-09,2.4489299477181703e-12,9.258334238149146e-10,2.218042888246785e-09,8.307423665643299e-09,5.191402863147232e-13,3.0834357289677428e-09,5.124971280690005e-11,1.1244782882613436e-11,1.4818719362708066e-08,1.500279900312762e-10,5.923719514910886e-09,4.151544885644398e-09,1.7670348517739853e-08,4.16064804831251e-09,5.614468667758388e-09,2.488237116349268e-10,4.814170076472557e-09,2.981704882998315e-10,5.7064894476432926e-11,5.862086649432996e-10,4.710054568590749e-11,1.4984311569321562e-09
2N1S,N1,0.0,0.0,0.004274281811099456,9.521931514377968e-07,0.027243115631916837,0.26660056749679395,0.013450077090094936,1.1889021153344004e-05,0.043189298968905554,0.00027557979288683754,0.000316984909475293,0.0019024611359277355,0.0034231746814001873,0.0002244372383561899,0.11081416316405157,0.16213940279508599,0.1099814835607984,0.15928604257620238,0.0036039123032090004,0.006185411292524812,0.06747390883132187,0.021603066109063818,0.0031146987160757256,0.040927328676121366,0.16846662499407916,0.050196476397251555,0.014868332436104303,0.023641124679836034,0.01727795285282574,0.011017024384523344,0.0012160990775464953,0.002528210318864854,0.0022879331961451754,0.00041564665468651896,0.00014920942336305032,0.002921902071006066,0.0057827753061920895,0.0005674887427926656,0.0035774249948148373,9.36260135198097e-06,0.0009546281904464493,0.0007368606615898443,5.446277264731236e-07,0.0009723288973211286,5.653133899086171e-05,0.0005070856348472486,3.728854764717404e-05,0.00021322035495319192,0.0024339133471742436,0.0020642603206080246,0.0003258929238842967,1.1094123426147462e-05,3.888366449289471e-05,0.0008756138947889625,0.005081566111100777,7.481478315574108e-05,0.004304374730883964,0.0006302578082868493,0.0016275496441071624,0.00013952145555506945,0.0016703920695815277,0.00013500281739919906,0.0001810503309522815,8.801318043039075e-06,0.00011120951768073262,0.00012072540242624719,0.0001657409193125403,0.018464333267942834,6.831562308295958e-05,0.00013660591615405338,0.0017548805164850911,2.3494114698152657e-07,0.00032432111913394124,3.3046541787484784e-05,0.0005108624870020506,0.00035739117124888864,0.0005976056121714812,5.945415234576146e-06,0.0002255338191063938,1.4341337016832156e-05,2.2813389431552977e-05,1.9068051129389474e-05,4.243772464795903e-05,0.00024171790781979396,0.00535795331004385,0.00040651083495779616,0.0015170913510247352,0.0003414571600424132,0.004881778372185508,9.637087593938887e-05,0.0010483716514513297,2.805408880091065e-06,0.00015199993786407795,2.3283242001070903e-10,1.4583288671765615e-05,2.716428271609672e-05,2.00607897915539e-06,3.855004628405823e-06,0.0001619873558516005,5.0386214946573915e-05,0.00016324848642268464,1.811200416224068e-05,6.624573371416531e-05,1.7640745829439197e-05,0.00013221240009464452,2.3189472853069049e-07,4.507865984137993e-05,2.7305530351462437e-05,5.359306078478454e-06,1.4842708835782759e-05,3.0992964510367926e-06,1.8709747901635154e-05,0.00010386131334128024,1.3883427740779553e-10,3.7524726996363e-05,2.1639136527085157e-06,5.207004630580769e-06,2.371608506912537e-06,6.1471124270795485e-06,8.709402643525266e-08,3.1237982870635506e-05,9.298588077299996e-08,1.4366285938649526e-13,1.8631291174520115e-05,2.7308461825192865e-06,2.177099910705138e-05,7.211606847246088e-07,1.040789231687711e-05,2.8862732329493213e-05,5.8637899571500895e-06,2.710011082429631e-05,7.024647151965269e-06,7.379288399000927e-06,6.624578796632363e-07,1.4353168972913721e-05,1.7944398735814104e-06,1.2289270332477287e-06,2.8227091641852553e-07,2.2673191057975828e-07,5.223551986510699e-07,1.1890538952119556e-05,3.412363320798306e-06,3.640744772326343e-08,5.003463554587029e-08,5.595935712587874e-07,1.7431416887703222e-07,2.3162199577875242e-05,4.3103103353203664e-07,1.0980390343640067e-05,7.1763652211842555e-06,6.606583680124345e-08,1.9732844158681928e-07,2.8673446137439385e-06,2.5383329080863604e-06,2.7617842208726984e-06,1.5280861640487586e-06,3.2649233803194733e-06,3.6254214585973443e-07,2.0942999734430146e-07,2.0870703658637524e-06,6.3007889328225986e-06,7.398213994314062e-06,6.333731668473064e-06,5.241683763479443e-06,8.092071234067078e-05,1.0949071045818215e-05,2.1521252565825932e-05,4.6838458031661645e-05,0.00019198093750105727,2.6829512449921822e-05,0.0001142968279954637,1.0907212912858455e-06,3.852165901818694e-06,1.0945030177733628e-06,1.0633391043235463e-06,2.687942723289538e-06,1.0852955852236335e-05,0.00012182297865503955,3.676674630526122e-06,8.673814175796934e-06,7.997646989110763e-11,2.5092320177222405e-07,1.94211198278893e-06,9.221467012210383e-08,3.838751894136294e-08,3.175840937785779e-06,6.398760107106938e-06,5.144187533723255e-07,3.8232237198343455e-07,7.845957838981121e-08,1.8613786332277726e-06,1.8963760917145578e-07,1.0004097106275367e-08,4.772172967903998e-07,2.2522724130169536e-08,5.243566256751819e-07,1.9529735095780154e-06,7.516946842756056e-08,8.586908983865271e-07,3.493150924072097e-08,3.0531346828510664e-07,2.0282983292929657e-08,1.394158810619217e-07,1.0939498196194108e-09,2.550470945550387e-08,1.88633876296862e-07,1.3555623734617939e-08,5.9380444339396377e-08,4.2530368116189265e-09,7.58873119899306e-08,2.714924014490805e-07,2.435478805296043e-07,1.3872926363234228e-07,3.140924009770174e-08,6.953270004217416e-08,8.522364636220914e-08,6.779143912893915e-09,4.633224026662219e-09,9.17540587952459e-08,7.445357663726782e-10,1.717115338806252e-11,4.9873708940495476e-08,8.915090887740007e-11,8.476448876137965e-09
3N1P+1,N1,0.0,0.0,0.0,0.001563115423504069,0.008549283597482749,0.00815426429470767,0.28859857326099325,0.0018704631258148474,0.008790489504863608,0.005182093563808277,0.023070649580375413,0.033218998729729554,0.004606723977821137,0.0016547658739269888,0.22681133691993915,0.14819829683218533,0.008517194626750157,1.1460257336004531e-05,0.012067226509195228,0.07680527553419525,0.24287957670706373,0.08388764396718162,0.009141214667760078,0.02969899745919502,0.06949588441248844,0.04563088671789739,0.002327913502941925,0.0042915210904392875,0.030872341852422602,5.999641286025259e-05,0.004312833129575422,0.0018917926407202579,0.0010295588163429237,0.00014039530538045852,3.187728603015749e-05,0.0004976000751617526,0.0015439634613843012,0.0004438179806611764,0.0014528125126758162,0.00011635937345344516,0.00037103945133853955,0.0005176092449139524,8.496944682079288e-06,0.0029628209482048806,0.0013844922549040017,0.0027869833316591652,0.00029849789241254143,0.0008958411643187336,0.0037846103525351893,0.0016530575342166287,0.00015656504578975827,0.0001879902031123315,1.6249458107298054e-05,0.00018449784596263896,0.0002683047230842561,0.0002344909282778751,0.002163948558165707,2.9975790604375163e-05,4.321646838256754e-05,8.421483836906773e-05,0.0007210290783223883,3.242006655135299e-06,0.00018465369288711564,7.5041903984107705e-06,1.6211228804685618e-05,3.350945057323251e-05,9.000852979701435e-05,0.000901036376256048,0.00031613294649535106,0.006207270580289581,0.004844548409082439,0.0030567090080491077,0.005160696948010912,0.000224353568672786,0.008254753731456344,0.002113825548521575,0.0004167854858012632,0.0076357233401975755,8.351039023213325e-05,0.00437854509457547,0.0011890876931719419,0.0007877085561984742,4.0255926191168356e-05,0.0006490370816165658,0.002749847937879135,0.0015966218357426065,5.737625825386061e-05,0.00030251837653949565,0.0005009256595007727,0.0004985007002749064,1.047386529684502e-05,0.000509498759870386,0.00016111773579852162,0.00036456356565661707,4.820564712515463e-05,0.00016892304091919996,5.864784282105795e-05,0.0021412184427562764,0.0015322641848092289,4.620495070506436e-05,0.002227447117135295,0.00040758042651090065,0.00026649831679259606,0.0002034386628193552,6.616629071087843e-05,0.0004980158724854356,0.00043053382005786567,0.001070019780424758,0.00029653873351698223,0.0002039574850583037,1.0874056120435682e-05,0.0003716648669840339,0.0006179842669795654,0.00028009646254689713,0.0004500021296243162,4.466000873115661e-06,4.5612379517834256e-07,0.00010242188487152859,9.570478396447868e-07,3.285191085189432e-05,3.145593106612665e-05,0.00017132744561809687,6.61081030075561e-05,6.0644766854967e-06,1.756381686313091e-06,8.756029572065671e-06,2.456980025433708e-06,7.624136330131037e-05,7.557756342668753e-05,3.417723818888163e-05,8.551864057970704e-05,7.817733189696696e-06,1.7054119600956597e-06,4.725230644453404e-05,8.558832654603776e-06,4.869316132127821e-05,6.52031811476661e-06,7.977431659011991e-05,4.861326884753048e-05,9.722037397352778e-09,8.982121616130101e-05,5.079196625734639e-05,1.9614124990852133e-07,2.6523036700254465e-07,1.2938170845799846e-07,2.3392193213567225e-06,8.014534931088946e-05,2.377728196112372e-05,6.834556432755434e-05,3.4510709405743967e-06,1.120639895102471e-05,4.2907791408808293e-07,2.0816121224509487e-05,1.6626910035455467e-06,8.445064343387543e-07,4.686759156102838e-06,8.45273954386272e-07,8.171190670758222e-07,1.8083935149348918e-07,7.04455534350501e-07,1.0215014234482567e-06,1.4282619531513774e-07,8.650276161814574e-06,0.00018174036271378924,0.0003249560639453364,2.1993820420895815e-05,9.00191723087751e-05,3.8632609037581034e-05,0.00013087160892633065,7.595817149930184e-06,9.82481571654148e-06,3.5560014605584556e-05,3.761538050395252e-05,2.4837169175118134e-05,2.1089934976181723e-07,7.824139099765759e-05,6.49638920151574e-05,9.810360582562794e-06,9.56540686720686e-05,5.203750763627113e-09,4.489630001103251e-09,6.602784763831693e-06,3.740526388007481e-05,2.3256211578726038e-07,2.0033727343715668e-07,4.2018112602626445e-06,6.4999693956124815e-06,3.05250392962364e-07,6.181501954749535e-07,4.4323824328618144e-06,1.6145027021963188e-05,2.539413076707575e-06,1.5953801304702253e-05,7.03249686040408e-07,8.916613225551373e-09,5.811863643678805e-07,1.4232016680715276e-06,5.598832908404461e-08,2.414254337779198e-06,3.4781347313384003e-07,5.475714213609706e-06,4.4196925541584164e-07,1.878566839863538e-07,1.318339917233402e-07,2.823216480596358e-07,3.295497180699769e-06,4.286282440091327e-10,1.201809125550568e-07,8.780869387159385e-08,2.1674646593083935e-06,1.358856551725296e-07,4.304925945497473e-06,6.534638354871447e-07,2.800560516824646e-07,7.128201673367585e-08,1.3095092299408861e-07,9.241931175907325e-08,1.5469385643562816e-06,3.475089549453969e-09,7.406180269065032e-07,2.031165651228406e-07,4.586501527459319e-07,1.0552974942790172e-06,1.5504033479274426e-06
4N1P-1,N1,0.0,0.0,0.0,0.0,0.0033901464214372012,4.2290789092014336e-05,0.002036261291276542,0.2713089477353434,0.0027833864660529173,0.026458414677366537,0.004144921275106128,0.0017442074768458937,0.022679627724094154,0.02295675193896063,0.08303398035302934,0.039015755910377425,0.3018957609440691,0.19185948917154994,0.002848676932852845,0.018149963480386777,0.09747504982104083,0.0150219641571665,0.004201156707290821,0.008264489175853651,0.05672303085276642,0.00045768983842853217,0.002367364215258405,0.026859106140423528,0.0028403430773573657,0.003949316134854941,0.003731012946878831,0.0003539037100708242,0.007475940438631312,0.0003365721158012924,2.959065373242531e-05,0.0009446742408254494,0.0014619458965272614,3.5758593817991624e-05,0.0010085426540289433,2.7226309637917723e-05,0.0006503073440193852,0.001211628368097184,0.00011391950868233636,0.002374286094475986,0.0003862667792089436,0.0009428490917087196,0.00016388266401001772,0.0007507106076147796,0.002309357311947924,0.0015320471844089134,0.0004073910406132697,5.386371348947705e-10,1.4014196596523476e-06,8.810076373366726e-05,4.832545788424625e-06,0.0008433892579144953,0.0002375827577125733,4.705118810832687e-05,6.977947526021211e-06,0.0002011353034658825,9.584266937823216e-05,0.0001021025003311582,6.748362971320532e-05,1.343248025076349e-05,3.798399788257356e-06,2.9479748930860694e-07,8.460300060431081e-05,1.0546877037054259e-05,1.6676126965986526e-06,0.0012123756435276078,0.0012474419199599573,0.00021351119405688124,0.00023199168363552403,0.00026542893347869523,0.00014753911130371833,0.0002827064418831071,1.2039157670340472e-05,0.0007441854291490024,0.001188843337719403,6.370031847224844e-05,0.0003188583380979715,0.0009116620527118702,0.00011907587060244751,0.002090316778504242,0.010616492191798166,0.00014049066821097966,0.002581080254898449,0.0007181184150648612,0.0011131504851107366,0.00014343492410429093,0.0004162950005812682,0.0008453675596080679,1.1006446265504621e-07,0.0006032176336734363,7.78370208598389e-05,6.322011407711159e-06,2.1513640442449855e-05,0.00041714095710432275,0.0002114116146452183,8.133901837403812e-06,0.0003666099706109982,0.0001811670557305689,1.938701378989549e-05,5.268392233581665e-07,0.00014024059831641011,1.0602029734352314e-05,4.703089602120514e-05,1.416377124452417e-05,0.00011865611488937056,9.648745755930221e-06,7.813239477627576e-08,1.8396436546552764e-05,1.19081484273309e-06,4.943609458862852e-05,2.084604393504108e-05,2.895801993751945e-07,4.809452159459937e-05,1.7769355520336205e-05,5.803165550055667e-05,2.4506546469904578e-06,4.3623824843574965e-06,4.4777996397460385e-06,6.12296493396336e-06,1.591797674493911e-05,3.8007403539541684e-05,7.327927700639947e-06,6.288203202586828e-08,1.1564065260927237e-08,6.350078050054719e-07,2.7322622571102073e-05,1.6988464297540418e-06,2.7770029369378335e-06,9.332740984469012e-07,3.5147099040067076e-06,1.3996153969131342e-06,1.9600637410910338e-06,9.439150876922042e-06,3.005129514788152e-06,3.9603169743607225e-06,3.9289556741373133e-07,8.44949859413191e-06,6.641449233235619e-06,1.5259062235983833e-07,1.1818235279292821e-10,2.3723157660526795e-08,6.92272803171079e-06,3.280335333677442e-05,1.2861578860601242e-05,2.0466195823853894e-05,6.879858756025925e-06,5.29990857822682e-06,2.8272854724065155e-08,5.751513544094422e-06,1.734370091988069e-07,1.5474029454010108e-05,1.6671944891299972e-07,4.491520411153971e-07,7.1400303018887e-06,2.1832999230753103e-07,2.0283293888923026e-07,8.186222911543695e-06,2.5978078386224013e-06,5.533316842498692e-07,9.631520770714275e-06,3.570442084033232e-05,0.00018506311998089942,7.505783406358546e-06,1.340053579212963e-07,0.0003093516305199273,1.715029796445222e-05,2.54251765485769e-05,4.9899040130974015e-05,5.544366867393791e-06,2.8802723923693208e-05,7.813471069262334e-06,1.5233462018260369e-05,5.451602332895433e-05,1.1061115223753859e-07,9.642533471154735e-05,7.514188566926094e-06,2.061417037069191e-09,1.595881972793478e-06,5.721097329214331e-08,6.821099685083709e-08,1.6944443581579094e-07,6.547606036022557e-06,3.108068304769063e-05,6.563798867542658e-06,2.8213296063839266e-06,4.498853386047941e-06,8.487309131055554e-07,3.355725731513104e-06,2.3781489091323493e-06,3.583125744999194e-07,7.132382906505086e-09,2.276224959629758e-07,2.2610381456011908e-06,8.142540924183095e-06,4.589547097921809e-08,8.347855739998522e-11,5.040230446340388e-06,1.5912509101490002e-06,5.344391449391139e-07,2.8009816688268074e-11,2.613545002638773e-07,1.4843611229053977e-08,1.7823789555393432e-08,1.4692893568479803e-09,2.7758948473177725e-09,6.915693617770557e-08,1.5032181113205922e-06,1.3413643853432689e-06,7.720835513147506e-07,1.2792800285765793e-07,3.0935229693440647e-06,7.125563694643233e-08,1.4136732406910824e-07,1.615019695755393e-07,5.302697343445573e-07,2.402805807655284e-07,2.6755768711694827e-09,1.2407646643453063e-07,2.807593983966683e-07,3.415922078531253e-07
5N1P0,N1,0.0,0.0,0.0,0.0,0.0,0.028636328966773927,0.012760053530279425,0.002382013238296121,0.1002295697253679,6.674172956522284e-07,0.000836391590693264,0.004197603824850571,0.004337142022974749,0.0001508705000392574,0.17896831920260992,0.07956246073532469,0.023453435189239258,0.002336741063142078,0.0005527712959401132,0.0025928312264187348,0.015360015413641293,0.00618716851388168,0.00047498350947172696,1.0429324577287957e-05,0.002009113709784849,0.003338042461108248,0.03326512012412808,0.0012862729285927355,0.007583872329917751,0.05017573653214691,0.0002030273687949613,0.010334512016231256,0.0049757611154852555,0.0013133691958779892,0.00019006817838329582,0.011738868605553954,0.003469440957658776,0.00017844236842412542,0.01026212380725866,0.0013632214128072029,0.003397213727799997,0.0006735768857200064,0.001938474892579034,0.0004593151716481003,1.242219491714991e-06,0.001237127788895842,0.0002825840444091732,9.641961397233167e-05,0.00021729926535130062,0.0006275909883823871,0.0006028023935109594,0.000295501649519192,0.000142848844705723,0.003943640153349914,0.016710973527084505,0.00017338938132072101,0.0009924333469442104,0.00284442159046705,0.0027120453239750653,2.8618121930001905e-05,3.4916937798890046e-06,0.0006029415856800835,0.0002830858557114624,0.0008477580468051471,9.140331825285841e-05,0.00028873664547557354,0.000289258929649705,0.052975492478256836,0.000191453290696586,0.0052971890950281875,0.00572111759428795,0.003468579779256409,0.000812848381776643,0.00041068125047916126,0.0027402026817333613,0.002765562901774654,1.8475722189048582e-05,0.00226745977444498,5.009887705575977e-05,0.0009529838612833963,0.00038483688234047797,4.913398306505279e-05,3.4466406400257554e-05,0.0006745562420169549,0.003111499075231894,0.0004147192612244943,0.0001341433713073492,0.0003419467450118674,0.00018425203028371584,0.00017623048657089413,7.781396049644229e-05,0.0008165488904534612,9.317550603826774e-05,5.679802315028404e-05,2.0012500809185596e-05,2.790949334219306e-05,1.8214982159259208e-05,0.0008422711505176039,0.0005904705533827936,2.2329495428241586e-05,0.00034407553984383554,5.540110915669416e-05,0.0004865860659397647,0.0001428336501416716,2.9991969530129836e-07,0.0007455979228667697,0.0003062533220024033,0.0005035295063613443,0.00014925764402939912,0.0001945670061989091,6.405428004008229e-06,0.00023450626297272237,0.00024822297139470706,0.00015249132481454097,0.00026324394551258123,1.549388841937116e-05,4.508460049734708e-08,7.563780770247774e-05,4.843721677083579e-06,3.768296610751065e-05,4.50072445978833e-08,9.049674592209733e-05,1.4528331796492822e-05,1.10529957049188e-05,1.011515741522473e-05,2.8115005981099728e-06,9.544163246388848e-07,2.8163171361672568e-05,2.5901195729982618e-05,2.5636558951713795e-05,3.1518112613593274e-05,2.0105623650401583e-06,9.453218980937095e-07,2.6563924734990252e-05,4.219345887346293e-06,1.131777719143301e-05,1.558691650860311e-06,4.274009772542442e-05,2.8700010924254116e-05,9.649839149972195e-09,3.39298447848968e-05,1.8024543109174118e-05,2.1447603693047768e-09,1.7241324279382297e-07,2.45262463671736e-08,4.422126046232933e-06,5.013259896280431e-05,8.622822749604353e-06,2.6495577395646563e-05,1.3787039632617848e-05,1.704419243608868e-05,3.964666119848914e-07,2.138386975580886e-05,2.2638591170576206e-06,2.1122676008289432e-07,1.6659567694254918e-06,3.4540724280773816e-08,1.1419091787701063e-06,1.4409041075857942e-06,2.4176282664711835e-07,1.770414215229721e-08,9.625354326914248e-07,3.865696295957122e-06,0.00019502176375585378,0.00018376587701363079,2.6137912182200296e-05,8.797934745619074e-06,4.146704975838134e-06,0.0002885914464738626,1.6534667857115437e-07,7.358382361610794e-05,3.888448879285633e-05,2.3727566173192827e-05,2.3474285111735327e-05,2.2950181799430425e-07,5.870994910894822e-06,3.139027704035513e-05,5.237497584520412e-06,3.696995695401384e-05,8.94480407134246e-05,8.014109820209114e-09,8.185419249073789e-07,1.742303271567991e-05,2.1113364301328374e-07,3.503129748505529e-06,6.2808520122636935e-06,5.000940266342013e-06,4.513925654592299e-06,1.0649589876621235e-07,8.685127872443132e-07,1.8584062004611823e-05,3.571863370188666e-06,1.1370031333113317e-05,4.701709177545865e-08,5.50793899378732e-09,1.5317089330224576e-07,1.2165571021682808e-06,2.9526013873848456e-06,6.978756146303056e-07,5.319232787570627e-08,5.853433360236693e-07,7.312808714132757e-08,1.3009881127956646e-07,1.703411995901405e-07,2.0195405303624625e-07,1.8438392281883154e-06,3.170129552199086e-07,1.9334440493068428e-08,1.1369855723586397e-07,2.802469983631539e-06,3.683375204843742e-08,3.7199348414951316e-06,3.76650736377826e-07,8.921117355953356e-07,1.467563848223108e-10,1.1587933856915811e-07,1.2596787923868646e-07,8.800961284194386e-07,1.8592729600364066e-07,3.4544762139709917e-07,1.3063252344291953e-06,7.63068696230107e-07,1.1819606640095515e-06,1.4095040752337695e-06
