 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,H29,H30,C31,O32,O33,C34,O35,O36,H37
N1,0.0,1.7232707447785482,1.8901785790957275,2.6681064543386888,0.09516194933775712,0.198641208720255,0.013880471309016151,0.011696055836795227,0.03260396936939888,0.0008228502454741271,0.0036661313499256887,0.0010068069808097935,0.00017391715105952166,0.0004702245129024618,0.00510347073739946,0.0011205539289576016,0.00010082209709127987,0.00010160594023300717,0.20573800813469556,0.04188877464517095,0.03998401032480442,0.02911210002982212,0.005403725884232907,0.0011959912391265037,0.0006983634059853083,5.793996338843144e-05,0.00014094932562747076,0.0016218666817326005,4.996331975637425e-05,0.0002659466249388398,0.007310190735299038,0.03812495561529243,0.0028945322324668357,0.0005468911081984162,9.450395947360746e-05,0.0001358491293650954,2.037523887199466e-05
H2,0.0,0.0,0.028869595008481408,0.10307962351741107,0.003340205859521328,0.03330952020571065,0.0009263558692820251,0.0009331346153167441,0.005256829090066084,6.253571097980526e-05,0.0002845997507545661,7.97209062355364e-05,9.60216789658297e-06,4.122336570788754e-05,0.0012043413425254501,0.0002728312396085286,3.8390197863336084e-05,3.581575276712101e-05,0.011339292029871051,0.0013840004003630169,0.011814038936270421,0.0015458575980122902,0.0010032831635277129,0.0005951100246923691,0.00011963113970392403,1.0832278686034869e-05,1.9689482470219843e-05,2.4025201665778262e-05,1.8344021317506787e-06,4.284437967738697e-06,0.00019320678061984786,0.0005442033605977947,5.598200324963276e-05,0.00019381928171346985,8.52555646777553e-05,3.652634215656203e-05,3.2746913662951016e-06
H3,0.0,0.0,0.0,0.10229177725657168,0.031488873690525,0.01888013404496869,0.00044128396823372995,0.009581501440339757,0.0010956450122046046,5.240206274992332e-05,0.0009593418313673663,0.0003185389062927424,1.3141784680703594e-05,0.00015076564756855149,0.0001405077614267114,3.639807488697855e-05,1.464315319754661e-05,4.661479463097251e-06,0.005128520999820307,0.0007690575344482253,0.0045788668133690535,0.016746453962995123,0.0006993860527826357,0.00015979597379534027,0.0002868375415027158,0.00010761345364995734,2.1256898694588244e-05,0.005710591599849213,3.3666818892719164e-05,0.00036120124418648203,0.01575479985474315,0.11949673301970665,0.004292926513728035,7.336224232568078e-05,5.3598603655391486e-06,2.8166251215044902e-05,9.94446735358423e-06
C4,0.0,0.0,0.0,0.0,1.9111538130275718,2.4049461228456304,0.09227999112950558,0.08622703845542001,0.14303730073656878,0.007383595027663059,0.01597895370917507,0.006745203282248147,0.0006532292129346473,0.00181382435865296,0.03198623481382917,0.004624156731356299,0.000670137501996404,0.0010801397157416126,2.7184099421926025,0.28185969979520736,0.22926549180111583,0.01172581352837232,0.03798302977335821,0.0035402669733519687,0.0031641548755306226,0.00014900297447484334,0.0012877111307487699,0.00038118657404495604,2.8993340592142758e-05,3.740416183806161e-05,0.0014649132023593914,0.003558688649299216,0.0013905124485524417,0.004673378712724913,0.0006457823149058489,0.0011030077195616633,0.00016428275983715324
H5,0.0,0.0,0.0,0.0,0.0,0.0803399738144468,0.006526631436997166,0.03145686860128172,0.004137414244690163,1.836010479827621e-05,0.006865266872254194,0.007439478464303262,0.00011794575675772023,0.0004688386106355136,0.0007479180816178932,8.39380836228365e-05,1.3934556439165746e-05,0.00019929860285650136,0.10984673495757469,0.01740269488202273,0.023929105105639836,0.002054167130613127,0.0030332786559950087,0.0002558258023541704,0.00019861970505341553,1.0239310124449119e-05,5.6245852532610385e-05,0.00012160707003583404,3.8005405476049248e-06,1.8877747355317e-05,0.0005683610093167868,0.0009949787808050115,0.00037907060743647136,0.0009398352387401943,0.00010704474972123013,0.00018894080897413623,5.596304844623923e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.069195389393818,1.9807053584416512,2.548669115453637,0.08201305115722413,0.15853413255524992,0.005274692157436034,0.010783331560294762,0.030629836658647935,0.18587194451078107,0.030640391277638068,0.009715053920300809,0.011033762145052917,0.18117456626868578,0.03866068361179513,0.026551537738368824,0.0006947288171409438,0.002998708844760667,0.0002699698809869311,0.0007387671698046439,5.2544473663429514e-05,0.00013525929510627144,0.0012070050478600325,9.494324616365901e-05,0.00010512804929940778,0.00911175319962762,0.004388307763628335,0.014044721843699065,0.0008369870914094191,0.00010926284145663934,9.309164463053299e-05,1.2714939166658112e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024337888256420914,0.08125310185222867,0.03671827756213775,0.009939508128092633,0.00018134731502184032,0.005504696247651486,0.0004158411419186159,0.008690596321206279,0.0004176209046877766,0.004547130762420748,0.00019092928300690204,0.029517053346141076,0.003915877199406226,0.005076389169126783,6.316102897740983e-05,0.0009288323598579673,6.768163514170311e-05,0.00017239704348681606,1.5980129757009465e-05,6.686876239170303e-05,3.296211282144412e-05,6.342657616897895e-07,9.130410911772913e-07,0.0004203061332364033,9.324938384880355e-05,0.00016345861004729567,0.00011431441779197193,1.3745293153233362e-05,5.928782707220748e-06,1.6280634573817565e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08904744139858045,0.0037412277401538407,0.028415596319031122,0.0004954690682921203,0.0005014105377125766,0.0015587285657945316,0.014184877401979268,0.0011515220926536784,0.00025293626777300737,0.006403290871236811,0.006817460626553862,0.0008402402244374052,0.0018099992967499645,0.00022819391724704374,0.00018922813731636623,2.979770953759342e-06,0.0003025710518818059,1.4322106368425125e-05,3.641075471350064e-05,0.0032968615696236103,0.000430936417622485,6.882758544035639e-05,0.023761885271095462,0.005917168192191236,0.036209435734971485,5.713550785801935e-05,2.0002389339301985e-05,1.1218253977651749e-05,3.2526425555179372e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0598100863212863,2.7743170947447373,0.08786960144878697,0.07782229847130862,0.08292505920845694,2.4546340333961902,0.08222134455572228,0.08177594649971076,0.08636310729278596,0.024018874412462893,0.020910937596457346,0.003452593416702676,8.219229301187347e-05,0.00041448287634923697,0.00015907657407243647,6.0878580719625486e-05,2.0948963266320675e-05,6.975290270716528e-06,0.00023395649774959892,2.6204305852095544e-05,0.00014483361604877842,0.0008006561775721621,0.0005533068131769597,0.0011341498040396136,9.033159975394e-05,2.9621649424022012e-05,1.359034364109557e-05,1.873889873937884e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08216377962160282,0.00602055456244055,0.03502583782919211,0.0035639229328554567,0.08478485881497777,0.004772533866627571,0.03514135985533273,0.00462816402825128,0.017756644946283817,0.0205567114373727,0.0008612958760989553,1.5754232895126563e-05,0.00020185674646899798,0.00046917586244399345,5.270943078183876e-05,3.0945511712676677e-05,2.415784179810032e-06,0.0001696373392423567,2.372281601603632e-05,0.00021758936257043615,7.06332065820714e-05,1.4976498461494181e-05,9.660972120040245e-05,5.397297094367204e-05,4.66862316576e-05,1.697248050402944e-05,2.678989724502756e-06
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6887743711361989,2.0927301339779074,1.8875400553685695,0.17092366873716702,0.00917705343933961,0.008750285678998715,0.0306867156534808,0.004134981617450628,0.013268230737760678,0.0012761197407267638,6.158914480558497e-05,0.0001294633074102325,3.267267371398486e-05,2.553485080780682e-05,6.377633700038743e-06,6.761222272055889e-06,5.6617974509370894e-05,6.546968767784378e-06,2.268655866899394e-05,0.0003267665771477801,0.00019673210183972223,0.0004019264861120156,2.8680819496057497e-05,8.854608473066183e-06,4.489729822532151e-06,6.198523820888369e-07
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023357714110549876,0.024244821134077776,0.030392583820309405,0.0005550874016109208,0.00046317850787058745,0.002351878936111884,0.004261555063992173,0.02529335108866715,0.0015998512846577828,4.666607023762204e-05,9.884221877576316e-05,1.618699838523696e-05,1.8676277650175876e-05,6.932187275321411e-06,6.586320572266047e-06,3.070641932723106e-06,1.570684042828674e-07,1.4834597457102916e-06,9.300589304483964e-06,3.264722285922783e-05,1.0923211136604216e-05,1.5355818270279542e-05,6.0235604801839315e-06,1.385849404011985e-06,3.081556545492248e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02170617905751815,0.007150931979981623,0.00012808727544788567,0.0037349124567855885,0.0003336948646781579,0.00040501109885271447,0.0003656220173515745,8.303770169026947e-05,8.09471851503929e-06,1.402115425608308e-05,8.299562252345183e-06,2.1133125667205377e-06,3.993053063755525e-07,4.6445170376330225e-08,1.057817578731246e-05,1.0383231727750797e-06,1.4498642411098217e-05,2.633967170595497e-05,7.902620998034848e-06,4.015361818832108e-05,2.745037965601327e-06,1.0734904967169001e-06,4.065726344482101e-07,5.372756661792266e-08
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011664828152682771,0.004969149542480622,0.00017743858248087108,0.0008641699006406434,0.00019815954627455667,0.00017425819472771664,5.972054577707553e-05,3.0547451437268336e-06,1.7404594461645218e-05,3.079792849192131e-06,2.534535841647312e-06,2.9817265922993386e-07,6.516229082986769e-07,4.2171239615917955e-06,4.37482834847458e-07,6.365758167259372e-07,5.390567142504743e-05,1.7089987452978406e-05,4.658053232042825e-05,4.308010912446036e-06,9.210334737108639e-07,1.0501237017734866e-06,2.0434535152880073e-07
