,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29H,30H,31C,32O,33O,34C,35O,36O,37H
1N,0.0,1.0198748135221511,1.0256914984068013,1.4696874149761467,2.0938772531084826,2.428729876781447,2.6057315896992073,2.6030278008396306,3.8664354704187045,4.164890012749236,4.516159737560355,4.306229049958103,4.60534526351788,5.578191374725559,4.917545085239584,5.900684469768927,5.07861848340947,4.937651911980971,2.565122325043581,3.663306886292219,2.853955945863551,2.5057030674645167,4.291894329966529,4.810330418018029,4.9373393149967395,4.804728587743532,6.001496375974082,4.950945912664655,5.885798800791073,5.293655816665913,3.96731580405736,3.1822290041414036,4.473882287891814,5.099243417928045,5.014757536959194,6.376367347873899,6.919108094505498
2H,0.0,0.0,1.6330843288774808,2.0498868751041095,2.4606890268080335,3.3247158324095807,3.581069313341506,3.5012049513231522,4.655130908990285,4.806863066715957,5.197714780717456,4.803266416143618,5.348811708054471,6.244173689699988,5.818201831985017,6.755826814691852,6.045109840913941,5.837027259451187,2.6895510477598163,3.7345462274164642,2.7994952743797588,2.5433918172633585,4.181263913689805,4.842978395871934,4.9033402618364095,4.633940326353579,5.921398237122285,5.213508088296238,6.135007352693301,5.661079974681068,4.411638343891959,3.46830792631155,5.124504145949819,4.7007001382711655,4.396596434781345,6.034458340343236,6.456160062560925
3H,0.0,0.0,0.0,2.0489659977024424,2.9420135606596816,2.5621259018730114,2.837896764676662,2.2829071153491722,4.030085546506904,4.255007140690824,4.973532414424857,4.912817972631725,5.125507617170554,5.984173233653002,4.861022380623095,5.8799423189498325,5.068357697102153,4.654152660880937,2.8566623206500448,4.066555224389993,2.735366437171864,2.0517914046418766,4.0744044804756685,4.668750107703659,4.404442335094479,4.204661366590802,5.498906091476228,4.252156573725939,5.098381937946442,4.711661022077571,3.1122433598447947,2.2469398546323758,3.6417997127687145,5.040396998599027,5.063553622637946,6.301191833581086,6.906277416307406
4C,0.0,0.0,0.0,0.0,1.0978225130547203,1.5496574091758766,2.1397272410022636,2.157026321040544,2.6471529912295892,2.8571801882295005,3.205045986172518,2.9282231307742634,3.514417757202555,4.2276673866277275,3.949482898588923,4.80551213014265,4.286985370533146,4.159520234198299,1.545901574212314,2.434285837937168,2.4503340637787594,2.5738573651590206,3.7953971526953065,4.000008859834859,4.730940711528695,4.919246883894635,5.715082584385276,4.716711110942766,5.765856338330152,4.76482287548891,4.009951786944281,3.634330047614654,4.414527826922915,4.705520980567767,4.85707001738767,5.827973250621576,6.448376780665777
5H,0.0,0.0,0.0,0.0,0.0,2.1757796773133844,2.4512510776484993,3.0623151884160644,2.9400596928381257,3.261879738658753,2.9325643259487792,2.411715087451154,3.1071029676702286,3.972966960472033,4.34545090239891,5.101994273935726,4.572068684124127,4.790527541202221,2.1136365683207146,2.5462406989104442,3.2650484557273933,3.5555686007629306,4.537940224718408,4.650966816559214,5.6507768520426,5.852668973090192,6.5808209763797745,5.741761382144123,6.80998667222163,5.718233372453757,5.1027835222407605,4.710743683664244,5.466132855522896,5.236503989678937,5.273349622058803,6.3149150134696175,6.849111774355705
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1002309763300544,1.097975731712722,1.540068043643473,2.1517589655094618,2.5626785665378566,2.8556995675968055,2.802311161790169,3.515816306460687,2.5071312852396312,3.4778548377568566,2.786903690050618,2.7192432147477734,2.54231629562639,3.232534757076755,3.294449259363827,3.240706003892165,4.435495638381344,4.415755775252213,5.097151450515915,5.442097080639434,6.066606635574152,4.607807883393133,5.582093230333239,4.4517026224902905,3.7233955204169447,3.7368138208545947,3.6765483709619655,5.648102555163333,6.038032614997588,6.627610870390433,7.382294998575
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7594036960903194,2.1695795328563796,3.0624403669948466,2.800023990995561,3.214385318210974,2.59032805339286,3.787178979111487,2.7818817128571873,3.797113203247902,2.610189565120161,3.112649739037872,3.466436669526642,4.146481759940099,4.234362657436211,4.061209768958237,5.464878424464535,5.503555902088679,6.0775301281812135,6.321733363205117,7.081987678509273,5.5325858720576075,6.448726316092017,5.432807503873114,4.455970780599456,4.3471085125446365,4.264522768910036,6.627973094069014,6.909936895146012,7.664742720858868,8.386270759113758
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.153576414821004,2.504827111017192,3.4904943440178338,3.8550538822529448,3.7775555621448347,4.318261523222993,2.636109093749111,3.656514760347718,2.9964424535831005,2.3817566406645394,2.856945174777667,3.7326209327294366,3.153757598552479,2.8339929646318183,4.188839220002532,4.263130135255944,4.522257902648395,4.830570540059667,5.514494792535536,3.8087907844782785,4.696826742366373,3.7474487741397846,2.7458921964910514,2.8885405979808993,2.6032310714743225,5.543676457211798,6.010285920261261,6.516981214768359,7.323261766860292
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0977009015054486,1.5359476117076158,2.1774079189275932,2.1876702644043955,2.1855786795999714,1.5375635886258865,2.189978417097659,2.188487683786277,2.178286069843634,3.0566630335692353,3.1981836665277865,3.9724381607063584,4.199876260274094,4.772001776156859,4.3851719209261235,5.533561066071159,6.1334920921904725,6.33719742772761,4.971815352541152,5.933284616476423,4.471441929699688,4.441001299100139,4.805916578409333,4.221664656285807,6.000523582516046,6.590554251884922,6.727431040373279,7.5356966349431005
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.135517955597135,2.4383162547970545,3.0642202584852583,2.5151078257659365,2.1420782884326544,2.491294089099259,3.0698262000454783,2.4848212060233683,2.66868116992561,2.608513321320932,3.4715807422596114,3.8758398005158576,3.9956818649267367,3.4463620882523327,4.809768549872202,5.5394727519498,5.5044967099936395,4.351309384305656,5.332232269870833,3.733635017466412,4.160756131121083,4.651791724130999,4.102503932604354,5.219887459436214,5.942182111509689,5.80836328520613,6.646761023170864
