,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18H,19S,20H,21C,22O,23O,24H
1N,0.0,1.0203900384010096,1.0218203357175235,1.4619632334178496,2.081930191927604,2.450976679864499,3.413189262187574,2.663014919523739,2.72861442513779,2.49388668377552,2.838398051422142,3.664584013899959,3.952338241676952,4.908341275330486,5.0879769685871095,5.38602734682894,6.36169633048971,4.805666278665127,5.923105488670186,7.026808305157297,6.063343649632885,6.1741488262737665,7.234528990055527,7.93802883386314
2H,0.0,0.0,1.6187966890029946,2.03924038756177,2.3241058772553513,3.338146403455538,4.193155309783627,3.57086183901015,3.685033316210482,2.74375845352336,3.042911869042722,3.780268449545694,4.0820111960367464,4.9517815680211665,5.266754655829108,5.152230908916348,6.155767909101827,4.505008409093742,5.459588373285873,6.6605931220600185,6.154357799749419,6.322452466365463,7.287679605289642,8.016652477096596
3H,0.0,0.0,0.0,2.0152492413574796,2.907094355959432,2.7359792689057114,3.723810901114414,3.1061223369756132,2.5962968799817188,2.56585303457298,2.4547951721786814,3.898700941379286,4.396877319814508,4.9555836848560775,4.930468384713571,5.386876253203,6.263699929225706,4.687436839460164,6.182044351142623,7.289427296217692,6.237178548058759,6.506781680442259,7.305527603684755,8.076155926506605
4C,0.0,0.0,0.0,0.0,1.0982389047662817,1.5382590863492314,2.1931566137596477,2.1638830464182437,2.1738484499102007,1.5414527287669553,2.4253379532406347,2.468135266272623,2.62239603983252,3.8300787401819796,4.0833244429053135,4.6184773535246935,5.601453072854089,4.301967013011745,5.21990366597458,6.14420710422842,4.801371538226745,4.800106739963877,6.039377084775258,6.667533479163568
5H,0.0,0.0,0.0,0.0,0.0,2.159086864804067,2.5109503723738977,2.494241656158072,3.0706031678381933,2.167049361162889,3.25467094934703,2.5742643075044285,2.3439489701111063,4.01429472181053,4.520711456585232,4.755806573505244,5.802421117932043,4.590769135590652,4.983861101525318,5.869507973601045,4.762564531201581,4.557627088310255,6.06987155787199,6.601278524438943
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0961001012534854,1.093821049462261,1.096465776388568,2.507483376504479,3.2220101060044035,3.254948969489452,3.279824444118647,4.499242433349615,4.519888649075869,5.609370269123047,6.483133340701306,5.408006639665962,6.415297924144338,7.163329547791197,5.236608471473468,5.086469221236422,6.459781907531651,6.988751095649558
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.784485914258637,1.7750021412277182,2.765035852903236,3.620171469251502,3.0607142553315416,2.894599700943703,4.198112427132183,4.24365422043872,5.505144278705133,6.319785196270915,5.514659727614139,6.3126341872213905,6.871505661090503,4.643288976177515,4.3408969672059525,5.865710787905528,6.282768587649258
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7765580415081912,3.4605483426655232,4.1777088363304165,4.199347113531105,4.0783472353083665,5.515533821242213,5.59991313837008,6.582776750000492,7.499828045709132,6.357418632517161,7.231679061841652,8.013251947348934,6.187070678153964,5.909864002788792,7.44922109977995,7.92803406342033
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74440442385718,3.0440489470464014,3.6857846697350745,3.9545009185771027,4.723582763945396,4.490805758294072,5.810548469700512,6.581397245856488,5.50538649786849,6.8688881707061995,7.627554683337888,5.589200193604204,5.616948801214019,6.6926018126300955,7.287587663653149
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2301899642563052,1.3634505365441574,2.0780991103876785,2.452887927759639,2.629730402146186,3.2112676432710674,4.12832968921209,2.905055595993241,4.162950570549045,5.038701348746959,3.672377393790919,4.005527431753154,4.776880043856284,5.520727703068289
