 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,S19,H20,C21,O22,O23,H24
N1,0.0,1.856363338539095,2.0110055292089264,2.926257371050684,0.086793739181519,0.197528557250028,0.030910368686037804,0.0137597023257795,0.007519716659156628,0.22760467301992532,0.04833658995443358,0.03560975987543423,0.002387259912978945,0.007030785007017273,0.00045776848449707863,0.0008385517748714308,0.00020459133767514182,8.776509440389102e-05,7.171638889076626e-05,3.767097681128817e-06,0.0009587854494044479,8.479562821999548e-05,0.0003164475320378557,9.686486691407037e-05
H2,0.0,0.0,0.027173776615217138,0.10673687603474125,0.007332259923985784,0.03360354531581344,0.002848783850324832,0.0007585307765585192,0.0007954837465984355,0.007758700709034061,0.00317218306160294,0.0004981942991191257,3.592623712189713e-05,0.00017035223878614225,1.2094556871122819e-05,1.164002033371414e-05,2.076394243211155e-06,3.2816328323637123e-06,1.551108047748162e-05,4.98430739348521e-07,1.839811881221287e-05,2.636138605405236e-06,6.308386783726583e-06,1.646836440105659e-06
H3,0.0,0.0,0.0,0.10443784015345603,0.03660672348704197,0.008892294956685975,0.00026997715856080795,0.00016159765396150938,0.004518309893701167,0.018700911391742236,0.048535780365717485,0.0033978515874090176,0.0007928521993387783,0.00042692559841295274,4.535234127711618e-05,5.778058303462785e-05,2.8412179811088123e-06,2.8349952993611538e-05,9.363222461367116e-06,2.856452403499077e-06,6.929525448229334e-05,3.4777971508415106e-05,9.446395885293057e-06,2.4898367183556758e-06
C4,0.0,0.0,0.0,0.0,2.0331386394866793,2.753877294333237,0.08616927267633834,0.09207389419911438,0.08380918957530126,2.519061170808405,0.2742526822594714,0.2260903149259917,0.014538698386071247,0.035384317335796917,0.003258291761365939,0.003487634330089792,0.0006536568490171923,0.0013126474670449584,0.00042982435041295786,1.788848336881088e-05,0.004319722372856494,0.00040419868095036005,0.0012261903535433216,0.00024898348181012775
H5,0.0,0.0,0.0,0.0,0.0,0.0812320681881602,0.004268556229984455,0.005004314177900593,0.03499892725337528,0.09761984352725217,0.023599058949109297,0.011351599012428437,0.007734695182600726,0.0016029385822413644,0.0003418817232789806,0.000195518964124064,1.131201228155021e-05,9.910557997439007e-05,5.0984498216721796e-05,3.2992397589470812e-06,7.595162639462139e-05,8.20281667487377e-05,3.591613390752091e-05,9.314495276191437e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9172908643300115,1.8545447975025176,2.090420305617351,0.19746553794267002,0.038958956287784396,0.029726421592623536,0.0012914524869704902,0.0033836717903845542,0.0003254301185481312,0.0011285223505603723,0.00010676994652791816,0.00020323634345187358,0.0001671042472200894,6.777371349020456e-06,0.0005349082145136436,6.480829716706826e-05,0.00017072036925610407,4.2066897531500835e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025460451292350195,0.023697901580874037,0.007812290813280276,0.001590259239792724,0.0045349643957821595,0.0007559775999474994,0.00027092748717105763,2.625624135710325e-05,0.00023360889544843388,3.40203619242363e-05,8.57102487117345e-06,1.5571091017907435e-05,6.909336665028576e-07,3.29688476936596e-05,3.934180747644511e-05,7.510504504093518e-06,1.1879281860416313e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02463454911753593,0.031288260425719194,0.00625708356001109,0.004153532436573348,0.00021937335728750007,0.0006787643150119038,2.9139497923047486e-05,0.00011341505646167427,6.845208892158894e-06,2.727767094423683e-06,1.8730496425867216e-05,1.25954131369177e-06,0.00015288627335374727,6.9916648152146266e-06,4.528898312627927e-05,1.1040498530068277e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011084744197748408,0.00524174574861791,0.0010886004393959592,5.130539328690453e-05,0.00010996928847317733,1.1843562736979507e-05,3.572585239464132e-05,3.7209163885609797e-06,9.092973800806092e-06,5.488037943868207e-06,1.5970482283300669e-06,1.2653771880311027e-05,3.019939197823618e-06,2.6711436496018592e-06,4.171128902275001e-07
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.023057432582646,3.352744767756171,0.1315159864220593,0.2688695264918566,0.023537766931606363,0.03351372032229308,0.002875970960600549,0.008363943462328827,0.004852949924517,0.00037980573867191225,0.02850675967306962,0.0060037441972078665,0.005694780456408394,0.0011840508811764572
