,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21H,22H,23C,24O,25O,26C,27O,28O,29H
1N,0.0,1.019127902667607,1.024627119045209,1.4713279342088377,2.0956917546829685,2.4242853621411595,2.747561533509432,3.3844146782080173,2.7194077426596,2.0901325091946035,2.487344330510006,2.765757036666446,3.6731773991912653,3.932038008520913,4.936656302723242,5.098777674564203,6.1020016606476535,5.958907752236151,6.3457197423786305,7.410629368824013,8.233349670440353,7.74963083286093,7.646041752696359,6.77686786478157,8.841704120400067,5.427861949043284,5.488305034966161,6.303499840994774,6.787919333277434
2H,0.0,0.0,1.6239249276137389,2.0483962231838646,2.267134272098042,3.2909883548250485,3.7236981949546353,4.140718943699146,3.517608529558741,2.8440193260044264,2.864520716941519,3.1420274311900678,3.918947264901776,4.139215169808269,5.124059231360977,5.109699407562267,6.235472972007626,5.954878294932552,6.618716150153401,7.472682723779181,8.300346427525481,7.900743437891305,7.5094679213313364,6.520093786177598,8.685492218974352,5.830124369599248,6.073166549028745,6.625063399745683,7.214454361972234
3H,0.0,0.0,0.0,2.004311120592819,2.875998690144915,2.826447205120517,2.7542230311411466,3.80716359008164,3.343913678082023,2.756383879537973,2.431999697507772,2.228936838455636,3.7623806441415586,4.258903198677368,4.827990374556394,4.908942099747471,6.1616622222868305,6.168660653049713,6.45385429377552,7.367827788607092,8.27158904337871,7.577532002445004,7.580100875838854,6.758980705507637,8.727923958051875,5.110897168313012,5.19719709832483,5.832524704127128,6.252446805084165
4C,0.0,0.0,0.0,0.0,1.0971200741248768,1.5456253791248855,2.1648446688620195,2.188864254962559,2.422885484707269,2.3452998237847176,1.5394474236085594,2.405946189257124,2.451938276869384,2.566257414588578,3.8480651246077167,4.245287800789372,4.857634414522201,4.735527119402602,4.981285640511934,6.263655169706226,7.005102774426798,6.642180227348045,6.698192759446007,5.954600193764143,7.927810003406856,4.410569361686094,4.407070179048186,5.47853834316335,5.987727534751003
5H,0.0,0.0,0.0,0.0,0.0,2.1555367315761846,3.056486699058019,2.459713871068733,2.7062950330513,2.699816515315402,2.1878601970492517,3.245629516594396,2.617302345795249,2.34896024621974,4.060002509381797,4.442724022081589,4.787557163072508,4.430682703232103,4.924311762040843,6.2245248800287225,6.861133378304663,6.769383897915908,6.598256530191632,5.791306209738303,7.8442432197773115,4.910982048552938,4.993867434718412,6.026194779109185,6.628774938422184
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1034477398825364,1.0953345857696684,1.413996333999331,1.888199662437027,2.5386189452542176,3.2662807173001034,3.233972809361368,3.217228549271233,4.551544257030452,5.206825603748381,5.4367255623065525,5.473255746394928,5.249722861690451,6.903602170340983,7.5484100944274175,7.17364343361513,7.623090240857768,7.0608472486697655,8.84161360446569,4.741934539045793,4.326857203082444,5.925666850795117,6.231083237006811
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.774865332520441,2.0911659994367455,2.4124100916814233,2.6792891313596052,3.020223569946557,3.5239666996628176,3.768723419237965,4.6336291514305765,5.280104966828264,5.685599689672577,5.9146302121714704,5.488735954665223,7.062384415874037,7.775599414233504,7.166216337167093,7.827623874886012,7.346537065778782,9.00147027634091,4.485810227878786,3.940223069587707,5.563573601944586,5.726320909372994
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0432872591330917,2.7855587126999217,2.8588435488813464,3.768055408339105,3.0877791326672903,2.843356125409568,4.329236379709825,5.151434590478766,4.948061318687818,5.002888706778823,4.577982039599882,6.4459264737249455,6.967377406659987,6.743082915803992,7.331409111203279,6.896666426123148,8.538714882626623,4.522377770788932,3.997325997385512,5.813684062634801,6.10539534025192
9O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9799934087281249,3.7740457986143054,4.450861468281466,4.511838457491495,4.3510771871253535,5.894916135655324,6.501180880216553,6.706141597568465,6.617156885831445,6.49706221295347,8.202402630090319,8.799732580205093,8.535715809779118,8.87383875632733,8.232018912672697,10.109150333474714,6.155205230204405,5.71525926558943,7.33055557614948,7.626460652888793
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7746236492639547,4.300746424527681,4.715262572610783,4.667527864985626,6.107309137620206,6.567417591057546,7.051319804166488,6.920695380188272,6.98345790760896,8.510867555426952,9.18525429713129,8.852317339209332,9.03027369177777,8.284914608403716,10.263807189448872,6.429496848669025,6.119463319950863,7.51201267476433,7.850385351150771
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2326360242964818,1.3496560044572803,2.0423004791935218,2.4813216343072435,2.8217648020271184,3.74631981749099,3.8416688626820408,4.033850185549336,5.018821737994899,5.876949889713073,5.284566407006338,5.436824744662392,4.786786141197259,6.6297240894007405,3.0098789465409825,3.262193637644912,3.98282437123537,4.560605727809661
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.280174073218346,3.1671641976000906,2.85831946282227,2.9271670474279525,4.349659746318271,4.619390679791563,4.735584967639239,5.388242584702833,6.3616738227148675,5.456951315684442,5.682627039305874,5.062774492952531,6.780356875718727,2.986273169769299,3.327827827501375,3.615101857673401,4.110124897984207
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0105749244509943,1.4625240115442353,2.107301621722431,2.446859964674923,2.538725533166812,2.748208063820753,3.8193670051141915,4.597675219694,4.210572209739212,4.392572434609962,3.8792168921052,5.613517944329696,2.4323349193709047,2.8466856568583214,3.5495818407233464,4.238566382747621
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.122230579156533,2.8207174480347694,2.4855842178852714,2.273817987641311,2.593583034870921,3.9823341243700465,4.563400046754115,4.550658520134771,4.63216987827013,4.125837491761253,5.868960946144748,3.1795873326032162,3.4332965926151684,4.368545809354932,5.040032144188749
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0930123614791483,1.5453588836963654,2.123790568880875,2.1649887927230744,2.5790339696795295,3.5079846302925626,2.817215971153859,3.22292537646769,2.9997429719514783,4.3716420355390575,1.5236563707128559,2.4423012893330527,2.386921748907118,3.208419481216803
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13628909521616,2.4793449579287787,3.041711602494217,2.682800698351158,3.7290860103220473,2.9378779161197515,2.756734927676365,2.3046297651108323,3.8720549533062423,2.171738888607937,3.287530785232928,2.4762498923285987,3.428169029158273
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0972208062383004,1.101894444654626,1.5316055979279106,2.1564085490224705,2.188110722047338,2.6058383834855565,2.751386750852813,3.7163216585565726,2.523688877560433,3.2185839849974385,3.2658562456442937,4.012912675801422
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7889234761023174,2.1278655609174906,2.529516611715976,3.057262263639965,2.708830022260421,2.516633024594132,3.877026803661993,3.42900845571501,4.107994632739527,4.202690633835881,5.014036193930069
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.203062015235609,2.454025024050815,2.62690519963908,3.5654561552373623,3.8357626596667775,4.560527246511252,2.6810521379147967,2.9550311514639196,3.6295327233498775,4.173246950273193
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0989127161610304,1.0982194660946365,1.5818799840573603,2.411243583474603,2.387827450457101,3.2017376976545475,4.060108437699919,3.350956688202523,4.075251924069017
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7521303130181645,2.184551662874935,3.126127527272104,2.6435524532413863,4.0869252716505295,4.769508944554282,4.304982670616664,4.922930232761762
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.196176593592479,3.126989732260856,2.672680283289534,2.8951988785055818,3.722924476480825,2.7188589645812127,3.2936286001068247
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.263234795620639,1.2491510509756318,4.105648271975632,5.1757997163292755,3.9796912518489966,4.8337058237538075
24O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.277647767126623,4.188518467902607,5.298223937902948,4.221478471373443,5.171077086623096
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.044493426130115,6.104410269741518,4.670450030042056,5.422031999991569
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.214740210864284,1.3531894463493181,1.8654832366954512
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.247975542533052,2.257743282068842
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9758870338166776
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
