 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,H22,C23,O24,O25,C26,O27,O28,H29
N1,0.0,1.9698928631258052,1.9199260828652651,2.978054049896798,0.0831902911770902,0.20030554881110546,0.007006935414129112,0.025769859476467927,0.0942003272834726,0.2076581360813815,0.2027082292140042,0.0662319392567033,0.03280955141059465,0.0027644745664586745,0.006586264742617712,0.00030633321873407837,0.0009030768761350699,5.3215856853694454e-05,9.61043207858836e-06,0.00030424423464399386,7.428364639805451e-05,7.545430974920109e-06,1.6268139010983118e-05,2.645791645040918e-05,7.3996879510068725e-06,0.0008007173922783828,0.00014768054075496584,8.814413013130684e-05,1.2529005534944737e-05
H2,0.0,0.0,0.028891592073603034,0.10300100645499688,0.010214507819991336,0.029308479522629494,0.0006446083044318041,0.0016567732463048657,0.003252974602816483,0.0014791812268812876,0.005188818223496927,0.0019469338664672708,0.00046051763134402623,4.086166123173918e-05,0.00015120125751966196,2.636971088820772e-06,1.1234989603758905e-05,9.455413110259769e-07,4.3614313183226727e-07,3.5823600516016185e-06,1.1174024052706955e-06,2.3372241542141126e-07,5.633194379850437e-07,9.764861536032399e-07,4.004273482793863e-07,4.1081306990986555e-05,1.696052552768723e-05,5.863734979461022e-06,9.352046137500736e-07
H3,0.0,0.0,0.0,0.10341887647279369,0.031223915046016737,0.006509245395931451,0.0026618319809379454,0.00015815432180854572,0.0017084304335104328,0.0015739246854498123,0.03420076201765987,0.09727440559483724,0.005974935784274882,0.0007001528681016556,0.0005117355095529685,2.4749627489883963e-05,0.00012721429864737122,1.5138100441847158e-05,6.864436308706701e-06,2.5499422246388903e-05,4.3403078435755305e-06,1.672457615953249e-06,1.2937620946784634e-06,2.226060106691463e-06,4.1097887892860285e-07,0.00014555607724831,8.72529812385725e-05,2.0735391034865103e-05,2.3170407659200976e-07
C4,0.0,0.0,0.0,0.0,2.0433462481254145,2.786521694533149,0.0870306458682295,0.08923621552217598,0.21638080363447987,0.03510378420972138,2.7256419764460103,0.2878881502987433,0.23549450265698657,0.017015773891856045,0.036929265376679066,0.0020247312708675524,0.003751853553988077,0.00018799913740363827,5.697148390426676e-05,0.001345285595273027,0.0002230664021440898,3.839692256768501e-05,5.778726164487602e-05,0.00011184027889943327,3.926302420877159e-05,0.005648850608514749,0.0014246071877880434,0.0008720096762739465,7.73962149480667e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08054215280796595,0.03582583908909065,0.006358700665260342,0.009437415189328613,0.001583136339683433,0.09069283288770702,0.024144813735332393,0.010831222905483218,0.007364566085785729,0.0013726482457991906,8.673414446969119e-05,8.309730228028833e-05,1.6550413581173373e-05,3.6094863420377266e-06,2.131408685657199e-05,4.706838323098594e-06,1.4862761943401637e-06,2.972466651041117e-06,5.263710053271531e-06,4.096689316002156e-06,0.0005355185297808429,4.134845682057797e-05,8.533238290475698e-05,2.6007087715163024e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0356544971071595,2.0913862151574474,3.1485726221411734,0.11549185347069468,0.17956287684715666,0.03685743418939927,0.03305266901457035,0.001270062992667187,0.0032775040301313008,0.0011243743050783905,0.0002688900288654039,3.484526042063507e-05,2.6975126585560005e-05,5.238266982771078e-05,7.72471315801937e-06,5.174184563916384e-06,1.7043492813645367e-05,5.7498996444624306e-05,1.5305220253378216e-05,0.0012432385842666427,0.0007877127118710581,0.00022314294394254475,2.532683938871738e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023827872801050365,0.1182798815141115,0.007258197032686375,0.012434000869276707,0.005589343553431547,0.00109068569753612,3.3341893532545797e-05,0.00010665499964712666,3.9931839264095714e-06,9.476377657025026e-06,4.5630064371415813e-07,1.4787842963492892e-06,3.0202213783248055e-06,8.188911648776553e-07,7.373470722882303e-08,3.413927842643716e-07,3.9602408730132765e-07,1.5408812004125139e-07,8.8099461435176e-05,0.00033451241374260476,2.8559232766900422e-05,8.643770070815293e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09815796470576921,0.03376541198742422,0.004557790958803487,0.0009675108275791766,0.00416376759785031,0.0011085492195836988,0.0003714709554656359,0.00026011402254777494,1.9223740661766797e-05,3.1382204757068877e-06,1.7926239255006138e-05,1.7945307035915903e-06,2.2725763493269824e-07,8.006606044830278e-08,2.4810238601347123e-06,9.771513000633725e-06,1.1298108496538006e-06,8.892583116071329e-05,0.0002514226781507034,3.063984972362377e-05,2.2492125861806045e-06
O9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7548892936316876,0.038362642510547024,0.009406691919673013,0.006390249023527542,0.0005557674543397173,0.0007185511312760157,0.00019958174506473636,0.00010537426794186844,7.890463762039168e-06,4.629899142960525e-06,2.7525554918486628e-05,3.339230370213997e-06,1.9770430881305145e-06,3.0884313060586255e-06,9.666926853918456e-06,4.008643911770915e-06,0.0003629379223655804,0.00015461610549941107,6.695835022224594e-05,4.475891319244418e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005062566532596069,0.0014464455051594882,0.0008747934996754525,0.00018938745945673574,0.00016982319875047391,8.725795344055598e-07,1.3368900961263641e-05,1.3506386897788047e-06,1.6009092629332144e-07,5.943018124066057e-06,1.465803421973888e-06,2.5735706610241493e-07,1.3425383194043405e-07,1.3131476972461087e-07,1.9339597145950904e-07,1.9297583743749236e-05,9.411743214227108e-06,2.576300909606921e-06,3.1604640016169583e-07
