,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28H,29C,30O,31O,32H
1N,0.0,1.0197792955227436,1.0221102790825654,1.4632071946802168,2.086525439868927,2.4715304564138827,2.7236309226249955,3.412526414395638,3.022792404713051,2.629099560370033,4.383629274912157,5.028810393031996,5.041695483011395,4.497661380099777,3.692175323250764,4.478212767129357,4.380851356361434,3.275044776026409,2.4874140722924567,2.805749178276596,3.6741897036344295,3.9823526523869326,4.922333837568242,5.058924823300725,5.462776594811863,5.691139054317745,6.464922733493096,4.949579042796769,6.058028649478256,6.163317464035841,7.22381095286973,7.9191269390562224
2H,0.0,0.0,1.6208192390515859,2.0398343919934967,2.287488141355772,3.3471367096666715,3.6894773276618618,4.17568334306527,3.8741390042720973,3.46852229091063,5.3109687535727925,5.926783628993344,5.9168267427208,5.494443682849614,4.264375295823303,5.02573229158615,4.933157329141402,3.6120613098409327,2.7870232428329746,3.067941489662271,3.8434525442659417,4.177625380310156,5.040999261751543,5.310861669689221,5.307125049576371,5.405449530319696,6.335692347828926,4.714022757913811,6.232155949458679,6.372192918852333,7.3862231985538385,8.103992087845663
3H,0.0,0.0,0.0,2.0134968907160906,2.8960251579551395,2.8065217456443023,2.6512903527106375,3.7465361844733973,3.553509848696556,3.121518083681714,4.705761198965929,5.371278621616016,5.428928330901476,4.579964497001855,4.49383908519218,5.271840058668746,5.147598241228234,4.215709625660277,2.511192780048022,2.36545808288771,3.8516633642913387,4.367055520931297,4.9006074285685735,4.832417756495764,5.406294378173461,5.809688921831223,6.320633105275146,4.7773919881664275,6.162854354981231,6.441066908478064,7.214253221902779,7.980302915617312
4C,0.0,0.0,0.0,0.0,1.0973353657409484,1.547215116648137,2.150863220764937,2.1705382205951005,2.606373890935921,2.7888528329171436,3.934389811455635,4.282739990933031,4.77043638336113,4.187141410427005,3.145752996969246,4.152673240264632,3.4995289808228893,2.8608893897047727,1.5422480260319569,2.4241928680768123,2.467769455678553,2.616015192326916,3.835383310143831,4.074998012289895,4.65098746182333,4.8624089357725895,5.657990914467171,4.406903976358648,4.778927910415082,4.771808084920304,6.007546478300761,6.626060989227517
5H,0.0,0.0,0.0,0.0,0.0,2.1702223188427796,3.0580133094354762,2.505578918253849,2.8597616661005985,3.149206663709403,4.286578588259241,4.5322369535777955,5.010791668470696,4.7773736074557585,2.8170958544588087,3.833607404779967,3.065209323453869,2.259675974512825,2.1595729347769153,3.2333406332569377,2.580933815423166,2.388831198696641,4.028227244708844,4.526971021398167,4.747975445392635,4.711595467124303,5.807694632818957,4.634336014072671,4.774763650199318,4.564414930857949,6.08248757319792,6.6094479505346335
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0994934108220589,1.1006581677467007,1.5407016687131332,2.1379334391273015,2.519367574092761,2.8025094929410463,3.4838355865321597,2.7541728905623573,2.557652894513985,3.5090849637139554,2.8122572682143985,2.8558549024397326,2.5109005999036547,3.262060309239507,3.214894223758839,3.159073128411589,4.456963028553015,4.492554959769027,5.608447142368491,5.930014395432153,6.511378561278187,5.510819520551035,5.120515004445577,4.963482219870069,6.310216098054451,6.817061365363256
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76110970134941,2.1669314663221826,2.490147955201486,2.6901192288197775,3.0627341899393237,3.701671999016068,2.463252888139767,3.4971460494251123,4.326746553459326,3.797548973173568,3.8625970513696135,2.697330901072763,3.0457889749437492,3.593390861114494,3.7823018483362434,4.618202374801732,4.3901831365943655,5.779977654984576,6.2824600041630685,6.589538488405909,5.588036456110848,5.401860610405677,5.437770731494381,6.456242931314989,7.030904781234428
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.170046574783303,3.0526248300479546,2.775724485240342,2.6078743147309487,3.7907142872012938,3.115907273802597,2.8026982029408263,3.793634216161225,2.6091374953552946,3.213021371059005,2.6981107502851778,3.5964041286601485,2.929041949040014,2.65684320202661,4.055453468428505,4.142736800710721,5.378835891372251,5.677927183209039,6.215923736475189,5.494861809719291,4.421905089377759,4.124588112690296,5.604646755045542,6.00325574390606
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968510762139763,1.5368108006952972,2.1881661634956333,2.1854970200712445,2.190351741643057,1.5359915887168016,2.180637362669089,2.1872149144923014,2.1967922195691765,3.9276199212542218,4.668055948563194,4.606879249919484,4.370523392261836,5.92334700278685,6.0231929383904115,7.0358945052872,7.245256655140233,7.980346542235366,6.922235841813289,6.476851969548145,6.137621964380237,7.707921068602545,8.131998460958554
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1539272788330366,3.077891076671322,2.504414730059106,2.5088122248058986,2.146910199116893,2.516921149519838,3.072124242118026,2.481899783240349,4.198796212383969,4.756237208681677,5.110308484373946,5.021026166127967,6.444614452615314,6.5061996872642,7.411702620907914,7.6367487858307515,8.383016695329488,7.1411741525148384,7.187258571391393,6.9579589390813235,8.412524649656232,8.917834183339787
