 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,H28,C29,O30,O31,H32
N1,0.0,1.9421997021468274,1.8527045580247616,2.9759605935954028,0.08578207375956404,0.18467714035253144,0.007224391710698663,0.027962499951117215,0.03435318011015384,0.03336459662824942,0.004419972884811343,0.0009719775309289247,0.0003488229275576682,0.00013982125028677572,0.003706479396706347,0.00023826727986331342,0.00028781215231998836,0.001546701099183423,0.22388151677940704,0.05364123200347008,0.03442703748081223,0.0024764914008720273,0.007059606494183801,0.00043314559796081564,0.0007841612671089793,1.5856750216425297e-05,0.00021246007268627132,7.477072716854938e-05,0.000995099773639152,0.0001088428007725295,0.00030929211369323806,9.27292574501859e-05
H2,0.0,0.0,0.027446722053245942,0.10990499814121946,0.00882665945340566,0.03129471190531852,0.0007805731317520603,0.002061111686864292,0.001538032370930753,0.00027980743272881803,0.0002495084995487451,0.00011164270449581792,4.791360346034779e-05,7.651783849871308e-06,0.00014219592917452673,1.7267687533184528e-06,2.1573192527490903e-05,5.3402247220279975e-05,0.006232480357153403,0.002640080724085614,0.00042500702501091503,2.8618585675044272e-05,0.0001576355422721054,1.4027279901629441e-05,1.162508069896262e-05,9.060112697856226e-07,1.1635712444668656e-06,9.67880003255317e-07,1.6052582931469495e-05,3.0273471470776414e-06,4.97784394737355e-06,1.3700947476547043e-06
H3,0.0,0.0,0.0,0.10456117287842437,0.034390461464511635,0.007072861741512226,0.0036541231890334647,0.000154166050041038,0.0005640137297070469,0.0002484544077705486,9.302617035755745e-05,3.1451612587662936e-05,3.5594010694417477e-07,1.0679026954285575e-05,0.00032128106781192933,2.297500222425697e-05,4.7748108507716935e-05,4.161048776496479e-05,0.024626728164382383,0.06151192520446236,0.004254101799701315,0.0007109723638509813,0.000494255868421889,5.3434095083959576e-05,5.7997727588410264e-05,1.5943811191299062e-06,6.564836473543778e-06,2.8033603380439587e-05,8.586032816348954e-05,4.583431348847977e-05,1.1636452976859779e-05,3.0479995960508433e-06
C4,0.0,0.0,0.0,0.0,1.9237216459359767,2.617468324891407,0.08584693065267945,0.08858269949437747,0.14886262257754831,0.00894326971263304,0.03245367601503833,0.0006575599323750403,0.004622122081562541,0.0010470616802500388,0.02168856690566459,0.002383572879034679,0.0007400756957267607,0.008994346302134248,2.713529559113967,0.2795744387453097,0.22459783718137988,0.013476722204320168,0.035462853320569004,0.0033708399010434764,0.0034807329819686456,9.67535458076263e-05,0.0008139417362653667,0.0009294940422783782,0.004227834276856884,0.0004300380253058761,0.0012073696482627627,0.00024636695063706693
H5,0.0,0.0,0.0,0.0,0.0,0.0805335034791157,0.035037227318122977,0.00405462330637163,0.006893341758703153,7.864752842623446e-05,0.0010705552360764647,2.786421257683358e-05,7.133796958558314e-05,0.00021272010545692055,0.011996762439530517,0.000861946690610349,6.838290213306841e-05,0.01223827985918291,0.09628097367436594,0.023843469999966338,0.011903917620106563,0.005940221464032058,0.0016796550234567942,0.00039215569009831697,0.00016971625812267632,2.0143709467124182e-05,1.139754507306634e-05,7.193896046708836e-05,8.758281666843004e-05,7.849243455038124e-05,3.918556148452268e-05,1.18911334185956e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9328154951795333,1.9904233087300787,2.840920931873617,0.08558441723013566,0.18052767518746404,0.009355875159231752,0.030463337531896784,0.010746529571878272,0.161962418159036,0.03082177541699238,0.010304203751957175,0.005607106221888314,0.20168906128390415,0.03864799840559345,0.03128747193307557,0.0029638610416486966,0.003320423347670187,0.0003041786679475189,0.0012011534404539892,3.1868079033881e-05,0.00014558681980170185,0.00015827012024760556,0.0005074711095018891,0.00010010916373269507,0.00016935174364932082,4.41236824966218e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02239835637164722,0.08629592346509773,0.004010001638107719,0.013009535841191688,0.00021648719759581603,0.000869156096600987,0.005981094521257724,0.02972751224695802,0.001555014398888499,0.0005029860385370455,0.0005017869239982709,0.011930487444148596,0.004968258079539489,0.001242677881433396,4.3366103355868546e-05,0.00011339529711862362,7.1519117785801e-06,3.318760572401658e-05,8.918459204476648e-07,4.445009341047523e-06,5.7243439794962825e-06,8.832540916881015e-06,3.3087763238182077e-06,2.1570750869948085e-06,3.4706955864827194e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08006196544193589,0.03510425771630876,0.008652816773476735,0.0042999042087905615,0.00047157406801034973,0.00018421099456422674,0.00950028890335708,0.00044259984131067576,0.004968175380714923,0.00012010909452531138,0.009991190070761657,0.0019587806559571153,0.007082352376759582,0.002697812599807392,0.00042986850388659903,2.4412128746709172e-05,0.0003528553626983566,3.799115775970918e-06,5.861355435810012e-05,6.7244643471298104e-06,6.650277755948508e-05,0.00011306467383520591,1.4975065549371891e-05,2.1277383772666525e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.965544371821164,2.7643681261062567,0.0818226392400736,0.08408124700139585,0.08349691530294923,2.759277383104618,0.08726326561733022,0.08130034146803511,0.08332870373232093,0.030543688923233336,0.007937149002914132,0.005223653660457489,0.0007292078823977199,0.0007103032221051908,3.9189944249340414e-05,0.00017662055893266637,3.334750911188067e-06,1.7327075822803906e-05,8.85680061091243e-06,0.00016027667730447726,1.290421065223979e-05,5.0192623369887945e-05,1.2955284045768067e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08343310063767839,0.034877865828520704,0.004687830433752094,0.004329802714232445,0.08466841615717513,0.0037872018730662482,0.034713450317767736,0.005218594377679242,0.0017300079584592343,0.00019636659454047578,0.00048347694443329203,0.00033076309698087947,8.756012824551185e-05,3.916601566844591e-06,1.546507510152839e-05,7.09843719803871e-07,6.315125194111815e-06,6.127682075085517e-07,5.182484456689451e-06,4.6790384310435584e-06,1.6651963635760936e-06,5.144562977843492e-07
