 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,H3,H3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,H5,H5,H6,H6,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,N9,N9,N9,N9,N9,N9,N9,N9,N9,N9,N9,N9,N9,N9,H10,H10,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,C11,H12,H12,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,C13,H14,H14,H15,H15,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,C16,O17,O17,O17,O17,O17,O17,O17,O17,O17,O17,O17,O17,O17,O17,N18,N18,N18,N18,N18,N18,N18,N18,N18,N18,N18,N18,N18,N18,H19,H19,H20,H20,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,O22,O22,O22,O22,O22,O22,O22,O22,O22,O22,O22,O22,O22,O22,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,O23,H24,H24
1N1S,N1,0.0,0.023728379788767295,0.0011233315716596692,0.0008565577339934016,0.00017587105434468953,5.332400390622993e-05,0.0019749240296875747,0.0015891539101144936,0.0006186672057753029,5.51654057692752e-06,0.000152769228389818,1.2194424905284662e-05,1.760274156992203e-08,2.4360842802384486e-05,0.007899781216327506,0.0014086883295492125,0.00790190597022411,0.0013969081466839173,0.0011908631492652533,0.0023635744678118797,0.00013318705726850233,0.0008783415183568621,0.008262637327888234,0.000672998945679737,5.443692597739691e-05,0.00014573134149009626,0.0008358833206243421,0.00010869211036382276,3.9627926508439826e-05,0.00015823411784185448,0.0002071457667256471,0.00030484289533327935,0.0002220432960509111,1.19311611653794e-05,0.00019558361844240757,1.6569699482271716e-05,1.526770972898328e-06,4.173389467343469e-07,3.779867085995647e-09,1.225962689144211e-06,1.1096765066165304e-05,4.510269671498257e-05,5.283775035780369e-05,5.4847678458314064e-05,0.00011930468271592609,1.3636053588506059e-06,2.3514959923698342e-08,1.9688249041749373e-05,9.268536205198075e-08,8.587762340195315e-06,1.629252978779805e-06,4.518670536413083e-06,5.603848212420992e-05,2.6120585436606447e-05,8.598414084293182e-06,1.6057704499417014e-08,6.692521197226853e-07,2.2689914382922893e-06,8.939154992004816e-06,1.3299297409175015e-07,6.182419992617483e-10,3.806974735454105e-10,3.461521681097368e-07,1.035780592267832e-07,5.490067486180195e-07,7.330948284201e-06,7.223747505280542e-06,9.999476010325026e-06,3.444560894294568e-07,3.0106733921453355e-06,4.97759453876867e-07,4.669301498783085e-07,1.9027979192287603e-09,3.8216515912958826e-07,2.030203174185896e-07,1.1969558011415415e-08,1.826107371705188e-07,1.186113608164785e-07,2.152173971925464e-06,1.0930047642521146e-06,1.6334533170514476e-09,3.871290035206698e-07,3.1784932419398615e-07,5.989690932128866e-07,6.426206162757353e-07,5.507285449901644e-07,8.879608537348815e-07,7.813401654566121e-07,9.268154443908827e-07,2.1960215312866183e-08,2.8524490325310126e-08,1.473234123305911e-07,1.0470180000776708e-09,3.8031024163220906e-09,5.614468379100401e-08,1.7587958216491728e-06,2.655390740624597e-09,3.980940688208534e-09,5.616573872657682e-11,2.5200601605490647e-09,3.3447355995974704e-10,5.1272455614537193e-08,2.870373227992218e-08,1.294761409198486e-09,2.3222667344668935e-08,2.985832581181569e-09,4.351931454094071e-10,1.7240557315112426e-09,1.9340024026703873e-09,2.501240312091646e-09,6.835760846257699e-10,5.327187801995592e-09,4.482933357863317e-09,3.8180925088227013e-10,6.567081045627532e-10,1.0070679845597397e-09,1.7126300377867665e-12,9.355503038932511e-09,9.653251309416078e-09,1.155259221619076e-09,8.88744633442684e-11,3.0927892469279072e-09,1.2004158778111673e-09,5.515308210135572e-10,8.065886847319348e-11,2.2798651855282515e-10,8.99114116492683e-12,1.8092527476198939e-10,1.6549897563500338e-10,3.887663524437812e-10,7.629363807382106e-11,1.372604474525474e-09,2.205187143999865e-10,5.398481661700316e-11,3.38860051130041e-11,5.908979971991357e-10,4.148237309209435e-12,1.926819814812575e-12,2.595078318901045e-10,2.754352856904063e-10,4.725077829004221e-10,2.233596640976998e-11,3.293323946884641e-12,3.723092945051576e-10,1.0148792917163973e-09,6.542204555870512e-10,1.937938032270381e-09,8.895595371427589e-11,5.629923194305775e-10,1.1013412404281553e-13,2.826753497942036e-09,2.2851331937800978e-11,5.243305789548458e-13,2.6958713039704207e-12,9.67448884892086e-10,1.4414611171353897e-10,2.2127855103803995e-11,4.670674957907295e-11,3.064215547965432e-14,2.985498515073459e-10,2.3776671076447542e-08,2.0736526273879008e-08,1.2829519224766273e-08,1.3280818045302567e-07,1.5090542149209796e-09,6.986594658364709e-08,3.5432531353407626e-09,9.214865959172869e-08,1.5336496850260062e-08,3.4650561031579485e-09,2.648149755035689e-10,7.227679010846089e-10,1.3310905544461349e-08,5.115931234200843e-09,3.9210051872018425e-11,9.781171428357993e-10,5.286961979322768e-10,7.615413455397402e-08,5.283773418796045e-12,9.47199430001433e-09,7.94830867789642e-12,1.8734531037623015e-08,7.374388433234458e-09,3.747012422561369e-11,4.79219233739947e-10,4.6430199962532726e-10,2.5811602577530124e-09,5.608956632485729e-10,2.764322937220953e-10,2.252066533259267e-09,1.1722980364226032e-09,3.781802648816779e-09,1.8504815457731638e-09,1.3659271491661684e-09,5.11206188491542e-10,6.42175335130446e-09,1.2391576653669745e-10,1.3732357612150636e-09,5.208888875785078e-13,2.8564609011461073e-11,4.8088866222428805e-11,2.9100458154296405e-10,2.502957840988529e-09,6.756482706649081e-09
2N1S,N1,0.0,0.0,0.022668274960960133,0.01721013677122496,0.002018323794189314,0.26511389651494666,0.035959106313890654,0.028431278477554667,0.006535282993627156,0.00045531069520654555,0.005674948730895801,0.00018869879117611177,0.00014962172213128788,0.0003089150348913883,0.10666144791994325,0.1601573393839284,0.10585657680131044,0.1591808456002921,0.0034600180917927492,0.006608033391810153,0.0006924951402456081,0.0075854329744688975,0.08597636811205644,0.042170891842627345,0.006715320476847975,0.029529101018872073,0.199512036042218,0.00860452376590426,0.0025625475681843035,0.009112223107074824,0.017184605757696092,0.019245920613063072,0.006089262224217684,8.34703251344493e-05,0.005410674870736987,0.00012751376416542115,2.341797198224249e-05,0.00015667863610824284,2.340455661276053e-06,2.3705942538310154e-05,0.0006767394288562656,0.00033840506106175283,0.0007748344583036193,0.0004104345247766261,1.6753076259590216e-08,5.961088465067377e-06,1.680103124757082e-05,4.9632956542033924e-05,3.7022281570431304e-05,5.5205380333767096e-06,1.1221122622862012e-05,1.016546809795571e-05,0.0014920991562497044,0.0009100185977999331,0.0006594336817955515,2.5556267706505764e-05,0.001157800502807227,0.0009738023214729274,0.0014013808459774069,2.593737160760945e-05,4.6207447649715405e-05,2.3723371185946363e-05,1.4894978149992966e-05,9.877160976445865e-06,5.494689681917464e-06,2.170475515583803e-05,0.0002713282316419985,0.00029645043332493515,7.029678915415616e-06,6.274094442515477e-05,0.00014747738066533955,0.00023496565281710957,3.798545362210248e-05,3.524027726786727e-05,2.671220075800562e-06,2.79177343198711e-06,3.5564248781039254e-05,7.015586598368984e-05,7.693128870389643e-05,3.8576084690156165e-05,3.6467021042874137e-06,9.258654796173715e-06,2.442284831660757e-05,4.8074165853506656e-05,5.1883854463419254e-05,2.715692427823768e-06,1.9842735410335877e-06,5.59471526884181e-08,5.5386019770509165e-08,4.860101323167498e-06,1.6924889226110906e-05,1.9426197056082728e-05,7.60414442524393e-08,5.881789626682732e-06,2.21899268781911e-06,4.559027085848655e-05,2.555983247276572e-08,4.32467373023826e-08,1.241930390527557e-06,2.5613961662784845e-07,2.4382375491960318e-06,6.102481515668501e-07,1.6466545660343002e-06,7.23267357116697e-08,1.935484559290046e-06,1.350790090892673e-07,3.2673979744046733e-07,4.0309294613294355e-07,1.6798438950971217e-07,2.9578958238296593e-07,3.7203397207363764e-07,3.3459017201309393e-07,7.682438960543436e-07,1.0534782957094535e-07,1.304664309920156e-08,3.4950654370646816e-08,4.499146881720151e-07,3.5753285665407475e-08,5.649237047045119e-07,1.2444830943536545e-08,1.5522625229635878e-07,1.9961528963108321e-07,3.794940273138536e-08,1.2761584611276078e-07,1.2917823921654303e-08,2.3565651652290853e-09,1.4815748627938774e-09,2.9480134111636858e-08,3.7895109272767513e-10,1.4622537403141678e-08,1.5999108704534137e-09,1.2040350050313009e-08,2.8445996225201498e-08,4.485906313078658e-09,1.7165362464766076e-09,1.8029567172561656e-08,4.845983170298496e-09,1.4883862142767157e-08,9.60045110076635e-09,1.5142707310289438e-08,3.11193422142253e-08,1.8747750019088016e-09,2.6727968727158213e-09,6.272414276864424e-08,8.85057902522135e-08,2.6305523981307033e-08,2.0242421516769582e-08,2.394492826240935e-08,4.989653135112349e-10,2.964481993217305e-10,1.3117285035946225e-09,3.3881260019796855e-09,2.444865621065162e-08,1.0273731421150956e-08,3.346455268449233e-08,4.5739301235414587e-10,2.6002708874983682e-08,9.796350841639878e-09,3.2503002955763804e-08,6.094838855830176e-09,2.7689497361649273e-07,2.947190087532192e-06,4.2565921098969284e-07,1.3798623064165128e-05,1.5655587626284273e-07,2.9048205743009703e-06,2.1268784333727808e-07,2.034937790718061e-06,8.931722210725468e-07,1.7532046481250063e-07,1.3504854767809604e-07,2.48367245214709e-07,1.9918338156621473e-06,2.2659462217688997e-07,9.337419726307417e-09,1.4300046613513473e-07,4.650506149062039e-07,5.135515713572403e-06,8.74995356170416e-08,3.310785334775801e-08,6.235171801094452e-07,1.5651455136378445e-06,1.3411932187068487e-07,1.8848078653377343e-10,1.0098390035295779e-07,3.777563062357103e-08,4.466261998015142e-07,1.2939348792428973e-07,2.343306437779802e-09,9.561469616059526e-08,2.8055755141309646e-07,1.5262173747032648e-09,7.624911013692781e-08,1.4046649177146264e-08,7.365378085211205e-09,1.3759895534093403e-07,1.6378933764826797e-09,1.0926336857508545e-07,1.7364798199359655e-07,9.560718439161064e-09,3.841610052290889e-08,2.372032161801485e-07,8.201064760626764e-08,4.792256667052186e-07
3N1P+1,N1,0.0,0.0,0.0,0.028635221468277017,0.00035177784699413905,0.02223233909490352,0.18169226980403952,0.03217134042977943,0.0011491320653642667,0.021129180658850055,0.001825402026027989,0.005578162834874112,8.984373516485178e-06,0.004661686166746337,0.2753999692135034,0.14453846435361228,0.01107579010323656,0.011105921959741138,0.0005526742943937624,0.0020130143196976924,0.0023925621100779892,4.162642008953554e-05,0.009887540672180783,1.3592196631773135e-05,0.036606983981105845,0.0014381914592278555,0.00011809522589301125,0.0045326783429331385,0.017448231092606292,0.04496559270890588,0.0050778149074703904,0.0006824031841248246,0.00027101671106732894,3.153954372470125e-05,0.007346878878586871,0.0013155801874891182,0.00037171900572996464,0.010810600190584108,0.009451886404202359,0.009472861050139336,0.0008195793766510029,0.0018665888376858675,0.0002906934886013346,2.6173641517690527e-05,0.0076710025333643905,1.2344569300104524e-06,0.0009447235726074421,0.0012672762551588779,8.312696269929809e-05,0.0013303034637623945,7.362022771650878e-05,0.001314573745573533,0.0011074599588778433,0.0022590502012920233,0.0022653330745154854,0.0007032155394837147,0.00014489785448335013,0.0001567263623889481,7.731776077157804e-07,0.00041953447750731065,2.0365508859532255e-05,0.0004076039619675953,0.00016522806653096467,0.00109688213098047,1.4602742987479544e-05,0.0006067991050451305,2.6991017958888364e-05,0.00039668058981057186,0.0008244587924566282,4.174297714509834e-05,0.00024196504151019482,5.9783504904764584e-05,1.8286454948057695e-05,2.3593783810893498e-05,0.0003988656420601533,0.0011176909941685853,0.00011314078242530279,0.0008511440414771254,0.0002086524627791242,0.00040140849097936027,1.1865405981081878e-05,0.00031666179131040195,0.00023776492482063816,0.00023546652750461305,0.00018251828257875857,2.3566986803835732e-05,3.3357782763587807e-05,2.8825386522157714e-10,5.0323408744112896e-05,9.05910202808613e-05,4.739268771647431e-06,0.00010766739669354486,2.6062436169205228e-06,8.920355874830754e-05,0.00012030111607330696,5.465505349633304e-06,4.186857760490881e-07,1.1458447843004649e-05,1.3897562161080401e-05,1.0836977630823696e-05,2.820220551535968e-05,2.2329824744815596e-07,8.355990566144555e-08,7.3154322057789045e-06,3.2892059698141907e-07,9.674597359676795e-06,4.27323879836905e-06,9.874598844383797e-06,2.3419270267721615e-05,5.660986027056225e-06,9.319033755783579e-06,1.3771093799519463e-05,1.5608042192027938e-07,1.9492362124395868e-06,2.793661035838113e-07,4.6039085250804135e-06,9.104034033757813e-06,4.827330198242663e-06,6.792956743773004e-07,1.0284348785916109e-06,5.038177302019164e-07,5.935902871012644e-06,1.1949457996429658e-06,4.907238149165494e-08,2.665045233385399e-06,2.6147925804576033e-06,1.2466895027429814e-07,1.0888274166731549e-06,2.6175723810695217e-09,1.6784713752215907e-07,7.984747467659759e-07,3.78323148986226e-06,1.883880961894846e-06,1.1582343084626245e-08,4.789087348910925e-09,3.5082337270786468e-06,1.6268314624312552e-06,4.370852082491439e-07,1.0385457249739716e-07,2.0943467626821644e-08,9.36286803643327e-09,1.7162386267699503e-07,6.175245648165628e-08,1.4772819425523664e-06,7.239453481133751e-10,2.3324653661838113e-06,1.6040208050682736e-06,5.510741551972842e-08,2.8055256517944827e-07,2.7001043134688985e-07,1.7279633706124287e-06,2.5189139662984417e-09,9.463159522660192e-07,1.0733028221743268e-07,4.5109901436468647e-07,7.245190847271488e-08,2.0321145655088912e-08,2.4635640727410646e-07,7.183893568907251e-07,1.5153008727786244e-06,1.5521392955353264e-06,3.074543099446103e-05,5.5907795406984206e-05,3.549826868631811e-05,2.648372378732944e-06,6.075474133115932e-06,3.656160368814554e-05,1.1839596105733818e-05,9.371300406346705e-06,2.3223115119597182e-05,2.891601242316355e-05,1.2171942160854599e-06,3.725334796200741e-08,1.3170487248803653e-05,1.1288306867029974e-07,3.7701880821749967e-06,4.5900946107124696e-05,1.039045761430657e-05,5.402297726497807e-06,8.498722881000731e-08,2.060846049412035e-05,4.7603551012187495e-07,2.318545355706192e-11,6.514904042909109e-07,2.9114383903738883e-06,2.327339140517637e-06,2.0955466768501907e-06,3.802322352308707e-06,6.660537366087738e-08,1.1534316879391326e-06,7.99712045163048e-06,7.995102726532366e-07,8.926278836085544e-07,3.662867653630997e-08,3.813056535850734e-06,1.6446185444607408e-06,3.964218819874077e-07,5.541637257966414e-07,1.6948182739451312e-06,2.553084639256298e-07,3.274024102939421e-07,2.3570977747411348e-07,6.406625963073509e-07,4.068340742513499e-06
4N1P-1,N1,0.0,0.0,0.0,0.0,6.065737952098971e-05,0.017783363328803148,0.03157870862382994,0.23004392565504306,0.0001928712482266448,0.02407391783018209,0.009899868400154554,0.005407882757777482,0.0014816882238735118,0.013554590490636675,0.10978330831866856,0.0705637381485591,0.26626304804720746,0.14237504619498953,0.001998604337025922,0.010377118455375811,1.0259825339531403e-05,0.0008236055822314903,0.05130775853396585,0.0019127655225195106,0.0011918883808434977,0.019512709734920364,0.014747042130267562,0.005312029910007121,0.004642983388720268,0.0011113110427689588,0.022649317001221636,0.02667835186171663,0.007019758059174652,0.0018318857454140414,0.0012733356836900356,0.00022646913977508731,0.0002966871428267126,0.0072776524719055935,0.011063988841056194,0.0019155238044001877,0.0012244531952423365,0.0009304505633958016,0.00032524159802749253,0.00030530795210292894,0.0055950554714150336,0.00029522245079505183,0.00027230128318822544,0.0016291065253788428,0.0002127718783946353,0.0018694377183938737,2.11257368756268e-05,0.00043126739088972244,0.0014632458265926296,3.454296040095173e-05,0.0006183260012861957,0.0002959942299982643,0.00033403773010665105,8.098373180809304e-05,1.1799665385225921e-05,0.0003613560371347191,4.676378323242858e-06,0.00034359649160964345,0.000316256304375262,0.00014278490319785675,3.298523803052511e-05,0.0011790599041572314,0.0001381203178514312,9.439815413436747e-05,0.0013403303491816843,0.00014294183677288075,0.000295700139290922,3.7251569938945295e-05,2.345864562114386e-05,9.75022611759968e-07,0.0005363506503974769,0.0013644314994536444,1.2116306624676554e-07,0.00044502201332630165,0.00023829124972252202,2.700505173169887e-05,1.0972092173044956e-05,0.00030470897439771605,0.0003865562742721984,0.0003449268328896693,0.00011299983112245116,2.3650296740118648e-05,3.0528590614142814e-05,1.626173806279496e-05,3.2789566156044e-05,1.4344673448407619e-05,7.958334813373824e-07,0.0001436163666932444,3.8099905770305753e-06,5.204751572707167e-05,6.39987239012818e-05,3.256038105803327e-09,9.062347661181747e-07,2.4894730341173954e-05,2.3712321462809882e-05,9.78887627578473e-06,4.31797192450567e-05,8.845292129855409e-07,2.660368132012536e-06,1.3567752429111124e-05,1.190557789687574e-06,2.2732534321612263e-05,7.801569344101367e-06,2.931153976093448e-05,2.0389075821691804e-05,9.980273959486752e-06,1.4159198622465397e-05,1.138241197429224e-05,1.1703660005579763e-06,1.5655586249607722e-07,5.40930781500748e-07,1.2364421360544497e-05,2.1871192679157048e-05,9.753527077105417e-06,5.512227438941864e-07,2.6468597034146057e-06,2.9760762743080704e-07,6.966967146748715e-06,5.4213841096384385e-06,2.952812039325181e-08,3.3715749945262274e-06,4.870820742075566e-06,2.7097374188933543e-07,3.058510973152906e-06,3.2263420823852584e-09,1.358126939798865e-07,1.3001909704435377e-06,6.726003378698664e-06,3.426121153449202e-06,1.0749694290268508e-07,3.796762015895183e-09,5.7185911086499175e-06,2.1414515165574244e-06,1.106739937695167e-06,1.796217936611555e-07,9.662385425102116e-08,1.0205898348658593e-09,5.793590232006096e-07,9.854756921612307e-08,2.700991572179845e-06,4.37696323629666e-09,4.258214158170404e-06,1.301847202039852e-06,1.848359998390947e-07,4.7465516406219876e-07,6.683821318631544e-07,2.2813912483599097e-06,1.0652432491653485e-08,2.1898719710922165e-06,5.669355538362453e-07,7.079141686183732e-07,2.5418125448872786e-07,6.576383881906622e-11,1.3438960655420829e-07,1.3489120425091983e-06,2.632296193461059e-06,7.089187425979304e-07,7.990943792890448e-06,3.2488418308940226e-05,1.2558099396375866e-05,8.080796143339342e-07,4.542157256093304e-06,1.1196163803628423e-05,2.7655441314777818e-06,2.4642318967593724e-06,1.993367079200503e-05,2.5687513977690202e-05,6.572846891206297e-07,9.292478719835628e-08,5.384276115627529e-06,5.5622759731477345e-08,1.7140256303171952e-06,3.537537912423616e-05,6.398544170060916e-06,2.4902197721665686e-06,1.3329844605891594e-07,1.4865382490292234e-05,1.0017118157179539e-07,1.392448734094387e-08,1.8275026647529558e-07,2.1508986016716136e-06,1.0006136828000223e-06,1.1292040240640233e-06,1.4111889632406616e-06,1.0239169734305165e-08,4.169091574190986e-07,4.49885276543327e-06,6.634733886734523e-07,2.144872279785659e-09,2.8913401006747108e-08,3.886243403972145e-06,1.9453320905249427e-06,1.534540734482448e-07,2.530798104416476e-07,1.96162533105948e-07,8.898203063267829e-09,3.4359254730276234e-07,1.2584144593041913e-07,1.6499732691244162e-07,1.918805276446278e-06
5N1P0,N1,0.0,0.0,0.0,0.0,0.0,0.004292460728227976,0.00035454905606036036,3.606659125132694e-06,0.2912671263101836,0.004405275284996568,0.005516234824931132,0.010399074331139069,0.024513208891500327,0.035302532248655316,0.057961634225690783,0.03981516990614287,0.17496560629848057,0.111964993912117,0.013773397213242333,0.09881307523417604,0.006091420074391785,0.044340641725795216,0.290624592158542,0.039346236434631976,0.0012095093028046122,0.018938854251115522,0.12337706313169994,0.007448193377394441,0.00011666730118187196,0.0018336046746825208,0.010593756911682961,0.014743913810460585,0.005464257924676197,0.0003396448803210106,0.002780424270403703,9.12082819586324e-05,0.00017143799525154435,0.0014528380929967888,0.00224251940639153,0.002521067914140307,0.00023099810488336203,3.588661395603765e-06,5.185006339036846e-05,0.00033431681514128897,0.0046708487831272905,0.0014007618662330579,6.132812817583044e-06,0.004504373370789461,0.000738445410052746,0.00443978286243385,4.839526928090976e-07,7.210638131027736e-06,0.0006201484677692548,1.4322857546655854e-05,0.0004052516498762593,4.641966500962269e-06,0.00027156292931929116,1.822567194498248e-06,4.339667122765789e-05,7.40397561724837e-05,2.18970113685657e-05,1.1357011140411544e-06,8.496579166550333e-05,8.85125989591451e-05,9.439240391340142e-05,0.0029134611435028823,0.0005264827678703732,0.0017521743804294054,0.001357312689633794,0.0006881646590701784,0.000211898555557255,1.030427866588468e-06,4.5537518644778174e-08,1.5510998172763024e-05,0.000739923817535848,0.0005789196828787091,6.592496503543543e-05,0.0004917823444634539,0.0005101867151839912,0.0003259213967146124,1.326147489799645e-05,0.00035247323636600214,0.0008592183095594841,0.0005350221954438794,0.0001253793588240626,9.200081776405966e-06,5.1610939323154525e-05,5.265392964304283e-06,5.392670796577903e-06,4.804173237937803e-05,2.9842473141528103e-06,3.2967669435279845e-05,1.1127837336255553e-05,3.1141259595246495e-05,1.559606292556026e-05,6.682347875042183e-08,4.0191590167104607e-07,4.26857390278812e-06,1.8808520403368334e-05,1.980464973794227e-06,1.6074339592275777e-05,4.2227834873287406e-07,2.7202311647656074e-07,1.479206594101612e-06,1.8935497019256786e-06,2.781591982259357e-05,4.1236100634112205e-06,2.281023137706839e-05,1.2265555875634604e-05,1.5554568603581842e-05,9.227488168228604e-06,1.2193769439061697e-05,1.94868692604544e-06,3.4296093609498257e-07,5.096966986251061e-07,1.1491475466307577e-05,2.4440633762612407e-05,5.347794878041157e-06,2.025689633811112e-07,5.752847678230921e-07,3.942154624958505e-07,4.6651294707267255e-06,4.533079916324567e-06,2.429450491892027e-07,3.6658311657333797e-06,2.1480415317576274e-06,2.2513522757172666e-07,1.65564786369643e-06,2.2555906031840323e-09,9.037973525138909e-08,1.9391704428883827e-06,6.385108916706628e-06,2.2153030743155e-06,1.0996120192174885e-07,4.0536940026925095e-08,5.29733913845476e-06,1.2935978657147018e-06,1.3446665321215079e-06,9.089462738032239e-08,5.973729511055126e-09,7.209023666909786e-08,3.4935930903756685e-07,8.377739524334515e-08,2.3774544084531612e-06,8.615837376879654e-08,2.78835562816937e-06,3.6375094891738513e-07,2.1734157451547276e-07,1.8450839212036385e-07,6.919543227290603e-07,1.5709190548385266e-06,2.5389785829332823e-09,1.8657345155492777e-06,6.847634033135819e-07,1.4678723969652197e-07,2.401285246200757e-07,6.967493249021572e-09,2.5631546041182673e-07,1.1775293540239318e-06,1.95611606157442e-06,1.7429882652741924e-06,2.9169591312605547e-05,5.4595035572369e-05,4.2321733572769915e-05,3.6195314345732754e-06,1.277742899352674e-05,4.414954727938181e-05,4.56460147768567e-06,2.4522675512450576e-06,3.9104344531359914e-05,5.7233473215401176e-05,6.166730626810946e-06,6.661984366385099e-07,5.41028585709924e-06,7.425703296704e-08,2.3336191787848293e-06,7.491232883083399e-05,7.460156469019097e-06,6.002111112124453e-06,1.8331902484902685e-07,4.060910867220713e-05,1.7007365160637278e-07,9.854885618665321e-08,1.5748435533424754e-07,2.3505260335898726e-06,1.665279309337464e-06,2.1450326950223086e-06,3.248825037660552e-06,1.3442121860052225e-08,3.402126553808671e-07,1.648253278929701e-05,2.7093738337313766e-06,7.462306772509919e-09,4.041941892296563e-08,8.94725998801249e-06,1.761345328255004e-06,6.519629280887784e-07,9.933362963288062e-07,2.39261925738532e-06,1.52498390360023e-07,1.040729520340733e-07,1.1403205892879242e-06,1.6942776071005028e-07,2.7705851259884895e-06
6N1S,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.033189450036874124,0.025406233215524043,0.004621329934735741,0.0005992733026729535,0.0057936185442786226,0.00026363613532143226,0.0003282135701165867,0.0002859010609539414,0.09668545959859376,0.15254735684180787,0.09632326666080004,0.15164919842818625,0.00023150833610374733,0.02623866441435352,0.0010594158994368108,0.005003210324853846,0.04457138398827265,0.07269098362085202,0.007089602787665683,0.023679721766399098,0.15058420298518094,0.0064330345962924085,0.0022078671148588747,0.007790611885278409,0.012922467754060474,0.01565357109302634,0.00017484999015193736,0.005751805212626415,7.152394381115812e-05,0.006103245132307755,5.9267853084410405e-05,0.001201476670106949,0.0014644021548395614,0.0005158481206022358,5.2089768981744555e-05,0.0028204452434232863,0.005519568062945179,0.0026276347365437047,7.949443012877921e-05,7.416666209270062e-05,5.1341924918624215e-05,1.30142705923042e-05,8.804687319319271e-05,3.965327256083562e-05,2.6699440436317445e-08,1.4012575828559193e-05,0.00033045586486712963,0.0002879167152691764,6.3085463932743835e-06,3.5664211002206514e-05,0.00015512737498646345,0.0003467228222748808,0.0003886015227472228,5.213854550323305e-06,5.078504076605483e-06,2.2962457509434486e-05,4.748109862395822e-06,3.660402609129143e-05,8.630392318575986e-07,4.27300326233393e-06,2.0706820451632524e-05,5.243643506069873e-05,5.54136286790019e-05,0.0001373074961241727,0.00011971088413753606,0.00026215582233746204,8.00826988314185e-05,7.3503903086358235e-06,7.709636978403545e-05,8.354475702154751e-05,2.3685841388232376e-06,0.00012310599356335494,1.4293274007481926e-05,0.0001314074962024403,9.543184584792641e-07,3.198830320316759e-05,1.017438191874831e-05,4.97173913682758e-06,4.585517225486058e-06,5.2283358244142875e-05,2.5451444637614173e-05,1.9233169677335127e-05,1.4171088674963528e-05,1.3843099511134938e-07,5.63284277665943e-07,2.4283575842387606e-05,6.794935725196183e-10,3.4871463190366825e-06,3.0252029925570412e-05,7.404475373418151e-05,3.1301035541275724e-08,9.382027772453227e-07,1.6484066431843303e-06,2.6098864713830494e-07,2.1510388146239734e-06,1.1203913459212345e-06,1.6683236165881965e-06,9.162913094939995e-08,1.7993400547311467e-06,1.908258494998094e-06,3.072964860351135e-07,2.831387709179012e-06,1.299983455327336e-06,2.0305400227904613e-07,9.043962450050458e-07,3.5480555382605417e-08,1.4627580924297945e-07,9.952230151100139e-08,3.12911339062083e-08,8.603782308824748e-07,1.4841029534196082e-06,1.4472611868932006e-06,3.111931792254552e-07,4.5123798741997234e-07,8.377387228364341e-09,1.0122442315463331e-06,4.1930165695092114e-07,3.311785667925449e-08,3.0461833699924057e-07,2.282924447261081e-07,3.892091027246636e-08,4.1082492341359966e-07,9.842691106598522e-10,1.7518596795440544e-08,5.357436201336441e-07,6.243483201551214e-07,7.209221664083998e-09,1.2979302077553712e-08,1.0106366232776054e-07,4.916844442703905e-07,1.400943139273636e-08,5.7499830896645676e-08,5.282184623034425e-08,2.3796393744390798e-08,1.9946917229063388e-08,4.557849986319695e-08,1.0256978155709362e-08,3.1097665331714097e-07,3.942620452335177e-09,3.823910028621924e-07,3.2283503870189634e-08,2.583409441925255e-08,2.4007258847547064e-08,3.086997590884266e-08,1.2960898576608315e-07,8.122216232919754e-10,1.4502698841845074e-07,3.544972382307776e-08,1.504508324590148e-07,3.5692510724771864e-08,3.449476260186657e-10,2.1616285206249586e-08,8.31162223491333e-08,2.362921538434648e-07,2.7286569892481793e-08,2.0084154339627958e-08,1.9673938207454e-06,8.916337734810043e-07,5.855064166837565e-08,1.6906507900316115e-06,4.186688244978143e-07,7.918450081412232e-06,3.1171233061400017e-07,1.158559078673349e-06,1.0978836946229364e-06,2.3905040169580616e-08,1.0651706918718418e-06,6.385257320662419e-07,1.0187060750510568e-08,2.977805482196061e-07,1.3512518588498779e-06,2.8438543475672873e-07,1.4396742464839463e-07,2.8237375993001024e-07,4.3834848151291794e-07,5.861747300883735e-07,1.1896276808087691e-07,2.172804181022059e-08,2.106276395519302e-07,1.0749608470028704e-07,4.579576273755492e-09,3.9375380511685876e-08,8.40834291082615e-10,3.165996131926363e-08,6.415728703856871e-08,3.7119756690628947e-07,1.3485962035986176e-07,3.8084246867242655e-09,3.0570024334153345e-07,1.2958523143424827e-10,7.482869834873895e-08,1.5826787902462058e-07,8.252429184452126e-09,6.133014540665727e-09,3.576195117815928e-09,6.229328164408798e-10,8.346857161001253e-08,8.464497480709099e-08
