 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,H15,C16,O17,N18,H19,H20,C21,O22,O23,H24
N1,0.0,1.9088167099640034,1.9356339922429224,2.930384934716007,0.09702276693014333,0.09355631099836992,0.23307050679437585,0.041042310580055266,0.03618808543683695,0.0028190129565085487,0.00788098013629318,0.0006425725837387875,0.0008017998299055945,0.00010400793686760057,1.3659334129112466e-05,0.0002710813924249045,8.448733363740357e-05,5.831324933421034e-05,1.1331932969760317e-06,1.4379229289374074e-05,0.0011982384157074588,0.0004850416775355193,0.000137059797490513,1.530921430814569e-05
H2,0.0,0.0,0.02664783344406474,0.10665918605896774,0.005077897514178753,0.036628623868447896,0.013453812296089107,0.026047850211930346,0.002307543639989418,0.0005868277142870859,0.00038992173459517776,4.496637606110632e-05,1.778566821220018e-05,1.2684463586154493e-06,9.529293992560639e-06,2.6957055390131046e-06,6.91923652818005e-07,4.37148570786583e-07,7.401579216193e-08,2.2684187639399056e-08,7.012200844846994e-05,1.9282342292314958e-05,8.651034854145756e-06,1.4552306082382671e-06
H3,0.0,0.0,0.0,0.10634781545579008,0.036356593362130596,0.006388728217240125,0.009208338438527308,0.01063036843445253,0.0012698772531603009,0.0002699528038405674,0.00027124291285895996,1.4910406949120159e-05,5.4248048007465854e-05,2.4982705484344336e-06,1.506166724674074e-06,1.039382821277357e-05,2.498041653531402e-06,2.6111403310657977e-06,3.0604969225578316e-08,5.903557454001174e-07,1.719710058323276e-05,5.6778584706096424e-06,3.0376343496119063e-06,3.8614729414021554e-08
C4,0.0,0.0,0.0,0.0,1.9882331322790325,2.0206895538633898,2.696184211651469,0.2853064873244974,0.22181942620283718,0.015978269497355257,0.0361131632669508,0.007710534908608513,0.0035271501396148264,0.000230478886151797,6.942576676105539e-05,0.0012022097669147636,0.0003121710874150335,0.00024841162007864515,5.758852744341958e-06,5.384859929735697e-05,0.004780750462683836,0.0017820350423712605,0.0006281609168238,2.7647741319247743e-05
H5,0.0,0.0,0.0,0.0,0.0,0.025660066277660043,0.10380149684010176,0.030830025547586293,0.01213097489284587,0.0017085183443801277,0.001380766354618146,5.430385102167534e-05,0.00042063856897489593,3.062177649426623e-05,3.245301654963839e-06,7.789379987976908e-05,2.0657603605589436e-05,1.9756674652593453e-05,2.1579052100761942e-07,4.556915284892327e-06,0.0004668008241208721,0.00010995695648841064,8.389636823302737e-05,2.9208501477473447e-06
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.09753532184925762,0.030474348235931203,0.010960615868713441,0.004491494318950684,0.0015261946040090457,0.00018484155552211945,0.0003089945105786418,1.5573728928020003e-05,4.912227537845482e-06,6.693704694238356e-05,1.9075339072083253e-05,1.5732329533668654e-05,2.420689366733342e-07,3.5126886130942836e-06,0.00024466389102850705,3.9013703502455144e-05,9.365396722371688e-05,2.484211621966992e-06
C7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.966106703787589,3.412835189353428,0.13137291672607965,0.2601343602045815,0.02991173005248937,0.03232902781712638,0.0014968841274702882,0.0006523116846195443,0.005450767725136363,0.001299348831152597,0.0012866509787079483,3.1268237348558436e-05,0.00023450537814873051,0.034810889399356726,0.008029473619587307,0.007322222625417235,0.00042680732840616464
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5407472309376009,0.025838495272156203,0.06846953191307986,0.06135038487622524,0.01030973689014586,0.0002676034549572437,0.0010010964162888714,0.002405934114882463,0.0005092966025795898,0.000455214965132969,1.0430766378521916e-05,8.390943135783147e-05,0.014506995707875447,0.004505217494133934,0.0025546475897392507,0.00024899583424708993
N9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918822600351767,2.8588455494472247,0.10442461584742702,0.1859749495596683,0.013988136789677807,0.004766936636178443,0.03135208896956171,0.006249469586566747,0.005176017704895425,0.0002591313445645671,0.0011305301015406277,0.218932653941403,0.04330480045321032,0.030444208946428533,0.0022285886695412316
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09482853626576537,0.032575417419483,0.00795552627147289,0.0005654160389523266,0.003006050679658534,0.000976757278253193,0.0006740264074595048,0.0002410788250984952,7.895396180179759e-06,1.897890336466368e-05,0.006872411770143194,0.0009763894609479129,0.000495519656523502,1.6196247800914776e-05
