,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15H,16C,17O,18N,19H,20H,21C,22O,23O,24H
1N,0.0,1.019873967520393,1.019714695906276,1.4522679278493515,2.0874347613409854,2.089793126232772,2.520207246320197,2.8181272282324934,3.740439414446308,3.9935246711027523,4.998448972685618,4.918947330376126,6.018024416680917,5.695004503978925,6.453306690298343,7.2480710101106665,7.446396257627054,8.3142141256549,8.243465541582623,9.103723314616374,5.831125943898061,6.927249067909879,5.500493504358021,6.307412865877748
2H,0.0,0.0,1.6110506649028595,2.018749506329362,2.4158773172595107,2.9269355810827733,2.6575242927668077,2.607900600993438,3.9739743430966716,4.391089463414783,5.078930943097709,4.823769202771008,6.009118084837626,5.570052267978484,6.5816645188271385,7.1190983880915715,7.151930525105838,8.285189386771176,8.337477227571794,9.019399941712548,6.084529824408758,7.220229279343158,5.822606093924419,6.697462578892665
3H,0.0,0.0,0.0,2.0245508873703613,2.9305727783286684,2.3805425189256955,2.7271476955378224,2.80583412364322,3.9640224751359447,4.316304884388741,5.108082805183648,4.944050525916497,6.31599903662112,6.139664189946342,6.783666730133702,7.467897596596208,7.673710335971523,8.473452336001195,8.355342380621678,9.217019190463018,5.736615656261854,6.868592523404493,5.179157780038321,5.922971434461387
4C,0.0,0.0,0.0,0.0,1.0995000518050602,1.0985723158249039,1.5405013720156653,2.4237314878745884,2.458185726458826,2.5660804995380917,3.8417976880968845,4.008221427058999,4.775965623257838,4.513276194764439,5.093616115972538,6.120244827701244,6.480684432319753,7.114661595953724,6.985860428707491,7.966741005179122,4.6980305221672465,5.710719405032779,4.5946421440246805,5.414222013747628
5H,0.0,0.0,0.0,0.0,0.0,1.7573354386463218,2.152530860876576,3.0746413016837013,2.756219927462055,2.6536884403058356,4.128186171153597,4.397678860022948,4.727917103519136,4.268723891565798,4.967343946497684,6.128961338146489,6.478411160265133,7.163185254368,7.092931630075405,8.053744144385295,5.165454030963245,6.074186898082632,5.312766165777229,6.145604890075332
6H,0.0,0.0,0.0,0.0,0.0,0.0,2.167989030568143,3.1751669567139573,2.670179148125075,2.474753333370519,4.0870463502711605,4.450931466659725,5.079924266173136,4.991898252865782,5.203112475057836,6.490947446322654,7.020335265083996,7.326156228560746,7.0460825578085045,8.21594031052416,4.631599566288692,5.541321416165488,4.443307062359674,5.127927594794149
7C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2220185928997116,1.3748893927173065,2.06591265399575,2.482810292630421,2.484146071389764,3.5905153039408932,3.4665506841227995,4.120576993356249,4.785517653729174,5.100684083856004,5.8078676490418095,5.7472595986390775,6.594725746450114,3.466905755015532,4.574827848368817,3.444431925515902,4.3685489285008705
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2825550601575366,3.1710999433713196,2.829817441430957,2.319500606425758,3.991363071569525,3.858679108383518,4.751203210543598,4.875626096253541,4.936179509273265,5.978734662038689,6.049941664650568,6.628143571952745,3.810918032647987,4.999369835263613,3.6136988952884,4.564451138303178
9N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0121237123500841,1.455879419693643,2.037370932540025,2.4849340520105523,2.6163499058465063,2.8334106920040716,3.8315730024116164,4.421127284360117,4.700096539216929,4.531810641369094,5.568447678318264,2.439476714535399,3.396809208547027,2.852837500651789,3.7224001875658277
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1314257954933353,2.954149055534629,2.7789353499566696,2.9060375405081724,2.7392304727283077,4.264517171898444,5.012230904140545,4.981083330802069,4.686808533463895,5.9272804407221455,2.8152089638130358,3.5159009408332254,3.332509858279512,4.053814467149311
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0957435170715477,1.5397280981065113,2.139927061733179,2.1732311426146413,2.5587186772715818,3.221531256329748,3.3793491871480983,3.2834210894927205,4.181897621996298,1.5336843214313614,2.449336426310415,2.3884671027076614,3.2240357830889934
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1754232494560553,2.5345168041040163,3.076974287358397,2.718922401947833,2.9767857774549293,3.7122731079422415,3.8246929805805063,4.328681030984578,2.145950066473047,3.1654479900728427,2.594799946222409,3.496368850107049
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0927470574175822,1.095809572399439,1.5357376381620313,2.4087121645299967,2.4543259359706577,2.590556544895704,3.3661543886673684,2.5433667832021976,2.847131720532758,3.7341551335497676,4.414285600945168
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7808462066511754,2.1206528755468383,2.5549670370031943,3.2593606240405046,3.570713400316585,4.094299765019119,3.4612970883931853,3.9042373847149516,4.516613926038684,5.295472727383574
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1865489850297113,3.260455355832646,2.5741142149217224,2.40171246853174,3.5824050698656453,2.7283141453891333,2.66564442064487,4.014245687855133,4.543623661037864
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.222105472651355,1.3694144043404823,2.051686401962972,2.0269378060136085,3.1784814428681085,3.230043241053863,4.336850742612678,4.892786377202245
