 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,C24,H25,C26,H27,C28,H29,C30,H31,C32,H33,C34,O35,O36,H37
N1,0.0,1.7751237586271864,1.6674266385828003,3.0930992524316894,0.08903908723417742,0.20773925373379779,0.02925036944616899,0.0034480500411280257,0.03077365377092467,0.005665465967194333,0.006084507387294484,0.0003688692428960305,0.0013925930146226895,0.21444470028791593,0.05550200304052794,0.03246248999465082,0.0023726185418859735,0.006986001761593516,0.0004406916884834855,0.001549260092885807,0.0003008413231246898,5.535529184796939e-05,7.683073829643783e-05,4.9617362500267714e-05,5.0322418537751545e-06,2.728376713123648e-05,1.1525672707346502e-06,6.294548625274121e-06,1.3088619754686448e-07,8.243659975523676e-06,8.097595849410055e-08,2.1584907996960445e-05,3.7752842962923694e-08,0.0003231018364177607,0.00010159201936828233,7.34299119850984e-05,1.916085930142586e-05
H2,0.0,0.0,0.027221582945898826,0.10953511470513178,0.009417381921735357,0.030945900350075495,0.001586600301162644,0.0002870964353272054,0.0042215474845732626,0.0004822660150070046,0.0013669857063880464,5.7367018497789246e-05,0.000310742395880359,0.006179147605703483,0.003253652393567563,0.0004925335419014853,3.97242312999424e-05,0.00016998441075388726,5.333658287698384e-06,1.3398096527450498e-05,2.2703195339257576e-06,8.44208733141727e-07,2.185940231602679e-06,1.200564776149271e-06,4.890405862489899e-07,1.0842016615608685e-06,2.786431352319596e-08,2.262294443999835e-07,5.484972476210714e-09,1.49033489327266e-07,4.741065762203789e-09,5.493991092064832e-07,4.081347926288004e-09,3.0514196398878646e-05,1.1721779553552913e-05,8.364926922355131e-06,1.6438521448502996e-06
H3,0.0,0.0,0.0,0.10726283817800719,0.0337964222054592,0.005760300947740049,0.0003047400031439551,0.0018670870933239492,0.0009270741484853628,0.0008348791019763269,0.00020731554205188907,4.1413498589770725e-05,1.4305825210891854e-05,0.02491301797290213,0.0665033904860951,0.004319456356971507,0.0003202877149106609,0.0006578482762122917,8.571160594805782e-05,0.0001008101630806113,1.2245573949076771e-05,2.072170840694554e-06,3.587912450242481e-05,1.5196168581921299e-05,1.0180461060826929e-06,1.0006767435233321e-05,1.6552867121433223e-07,2.9715948350883536e-06,9.085521046614531e-08,2.6308048589607225e-06,1.3053392944328834e-07,4.43720690734839e-06,2.3449011621323734e-09,2.1157697742468784e-05,7.026536612109169e-06,2.810180050105693e-06,1.8277254176801705e-07
C4,0.0,0.0,0.0,0.0,1.945041391048427,2.6473339757759806,0.0897992677524313,0.07794731115299092,0.16445042386594,0.043630285678725386,0.026687414748748625,0.0021703184763635086,0.00433864476933099,2.6179170010418975,0.2784012325370373,0.21602754089133314,0.014585790485617922,0.034632612288044845,0.005389506631601426,0.004522685130843029,0.0012974067026307878,0.000144082639625287,0.0003242132465646752,0.0001799637374521601,1.594958994965978e-05,5.656509568133239e-05,6.499407539495294e-06,2.9969872420987365e-05,6.632304263565203e-07,2.3423921534121428e-05,2.5752635202103136e-07,3.472109019178604e-05,2.909347243118532e-07,0.0027215334481925924,0.000959442693894974,0.0006927312977501598,0.0001448784012240134
H5,0.0,0.0,0.0,0.0,0.0,0.08299032158350128,0.002678653595886038,0.03268899299071859,0.01672970004973151,0.02704912042102814,0.0028295977799882577,0.0005113117939015144,6.857323562381445e-05,0.09318513983151,0.02485322406491053,0.009682245313487936,0.004101439453808586,0.0016426132631124357,8.403533790235507e-05,5.188326074301308e-05,1.0560011443061512e-06,1.0576824625685433e-05,1.5957947966827035e-05,1.753849411811892e-05,2.2695679371187438e-05,2.833026886750467e-06,7.600917979466715e-07,2.112275958032761e-06,4.7194541519246513e-07,5.209292353036687e-07,8.938689122217625e-09,9.432269582054786e-07,1.2251396896978406e-07,0.0004082758174297485,4.17920491209145e-05,8.338617752878807e-05,2.223464856898616e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8802573182047229,1.9603152428819393,2.8509564492229607,0.28745793404312525,0.22818954863909258,0.015274936902969771,0.04230614321840798,0.18719371268910717,0.03898329010261069,0.0275853902518262,0.0014943170428550756,0.0028942845791290195,0.00037119258855866644,0.0004655113757677243,4.253844100610138e-05,2.7343020564396525e-05,3.542668396139259e-05,6.454269061935414e-05,9.391565350957976e-06,1.5855349686622056e-05,7.707956104496816e-07,2.946889814781084e-05,7.272495365917564e-07,6.112638859759323e-06,6.65894146489876e-08,1.4426395974070916e-05,1.5967524880089456e-07,0.0018880496075368014,0.003499427111690337,0.0005528450480846159,0.00010418930638289581
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02607663332787169,0.1136127182239115,0.031611156940566154,0.015110225605811434,0.0004908153140146254,0.0005663674087528214,0.027101271787461023,0.004192274694379217,0.005273820543812091,0.00045505042566218457,0.0006817372225409457,9.434865039747997e-05,7.086107843046197e-05,7.191260551486778e-07,6.643510175985412e-06,7.246819631046009e-06,1.1059576926597536e-05,2.9531373930691274e-06,4.364015909419372e-06,1.380642307147184e-07,4.578747409555994e-06,4.946166365371596e-09,2.893192173392123e-06,1.504897717552467e-08,2.714804479109212e-06,4.88010858390453e-08,0.0005068359425774993,0.0006298831502939972,0.0001847161340011727,4.056127203577731e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10216144977210706,0.02858415608858489,0.011372699147214838,0.005518188876339591,0.0004361068476210761,0.015794615284356883,0.004783416412660335,0.0011937291768743252,3.354660970433798e-05,0.00014955838729036053,1.949470639006634e-05,3.080337920624565e-05,3.1530312587513265e-06,1.9283434078420925e-06,1.1656022025352542e-05,1.210460827172355e-05,1.5999338016658982e-06,1.8388331539664904e-06,7.563751158734533e-08,5.769124133525594e-06,7.568103033150919e-08,2.8798782715222515e-06,4.9412303138041125e-09,6.780886359081251e-07,6.725344503522024e-09,0.0005402675265440138,0.0030888532579149697,0.00022972786545516488,1.0041015486850213e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.871754782801775,3.5705178837559672,0.13749181088154083,0.14678891930567406,0.010795602227376022,0.004684416651767026,0.020543378216582975,0.032575283990974424,0.002202901625879633,0.0005565229822668272,0.00029332251857822067,4.205850643645981e-05,8.23121781801106e-06,0.00026314791353310163,0.0004980476299495662,5.1153152401894886e-05,3.38632753375534e-05,2.211420469633296e-06,0.000224997855924447,2.657689501361915e-06,8.8324311720539e-05,8.500748682749304e-08,3.882135759294969e-05,8.498140102730645e-08,0.0026318894769085666,0.013899102200027214,0.000962052735238722,7.609936725661015e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5435148478823513,0.03396706621315282,0.030323444092718144,0.0066877500152448255,0.0020633962763993083,0.05313982035723451,0.15111877578264377,0.005179631429626408,0.0012852366689681816,0.00030240224721907183,3.147473535525247e-05,1.1466820676875322e-05,0.0008449497573039533,0.002462376820553683,0.0002441794362842975,0.00010372925666586597,1.0629689450869506e-06,0.0009429102910689657,1.8572117663651078e-05,0.00020809045695811823,9.759552876964506e-08,9.315613677259027e-05,3.063075294518214e-07,0.0005797024264762307,0.0021715759169236015,0.00018687283345529548,3.564776462428032e-05
N11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.979492378951244,1.9953316204846347,0.002342797932704782,0.0008497894121221143,0.003936989052522648,0.008273757078461785,0.0004685758172133514,0.00011085541037614277,3.902140224301687e-05,6.5759346223881465e-06,7.558084326175774e-07,7.678796223867246e-05,0.00011332554176856496,1.4815826348657524e-05,1.0353402802379397e-05,5.66149255809556e-07,5.068167508549826e-05,1.8991975470061817e-07,2.761436225597741e-05,3.7765742311179906e-08,8.149319396924537e-06,2.1838364339110683e-08,0.0004405798031257152,0.0019434659090974,0.000127256649839029,9.53467081621362e-06
