,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24C,25H,26C,27H,28C,29H,30C,31H,32C,33H,34C,35O,36O,37H
1N,0.0,1.0200269214153346,1.022361905254088,1.4623504594825767,2.0927678782953776,2.452423551207411,2.510705510009743,2.844960294378904,3.802951218659361,4.223883906463294,4.881517572506873,4.996037322651254,5.773367909216554,2.4936677615865603,2.776569567384571,3.702081601569503,3.9517247021924478,4.924263232727126,4.89995912919618,6.112404918491115,6.958058210825679,5.988952681455138,6.713135581938569,6.556252168962581,5.946899088162559,7.779836113508775,8.161527156227796,7.482701132203703,7.638115625348508,8.578534154739085,9.47635800570228,8.447415231588996,9.261112349172356,5.543110857245419,5.3038987975649245,6.766440144340627,7.22434503233741
2H,0.0,0.0,1.6124680379262883,2.031350873942972,2.2921760031474,3.324758515458054,3.4125038819775066,3.794427677519321,4.524263646714324,4.7199549872226125,5.707766517608983,5.917083892831312,6.542457251925278,2.7920630122856154,3.0078889208940893,3.904009301841473,4.220597458139126,5.109064480335268,4.995988002498255,6.140542733913083,6.99291910064278,5.835846517999063,6.815995520389448,6.583621972747859,5.841959528202059,7.9971011567201264,8.416832148222488,7.572275566724811,7.672486444506061,8.83208060702902,9.786990735934396,8.645147765567012,9.482200511152465,5.967594636703911,5.908324660093669,7.14314133325286,7.706804017077278
3H,0.0,0.0,0.0,2.0135225783592183,2.899556301530928,2.8099123317047843,2.994995866967224,2.805109686104765,4.255624112843523,4.808109927564528,5.220382371646444,5.172361574671233,6.139380121502868,2.506420751658397,2.3328082007742146,3.858089250243683,4.306305066769319,4.865709217858086,4.6625686578237735,6.185808686292371,6.9130877807301285,6.121488747116151,6.953634472640782,6.993954408742939,6.453152082946903,7.963797166741519,8.2142136888729,8.006931230331018,8.276005028927564,8.8698124792412,9.723279680226756,8.89162167788767,9.755772298597815,5.372340123109823,5.16012913718164,6.497528004923781,6.917781799535908
4C,0.0,0.0,0.0,0.0,1.094713275464207,1.5439710754665326,2.140874898281681,2.185100902741549,2.5731281426935784,2.857916787627064,3.799947916242542,4.096650662454201,4.587946565690269,1.5453276469023205,2.4182263018121666,2.469697975189264,2.5443523293992607,3.805804278083918,4.047684232143983,4.949971334622906,5.858260846850143,4.959754730312904,5.3811828106506425,5.223972557594431,4.726722362652476,6.397321758089759,6.828577575307083,6.109403539781535,6.329338698994716,7.142121693274039,8.032985200047014,7.017009499053092,7.83106229137773,4.3840070670762845,4.11920104349523,5.6840934449041844,6.14659232214585
5H,0.0,0.0,0.0,0.0,0.0,2.142508455035588,2.5597799686467333,3.0522569629698677,2.6543247834160297,2.50904881425199,3.9875638576699814,4.509488164066878,4.641467968143811,2.171940610355347,3.2198868785181842,2.6199924620180184,2.4037982827046496,4.063522711446967,4.452869509061514,4.917775389650418,5.9287936195983075,4.804417173627913,5.149876055280794,4.719450845938222,4.1015518727246025,6.250883249374264,6.837872169782021,5.511459517174842,5.579269781512634,6.872108978377852,7.824888125725286,6.549852545464603,7.31296917840868,4.823869981597226,4.639340299222224,6.133876605126851,6.661825805544919
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0972977043449463,1.0981373193317572,1.5270009060338972,2.428793419044162,2.442504184482301,2.603578903377371,3.359822674923004,2.5238357584248154,3.3178719345452565,3.1676668956666205,2.9584332071649255,4.340855388362487,4.765662473717663,5.564796891657035,6.427426618387241,5.839203680624484,5.747903543074505,5.646928871280203,5.396232142638263,6.497242238229151,6.892637553932346,6.29986705471063,6.546924786563579,7.0760027055385875,7.8392033650813095,6.987499044874971,7.693022118296158,4.403743123136011,3.7294044645748654,5.728075453786577,5.9602813630441815
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7630208005055528,2.1428575452205796,3.048782141376658,2.768434682315028,2.832337752180435,3.7301113611326544,3.4384404868431493,4.139867543103847,4.183330160046755,3.9255767276170217,5.414486129201721,5.800838696125067,6.607518516679716,7.4977213051049425,6.817143241236074,6.740273322916363,6.509383396558024,6.192833987853285,7.498387525984907,7.9390624939004315,7.061713603678493,7.17940294541319,7.986782432419811,8.743885642335947,7.786029975764669,8.411488660164817,5.494280346777441,4.770251572631482,6.81136998059079,7.007490313961964
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1639045366397416,3.204218309775022,2.6575653550481224,2.4350478832472926,3.5905552286019886,2.666835512167886,3.119524531873629,3.4192251181061604,3.4276224453055946,4.320285252693167,4.620879841222152,5.709069514978245,6.4353034586150475,6.1003221404705,6.032817250752028,6.172768572106402,6.027730087928236,6.658948333641661,6.887017501987601,6.89076672340283,7.270897199658354,7.333069433909896,8.010746548340423,7.440967027646118,8.182721009654243,4.105218987296853,3.322438557878782,5.336355928649878,5.45264348889012
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2305063656167121,1.3639359349974507,2.0688861826241665,2.0299567318422813,3.2175673171613535,4.238654810868949,3.2104683810904504,2.5756635488798674,4.272741100561436,5.003612254058637,5.231042984498239,6.125241924266138,5.647928522475318,5.0194660511672105,4.810376682872643,4.767928155547323,5.591091204864981,6.098923675221095,5.201029873874915,5.439805821269007,5.934699939617268,6.65047700245693,5.755307965219622,6.359770111614949,4.171845025260237,3.400649975054981,5.484639925324946,5.657587078561139
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2653298752384243,3.1580761558567594,2.4742580104039886,3.334159489711701,4.5117088465262585,2.9192597888163787,2.012006111609829,4.009340122374682,4.874110086526979,4.640447561467357,5.620045894314311,4.973963860197922,4.212719368830787,3.7606453646997156,3.696053674304037,4.882952770556741,5.562916274046958,4.07442822199522,4.238210960608505,5.132671527054335,5.948837914758928,4.767560053669294,5.376925266433304,4.179701602710599,3.672999122338362,5.465944023526252,5.774891435314281
