 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,H15,C16,H17,C18,H19,H20,H21,C22,H23,H24,H25,C26,O27,O28,H29
N1,0.0,1.693230364538981,1.9047032977477203,3.132058601833786,0.08923219053226938,0.09896943819190906,0.22230256635466084,0.043116631388770005,0.034985906805431594,0.002888919657298983,0.007363554717423837,0.0004334779543172518,0.0009766916040868379,2.433814593771899e-05,0.00025245559135778084,0.00011848756990313902,7.333757792493678e-05,6.362054616398938e-05,6.1403549276306535e-06,2.6899221777787474e-06,7.561321142102173e-05,2.840721206069652e-05,4.0663546582164756e-06,4.142785669181137e-06,3.6937360199384983e-06,0.000790177677066406,0.00010055689431255621,0.0002558321793943233,6.847912103802312e-05
H2,0.0,0.0,0.026660608866022173,0.10528927269567756,0.007310144734244073,0.035720282496507716,0.007863854081460397,0.006134030884570096,0.0008420593530729104,0.0002217949253484619,0.0002511089754616558,1.1597851200750853e-05,1.9612132939772486e-05,3.741323582273637e-06,1.2197269898539531e-06,1.4661641543844972e-05,1.455924329984981e-07,9.483040448110547e-05,9.939136221159828e-06,9.120290547226517e-07,5.985599684077414e-05,6.2099312759800185e-06,1.9434104170379385e-06,1.3333285986405485e-07,2.986859979348111e-07,4.8843761331074376e-05,7.414051468757066e-06,1.2136305168941597e-05,3.3699011507959398e-06
H3,0.0,0.0,0.0,0.10580328255708116,0.03616900598057593,0.004406492681198193,0.01660483390435663,0.039161170187347105,0.0029979539318899517,0.000648175497222514,0.0003923592297879752,4.4181554775146736e-05,3.732444037496396e-05,6.129332070337057e-06,5.371192117520351e-06,6.1007360541043276e-05,3.222179840700612e-05,4.911942037888473e-06,5.507476847910198e-07,1.7765308846229289e-07,3.678651299132696e-07,9.517306122530655e-06,1.4947596227443682e-07,3.661716154734762e-07,5.2293686456650335e-06,4.186883503387584e-05,2.8408151867109765e-05,5.215785095047387e-06,4.2122036658653883e-07
C4,0.0,0.0,0.0,0.0,2.0227266254118526,1.7130392846254716,2.5052667340815478,0.28427437117931,0.22388716810000908,0.015364396728582252,0.037157626914580466,0.00525457397778506,0.004030378948279054,0.0001378815171382275,0.0010551302347305835,0.0009246578925935223,0.0015869635279860406,0.0005381001593030149,3.156443430385458e-05,2.5866575903865652e-05,0.0003953824615419155,0.00015726377513045064,1.7968117562494612e-05,2.2782351172034865e-05,2.5865099974931027e-05,0.003302697076912303,0.0003788653933586156,0.0010210682731022352,0.00020405414674629085
H5,0.0,0.0,0.0,0.0,0.0,0.02600858043033938,0.09663369727147031,0.029649040644384783,0.011169588638393124,0.004592762104736803,0.0017095694734998723,0.00031938067102088574,0.0001464233021044592,1.7857829899270428e-05,4.015052416761478e-06,0.0001794042201084256,0.00012837934379894556,0.00022876639639601848,1.719118951837295e-05,1.8051446675437788e-05,0.00024411614463715203,2.8828582682494108e-05,6.273173902116014e-06,1.9854563044763296e-06,8.83129938356042e-06,0.000155823165131741,4.703016510476665e-05,5.210555600576594e-05,1.7358900318065196e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.10843375435987834,0.029217547397324184,0.014814194072365505,0.001427686549391849,0.0015857214268799602,5.010762486024056e-05,0.0005934913448752965,1.4139416047553865e-05,3.717947539128019e-05,0.00011580810224964821,5.0277632031914266e-05,0.00012319044881903274,3.1225508019261383e-06,3.570895455107248e-06,4.682768336228271e-05,1.6444745760568757e-05,7.991095078985211e-07,4.321298311404931e-06,2.6149358061111627e-06,0.00042731816776253595,5.660296845655388e-05,0.00010823974776974499,3.683995837522325e-05
C7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1237216226119395,3.4831675329005556,0.13647264860134434,0.26753791530282967,0.027687893742224023,0.03050389043532925,0.0007424035856009592,0.0032075762993419854,0.004778859423805959,0.006120355524517729,0.0067542905296804345,0.0003021851024653799,0.0003348265451807997,0.008877126922856027,0.0008442787725728984,4.741817194120479e-05,0.0001498451771246856,0.00028051993158273447,0.02935661941728926,0.005992804180992406,0.005556044985949776,0.0012754899662177355
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5394035611203813,0.026166302683573894,0.0665863014396349,0.04552618476318038,0.009979533674860389,0.0009817981925863695,0.001202127379175244,0.010741746849671774,0.02558066179473073,0.0015540441605610689,0.00024347827855875082,0.00016965681739300464,0.00041678504870668043,0.001379723391341875,5.7956943627868185e-05,0.00010056712248585065,0.00038774377456185505,0.010640936822492786,0.004014059958518515,0.0015808276248875097,0.0003750335545111838
N9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9522061579508811,2.6063784956244618,0.09424351627937033,0.17179674923195773,0.006319956126518589,0.02728053756675619,0.009662030216115919,0.0010153418241987122,0.016524753350686358,0.00031196791577148275,0.0008398756709329103,0.02193602959924279,0.002038121125367637,0.00022936370632198333,0.0003987270948919708,0.00023810121113698735,0.1982799922802852,0.05441731714534204,0.02877199328195658,0.005470847929215705
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0950543122630122,0.024588871373553367,0.0056850918585132915,0.0010506993153909239,0.0002090326951011967,0.0002732161838756575,0.00013734213286742403,0.00030592308694488146,2.5011044443967734e-05,2.6925103108199622e-05,0.0003560907849653461,0.00012704036467980906,5.619016610891592e-06,1.0932459004520112e-05,8.900813658341278e-06,0.029719401197420336,0.07261587026529948,0.004992133794545439,0.00016922427642707127
