,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20H,21S,22H,23C,24O,25O,26H
1N,0.0,1.0231734988495886,1.0232205978157949,1.4780100632201745,2.07888206977484,2.4828536072923963,2.564150559677964,2.838586811166158,3.8695843107360095,4.426724076851473,4.63384354245109,2.4802995744207577,2.8032850450647295,3.6277440316412233,3.901386341359828,4.873328240496358,4.823841245051722,5.86774301548855,6.771515395691315,5.578742624263026,6.727503361237427,5.817449697693925,5.760852810459008,5.723258816696047,6.976165593550708,7.552514734285659
2H,0.0,0.0,1.619083924116402,2.010290787224132,2.417317209258301,3.3313865846533046,3.5429180803698666,3.659217323618634,4.59037198462471,5.145613793008591,5.246442277642858,2.4502715654191967,2.287159357745671,3.7532841199859774,4.270709358396354,4.789307769132384,4.5102991559450665,5.820068485615731,6.617853190242801,5.485861431403587,6.931013094127055,6.182040412223433,5.731676513025384,5.823610587711144,6.835601288496937,7.454669527595717
3H,0.0,0.0,0.0,2.0315640413728806,2.9157027061108094,2.6283781204365666,2.754213213616798,2.5692076408606117,4.147260647214851,4.886602773771562,4.75622085825479,2.7628261323537213,3.137699167874462,3.7083818518341145,3.950007982703311,4.941832807892689,4.945428495189501,6.113015380866449,6.995338063574077,6.000462456488537,6.905771222643483,6.015415077203894,5.573489681704107,5.3383752250639045,6.832238695550904,7.293848415883714
4C,0.0,0.0,0.0,0.0,1.100628684617611,1.539300033729265,2.1260357916981154,2.173651543149625,2.5923093574721365,3.249247666207716,3.285417298847883,1.5506151444596499,2.4104705680768124,2.4845450063999883,2.6124709048361363,3.8234252567469906,3.993616262937334,4.612839096701788,5.595411707638174,4.30690219437253,5.330715439202008,4.378343767735376,4.859837863306594,4.957074946840871,6.079360141130339,6.720897749180057
5H,0.0,0.0,0.0,0.0,0.0,2.1371172339413307,2.4890707370709593,3.052243229185858,2.699661175700697,2.9567269667714977,3.561466539013393,2.117284975853196,2.7555911675547806,3.0401817218566736,3.146413843815521,4.2349996200716395,4.347753208974399,4.710979028344459,5.686352499943576,4.161991145325473,5.440417937840321,4.486801111777772,5.479546611780488,5.753675383184634,6.597880733216993,7.332419451952526
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0946925181674287,1.0992161287399442,1.5642536124879192,2.4020234860719065,2.401637459470894,2.6381621556151686,3.7566322816250226,2.8997536460264266,2.4443762938968425,4.330654747920396,4.83496816340373,5.004289308336717,6.0682984634089605,4.8653788130949716,5.189016889453607,3.996235939837219,5.1127040536697175,4.970552163573427,6.420714111829462,6.941592635487897
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7815481953377599,2.173320211143568,2.5476421632867656,3.2447083995515977,3.523644413136052,4.51204339649546,3.968341299331741,3.5333861297709754,5.403518211699544,5.8465289439790675,6.048685631825232,7.118544639966356,5.826457936753951,6.1876829387202665,4.934340098817183,6.1898943437217095,5.993066885128463,7.5060094415195096,8.013002407696042
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.200761986309336,3.2494521408535073,2.5513044476589166,2.8621223686139237,3.9747285678023276,2.8731974403546214,2.3862682466610146,4.2494132278440055,4.819157198439942,5.134781565360297,6.151223734961486,5.222272603109888,5.254375595198949,4.143508158551563,4.711663725834539,4.331242935378047,6.068681843063423,6.456557161174405
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.237544760270998,1.2874346537119767,3.282886339852559,4.472845187362889,3.0677029619799976,2.2711042662661023,4.290120524484732,5.007975416874572,4.4889244397602255,5.579895299063478,4.316549437694755,4.235322253606216,2.8993194945161402,5.139155542708242,5.157053583423067,6.331140845134092,6.893265834122581
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2697873054078,4.13908636687324,5.222329778062637,4.098383978495087,3.3900386988235995,5.247752112644113,5.899277354355604,5.206289176326823,6.2770415768976875,4.831245494128249,4.8749920275415,3.5497965133536615,6.232338897790823,6.345440324278435,7.354369133114547,7.972009037398499
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.422642788955682,4.628360906704743,2.685555022195641,1.6752440756156302,3.646018895750198,4.559057162405561,3.7437096471116713,4.792567737698623,3.8422040661106993,3.1772016847399467,1.844412752098168,4.273920358100941,4.286763973479917,5.4010487469511,5.899905070570283
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2399385317137128,1.3549716128277667,2.0722104206674907,2.4320043415713086,2.4565148048602174,3.4315622479546146,4.300052676687088,3.2690708340072394,4.518727128840661,3.9161887429800215,3.5470194128725057,3.8626447728389937,4.670513007899321,5.369112531256424
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2868040098915428,3.2040603002247248,2.7961796524532194,2.289279602862094,3.8256021868733017,4.468958906752391,3.5807836583269643,5.26150842473177,4.891707592414259,3.902642414924203,4.363469418938192,4.807795475492175,5.547032400839857
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0469524604090135,1.4411065858508263,2.0451568730682377,2.475895988680515,3.4057981715991112,2.677671460755106,3.335312662355679,2.8381373274913573,2.45675480017044,2.820515873449662,3.650106641888992,4.3208600534898824
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1442388964506836,2.9898766226544,2.77474804778383,3.800973322297285,3.0146077362498835,3.0058607916328848,2.1643970028483492,2.880685472198704,3.0215388417295617,4.108185567406166,4.6813528847461505
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0992880022351506,1.5475851148568847,2.1748384558632163,2.1502069112884654,2.8773778024151024,3.0315818360756253,1.5257272278069725,2.454824990622015,2.383338183274377,3.20464295007732
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1514498348703435,2.459190514755818,2.4478692550058656,3.8103400004039205,4.024596958720557,2.1202017369356034,3.0671529254091094,2.656058314986582,3.518266602999302
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0935034200900693,1.0939779638310871,1.8437728966718507,2.4489673884989775,2.5514139831904123,3.585948507643709,2.8569968275436253,3.74579910568512
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.773250297111485,2.3814502831171347,3.35613154444302,2.7912082434106624,3.9495402188963262,2.5453850571347343,3.4491225152433884
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4395028878233935,2.718537115503538,3.4730898881183445,4.469825917692202,3.8480042456194457,4.773829691341252
21S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3818330640970582,3.3104009514736714,3.981822748834759,3.6528489402411832,4.25909371782635
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6671114756356564,4.079677450022224,4.427973974659513,5.014004958831092
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2081847650115947,1.3660865506224773,1.8699975542672256
24O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.249379722748929,2.2516439432056177
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975334114693184
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
