 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,S21,H22,C23,O24,O25,H26
N1,0.0,1.7415646235457969,1.9153674700034435,2.8093090481085006,0.09597398544038727,0.17804380369894374,0.020149921366531376,0.006180085013739012,0.03313156851089674,0.007156606960700251,0.006655387747863395,0.2246605511049728,0.062262588957299886,0.03757234116067784,0.001595663306294015,0.007127820706170976,0.0005941903471443633,0.0005021473176335667,6.135117957262182e-05,0.0001234784625266938,0.0004074446314253147,0.0002763336807023453,0.0017346362539160942,0.00011551457457048553,0.00046647312021644294,0.00015191997914887345
H2,0.0,0.0,0.027334919683685843,0.10496871161781351,0.004098821601405733,0.031578856833482605,0.001568127733001079,0.00026029992504605914,0.0048142968552317145,0.0010558052754661151,0.0013302946329476484,0.02871886275642177,0.07942578972723457,0.004781268180445553,0.0001534446253361743,0.0008181001371202479,0.00012820924159862024,4.137280895177842e-05,1.794308458480387e-06,5.193334248199122e-06,0.00013756617702720408,7.543145153743325e-05,9.525001065724403e-05,4.0749824946950675e-05,1.84833334907486e-05,3.946386912589972e-06
H3,0.0,0.0,0.0,0.09890560753263489,0.036816593682413856,0.0162138189554909,0.0010514834419084185,0.006148901778959326,0.0020025857715125772,0.001261850989712321,0.0005103807527174764,0.007528715092193439,0.002576767680148584,0.0007228105257796047,4.056252859641063e-05,0.00017897473763106575,1.431574745880404e-05,4.2181531621166e-05,7.213823940421804e-06,1.5747628174800354e-06,1.3474460133333643e-05,8.5513967444939e-06,2.4600000711583192e-05,3.7354607572703813e-06,6.133663935647959e-06,1.4899728135731038e-06
C4,0.0,0.0,0.0,0.0,1.9342729556141471,2.704556399449381,0.1024610880521768,0.08416771200192374,0.1685155198543603,0.0416856289394992,0.027459965947427653,2.670816039535839,0.27578549662273083,0.22514284851441935,0.009437260233840616,0.037079976592193364,0.0070131872793282035,0.0028113576846045263,0.0007964635133963505,0.00015403774944910964,0.0009743090865426962,0.000449767028042114,0.004742841516992974,0.00032062277323061106,0.0013137629205955959,0.0002882959097298965
H5,0.0,0.0,0.0,0.0,0.0,0.08363529348039966,0.0037733262717656313,0.036246001950348106,0.014412682119661735,0.012390881998105563,0.0018205036075635839,0.10749818849821713,0.021021745968972327,0.021736343102591205,0.00026945417946966366,0.0021108466505594947,3.394913064980187e-05,0.0010762810810844847,0.000157074186893702,2.952837986502921e-05,0.00010026425780329529,3.713442776431819e-05,0.00022121126227014898,4.258599022421983e-05,8.432317992745908e-06,5.783604015707766e-07
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.120786103718897,1.90380316953631,2.4935376754112455,0.30123445721231207,0.2639537782289121,0.14832414114893136,0.0339261299660861,0.02141245467215544,0.015315123076534154,0.003229373788109141,0.0009689759794416775,0.0007312740726229949,0.00018245488297896628,3.366570669460778e-05,0.005322861451794406,0.007096367966070494,0.00028385395051128137,7.958781421199546e-05,8.210090007895743e-05,1.101413061321832e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024906644132808076,0.08536243086637674,0.018173673501072574,0.022680197135230173,0.029340225808320408,0.004376815593905459,0.002097129521619223,0.0009366440934246434,0.00026519922590639844,0.00040570492908553746,3.9263479427953385e-05,1.3666967773051653e-06,4.2990422155497754e-07,0.0001351506730026264,0.00016474033754176887,4.4979037130854493e-05,1.4417527243404393e-05,1.023234725983091e-05,1.3494405532998854e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07519695885181421,0.02690490230815734,0.014364808599054868,0.00913210211854043,0.001255804721171927,0.005788563669413493,0.004191516573412102,0.00045658071282539403,0.00012036011246174816,0.00018988707512024305,3.671437139662892e-05,4.684248351871645e-06,0.00018348114511956837,9.968050168440712e-05,6.842958132691201e-05,6.684357411512742e-05,1.5438998785866076e-05,2.9266901739877227e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9184976244098895,4.234752613281344,0.00808405385760258,0.0030005875207302912,0.028307453515986042,0.05615908073794662,0.0030667166026152326,0.0005668599100394633,0.0011734037537005915,0.0002818962527324498,0.00010509572768713227,0.021345011690186114,0.0175722557151774,0.0003535828415069664,7.087024806579079e-05,9.806281646418391e-05,1.3545595574315783e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5689920501510471,0.002407944381157545,0.0009294302182275907,0.008237681082616535,0.011237664890814458,0.0007767223538900636,0.00023651543062908065,0.00030678021139880773,7.343811101268027e-05,2.2267603962067284e-05,0.007972923119327513,0.0038623237783625974,6.292587785211579e-05,1.8160478982981454e-05,1.807514441502789e-05,2.7052274957917177e-06
