 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,C24,H25,C26,N27,H28,C29,C30,H31,C32,H33,C34,H35,C36,H37,C38,O39,O40,H41
N1,0.0,1.76035091203001,1.9714092925723632,2.6095032851038615,0.09288212118831385,0.19851343305981628,0.02234099785760557,0.003960631963455086,0.031515972890741234,0.006416030440211551,0.00633070699427668,0.00044672070516516005,0.0005527016667141726,0.18909341263842072,0.03701405172730407,0.08883185713111082,0.13873590939663893,0.011481982339181879,0.002151811942695425,0.0008561721181879062,9.046493936726296e-05,3.5245172690157034e-05,0.0007100931503982721,0.00045581734603145074,3.153753497975309e-05,4.286637528552739e-05,4.673783335346071e-05,4.4993222991784876e-07,4.989001382252334e-05,2.4024368812936014e-05,5.003268390701976e-07,6.093943105328625e-06,2.3032466245354044e-07,3.766726886081373e-06,1.396406923426241e-08,2.5906871199396497e-05,2.084684691538996e-08,0.0008857662047403181,0.00015382514505951628,0.0002950540699476617,8.896831559157548e-05
H2,0.0,0.0,0.02821181563696129,0.09988555249967013,0.03330390814311923,0.014784758338848403,0.0040872165516572245,0.001437503669959428,0.0017066851178056952,0.0004256105171240865,0.000539303404079039,8.076053600536426e-05,0.00011445765137807484,0.006036835508043903,0.0011724856853336796,0.004151907164716362,0.0025512657450812437,0.0002996889269645253,1.6649855850703332e-05,5.3154337711580624e-05,2.8455186633635776e-06,1.0825318939255979e-05,3.178016609950429e-05,1.7384432157152574e-05,3.045741904683652e-06,5.2041802164337625e-06,3.3520155577893007e-06,2.384116948306314e-08,9.277776966687412e-07,5.2151050311533e-07,4.602947378806732e-08,2.911095590141244e-07,1.3507203577844962e-08,4.3557135964711335e-07,5.018434556802731e-10,2.800936060864956e-07,1.6605561370397481e-09,0.00018803769242281554,1.467095353679948e-05,3.416575700798674e-05,1.2419491216553169e-05
H3,0.0,0.0,0.0,0.10749399891460332,0.009672921064249884,0.006450848426975853,0.003816707436810951,6.0491576272747594e-05,0.0005039432969825564,9.65721050046886e-05,0.0002774429348069152,1.563954527061817e-05,4.4301748256536655e-05,0.0278411257575919,0.004922914902076858,0.005072092879016443,0.0010428724426370106,0.0005544187927306599,0.00029386712963308526,8.257100284547736e-05,8.782827930708947e-06,3.5841670238401235e-06,9.90174017256873e-06,7.3456996413368e-06,6.613325937987469e-07,1.3176447613005848e-06,1.2471358181720404e-06,1.1883171557869332e-08,8.309068206813208e-07,5.191239363933065e-07,1.3196153503258756e-07,1.1673787714272521e-07,2.224943806972135e-08,8.144961594069855e-08,1.782809455619372e-10,2.7120334189500994e-07,3.600102438383601e-09,0.00013896598871332433,1.2411211146368117e-05,3.66091275910696e-05,1.4971697461341194e-05
C4,0.0,0.0,0.0,0.0,1.7190230966808007,2.7615057252426953,0.08633411850928585,0.07817410668394253,0.1663080651377531,0.040431320288018394,0.031080009841078338,0.002507279125989914,0.0014398371851191971,2.5494081437706777,0.2701223934451844,0.22466878228280845,0.02144288702048769,0.03765706327312657,0.004832922790819483,0.004148160857290667,0.0012701110437147722,0.00010114727858812067,0.00042287079193242816,0.00020086891462370304,1.3066388349747271e-05,3.276037586832925e-05,3.0539097077425525e-05,9.72444968883046e-07,1.900305697299931e-05,1.0892889385827331e-05,2.010188682843861e-06,3.1621928325564763e-06,1.2009625494080467e-07,2.1426264838059206e-06,6.916812123058946e-08,6.399081005956098e-06,3.546041660307253e-08,0.003259670453125585,0.00042463740212630996,0.0009073598244497966,0.00018908608340717503
H5,0.0,0.0,0.0,0.0,0.0,0.07549391797735383,0.002189835172668131,0.025345336912079297,0.019355459774654138,0.0029661959777593783,0.004449651200103322,0.00023997832893329907,0.0001430824814601106,0.11406137057773091,0.022174777860202388,0.020285074903542366,0.0003942327079042851,0.0017740018490042253,0.0001345410549502546,0.00022523138537866583,2.1342983690830764e-05,3.293239497970113e-05,1.497296499630707e-05,3.868304719545357e-06,1.7436570041162724e-06,2.465865719392113e-06,6.926665135909005e-07,3.1046929471756357e-09,1.416977556623067e-06,6.969643617793508e-07,1.0603785516316577e-07,2.7916221323476265e-07,1.993649600962044e-08,1.1727132753769354e-07,1.1046845216355905e-08,5.868244767892605e-07,1.5870325054123668e-09,0.0010486757601955166,0.0002125409562071523,0.0001807077947419966,6.458880476567508e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.001153650971759,1.8658841647159992,2.7108716466905842,0.29891427216601685,0.2236224081668361,0.013455234923284376,0.045410404750134914,0.17615639561815363,0.0359800653866304,0.028036849078142773,0.005349394266755847,0.004588677810687003,0.00020487184205397746,0.0013556409138161252,0.0002665181569727615,2.4543103184893056e-05,9.672052853487711e-05,5.201448333354286e-05,5.052029882213205e-06,1.1334526398551481e-05,6.331497341208192e-06,1.089153874866966e-07,5.812736173393951e-06,3.4832875152462917e-06,7.610534045188189e-07,9.832195074083172e-07,8.339171353455299e-08,5.663483905321565e-07,3.053267216834854e-08,2.485065830018507e-06,8.186896272022182e-09,0.0004889283102871012,5.0789200194259476e-05,8.927611249087697e-05,1.527788741106928e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02822644305701205,0.10406373417794823,0.02359698490144968,0.020636558837133556,0.0013414999292333807,0.0018393986958809005,0.019649497902031854,0.00451126772149768,0.0024331885076779303,0.00025158945060743676,0.0007456326111316969,4.146856943720856e-05,0.0001241290279907492,2.9690852161090575e-05,3.2344377283166637e-06,7.63542293502617e-06,1.4669915069376316e-06,1.003094800555715e-07,1.797271428793934e-06,5.627889857473534e-07,1.0427509744559416e-08,5.122637762866589e-07,3.4055532105448094e-07,9.252674626480939e-08,7.390521006289674e-08,1.9990485045084938e-08,7.21069377540573e-08,4.684837406898623e-09,1.5032942557446916e-07,9.421439184365e-10,2.214111372578209e-05,2.4694224296517575e-06,8.956262102177703e-06,1.9539710127691734e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0962732892161855,0.03073998363981878,0.009841252402410405,0.0016969334113108303,0.000576048166775589,0.02104503732383889,0.009678375506310233,0.0022122850155686935,5.349529224285554e-05,0.0003926384445598341,7.899407798772629e-06,6.11434644175457e-05,1.5321073310703426e-05,3.1941168123772457e-06,4.522232916137625e-06,2.860741307841863e-06,1.3445573987524995e-07,5.413312662572167e-07,5.319637068623706e-07,1.9821190466728922e-08,2.740135987000514e-07,2.1171873632042093e-07,2.6652990259279363e-08,4.486515581270112e-08,5.480423004300405e-09,4.307178302909165e-08,1.0027254582212208e-09,1.2275196681343914e-07,6.280655995283269e-10,3.599434780721111e-05,1.0790640530555784e-05,1.2596029016376242e-05,4.659602408141339e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.685249517571232,3.6398384381066515,0.13748890228470823,0.1442237733082522,0.009010373447167791,0.007767104271873132,0.002247239000363721,0.0006593309546406578,0.00037726026483636543,4.295580325153203e-05,9.218212007960913e-05,2.2922619816956313e-05,2.253788310868643e-06,1.5241927495163177e-05,1.0120814908615161e-05,8.691954886952402e-07,1.715812605329603e-06,1.5568768977625158e-06,8.71886618458717e-09,1.0389931133225616e-06,5.148767884544103e-07,5.3729303894911595e-08,2.264810397833994e-07,8.319486655139485e-09,1.2205310387369828e-07,3.2579616782157927e-09,4.909863069446629e-07,7.707683380431263e-10,2.9805692840112474e-05,5.768744567508088e-06,6.132183889367981e-06,1.4161373944610034e-06
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5752973025473626,0.026175397006521717,0.027183713868961235,0.004960046613965222,0.002555586328267353,0.0013015075903798495,0.0001916107566662939,0.0002387597173040129,3.279354816854152e-05,7.054335708839288e-05,2.0156506253088402e-05,1.8291570602624319e-06,6.090470233310885e-06,3.5563202880201095e-06,5.153011253256068e-07,5.985966885502236e-07,4.324344741041264e-07,7.901247767172492e-09,3.0564603667460055e-07,2.0594731171830194e-07,5.919128520659456e-08,5.848707043676349e-08,3.3696563317420214e-09,3.3357736420325246e-08,1.7941881313987551e-09,1.4947775199558588e-07,7.952450920001297e-10,1.5303652087822472e-05,3.133468784416449e-06,1.8791606210197265e-06,2.096578679555705e-07
