 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,O29,N30,H31,H32,C33,O34,O35,H36
N1,0.0,1.843162740675861,2.0520406175935024,2.8041875203298834,0.1010145647079832,0.19474593620130037,0.018575038704681468,0.009227660571904828,0.03205237104698311,0.0007593715782187038,0.003886430104453123,0.0011228408110248722,0.00018871731018910154,0.0004980244892538455,0.0050615596650681605,0.0001021224459258896,0.0011049111530849753,8.48533179096389e-05,0.20747423849222185,0.04103124757031191,0.05045368612955975,0.07210308078585681,0.00665510176930828,0.0017384110338458658,0.0005995898193265625,4.7054585881833866e-05,1.6105876250671614e-05,0.00014979292836839186,4.9089933601295654e-05,6.957008966115841e-05,7.639471697906686e-06,2.1698162985250846e-06,0.0011913260411160198,0.0007115306328607796,0.00025670778759910584,2.6036080265967598e-05
H2,0.0,0.0,0.027517271712397706,0.1012371176615724,0.0038238908149608175,0.03237373642142527,0.0013204789075222934,0.0004985243093524883,0.005103353586219717,7.215501802693147e-05,0.0002320572737501969,5.354914554356327e-05,1.0153285929348499e-05,3.789718179580959e-05,0.0012645791069155754,3.372084842490075e-05,0.00027582378973778354,3.182460779149743e-05,0.008067654400958468,0.0011738017849551863,0.009765690719913067,0.006439044357518409,0.0008172193410552753,7.059943239284827e-05,0.0004484405415916548,1.3179282748909671e-05,3.064242635630876e-06,8.084562931109929e-05,3.604948822211185e-05,1.438795542063609e-05,1.4490212776330225e-06,1.3807108933949763e-06,0.0004115978491303629,0.0011985200618916947,0.0001465349726302856,1.5145618324385879e-05
H3,0.0,0.0,0.0,0.10153498745618927,0.035422396065493134,0.018277096232098167,0.000687173432583732,0.008755752455507748,0.0014389141581421239,6.916580755667034e-05,0.0011926923383245303,0.0003337476638904935,1.3124519540053114e-05,0.0001628502335633275,0.0001452747278294364,2.167140742725948e-05,3.3926866947808776e-05,2.071495114752686e-05,0.004584272893610186,0.0009779653523327436,0.0066150244331659724,0.011694935559063424,0.0010195920954080284,0.00042878627195741537,2.7901176779865366e-05,2.0194959698960346e-05,3.979254861397052e-06,1.0813893693062404e-05,2.533025465267791e-06,1.2599608161467657e-05,8.468695078533983e-07,2.5664786251766714e-07,0.00011761405685228876,6.363866379444083e-05,3.660732783106191e-05,4.29481852304292e-06
C4,0.0,0.0,0.0,0.0,2.0326519356191985,2.5545157748179297,0.09418098074207326,0.08399284153260389,0.1454225777952937,0.005670139616477554,0.02052253520521509,0.008064656907346812,0.0008504299835179197,0.0025656547265207053,0.03251584406790711,0.0010580362731551496,0.004618127878024181,0.0006416534789763784,2.6787690120811023,0.28400458205682466,0.2181847803835129,0.013715675823865348,0.036867785940093684,0.00687665338792065,0.003308382443944269,0.00054483440864872,0.00013030473499520134,0.0007482506368096942,0.0002306983224088094,8.578421355107113e-05,9.85275442966227e-06,5.757499977443459e-06,0.0038991963880354863,0.0003862284757271406,0.001172727697385842,0.00025559467824021187
H5,0.0,0.0,0.0,0.0,0.0,0.08121912396493469,0.005050227738416124,0.03430134196563461,0.006242989429898316,4.579157124684485e-05,0.0118204057184218,0.010662148407344363,0.00028693232416587833,0.0008388812978274984,0.0011261206898359744,0.00019899553832658512,7.214118905740641e-05,2.0099727354949692e-05,0.111929667698073,0.01781612084745532,0.023614238602979065,0.0023339277436920103,0.003099755570624252,5.343496960263927e-05,0.0002091674124043985,0.00016669691461790315,5.406386144102271e-06,7.292648716461514e-06,2.42125149196859e-06,2.6744128425182367e-06,1.2932107271712567e-06,6.274609245515705e-07,0.0011049379453604846,5.192487706595639e-05,0.0002668312425579966,9.721298101195153e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0159880209884564,2.079935508767834,2.501115464264531,0.0844269063137657,0.15805059076031985,0.005115855132745484,0.01064567802636418,0.03047818731367924,0.18949618224362327,0.010860145667237475,0.030764295955209464,0.009742104997571666,0.18908345538738486,0.038560786654655746,0.024366628302007004,0.000874414457948669,0.0029926336820664534,0.0004702637089997186,0.001119811964748585,0.0001360623426275298,3.4433266095978965e-05,0.0001513447652330413,7.740281625770451e-05,1.9190232739746405e-05,5.184013991410552e-07,2.0931777611199465e-06,0.0004062117402597598,7.217976958881489e-05,8.981990607580259e-05,1.696139891294024e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021946685619483874,0.08305626829551871,0.03567546118261622,0.0085013941487726,0.0001511085557690528,0.004595279219446802,0.0003194940875892449,0.010501930075210941,0.00024610567918337267,0.0006362285452659044,0.004977310560392967,0.03082390351301334,0.004741177140701436,0.004258298731153687,9.092930938292554e-05,0.0007522712681347077,0.00019876772624538575,0.0002617257101440451,1.4362949385171575e-05,9.27096862723964e-06,5.196887079139678e-05,2.3328372443232048e-05,3.2922745716312818e-06,1.5315785306668772e-08,4.3179988451491624e-07,3.575818933865271e-05,4.8110551089664e-06,8.3098348142574e-06,5.034624841471214e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08421287762229612,0.004412702669366331,0.02967352451442995,0.00038189442937985874,0.0005656013723478459,0.0014672227779712887,0.012194943815883041,0.005892830776951241,0.0007927063555888125,0.0002219471329556466,0.009255899926071898,0.0009371809426436117,0.0037687144668292483,0.00012282092035742487,0.0003856644130002529,6.575028350375156e-05,0.00012782223104768065,0.00013132153383987877,4.4125696430086236e-07,1.082228050863776e-05,5.603828902911445e-06,2.043760841674569e-06,9.450904681074235e-08,1.7749447844828126e-07,0.00013585120678483165,7.724286917198953e-06,3.1472836167223406e-05,1.178576203186843e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9663953257039677,2.8510968060411677,0.08648032085933233,0.0787310907303107,0.0864609399811318,2.541267757100917,0.08300101876039556,0.0865190716121722,0.08058567784616111,0.019119960059447355,0.020351245485212846,0.0032350526802851776,0.0001369102505491826,0.00042512369801869787,6.990656797178918e-05,0.00011167973588038782,5.122816536451413e-05,3.392596987561447e-06,2.248019460390771e-05,6.909392113382817e-06,3.886853838189208e-06,1.2696398454803415e-07,4.4705536950129243e-07,6.77522218142379e-05,2.2012833802237397e-05,9.151009707095148e-06,1.8906885471681179e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08115878704502544,0.005999692131392287,0.03411738795270991,0.0034641036654039503,0.08143901760686134,0.00427109559556893,0.004810645356466914,0.03451021995554626,0.012242617138478629,0.021378377518959657,0.0012115290687042535,1.8901402744742057e-05,0.00010373938028607199,2.099699343305339e-05,4.8482216277401236e-05,5.438381101408041e-05,3.2129220595145114e-07,1.1240681889734816e-05,2.323329296172183e-06,4.204264257623436e-06,3.8824996551056756e-08,6.329301172058877e-07,1.564700705558586e-05,4.4966030707804805e-06,3.2278986649147967e-06,4.6849874690835236e-07
