,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29O,30N,31H,32H,33C,34O,35O,36H
1N,0.0,1.0173745734985788,1.0179242611326489,1.4638786686313963,2.073380294304049,2.4397292681724325,2.5472549582773283,2.6913014880988073,3.868427143351561,4.230277243573072,4.420326671817505,4.2226826743235,4.439008101834145,5.496173434357895,4.938802183742253,5.048266629113976,5.913695328091656,5.049471814799996,2.5631275651811274,3.6650405198422855,2.857257602515467,2.4140248651438383,4.261653668884598,4.700643340378661,5.254844880080055,4.9682578693201656,5.594272828642533,6.620623426141652,7.318793280930629,7.232401890466948,7.0073353979055835,8.19668725455165,4.697008499688228,4.307765328803964,6.006188987015445,6.41456534500944
2H,0.0,0.0,1.6549301866143444,2.0805698093634244,2.448178038136751,3.3565316319271226,3.5263534397698963,3.6084142522102924,4.687384596131221,4.9286308663144,5.106092896448556,4.719985187338646,5.160379443515358,6.173357168350451,5.867502221395637,5.99117154057958,6.80103283866963,6.021948293822443,2.761578737287065,3.8256437190327057,2.850301492773436,2.3018374841901137,4.090523430871468,4.524588844101632,5.273715536704521,5.196707033558463,5.550811565216515,6.6401470974553485,7.475466003452434,7.088279821200933,6.726306797693406,8.069525809685638,4.221464552773904,3.6910153523284714,5.48992248151234,5.788132052143043
3H,0.0,0.0,0.0,2.0769975054811467,2.942000636365172,2.605746959008577,2.7398288857522104,2.426643366674833,4.1153019491579474,4.428068542962646,4.955798893531744,4.906307670068393,5.015205279992953,5.993424625101044,4.970701771093084,4.860570062559173,5.998594867444393,5.101675898930024,2.9278477888334704,4.1222602848575685,2.8486539283246373,2.209915078812128,4.2315083794391954,4.8675513453142045,4.982207378644636,4.617521180069173,5.172570850464273,6.430596176767222,7.064138591556614,7.1731958242464815,6.9936380625797,8.14908082976067,4.658494689682931,4.210274426852134,6.011259964489917,6.404180392856085
4C,0.0,0.0,0.0,0.0,1.0954951298090725,1.5468151175511242,2.1316554636083787,2.157061273347068,2.642542341737296,2.8908546824345667,3.1540849827017485,2.8964291575308376,3.427050920497483,4.187734671740542,3.9518071759719056,4.21550463369811,4.801311826062071,4.263703938652694,1.5418110414181068,2.424661928059933,2.470187975300569,2.5866344089222237,3.8327979088373536,4.002461526740686,4.795722943275392,4.414668838943779,5.399258840614297,5.962898025001567,6.570864805316488,6.580192816837731,6.489015250451021,7.47628759853068,4.667456864502085,4.654060039085499,5.872287540117706,6.465734684803954
5H,0.0,0.0,0.0,0.0,0.0,2.163124630787916,2.4841360511716597,3.0581869500886816,2.8636938086200048,3.211619806589141,2.7946296036307507,2.292449063898459,2.9499896651356705,3.8373186080611563,4.270250271907013,4.773818688080977,5.003609813316178,4.4831901536563326,2.1029743810665065,2.5584176119861266,3.2536275767603517,3.449606997677135,4.474831119543642,4.423683909101971,5.588614544838393,5.290002012210484,6.268105680878123,6.634645067494475,7.275349589553132,7.1046486520024565,6.970203580339288,7.960630001698074,5.236080694707521,5.240985747029715,6.344520417236599,6.918374347505799
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0986346572352381,1.1015016248812255,1.5418947870977107,2.156362956769641,2.559984278902735,2.8732913564483873,2.79258644534701,3.5078726998955267,2.5114164539498214,2.7472253174133727,3.476967019833056,2.7909528429885486,2.5414174149766167,3.173040790782219,3.380880278818915,3.5398989138553327,4.697911533216448,4.902831871450626,5.254819865560368,4.571387224591276,5.868739623267396,6.3418418748364225,6.6836293771547215,7.18729840812672,7.291573276119148,8.02041420270774,5.763482762315371,5.827373294659642,6.965032746033287,7.633424316956038
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.762099329485458,2.1704222491887224,3.0647385735834773,2.825650653375008,3.277584764217803,2.614648709478253,3.7943147335519645,2.7450215793624317,3.075960260418779,3.765159693308406,2.570522691161671,3.4621820692626457,4.13253063041801,4.265571207643465,4.239344731035991,5.6519553518452685,5.897989601837991,6.257895269577353,5.578728045860446,6.792865794513192,7.405275574557489,7.750635739229093,8.248434405742586,8.310348050318263,9.098544597508084,6.587714109464615,6.496714102351632,7.83900807097432,8.439841582674802
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.164163764035177,2.4881519090830397,3.498068803086266,3.8610668864570252,3.795912667887282,4.322202936890685,2.692509225022036,2.4646321279758903,3.699054679314248,3.0752230487590855,2.7992632994375706,3.5815827383266883,3.2142064514456847,3.2714115159433383,4.481237119846181,4.882446934799218,4.766356681691001,3.9717570442311065,5.255561315563125,5.922744214937304,6.184954087366935,6.911659383008917,7.068566382512633,7.754257401165085,5.557880437791992,5.60835995805134,6.782959463103026,7.446615693578827
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0972393768796542,1.536364599207925,2.185948908640546,2.189180646009253,2.178110701631662,1.5374380707812247,2.1928560069873777,2.1839579316427837,2.188316877591922,3.120413131160438,3.169625404418698,4.171886145262425,4.629245307446587,5.234730657384032,5.177621156380379,5.639051267366903,4.883597302249934,6.43419695476659,6.412466705928182,6.568406007448999,7.2468893514519825,7.507770090823721,7.948581285412621,6.517107183336613,6.821480619803748,7.563408736349468,8.345160047715336
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1400408355570524,2.4470118506205827,3.067428840072462,2.517755729400905,2.147826926098497,2.5082919723523585,2.489407330768053,3.0732858567989774,2.7826534749833667,2.577119226907104,3.7544906639938063,4.404566394191588,4.581391967486291,4.426907427648092,4.860873260373025,4.120706753202122,5.744969014987596,5.468851484175361,5.578196902920056,6.293733683888503,6.630314976281283,6.943460571371315,5.978310185095619,6.457464061363813,6.909463468052653,7.754979335882407
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0943036915370472,1.0989418015854682,1.0967008294085967,2.5314910116657905,3.4962350534373274,2.773978177924911,2.8039332190228294,3.726236666094355,3.4803341100222336,5.013775758700496,5.508133064828599,6.03093961395777,5.760921234988227,6.681594328490253,6.071824096191521,7.553996345722598,7.356839038066033,7.596070666372548,7.992291911793014,8.183787741674363,8.652222738274977,7.22609733441288,7.531370955732015,8.198720318696825,8.960479673565999
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7813401101274693,1.7661041065591625,3.486780344583742,4.343034169050842,3.743246887251479,3.8386424920102216,3.2587467387972104,2.838957571115213,4.6235041493507,5.1783997633422825,5.547142594718077,5.154425106398144,6.3905436565932625,5.9439122857542515,7.298355563237136,7.0354182470745465,7.414692424371448,7.5063560161441885,7.606721549493729,8.172145978891045,6.653544196233533,6.989267330619612,7.553286183790332,8.293573324500414
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7715541640371706,2.854204647207338,3.857622768032678,3.2170792821790397,2.686503046269511,4.35877039152325,4.312194149645738,5.619881604480451,5.9569980495135,6.770940995293601,6.584862105818662,7.4951565000476625,6.878121795591148,8.297285549177,8.290400759504784,8.566656098711075,8.938950159852979,9.071561290833264,9.6424130310854,7.858395153027247,8.018220957340258,8.90772378302539,9.607580972471089
