 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,S29,C30,H31,H32,H33,C34,O35,O36,H37
N1,0.0,1.882700226261038,1.6748550867535184,3.024426520754574,0.09092010869394862,0.18678844868142255,0.027944537575465223,0.013247450315575393,0.019393630620732003,0.008255246354678558,0.0006831410261367576,0.003567062421879791,0.0007567532014890604,0.0010496911389121927,0.00014318991097206357,0.00012385403031844877,0.2184984098299093,0.04670262080090469,0.03264789781326151,0.0024797467390863526,0.007196746004797666,0.000487997201307544,0.0014322973075373974,0.00029351887455719705,5.4622915403257366e-05,7.432983884367306e-05,1.5303369022889868e-05,1.5279804863599367e-06,4.228632815218153e-05,1.1443414836748156e-05,2.2487186246422652e-07,3.361199381046731e-07,5.646461840314032e-07,0.00037196136039285843,0.0001530057040011884,0.00011951026408117682,3.674298809752674e-05
H2,0.0,0.0,0.027303066678778132,0.11100114436813402,0.008890076187369367,0.03203049878096187,0.0018112962734262439,0.0005537047674124551,0.002035777475892897,0.0005631289205034751,5.8061658022801055e-05,0.0003842009465402363,0.00011636485076305103,0.0001744423086129654,2.7930759471939126e-05,1.2260750474002435e-05,0.006462502479169907,0.00468469275564265,0.0006840602191140466,1.7812479469858644e-05,0.00019781370032179169,8.102714661006871e-06,9.56007758656785e-06,1.1299678350784603e-06,1.0028259080918644e-06,3.452783744140042e-06,9.896104027351527e-07,1.2001356908264427e-07,1.2606001030812664e-06,2.7129353874499884e-07,5.8748765852101315e-09,4.13511558328139e-09,6.978536104540467e-08,3.8196579057236946e-05,1.2476816154016745e-05,9.795017674174566e-06,1.7088263459807962e-06
H3,0.0,0.0,0.0,0.11140806682938875,0.034917050351700674,0.005648942868236362,0.00013088305211228501,0.00011775576770567397,0.006627329107052882,0.004884774591771279,0.000278324952914355,0.0008407530922608375,0.00027441291053176275,0.000383835494728646,2.1344613010398916e-06,8.2468349068332e-05,0.02018819050977627,0.044891827463147016,0.0034051427518875244,0.00042830892963929834,0.0005321345853305237,7.010242002669642e-05,8.218326470688098e-05,9.463067778714418e-06,3.0857553514618274e-06,2.8264996533522435e-05,7.57091086067696e-06,4.24377283758659e-07,8.110439955522075e-06,1.3124136555298094e-06,7.380847288906978e-08,3.333098952396085e-08,3.47160957314685e-07,2.27831207316731e-05,1.5332667590128857e-05,3.0824483070457376e-06,1.651527110624329e-07
C4,0.0,0.0,0.0,0.0,1.6327223400332622,2.5189072739755423,0.08797089113693413,0.09091774999093616,0.15509631629635484,0.004954043818095277,0.010572860746576263,0.03287080788506844,0.00837526239737807,0.004468846974069171,0.0001407430348391303,0.0007722981321459654,2.6478314097566824,0.28281090826811556,0.20727040867001106,0.013432908667146415,0.03413996027663144,0.0067114998579526075,0.004450377640150521,0.001236022846116347,0.000136908304913419,0.00040956408045031423,0.00012405990552122326,5.893098378395578e-06,9.723827486257663e-05,2.140883054574383e-05,1.2201963768276869e-06,7.30144556371215e-07,9.748035361134555e-07,0.002771830130392422,0.0008272011294260112,0.0007420470534219153,0.0001634221946212877
H5,0.0,0.0,0.0,0.0,0.0,0.09116122571603191,0.005224857778814318,0.005106799736831036,0.02658635696368372,0.0003638410100621492,0.0010726085066210533,0.003304458925813547,0.0010398591018945247,0.0005501086164779734,9.062199521903125e-07,6.330374740781686e-05,0.1000783988148366,0.028511874051278085,0.010260842624866373,0.0027362399762191902,0.0017112671623386033,0.00012934500505989988,0.00010243585691593893,1.4122125544524522e-06,1.361564393986825e-05,1.700916326918822e-05,4.452873824334347e-06,4.07923119949416e-07,2.97994228326548e-06,9.995947143348616e-07,3.703204964899953e-08,2.596945547495011e-09,1.0774047565220712e-07,0.000449025594940089,3.28768276202096e-05,9.594309181482075e-05,2.6746275870515035e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.077025979668912,2.00775604199974,2.4279063841266084,0.08496506515892222,0.08112812188918017,0.20389072323791063,0.043873926647505224,0.031022306115087966,0.0009521033544177548,0.0019381815259346125,0.18184067902254333,0.04154304664696282,0.031973423333042095,0.013964009296364654,0.0035467027579060006,0.0007082401906917113,0.0005983753898964328,7.84773674018524e-05,2.222538086171788e-05,6.971663978710962e-05,2.9371269538280842e-05,1.6965935363266738e-06,1.734905832320721e-05,3.7564189206140686e-06,1.5471965753022232e-07,5.3876800132357516e-08,5.599040699966196e-07,0.0016280171682412359,0.0027308427011902975,0.0004413122964858768,8.858271485590041e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025038617243463124,0.08019656233349992,0.03323947211715539,0.0028893289029023883,0.01365977837735155,0.0013865243502975133,0.006327165389509726,0.0006948805092892307,0.0002711957949637078,0.006225251358717321,0.001144269843036838,0.00919089760657621,0.013961913501607581,0.0010050234387395385,0.0002963338964023787,0.00013146427861432386,2.6667010178060835e-05,1.8577056959401261e-06,3.641889869654413e-05,2.1703222126134847e-05,1.124282432929391e-06,7.5304243853935304e-06,6.141249446756092e-07,6.326188373151354e-08,1.3483888894327833e-08,3.257061309547282e-08,0.0007357100326030874,0.0040011686676062475,0.00030369859472878513,3.233653910061918e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08336767454425975,0.007430513577146636,0.03380282968037229,0.007209295095441437,0.005130050268862485,0.0010120460671704246,1.338390875771367e-05,1.046048858555082e-05,0.029281654971584192,0.004304131696963642,0.00445665249467686,0.0010300370636651124,0.0006137440588454002,0.0002721487719543614,5.22638103527262e-05,1.5452983825881006e-07,3.786006068207115e-06,1.3539713546784071e-05,1.6757472667272566e-06,2.883952259224998e-07,4.4748142041806105e-06,4.447520872696842e-07,2.779361851779072e-08,5.7799942609904065e-09,1.297628489105307e-07,0.000409999442791964,0.00015119034872002057,9.859887000374101e-05,2.6863085036854528e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98111287625431,2.0705213637279885,2.4884295680902406,0.2896699608570208,0.22884300242080738,0.013580940942848896,0.04444270597163169,0.026629851618414496,0.010514621694834345,0.0034689218517319487,0.000971269973962019,0.0004737053118901713,6.690745924942121e-05,0.00011309433675435465,9.983081276754291e-06,5.9059012842421765e-06,1.5565634543218687e-05,4.852166622937304e-06,4.579268829019156e-06,4.103798663210312e-06,8.092141602911163e-07,2.8836847576485525e-08,5.2954622020706665e-08,4.934606057105384e-08,0.0014412535691849526,0.004499579077086202,0.0004334496581532843,3.0654532934160095e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02654648494166212,0.10183819621509205,0.01777997675685361,0.023096141812174786,0.001015443364223323,0.001461981551990954,0.0008730531167038258,0.00010148142250876457,0.0005225787035976204,0.0005970901444092291,6.986796742192158e-05,1.4678959858072105e-05,1.2838052400487854e-05,2.049198133402541e-07,1.2782079559237047e-06,2.858714738152024e-06,1.6449097266502122e-06,5.136910474767831e-07,2.694793241886373e-07,1.3994550973617237e-07,7.158026615883273e-09,2.4890791650022948e-09,1.4180832286214695e-08,0.00011498365451245718,0.00027311857028955444,3.456420160863338e-05,5.5900119855234465e-06
