 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,C24,H25,C26,H27,C28,H29,C30,H31,C32,H33,C34,O35,O36,H37
N1,0.0,1.9142743225235606,1.954661711176096,2.7558335235420186,0.08152119440713412,0.20115170174647645,0.006667361748321943,0.10252159452079482,0.20921865900050185,0.030835526388100554,0.0008848347808297907,0.004065208011991617,0.0010354858982652981,0.2206488796201794,0.06000966969265219,0.0342333840963993,0.0024583893319324313,0.006587524854389737,0.0005797860624373596,0.0014246435873855878,2.959054248274917e-05,0.0002784385590368643,8.838110421598155e-05,2.813702385626171e-05,1.771415294782308e-06,8.441448866812473e-05,4.409813020744835e-06,8.089202028743747e-06,8.907722837125931e-08,5.216455769718742e-05,7.602334163303581e-07,1.631803598825532e-05,1.633556134805758e-08,0.0004879105361058761,0.00010469254477810108,0.00014477692007662524,2.90402751506047e-05
H2,0.0,0.0,0.028845749014843935,0.10342167844861783,0.009416528405046698,0.029092571466368122,0.0005254569341974769,0.0038877282173196415,0.0014049581880346551,0.0033632631761998377,1.610403810059502e-05,0.0009726753006036315,0.00010303407998790703,0.00572718034600217,0.0015608046411653698,0.00038480427400822137,3.691006820871756e-05,0.00014567744378157776,9.741092544146568e-06,2.995979421627215e-05,1.6219221115054694e-06,6.489131796350023e-06,3.128349947079112e-05,1.9776998283593805e-05,2.0097171926636292e-08,0.00022595667785541007,1.3193847587800178e-06,1.5726049457320812e-05,1.6127936763865591e-09,0.00024095295924975169,2.7841708392095654e-06,4.0560384466648e-05,1.528883797341507e-08,1.6731565407934745e-05,2.4495338096786057e-06,4.548397867454312e-06,1.1379739099925956e-06
H3,0.0,0.0,0.0,0.10147089861571035,0.03210775663701049,0.005865267077899916,0.0028901447307860817,0.0017171474270062381,0.0017276317852878975,0.0007711116293689368,0.00036492527364595517,0.0002084639339590133,1.6542738966007775e-05,0.027992574779172053,0.07324722363771263,0.00503135613040151,0.0005364435759389607,0.0007181026446219096,0.00011413961456785415,8.086482490765601e-05,1.9042366633970076e-05,8.676927659267974e-06,1.2943919357577549e-05,7.860552078686744e-06,1.006928896707393e-06,3.0308345482232824e-06,1.1058784443740421e-07,2.7323138718227113e-06,4.5412021254520596e-08,1.2800670753376764e-06,4.056732838542132e-08,3.3346331129724405e-07,4.141818221725657e-09,5.965159125409514e-05,3.319518918287745e-05,7.384603237348131e-06,8.377620979160838e-07
C4,0.0,0.0,0.0,0.0,1.9641881811011552,2.5541639271008907,0.08492493213860919,0.2201233074077696,0.03602570234951863,0.16268035351655946,0.010795934168971177,0.03153395098456868,0.004345051119206023,2.6963886118595863,0.2833675560154255,0.22741135737874474,0.015252388836508701,0.03482777922056263,0.00640940850179772,0.0037335389991701162,0.00012747573811444646,0.0009688319470866347,0.000403804828572496,0.0001736511117032824,1.55481608945518e-05,0.00015831803240298759,1.3099788247483701e-05,2.7180608531102157e-05,2.467564701458258e-07,3.620869932596804e-05,1.0416627396203637e-06,2.2739513055508587e-05,1.5285761101324624e-07,0.0034067376820051953,0.0004253946538913256,0.0010136721860906361,0.00022000960453261165
H5,0.0,0.0,0.0,0.0,0.0,0.0779257505918971,0.03587816542205635,0.009083748729573182,0.0014328777302672346,0.011459449476202588,0.005992451135459875,0.0006528634406615108,5.483227609137664e-05,0.09638091335849075,0.02393343458292385,0.011483410504344538,0.007429174001186922,0.0019082533709913196,0.0003092973108891339,7.091209593368397e-05,1.6321587261280968e-05,3.887046858830345e-06,4.892330969674674e-05,1.8441408771163736e-05,3.1350068097069084e-06,8.804856916011516e-05,2.1698025481686756e-05,1.0206528847644947e-05,6.241913474980265e-08,1.189636428344798e-05,2.2981165814783822e-07,8.047868119698265e-06,5.033058969594606e-08,0.00019298962884639614,6.588758012682217e-05,6.181598917953668e-05,1.8358087472636342e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9481561260474864,3.1187760043637507,0.11619670450374331,2.6738395926698213,0.08715423988454929,0.10186143715855622,0.09606162064197554,0.18202514814150023,0.0369084293276427,0.025560702150841996,0.0009732863045672779,0.0032348675184867837,0.00020777822379780542,0.0006829820577764489,1.5845921593538037e-05,5.517330436100032e-05,0.00013341038409570016,2.3190979819870394e-05,9.426484399721602e-07,6.924910866445977e-05,3.835145391928307e-06,5.2331443570197145e-06,6.392154361378743e-08,6.592454429993344e-06,3.7252330109538434e-07,5.717502496754845e-06,4.187490776352831e-08,0.0010765036625942637,0.00044893544961897847,0.0002656459687238599,8.157039068290572e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11228415027363647,0.007005515086324632,0.08395160948594937,0.037015158694763795,0.005193302335740002,0.0037909646762939175,0.011853285590457618,0.00678062727753681,0.0013726066806216686,0.00025819409712424246,0.00013651533980896247,1.1250655891803518e-05,3.4284804888651266e-05,6.663248086624662e-07,5.875770585639373e-06,6.338924130711021e-06,3.024612539759275e-06,2.1495074076227638e-07,1.054641521491817e-05,2.114939513075953e-06,1.0656845259582326e-06,1.2163048568325507e-08,1.6002980778306863e-06,2.3057477482879563e-08,1.1860268680496944e-06,1.2119205639038455e-09,9.979959536332572e-06,8.634605597412914e-06,1.5262544033056713e-06,2.5170108242100753e-07
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7320039306611599,0.2006078139638218,0.010054633882229158,0.010298155102786533,0.02958916923464261,0.04091584864505496,0.009526845541380724,0.0057470102118790944,0.00029921303245716846,0.001020358160501833,0.00012817207841964162,0.0001240181573836513,4.439946882373036e-06,6.1739400873950245e-06,3.1218115799702684e-05,4.192933778179864e-06,3.5086058769451256e-07,1.4643020689528163e-05,9.84788973701356e-07,6.28817463488307e-07,1.515327174850256e-08,2.5942515022303603e-06,1.2665171778003526e-07,9.084180894597393e-07,8.54919224302364e-09,0.0004056502407403517,0.00019564532093614695,0.00010293647716631826,2.579637555044645e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032740154140387,0.0007599635408601646,0.0006602245980904531,0.0024700957512628907,0.005733587844434229,0.001252565927532312,0.0008324304365104895,3.0007973842893776e-05,0.00017333755215453994,7.475465790829361e-06,1.1837197156694401e-05,1.0070501232917195e-07,2.3314289083753437e-06,2.4274695751280717e-06,5.095946291611142e-07,3.060754916184294e-08,1.3434847497828528e-06,5.9245004679908675e-08,1.5013087906190492e-07,4.029183875431386e-09,4.4986451164241714e-07,1.7005557184646136e-08,1.5242816464589026e-07,1.0826277652142835e-09,4.4566419814429103e-05,2.55497681587169e-05,1.4133571489494123e-05,4.015162628823177e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9872718429008585,1.8793064467166876,2.156779761346251,0.013850942232328106,0.002944275601993604,0.013100405772322965,0.007821561527505128,0.0011052233134080935,5.010501420166236e-05,0.0005185738290600234,1.191074002226955e-05,5.462494976149479e-05,5.824874859119977e-05,7.398638002087399e-06,1.7858638501344615e-07,2.3518962382645947e-05,3.1788581391634096e-06,8.034778025495237e-06,3.377392521208833e-08,6.701623825572378e-06,1.7011794017918191e-07,1.2441396245593817e-06,2.510008223488569e-08,0.001783194460700216,0.005149411920709349,0.00059185997445306,5.8442549489834406e-05
