,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24C,25H,26C,27H,28C,29H,30C,31H,32C,33H,34C,35O,36O,37H
1N,0.0,1.0185944092935502,1.0224272786019835,1.4699022780139424,2.09277307165099,2.437281242709116,2.7299586987671827,2.680852797122985,2.0435564780346405,3.816960180632507,4.0853174161514945,4.57678286784508,4.251499737625545,2.4747441004574022,2.791905771731759,3.6475127660018503,3.9431803875899973,4.892483465672425,4.867782131603227,5.717715071572363,6.056138123924775,6.673929458229628,5.343890212580001,5.724025559274968,6.216958624679066,5.140253843894965,5.2328752480018395,5.908019016647503,6.514516485923167,5.345346261797724,5.584958772332703,5.729692377338222,6.22552357051735,5.940493970331904,6.064747435608557,7.046996181997108,7.724913137232381
2H,0.0,0.0,1.6292260398754816,2.0549499201763535,2.2853355848907873,3.313740534601849,3.7079188274255683,3.499239801053027,2.816714137798538,4.560311439850321,4.655007405075008,5.405729437398991,4.944160739640765,2.8360932923373285,3.169784136035407,3.832990582915751,4.132392589185748,5.041443778687414,5.085028536669292,5.598456415391033,5.889868915184948,6.592970668076649,5.004471973618143,5.398159239892849,6.041384460246848,4.58173521740419,4.6910245927486365,5.413469753487221,6.064975987560605,4.599910643551134,4.722153503627469,5.032602152371809,5.450706586352819,6.231378986732096,6.424685530831455,7.334404308313861,8.06710087587564
3H,0.0,0.0,0.0,2.0210438609501913,2.896899841591459,2.822652970421245,2.7091735864542144,3.2658115062994164,2.66043355834623,4.2427662547093234,4.715642526498912,4.944847178071362,4.52088056750713,2.469420107211322,2.3061158784145364,3.798853599320415,4.313281223290144,4.839009054402707,4.586413093090852,5.717714756578919,6.22971065709034,6.5764088122314766,5.289916711203293,5.431485975929567,5.805366702860053,5.289939257381917,5.571661695051827,5.576669611979485,6.044408787438471,5.440760158181375,5.822937967185689,5.583138417181845,6.05636377742873,5.945888888419673,6.227175403830562,6.918364944982789,7.644125514707994
4C,0.0,0.0,0.0,0.0,1.0971298751157676,1.559246145634586,2.1572770344075107,2.4085185436030483,2.3286587467743862,2.5863340575193354,2.8349907709380147,3.5205082004578263,2.889329287261459,1.5343373622750358,2.4064642615985985,2.4676593173808774,2.5952284608257803,3.8312249692165645,4.007224154925381,4.821477676203509,5.051609859165704,5.78409218821174,4.809085395143503,5.438280015293812,5.85510378652824,4.750691173021416,4.671223303498452,5.952569592870394,6.682737856502847,5.332842765369267,5.676684218052485,5.907501122684466,6.612008324406612,4.677576143008367,4.664069814012635,5.872716816573851,6.4689484214794835
5H,0.0,0.0,0.0,0.0,0.0,2.1611201809634664,3.050084759981144,2.6972016483720207,2.690585749961547,2.7492308996550108,2.551078568222074,3.744283379676319,3.1305336421947696,2.1809374142860536,3.2589341107329535,2.5892654571718343,2.36351101190143,4.034753781014511,4.468941622385653,4.806725425274078,4.803556140896835,5.84578620097146,4.8147391880655945,5.668287176421899,6.216142665689251,4.508779169740339,4.197633274930966,6.1798667236615925,7.026497262635283,5.137179480223298,5.326000429921243,5.9457570597741745,6.657674130488556,4.817106029739132,4.6562134892293665,6.10323824890297,6.65321356940223
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.1057542371431803,1.4132897824234085,1.9029348520759177,1.5242270088304193,2.164915472469076,2.1514367397580725,2.1885141062117563,2.562209945339931,3.2461118572892382,3.3549198295494493,3.2917338851232496,4.596873972697583,4.721535179465099,5.853346180087111,6.057869633754604,6.718705161183768,6.108846194696549,6.716073259776398,6.96963682922329,6.196643456728302,6.0543047550534315,7.339139322687414,8.005816819953317,6.8685211086620654,7.225928847682317,7.412357815339925,8.125992177975013,5.035324195530781,4.772021364522743,6.2018749830934095,6.624832802378653
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.077866335165711,2.396733500464489,2.1581766571556376,3.0736301233885834,2.5013376078977263,2.5053158946471745,2.694535112900092,2.9665432123430904,3.668616367416956,3.8481124459422333,4.691938416817083,4.570325776868601,6.062783084124724,6.439266690210245,6.820725503745618,6.313056374961063,6.718674137745605,6.82873371417654,6.592225380231263,6.608866255546837,7.342705063286241,7.885764801756873,7.229469228915607,7.6997772227856505,7.584574687837085,8.284514711130136,5.124249780205406,5.012142531489705,6.134702739477199,6.5765553067827005
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9801867559094939,2.37756804676172,2.646757501378316,2.601377807477938,3.3469746295933374,3.769088528878635,4.410813107379874,4.5971370099416,4.423316436489313,5.9240828858188985,6.079759843291952,7.079613617493861,7.204800722271177,8.004248823269046,7.204967170472567,7.82415406071426,8.174060105652622,7.089419187555187,6.879171572545707,8.294176257718098,8.957445646320725,7.605887322521043,7.795916059294623,8.194356340227882,8.79327836862891,6.386505667992286,6.031415366392364,7.5873720087056284,7.9832973639811335
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1805144950174324,3.4193598252377893,3.534171779729482,4.044027513674218,3.7541731098685744,4.263292610119467,4.753684737061281,4.714689289139537,6.098708868598531,6.179533562613581,7.149854672305581,7.338015543942634,8.104080932983337,7.068330454102399,7.59136745903135,8.005596562380283,6.866904925857423,6.742583219966468,7.904702398774026,8.525765051835583,7.2125405479292795,7.354393074251424,7.727143812781133,8.231839996491432,6.771596093594875,6.559414096956081,7.957789164865773,8.45016528074553
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097346620691753,1.094727977123681,1.0948770798189194,3.1868220940146608,4.0624224355605065,3.3936664802088803,2.9913618452771216,4.491855698134858,4.836120007703605,5.79872353123879,5.82431402110856,6.593135378948936,6.398665167684453,7.191438020740443,7.376786724502761,6.5638757772840775,6.2492035902055525,8.026005960174754,8.770399521512124,7.470292548989483,7.848782775441472,8.155886354209464,8.98195874678461,4.476541678834541,3.885348756271495,5.669133194722854,5.892361274817549
