,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26C,27O,28O,29C,30O,31O,32H
1N,0.0,1.0265387736798999,1.0209431631584083,1.4732110171615707,2.0703672491154386,2.4573339639296914,2.5093440599868093,2.838123003416551,3.821594781236104,4.507196866950869,4.604275472920417,4.347154480284604,5.472431029458362,2.521118348457684,3.502019704032779,2.9520705392815536,2.6840221660675345,4.26075756005871,4.460346443060029,4.9384879203612595,5.1119845002653586,5.968439501389833,4.676939080227847,5.703517895866799,4.570969942223317,3.928227815660778,3.094047271785433,4.627851676978875,5.355543991708565,5.611194445302861,6.4320834220993195,7.128235987378599
2H,0.0,0.0,1.6331167581794517,2.0690219273210606,2.3336987037711605,3.3602430533391683,3.458417838280328,3.7812561718457585,4.594433480752657,5.240737416922273,5.30046328989807,4.9704179423909505,6.1044663289415455,2.7646715672388718,3.90558821534981,2.6985490130429537,2.0885947735985653,3.950721417704645,4.290436840936799,4.329709130794033,4.411354264785453,5.400101482319722,3.948784408173907,4.923270730659164,4.011686023804429,3.0118661393930704,2.116349820376655,3.7138944563892333,5.150683898748273,5.431543082838354,6.263966692684653,6.988968177722647
3H,0.0,0.0,0.0,2.0476798936986564,2.9189720062771887,2.7472157804341752,2.8788431282257387,2.7195998303417763,4.228693475917666,5.0597182726527015,4.858622025628328,4.472424659242811,5.804800460302358,2.6666856360996958,3.4112496622933834,3.150442484785692,3.030768579540159,4.246321895158903,4.192878420958968,4.964221901236254,5.3463486734162995,5.917198072187074,4.558027483931922,5.570305655793021,4.216105521249511,3.986043633515778,3.4497645840426925,4.594970416481626,5.4497383375708015,5.896842805230494,6.364985800841831,7.133560775933425
4C,0.0,0.0,0.0,0.0,1.0978348071129058,1.5455894330803535,2.1365184801026027,2.1649847916841907,2.5944865561464683,3.4212828686086967,3.234873166281164,2.995821410114692,4.054671637359562,1.5538017843409455,2.471088120269042,2.4333575343334384,2.60225310231549,3.7993140626495343,4.101115210437078,4.8133110057911175,4.92163417130969,5.78130269010229,5.013946445150063,6.097955095354852,4.976171132139733,4.588181613868283,3.637965708504834,5.534478422251749,4.537570721355739,4.5990511281275515,5.666569880791782,6.22781473684641
5H,0.0,0.0,0.0,0.0,0.0,2.1636461323667775,2.5555070451217925,3.0549000157462247,2.715998186810135,3.235340862526754,3.4565994208639053,3.3994981546258116,4.072337554717451,2.155285611097078,3.1572887706475408,2.682526834422201,2.6616159048103434,4.095364996491809,4.643241517673177,4.959633383097028,4.821706797468603,5.958931443210917,5.285664954179187,6.326778513917912,5.466053306481193,4.730604171457976,3.5912558581406784,5.7081730064121,4.660798487818553,4.471529263394255,5.92130144046045,6.383504977341423
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0914687684592674,1.0971792616634537,1.5310499192780354,2.4215469996286503,2.4423145998924207,2.5417246522221064,3.3510058452781144,2.574480407150328,2.855343158356226,3.779148995385843,4.118476014352291,5.001369815333993,5.11469391717759,6.194795366516005,6.373779546144946,7.089826298694018,6.42095337517576,7.514207157173864,6.236702147163501,6.052732499757022,5.1509035502175005,6.932123060137472,5.542701751106768,5.5403488699035,6.541947275486102,7.019081371436073
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7834934315170154,2.123583974359739,2.5240221768985274,3.3106771924111076,3.580309654424911,4.129087180466557,3.47707777782825,3.902060616333237,4.549592208653909,4.682166225499901,5.857242737298557,5.991369422459431,6.918979634339823,7.049029220147223,7.875812579192832,6.974939819825477,8.048107641770642,6.803555012787903,6.38734120475816,5.445995150113876,7.135667777600043,6.5104886069659225,6.492588695391231,7.553075798013438,8.056237590098842
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.164781706558044,3.1955655840982264,2.62174150997079,2.4872045887904863,3.6221456891291184,2.7110164767727065,2.618973154579784,3.9927072638864565,4.468417378144613,5.018564755096985,4.893734183708549,6.296808782267858,6.654183162210609,7.1081819091206,6.465176005909583,7.550276765073775,6.100976067593266,6.266907808723756,5.547396532686211,7.110010536429248,5.604364839605232,5.78632740485572,6.423324237054935,6.949465112859823
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2285682673620852,1.3678290884637951,2.043541865071744,2.025599789049091,3.2769393911191393,3.2860001606247664,4.474102596470808,4.9525560755617954,5.594358686739974,5.8170872089443,6.890485961008814,6.948771073616001,7.712347796761976,7.397846389669439,8.486050856233017,7.31399162697676,7.139569146415432,6.147900199611573,8.12451646654477,5.737216859419402,5.457788304592725,6.726840266561146,7.00269980881713
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2825964892934283,3.1501744347433265,2.493241446151044,4.328316859813796,4.470864567194359,5.413245393664319,5.757669752862536,6.606799720715278,6.931648128785118,7.815543248790559,7.747124876772438,8.676615659001632,8.316865701688743,9.392952357812709,8.319708566776685,7.9098383480035634,6.815633975925614,8.858350200629053,6.699762347352942,6.2694534024813535,7.755777020523782,7.967215245812837
