 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,O21,H22,C23,O24,O25,H26
N1,0.0,1.731676377913089,1.9273315425128486,2.957182987907418,0.09703158797717382,0.1803129315570558,0.02521558728903961,0.005258844650072536,0.028378363720586858,0.006264123777642766,0.0069502848202275605,0.21370096269656005,0.06759915185597898,0.033916922234257935,0.001940667626228354,0.007685066579295158,0.000389363536245968,0.001130327503773676,6.230277584284849e-05,1.6378997797383832e-05,0.000357071381710497,2.2338435113566923e-05,0.0006397624434411053,7.177629048431278e-05,0.00019523849208888389,5.694623799656906e-05
H2,0.0,0.0,0.02795539952766357,0.10342432911856603,0.002993021985627342,0.0298154425335051,0.001964924975362159,0.00010736353638773899,0.004566945676363843,0.000872077626197787,0.0014506795879055678,0.03452601253134224,0.09703443752621643,0.005674405473768296,0.00020718269014885493,0.0007915305735705092,6.373367505618788e-05,0.00013793858873334397,4.274332610965104e-06,1.9651483607718845e-05,2.5779417833660112e-05,2.068312345393508e-06,5.295330449972546e-05,2.348782033290142e-05,9.901736064077404e-06,1.8175587093161027e-06
H3,0.0,0.0,0.0,0.10029049999080597,0.03466842780950019,0.02491142197906171,0.005028385144074665,0.004575351009713735,0.0025935758604169745,0.0015985411300892816,0.0007828207723470371,0.0056385656281010554,0.003707328049215697,0.0007846282003497462,0.00013924321326985734,0.00025857328864031803,1.61523816848419e-05,1.6400838753760638e-05,2.7016142016833555e-06,1.9282675145504413e-06,4.634631044608817e-06,1.6552442860806593e-07,4.7787758307160644e-05,4.5194123995395685e-06,7.957188279728022e-06,9.49674075823026e-07
C4,0.0,0.0,0.0,0.0,1.8959166193220969,2.694545856741463,0.09279598735647876,0.0819854364874466,0.14482316087602132,0.031601065199968886,0.04141750127369276,2.5722390241199213,0.27370240602550033,0.22579822127989083,0.012950625124073634,0.03760393130839504,0.003669717623815405,0.00441218759339429,0.00013677507980802694,4.44661362388743e-05,0.0014891595557646464,5.9441861599673906e-05,0.004254748103435041,0.0006472491768730049,0.0009695611902360984,0.00016353201303143106
H5,0.0,0.0,0.0,0.0,0.0,0.07643260626466142,0.001761400528129231,0.030673524130072405,0.014574119097306104,0.006558342538348305,0.0025079701719187275,0.10480790989848421,0.026500171370049674,0.014060951743690042,0.0009459838584551239,0.0016915541573647719,7.781173009369091e-05,0.00027144262185063717,1.8076801886701688e-05,1.4889902759662732e-06,7.036096469759112e-05,7.238299600809128e-06,0.0009467186275855521,0.00010873465837313301,0.00010548520269770822,1.437121661629348e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0656162985726327,2.02808162379072,2.6094203409579015,0.2647908537299763,0.3130144261252805,0.1670330247785901,0.03595412673769678,0.028196167552190343,0.009498111384550145,0.0034098997869605047,0.0008967386164470126,0.0004927804458407514,3.144704787472197e-05,5.4729019508981125e-05,0.0001659504397096001,4.337873346860199e-06,0.000866048199572117,0.0005376636815348917,0.00020248308089018674,4.087224939020029e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025172820178390065,0.09094622663806007,0.021042636000842663,0.02381929897643198,0.025846690337007372,0.003946716861332744,0.0044011501677327924,0.0007487294061627736,0.0005246478288165601,0.0002735737192727239,5.237527638279893e-05,1.1174993283624701e-05,1.8433458679467662e-06,1.3518697958847525e-05,1.6403546942989067e-07,0.00022608997143569454,1.2582963106133604e-05,5.5636341229070574e-05,1.6024605699715977e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08536623574991276,0.013386611035518081,0.025650792559663516,0.015709332299341794,0.002003308854672259,0.004422821302910718,0.0007501215031706643,0.00043515313470066097,0.0001356650769905876,9.916511179097753e-05,4.021657706632098e-06,3.950584260392631e-06,2.9959715111216312e-05,5.441887644952459e-07,0.00042971091918309057,0.001646282388906739,0.00018071868620284093,2.0913353417473246e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.387870534939169,4.287687014666641,0.006940027215666361,0.0023113964985734814,0.023781876745689712,0.054883008090313656,0.003491487734802734,0.0005039713354255682,0.0006493239617006152,9.050711351465957e-05,0.0002886826562802369,9.007075207548287e-05,1.2163409840226791e-05,0.00019889034234116254,4.901420766839637e-05,8.971387336031977e-05,2.833764738707778e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5719267404074186,0.017435061353495013,0.004637759827080271,0.21790162644381966,0.47241886858701654,0.02199839585092997,0.003515560468925094,0.0035081679593158277,0.00044359950024119854,0.0016990567560759562,0.0003237653093559195,8.882988273661852e-05,0.00123325345035169,0.00015103514468940704,0.0005580141355355783,0.00024817998740311875
