,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20H,21O,22H,23C,24O,25O,26H
1N,0.0,1.0237635998107264,1.0224926120948747,1.4743573464747366,2.0904974667742424,2.477140374055576,2.496501842758019,2.917323965913345,3.87327395658044,4.439282483699357,4.653211684785945,2.4847237044359027,2.738354127372072,3.7010959991981567,3.9524396674032896,4.896578132526227,4.969554158460368,6.110676116592142,5.993340510787149,6.433797781343327,7.273177431440207,7.444361693816675,5.458486012057183,5.267508564909333,6.692030612099043,7.139233211734042
2H,0.0,0.0,1.6072417075705419,2.0091073705304723,2.5214980388874526,3.2972754905782664,3.4832902836374364,3.609137880889843,4.640483566431011,5.001801805834435,5.53654585450144,2.405261840182799,2.199450108397876,3.7411461842201637,4.24141541625929,4.728627625830436,4.582071091099124,6.031042859183089,5.936366485121632,6.510039190416321,7.056288696371697,7.1966511477343476,5.305382931359659,5.247834379995889,6.4163363004033025,6.894333972770748
3H,0.0,0.0,0.0,2.0236678261106835,2.905307839881017,2.517738826303877,2.429393140047655,2.605176207892186,4.067459493584362,4.755352939812636,4.7722075353482465,2.8390650889242273,3.0042625508030567,4.0090233170025025,4.268140122870611,5.138982193843087,5.295731039456426,6.444875336120808,6.483058930731973,6.674779844509578,7.602544556004248,7.6571601205786575,5.417106165567193,5.014174384824043,6.665286692842628,6.979279202867461
4C,0.0,0.0,0.0,0.0,1.1010683039898541,1.547794685465631,2.1479503202483596,2.1706075127463875,2.667473077208178,3.0153947346909447,3.6687566058979066,1.5500920311698176,2.438636075916652,2.4453795262461355,2.5154417870517345,3.7953722691102247,4.077525565297015,4.8371279492716,4.681978127679882,5.076854487214071,6.096878062076463,6.344732386181284,4.5302901424464945,4.450647876252945,5.822483800214676,6.349930068257032
5H,0.0,0.0,0.0,0.0,0.0,2.159084219309752,2.6323644176256575,3.0421608380824,2.740329177431408,2.9243853387933036,3.6719238379818515,2.135414257000442,3.026779409438115,2.759139584283967,2.662273199483295,4.095734252764065,4.31094698744446,4.881863662653771,4.4807978523653915,5.178619638778222,6.138733440364947,6.544674491081359,5.11553582580697,5.225689476504236,6.3439639202682265,6.982379834274644
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0944910651860902,1.101772762484284,1.5671033206226272,2.4307379115473227,2.3907734804066516,2.6022030581721354,3.634541429741608,2.961807074434893,2.55761952003604,4.334807227900379,4.936319556255137,5.196302179117589,5.1488940604029905,5.102056979767677,6.563634216320081,6.763015998354163,4.800733543642756,4.434089964742373,6.178133026052743,6.569299550196406
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7681395032274347,2.1559735216453624,3.28137639390631,2.4569746452294368,3.481496205043156,4.370550801760484,4.021356946764268,3.627535924389392,5.401781946389123,5.943186151857665,6.281327647037345,6.18672043698967,6.179696923738522,7.649650669726852,7.852066322390508,5.828077896466017,5.375575206076591,7.207243960396651,7.555075069089569
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1777401418534708,2.8684022830837974,2.9458174676416555,2.7047959725614854,3.595034607839789,2.9782298850862094,2.7248306192579315,4.160912516126939,4.839722851573264,5.140767272886213,5.3238874099401725,4.96486544970555,6.45029755701778,6.49503706085788,4.26946543025756,3.6735034315659187,5.645800744548775,5.8969162072311425
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2820165408002882,1.240664211634433,3.4513977513959335,4.659278869360648,3.2154141643578886,2.329049132449967,4.506992567584182,5.287865658694699,4.90221128347098,4.7270809596716585,4.584065848581778,6.32072129524738,6.6496818188081015,5.123316902520655,4.889313165730934,6.443650993534714,6.892316437642423
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2573265044262247,3.283281040510393,4.515304636892807,2.5937036924882544,1.5287268765031843,3.697248723018524,4.535351219526261,3.792345507685651,3.554361979322342,3.447568663449287,5.200242849780241,5.615092139502847,4.49448290873885,4.5145486682717415,5.707634130830817,6.256865166922057
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.641723936678572,5.822939819264329,4.452394797071156,3.535437713373561,5.716960673565006,6.523541600874891,6.012044722474128,5.807172175261294,5.57980197268006,7.423337868144591,7.762577002962216,6.257495053476875,5.921541028769903,7.571173767287445,7.962036111127642
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2402612416618028,1.350498255637709,2.068784661204401,2.4140948014305357,2.58318281477126,3.6857171443405314,3.7256643186545078,4.111739453466378,4.806624025782478,4.962414926101179,3.1736086315763488,3.3348313735163777,4.378199867505603,4.96886521410332
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28547509843032,3.215204297241455,2.769855036150549,2.494363603674442,4.214245762002395,4.356735848635174,4.821106534932324,5.066614071427886,5.095858666228249,3.3007909866161946,3.5301478515866163,4.2817008285557465,4.835453568673479
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081477421951466,1.4327860175539127,2.080682499772317,2.448474351614933,2.574973550258089,2.7714875420015384,3.705722702218026,3.927681176678008,2.4554971126430765,2.8429441867090177,3.6621368765980264,4.3370244661153885
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.221125022663578,3.0364031902424946,2.683613719288235,2.641001838600725,2.6507215115505876,4.086142591371361,4.413381490127275,3.134820682838691,3.3479055415818104,4.357653793296329,4.979602585807994
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098225836929777,1.5510642528467362,2.1461529143536775,2.182297111737562,2.488162353609541,2.5609681651276865,1.5319379057123101,2.469757997697714,2.402367542937062,3.224539351060206
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16014043327797,2.5342390525026146,3.069237481919812,2.635789402182647,2.711910628207832,2.118459813568304,3.1344170397394144,2.5929776765197237,3.4808084322338617
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931647691439461,1.102254844919775,1.41890279890768,1.9354683584565786,2.5352659870786254,3.5085629517184613,2.9188911753327824,3.7773895536430095
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.767625816019841,2.028046574729951,2.815503089798043,3.4556883280251616,4.376313317650504,3.9379014081791004,4.829369722840575
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.095390307643561,2.4203212337576034,2.7407321054867215,3.4411761454305982,3.226850383162567,3.898808717600574
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9719023213310518,3.0912420525833055,4.214169515042992,2.7949571185717716,3.6640542449243654
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6548172074339664,3.756015139317832,2.006670876638847,2.803535522101706
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2049674856309478,1.3831552872623636,1.8882806442349191
24O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.249175143195664,2.250266840400498
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9762953171737099
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
