,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30S,31H,32C,33O,34O,35H
1N,0.0,1.0219832362378856,1.0211738619268331,1.4636179246806134,2.0747587657897903,2.4598671935397576,2.4452656219488906,2.8823573887583542,3.799826057171307,4.333188360096254,3.9431761231795726,4.925841028567113,5.043386768777014,5.701751121980668,6.332569253612311,6.17094858331009,7.054795471683004,6.500951265701726,7.827856056783426,8.349154940870068,2.488081879728575,2.742475949579193,3.733030652132848,4.035478528802471,4.924783909769962,4.806612094087013,5.847382431725011,6.745141912766429,5.500032859474994,6.748307490035071,5.870619310860672,5.903599630966221,5.934095478001707,7.058720882506361,7.695695742688093
2H,0.0,0.0,1.6105288175961494,2.03070046447441,2.91936561698499,2.6126871249937587,2.575915450269836,2.6408593328769254,4.104177702604035,4.880224570645728,4.631461041534629,5.0611334416396305,4.976073152412474,6.25132406413842,6.978441042362965,6.3993090302423346,7.1959570673043425,6.909918664322108,8.267575171913458,8.706405936817186,2.758757590357121,2.8912563323687013,3.95743231701574,4.2653708522160905,5.03533549388286,4.797556829731916,6.153218151237422,6.968836786948197,5.919825787404731,7.176134871343949,6.414820598003234,5.844961104251846,5.806205016049077,6.965110768683016,7.5354803328839575
3H,0.0,0.0,0.0,2.0186230120590087,2.425098957987911,3.3313804636645292,3.445531491631265,3.7047789474302,4.578614667907575,5.047938684761788,4.617677857289084,5.661509802476302,5.755530911392847,6.370019038692333,6.950549164758642,6.8725464181829885,7.737032880944296,7.180527946090087,8.477905796187143,9.003301343115057,2.517452540500361,2.340512445496748,3.870256703486583,4.3889705822446805,4.880449564644737,4.611086869259793,5.6553682378619925,6.491230263060547,5.15623657526044,6.726922531209196,5.933245301434747,6.03326730998735,6.26115028472747,7.074971855630296,7.800342174774259
4C,0.0,0.0,0.0,0.0,1.0999569551914763,1.5513175276046511,2.1221752787107975,2.1803504869098633,2.6006643264154596,3.2294777674100823,3.098511974134645,3.66636746533305,3.8749026170042318,4.528705532603509,5.2537569470569006,4.8540859156056655,5.731289363135188,5.209885808320385,6.528563764423817,7.012006129717805,1.5499801005121803,2.419884397358268,2.4965269177625307,2.645669573764836,3.8511953577723164,4.014382314622965,4.747924837805625,5.72407300931928,4.541990941895357,5.434695656985076,4.5138926131766075,4.783251253034831,4.768232921078488,6.01731258251362,6.6344217899606095
5H,0.0,0.0,0.0,0.0,0.0,2.159092774535826,2.5852683962898904,3.053839899332803,2.6839701952318853,2.8149688407526647,2.4750429040820263,3.881200435777898,4.347638868369444,4.037140515351112,4.595902309937611,4.846777867657704,5.808799580398318,4.9142558209607685,6.152547189204266,6.745672167147519,2.130947908138993,2.968607754810885,2.8475542574284916,2.9172797559603287,4.203937325961536,4.510430373097366,4.777729873041286,5.823975666832338,4.442102542250449,5.218202219566562,4.127061655668744,5.254578617382599,5.301367063266174,6.471516538245858,7.131619373557671
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0972711219482618,1.0979592059913834,1.5174621811401656,2.5386919927380927,2.7337583092203674,2.5515996381521764,2.7653031556051717,3.827257541812172,4.701691338043175,3.839843079195215,4.707453746552515,4.341731738895046,5.707087664571667,6.126607527709477,2.6158435481397904,3.658444839443891,3.002860533044616,2.644555705286671,4.38200367828994,4.728936804994672,5.460517423613702,6.424543422336427,5.523132102506022,5.857689224312318,4.9231980830856035,4.863611989286323,4.457744088863285,6.1936830997335,6.611519711603891
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7595737372496578,2.146009125892319,2.788749452485574,2.6938997307115318,3.2814581009927615,3.5648257333620124,4.114639920579567,4.860440998446162,4.471103677024918,5.38045140168347,4.807270783041221,6.140349038892611,6.635254644434433,3.4781737376803887,4.375876144361959,4.057539405984504,3.731860152377892,5.4432865555001735,5.716587971345382,6.500181135787945,7.475783209225609,6.481499698816751,6.883531311064729,5.874526759837933,5.942414206399868,5.4975887198781415,7.266435271955247,7.667382650275698
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.154391999297973,3.4330118009923623,3.7842949173345746,2.6408300422006556,2.403756862089299,4.591537425702188,5.5549283847503546,4.034543197170349,4.710693093367887,4.8346406412887575,6.18746215360849,6.457672084775396,2.7599561664088963,3.682217246242947,3.0388835433255608,2.7256874228095307,4.22172402983486,4.464732648000281,5.517938543532731,6.371559728294071,5.7205098343780225,6.07233517108475,5.335689297673934,4.456752460985349,3.9419206040249426,5.747471086929303,6.074751666640844
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4070364020698172,2.1604534061920417,1.4006472099053753,2.1582929531502475,2.442250746886986,3.4305955527222354,2.4399290385214805,3.420422998359863,2.824405187096812,4.190157657632174,4.625123406649033,3.3767173364412613,4.581818554161698,3.1907269136173473,2.422201140360247,4.514826170449237,5.170769758351802,5.375454403731364,6.372992787189212,5.578627933174152,5.283487507961395,4.260012218056237,4.800511432936695,4.246975773560886,6.1425865641111566,6.471815809777733
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0881406753460972,2.40246624367238,3.3947058558446055,1.390218917798534,2.1637141969062323,2.7818512186958704,3.8704090874073107,2.415193513723068,3.6416997294174913,4.328941027059693,4.181252432265809,5.349652011356801,4.055425582648434,3.345160245176951,5.385368282914155,6.105563788563872,5.93947289515292,6.995074613715331,6.001387541872636,5.564217381530748,4.345879514006158,5.83289973882595,5.383289345453665,7.137505526296094,7.51623394893128
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.392057032448129,4.300878163167116,2.1403585840482884,2.4816722744843283,3.8699039208938952,4.958487098688032,3.3958697240166638,4.504626008881654,5.278487866975281,4.287156212206474,5.338991429804501,4.466204370955973,3.9520364688590224,5.8578218796408805,6.462818854950429,6.354422231874423,7.439254295599225,6.233096684456701,6.11891711378733,4.832843287651269,6.516272790067048,6.187012611877683,7.818629200905415,8.284398444782365
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0866845045776796,2.787274490342756,3.8729595055800528,1.397894870599322,2.156853840654906,2.4197767829625874,3.6904180431314892,3.84339071697913,3.995260587573472,5.192406250989028,3.369473790010299,2.400455727796174,4.39506822220461,5.179150304453089,5.299466065915171,6.1800245809673475,5.765323146819625,5.017559750121118,4.233112029764473,4.236252977617043,3.4293175722624865,5.5197243381646395,5.665631880199503
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.873821939620485,4.959432391139922,2.14426619334261,2.462275864596278,3.396137956145864,4.567688099588951,4.547917333321961,3.953650642384897,5.0502848000233405,3.2814068601971034,2.4186947771767704,4.1074238845516575,4.791792680752436,5.228015521229135,5.993299738737466,5.805790558442921,5.184911759188588,4.632447588729943,3.6855560344107277,2.71852344090369,4.933264191682657,4.98300174053856
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0858005442645118,2.418536322452268,3.40832048145877,1.401816920923242,2.3657624984502865,3.176812997558802,5.275760762365059,6.463903129314645,4.872056794063339,4.045990375192542,6.032576694573072,6.899862880457556,6.382857169162262,7.395778533049253,6.5454562478239415,5.6023472608730644,4.417343963766888,6.311710576192058,5.8016569397473035,7.537784043101589,7.8300472002079
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3958432647335584,4.2969704262733295,2.1482431074079056,2.5689731365995656,3.5173891968316786,6.066852347386615,7.20726006688148,5.7333360304370125,4.977747615797127,6.881718681133006,7.749247615328195,7.070889362350944,8.090617316428235,7.137616116392705,6.171114562267286,4.941034981804425,7.254871950335726,6.813376627654061,8.447095967127897,8.770839358954271
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0885982077384706,1.3966104294066302,2.428661148029003,2.456388517380601,5.128735023107216,6.333918717772912,4.311478160687825,3.299128328445607,5.157827435720223,6.087488893330302,5.781823158833837,6.618568124372445,6.3228821977442,5.046523231472494,4.296457986331686,4.8593960805767225,4.036958444261215,6.012392164416554,6.057766083488795
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1600993488945592,2.6969229839285296,2.3056164496656244,5.820350625326177,6.979561727431063,4.8532947855990605,3.861569184969694,5.456059761543464,6.407370087179264,6.06704226581373,6.773754380809621,6.754863687840269,5.239569168648635,4.737832015709807,4.862924806307458,3.9319734199635707,5.869029405858624,5.747992528477641
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3668230170042321,1.916383025314828,5.682648046504269,6.898832058296651,4.982385441614576,4.027693284842897,5.932021880411191,6.8926911562575475,6.308886562120594,7.218471494424636,6.695520551079528,5.347724826992885,4.390789691035833,5.88235361738329,5.22321145973761,7.026431313774545,7.165481045699545
