 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,S30,H31,C32,O33,O34,H35
N1,0.0,1.6755685464257724,1.9779257732137623,2.9727849681609055,0.10043899769832809,0.18823652853096706,0.03167208716659864,0.004571942280525376,0.028481947154581383,0.004457030594062952,0.0005444293424504698,0.006019162452895507,0.00020984631913445462,0.000742611364831447,2.867958980601326e-05,0.0013846748598899117,0.00012123346495496179,0.0009924504916884597,0.00028088443924947915,1.5430121834025812e-05,0.21649530634483993,0.05334978759682039,0.0335802057847555,0.0017355682272600648,0.007506308113057747,0.0005293674437856222,0.0005634732174364387,0.00014241247826241032,9.72154792659996e-05,6.550837437680618e-05,4.5854587877869335e-06,0.001099063601439687,7.860194584788371e-05,0.0003469384331488967,0.00011512131686053362
H2,0.0,0.0,0.027336678696175953,0.10619583842621572,0.0369478749118779,0.015127306652575667,0.001975720453820884,0.0033965234552910673,0.0013447277833700255,0.0007750888869991757,0.00011723534702423599,0.00021427804092311042,2.0544101868580356e-05,0.0001861505670242014,1.9451669422965168e-05,6.447872266357457e-05,7.898081944013313e-06,2.954747348482556e-05,6.929940315703043e-06,9.069322841614991e-07,0.007796522058450828,0.006526172878084102,0.0008910474211341057,7.24785722361343e-05,0.00018628023387734505,1.6783643874473952e-05,4.662131361499178e-05,7.122783343804784e-06,1.9968675220027876e-06,5.786781891448101e-06,1.0350704786610265e-06,9.839907534892056e-06,3.9764526720276194e-06,2.1570358844646975e-06,1.4804128589673837e-07
H3,0.0,0.0,0.0,0.10898859574892716,0.003839783066284852,0.03399256576028198,0.0022175023404416017,0.00013321595220405769,0.0044609825175224715,0.0003985267436076301,3.8752972374211936e-05,0.0011978503042838762,5.257119976898039e-05,5.329899236417024e-05,7.953415271710895e-06,0.0002434876066744751,4.591160350853052e-05,0.00012687470473771167,3.1377597084825126e-05,5.088151564081045e-06,0.021561543569930786,0.05844117659691439,0.003748469826049261,9.760932331714933e-05,0.0006094883915640503,6.339945304367767e-05,3.141811744433731e-05,3.2840570993730722e-06,9.302933448473993e-06,2.22978554391684e-05,2.9082518528955603e-06,8.75255138306219e-05,3.174673261807648e-05,1.5383307386818146e-05,3.3628384481509954e-06
C4,0.0,0.0,0.0,0.0,1.7169453397104233,2.776039066583955,0.09470271783284778,0.07728222593534917,0.1667741316917418,0.03495569434120356,0.003918726400929051,0.03431304629259564,0.0007933591180546706,0.004555613038191533,0.00010606628639497906,0.005767807111222864,0.0002988286454108646,0.009495328010527632,0.002415162209076477,4.139718988316332e-05,2.4207064521031962,0.2770853846477702,0.20485560371696326,0.009039888852219291,0.03520405054781686,0.006520551866406765,0.00316081406401858,0.0007918700578066762,0.00029354140925363925,0.00034186271568178994,3.911519309829359e-05,0.0038830426859835787,0.0003322350504258581,0.0011216305186617648,0.00024448410460065073
H5,0.0,0.0,0.0,0.0,0.0,0.07643682155033216,0.002305013508849152,0.030297645332207246,0.015118648034814441,0.01174015194700928,0.006222410491479424,0.0014891777770177361,0.0002396512353384228,0.0011139628578955563,5.105322454079797e-05,0.000897511135534157,4.1248720030306885e-05,0.000547883428845708,0.00010086123521735324,2.0259461214200414e-05,0.1139348663902311,0.02840695555173478,0.012223711457917896,0.00026130738232166273,0.001258440182749343,0.0001496990827520861,0.0006142207464298055,6.111453691959312e-05,3.720121463324233e-05,7.117873724693524e-05,1.3638108521840664e-05,0.00020656347730985125,2.9902584031238355e-05,3.104632320838352e-05,5.94384315943941e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.6839596368195429,1.7971401181476838,2.6603983146177654,0.2280537024175947,0.012513853626124671,0.24360853429264773,0.01478288179797238,0.036289948305200714,0.002449017481769844,0.035907880240704126,0.0022831913759677747,0.020319188719122167,0.005282082413575501,0.00027621919061804334,0.16188564785848217,0.03683431861887952,0.021978380162886793,0.007118953342416967,0.002580230262523603,0.00041506845440009155,0.0008563066002081343,0.00012902760677369063,2.489932024263286e-05,0.00010502308430699464,3.475333610780673e-05,0.0003661170617249576,0.0003083546797468528,9.277728543277686e-05,1.9450868132930843e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02537161321174075,0.09791160629073903,0.01834409370897716,0.0018551134728312935,0.03047869809219983,0.00030002912536919446,0.002068474241510909,3.527623200660912e-05,0.0030099079038179433,0.0003134422164838835,0.0070407509169305715,0.0017750506423942491,3.5444964233466436e-05,0.027085248772598103,0.003777888953850894,0.0033026757356964254,0.0008816878286141971,0.00032453662576181763,0.00014797272619060386,0.00012049422316584568,1.4033238673993864e-05,3.1926384624902937e-07,2.3070635851385468e-05,2.230857467866443e-06,0.00011729827814099814,6.35272083162608e-05,2.4433809808543927e-05,7.442857544726067e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09707866136400667,0.02296288329862639,0.0008779141323826956,0.0183934976693938,0.007998843504461783,0.0027956947528438025,0.0008164205850964557,0.001464117828127609,6.603330373922134e-05,0.0005438297925024482,0.00011193055492630943,1.3127207856955536e-05,0.012724606234021829,0.0016956734819764119,0.003384030315340625,0.0004701434686877892,0.00024062104040734056,5.4286160160010866e-05,0.00015187740952504747,1.6921715510376245e-05,1.251417495184981e-06,9.392126809726342e-06,4.6171695835539595e-06,8.419283420790791e-05,0.0001884275321596407,2.3704338526497892e-05,4.423217984106387e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65201196195849,0.1228427906334506,3.8669327692360227,0.12483810340483847,0.325840368467324,0.0265348557467584,0.3266341605450396,0.025391035160640785,0.2620807209955208,0.054580503822534085,0.0013579668055491156,0.00827527643093362,0.002396156155743831,0.020842976796582507,0.0538018136699534,0.0028206481148274343,0.0005776544093626379,0.00017808331132940225,3.3304112485033066e-05,2.857430650760051e-06,0.00018970201491623484,0.00010183802851604362,0.0007175637407211555,0.0026178400506823574,0.0002661421573549455,1.951716961534622e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13292198685686,0.3352084043491363,0.029135281437001392,3.822602593277538,0.13103755214434987,0.29957494848736677,0.003940133571971316,0.3422048004833348,0.04155702476221251,0.0038739728296720566,0.002439919005379515,0.0012247101122309506,0.004338678627358761,0.003499559466662583,0.0009162721384063932,0.00017991403170403153,6.939857986072717e-05,1.1255648175834132e-05,2.231619003145724e-06,0.00016013534549576963,0.00022268024030513978,0.00014528616647946357,0.00034216566670443316,3.954992374717581e-05,6.6365909348053975e-06
