,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20H,21C,22H,23C,24H,25H,26H,27C,28H,29H,30H,31C,32O,33O,34H
1N,0.0,1.0240627138568896,1.0227069904519048,1.4750065504832661,2.0865345610007076,2.47617366093542,2.492867014512524,2.91167715340029,3.873717834084961,4.619946713854597,4.476753246278839,2.483815060672153,2.7409500427643256,3.696439367823827,3.9541859429074044,4.903022230268563,5.076076298709505,6.147211292990447,6.317437460709382,7.021280126130174,6.4639049888773705,5.832271155369297,7.875807757228408,8.308395257839637,8.001295978530514,8.609089612232086,6.686996074117633,7.455891564266289,5.855207318931786,7.220393118175253,5.363343047512508,6.2878643195565935,5.121208274446805,5.7690885170063595
2H,0.0,0.0,1.6096720594001614,2.007579615774462,2.504486843310025,3.3012724578464194,3.4830638350698684,3.6182080745879346,4.640018630046057,5.500596317096764,5.039584207597813,2.403663085109545,2.1911064970228673,3.7404938850221696,4.244941858283151,4.730709347768541,4.718613873805968,6.111619403287455,6.417642756252545,6.87644155120145,6.510605635868771,6.022391045544507,7.991590535788821,8.46808685728504,8.217362860090791,8.625618503400991,6.562498787671016,7.2246543430867876,5.644854574727527,7.160347000838616,5.100144942240423,5.87841119450672,5.028628168636009,5.602489384185403
3H,0.0,0.0,0.0,2.024621095929067,2.9056158836689643,2.5283744366053558,2.451634293725182,2.603501089066751,4.079169911365764,4.78204219678633,4.7682308814660574,2.832715588899449,3.027727499710547,3.974414389198239,4.234951888935811,5.138888276975634,5.452328380860417,6.391438794993975,6.422994921398254,7.245494868822606,6.891642642622289,6.28365753733682,8.253645994030842,8.771901771591565,8.267464697921103,8.969730096398747,7.27712000354365,8.007165599565685,6.509037323453801,7.888627158576949,5.345539581161421,6.273939869349829,4.865678438871361,5.412730873520757
4C,0.0,0.0,0.0,0.0,1.1016372428977983,1.5480384417354065,2.1447610080666673,2.1701157138156995,2.667267717117537,3.6360665641105223,3.055376324867354,1.5512321607867257,2.437796309446163,2.4520746639042628,2.52921544487615,3.8071298377331435,4.114954617108372,4.870287719249192,5.0189167598204625,5.824204321345315,5.076053626888852,4.3863202773218095,6.446723965576441,6.864590916347221,6.555868043428334,7.226242586628466,5.428679884686975,6.2659789489163416,4.71040209711548,5.947989673934776,4.5410655409748655,5.59169929679198,4.390946135310619,5.204831438715179
5H,0.0,0.0,0.0,0.0,0.0,2.159325171137411,2.6217604329396385,3.044274439944642,2.7432995209608926,3.604397488905489,3.0187706711427524,2.1316572082741923,2.9861949634549485,2.8049195177718915,2.7382207921318784,4.1062969562769505,4.2467553263999696,5.020733945973207,5.30314395592314,5.98837002809541,4.901150459583076,4.1409409847911975,6.267763738855431,6.526095443372912,6.497108127131433,7.090174337197294,5.052112713530671,5.969777657642496,4.295745693609657,5.399979961048569,5.11590568736772,6.126875405293832,5.181798196532863,6.046285444764206
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0942413153821156,1.1019950362227773,1.5678240109358887,2.394363804761056,2.427954140145335,2.6175510950252376,3.672889020305973,2.956231913008179,2.5429569924027557,4.368985167495997,4.9828897842789726,5.110416674168013,4.936134810005851,6.149836941916083,5.305590443550815,4.466739323719303,6.446424363084387,6.851288295007834,6.308554724380746,7.329798825301332,6.020139984039581,6.919875261600197,5.532312754048916,6.483524104463738,5.019308302030305,6.191030209947618,4.540770752167857,5.366042418893305
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.770148715276885,2.156466710759234,2.4489962843667312,3.2893210178329646,3.492656503803135,4.40461982423074,4.015851616925698,3.6201341791373682,5.433215857697637,5.994714221117708,6.202584584948945,6.012763668260286,7.243446300250501,6.340468412096639,5.452386849982062,7.454190907983301,7.790990497615653,7.296325842482038,8.370133469066582,7.002052500895694,7.931574735528568,6.471969893709334,7.3935360253482,6.027946483865037,7.178913090303195,5.4748833134017625,6.2348997335966425
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1815102831556925,2.997527053103076,2.8182079009186993,2.7300411730415295,3.66973625822409,2.9504465895281666,2.6634031758851733,4.210507260184668,4.971788268652548,4.964725102669695,4.632181905543913,5.941905526173049,5.449335036309287,4.735775080223249,6.530612689179648,7.080407584144067,6.276849275973574,7.339808987763451,6.322420597571383,7.123187836359949,5.902812983719097,6.917726838278534,4.5517964098388,5.722554603297451,3.8223365073395263,4.567877020057107
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24024180560132,1.2824309327235384,3.4613782502472294,4.6789521098995435,3.2273375606894774,2.3465308240361282,4.541013128561669,5.226241582289295,4.814377940267027,4.546490850360609,5.910618650850294,4.661406151574904,3.665384905207174,5.556194944511299,5.805414555966103,5.335537765058574,6.552371230415347,5.53331974413024,6.520457650333037,5.279354430073366,5.816226936536177,5.459014422801231,6.659751485461844,5.106148113093526,6.015055923278513
10O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2575781207840353,4.640262097916433,5.832440824806734,4.466713111992101,3.559355261417158,5.764046752302836,6.44804367264856,5.925324558597981,5.580669896774746,7.019028010562019,5.63907731980383,4.590127516474656,6.352789762747321,6.462979346490254,6.045933691403465,7.401327744488141,6.5216626039743995,7.545795330645923,6.326231573181803,6.6636829757314375,6.666829610379127,7.873488319862803,6.2345112397457285,7.112289374475678
