 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,O20,H21,C22,O23,O24,H25
N1,0.0,1.8407447790106444,1.9600625573267862,2.96703812949154,0.08689713049957015,0.2045163661556602,0.0075381341444866745,0.02633582188314998,0.08434740881630493,0.17148042155697585,0.21010349374091994,0.05450219124056446,0.034002741734033476,0.002299571526908406,0.00716881828816783,0.000508567416510397,0.0011029533509296363,0.00028001586734549555,3.1755382903342344e-05,0.00012989770455977545,3.730119606526472e-06,0.0007989524966115491,0.0003083574696876451,0.00010074833914540393,8.243450390188478e-06
H2,0.0,0.0,0.02885589531285726,0.10687885919423468,0.010155646394699014,0.02977524760405037,0.0006439556801594026,0.0017665654175336165,0.002843941118850557,0.0012057333854174068,0.005282962157772131,0.0017752422319479155,0.0005434637256453989,3.7961914856055046e-05,0.0001641331046210448,5.242322037579683e-06,2.4804471825512486e-05,5.093228834240904e-06,6.575317508250578e-07,2.940531605100105e-06,1.0413450546309377e-07,3.417702446817383e-05,1.155759678184154e-05,5.062509295550299e-06,7.295706718757344e-07
H3,0.0,0.0,0.0,0.10659965407372884,0.03175254487498047,0.006289991149258101,0.0026418819487652456,0.00014575494724722304,0.0015638746718147356,0.001230934294817354,0.02805075072408425,0.07475634383576901,0.004965043377597844,0.000675168475208876,0.0006492693414232864,8.981102634053606e-05,9.636944772140055e-05,1.3738935388696305e-05,1.5544346121387775e-06,4.87756918414739e-05,5.01491545845667e-06,4.3688600837477054e-05,1.7201498533236936e-05,5.961486747252387e-06,6.924105102612543e-07
C4,0.0,0.0,0.0,0.0,1.9897739285323852,2.7237537347556584,0.08483557582300061,0.08723288897303405,0.22373821448837466,0.0321554507400873,2.5745598082739063,0.2787588071971254,0.2263634018869921,0.014451313220160467,0.03591757695076925,0.005977123101784887,0.003690227534937668,0.0012073425543666083,0.00010244851370222463,0.0005683682460183304,5.524746074314635e-05,0.004357037855242191,0.001609871107925237,0.0006008364615293083,3.86563523091521e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08044902452941494,0.035401849150208164,0.0061571790599148635,0.010777037306486492,0.0014141774836555765,0.09731537271183432,0.025447165675071104,0.010144810291211614,0.006183402364183577,0.001457960643020062,0.00013287050479049434,0.00012116276288876016,5.696789850739847e-06,1.3591007286262169e-05,4.293024399193435e-05,6.274308737008738e-07,0.0003996538339341438,0.00012096884651857653,6.074596248117903e-05,1.2351336558413806e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0828470072504084,2.025155612361091,3.0845569623083255,0.11691388493174704,0.19044261884439195,0.039487070676861066,0.03243394752198378,0.0015904405400551935,0.0032594485293886144,0.0006449893282948205,0.000675877801530278,0.0001090848679490275,2.472171756950914e-05,9.717551411390912e-05,6.764135735859433e-06,0.0013661977383663815,0.0003900551668310076,0.0002195601465965341,2.4378360220178585e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023680920262235228,0.11926791829288086,0.007239337820796887,0.011496575465016923,0.0033415677029604574,0.0008831968086742137,4.427019047215097e-05,0.00011833001898886586,2.4178371151872824e-06,1.65569592323056e-05,3.908970602761741e-06,6.009513413562928e-07,1.6827763642535132e-06,4.321698088283199e-08,1.6349354494682444e-05,2.2252628826269216e-06,3.260854443543071e-05,6.925539688396043e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09972358608862009,0.035349838069449246,0.005029196756596299,0.0010287317289593423,0.005937092435452707,0.0014707580503345863,0.00043228679821205596,0.00014590125438274093,0.00012185352633942159,3.2193407633940296e-05,1.938660539657633e-06,5.3503231201790236e-05,3.785905076103546e-07,0.0001294283332382573,1.675340847140383e-05,1.8174333105580587e-05,3.653768077427344e-06
O9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.746946067802798,0.04180173735546147,0.010230427999407044,0.0061448198852322305,0.0006177675029989116,0.0007863592585844736,0.00022823209730138405,9.058219957859548e-05,5.6770677792084e-06,6.554585197937612e-06,2.184286626315257e-05,3.623015168208177e-06,0.00041637898476151736,0.00013021105704952296,5.7798674427553265e-05,6.050295891402158e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004874896445361765,0.0013152382504022508,0.0008931131271295856,0.00021571932078279232,0.00017621026023495467,4.609815045686361e-06,1.1408610415930553e-05,4.0530164213681275e-06,7.87722533646118e-07,1.2086883471873477e-06,5.0195662515406525e-08,2.8395556824212242e-05,1.2095024958025391e-05,3.6376122866110805e-06,1.5676467768344082e-07
