 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,O30,O31,C32,O33,O34,H35
N1,0.0,1.8432351857148102,1.5638973636340692,3.024678943105132,0.0888138467521763,0.20212733202697825,0.02203958683612295,0.005277377973276209,0.034194425538555756,0.0010724555607631858,0.0008418132591037075,0.008038896371217116,0.0004218333688749687,1.7697616666700888e-05,6.864463054845338e-05,0.0001856997963356477,0.2171080886489482,0.045950526886704576,0.03505992305423239,0.011656149912921077,0.0037968136461451335,0.00039207369033034123,0.0006831933155698883,0.00010158602418652851,0.00015418240362974345,0.0013672407304494844,3.0057533119576263e-05,0.00030834088317410746,0.009582104601993435,0.04712047203064944,0.004170833908396801,0.001692296146615646,0.00014889243124256019,0.00021751643004536136,2.9319360336232947e-05
H2,0.0,0.0,0.029449372140710084,0.09894504194749865,0.03613849655934209,0.007689518315563193,0.00036464120671886313,0.0032730449798907824,0.0011857552920300218,0.0001006759409971636,0.000400357965407272,0.0002549592560625591,4.556371945341198e-05,2.390702898980024e-06,1.2200705053588834e-05,1.7355235272686897e-05,0.012477622627383833,0.0025883938668697093,0.0019971258750460796,1.653219174624354e-05,0.00018457845073571733,2.9303337515385053e-05,2.9121040987734048e-05,1.852433512805618e-06,3.939208740311173e-06,4.653644955843195e-05,1.1354589661838332e-06,1.155620781267963e-05,0.00029108429477908704,0.0009753387111468559,8.941523758310144e-05,8.82938249009424e-05,4.168195647547002e-05,8.175692942757884e-06,1.6308304346956959e-06
H3,0.0,0.0,0.0,0.10831738776303867,0.007668419784538472,0.02831253428775682,0.0011067512772147126,0.0003339152594612482,0.003891398599628837,5.37461583687282e-05,1.109957415001972e-05,0.001692329660007763,5.941583428359376e-05,5.854486486711608e-07,6.400227636760292e-06,3.457293171371667e-05,0.00519027556726448,0.00045034216478301303,0.006243867394792657,0.010657840711692401,0.0004946737983506644,4.312766635372611e-06,0.0002967712614722062,0.00011470059077889339,1.4492441481772644e-05,0.004528947328288124,2.1591431692780105e-05,0.00020833545334975057,0.020688042614036672,0.1485029396370824,0.006849057058002095,0.0002803674895308639,2.1078870320212495e-05,4.38957249339067e-05,1.58786773678532e-05
C4,0.0,0.0,0.0,0.0,1.9337962551948906,2.456227391311844,0.09353250941503832,0.08336253898265267,0.16488642346655888,0.0071355846890752694,0.007824275284566529,0.045909454184726736,0.0024461999479574448,7.860314248975264e-05,0.00035432660503431634,0.0012869169273994618,2.5012201264596436,0.26325621503433505,0.2289147418482975,0.011727208759970353,0.03837858739959818,0.0028885330573109602,0.0038503749808349585,0.00018247038287833028,0.001433789927767215,0.00030153681600267324,2.370035385057534e-05,3.263324003333068e-05,0.0010113087745556582,0.003697228867812513,0.00032679983417333025,0.005322084158995433,0.000951676446445518,0.000969113754132514,0.00011820890008529261
H5,0.0,0.0,0.0,0.0,0.0,0.07926102791141099,0.002881086912374098,0.03476119992927895,0.012387985431308923,0.0001796848396566908,0.004786202298327824,0.0015188992876036256,0.000759675178463981,1.1026219607579435e-05,0.00014541863293149326,0.00033979351413293557,0.09739215077724106,0.02452074046809327,0.011030409920785189,0.001581931070671061,0.0015039100021205787,0.00038383443437006726,9.782657992585264e-05,1.1972718310993002e-05,1.1452604465223004e-05,2.9657266658045245e-05,2.687852190152995e-06,1.0490458384193602e-06,9.680986537152769e-05,0.0003484325632430174,5.136329798094419e-05,0.00024376748615595467,9.332253058857987e-05,2.2124960735725452e-05,1.1025041550816184e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7139879305906764,2.022687791320614,2.819080813143316,0.08238952834205493,0.07929190213313086,0.1896966284216154,0.01564808185795301,0.0008731524253511314,0.0016152878463582265,0.00643946338848389,0.16595164846299634,0.04569695833119709,0.025410117586357764,0.0017659657099226012,0.005796420501145483,0.00020948489325745,0.000917140735876204,3.2973135223768324e-05,0.00021783548783749218,8.035687173352235e-05,5.352412109749238e-06,1.159018901430997e-05,0.00037331692149469853,0.0012049345078723322,0.0001522179262772455,0.0005027283444911101,0.000103545713585243,0.00011643737987614144,3.0705796606800284e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02356705188684738,0.08230709676585235,0.03269450610672675,0.005875018106094698,0.013165999807748574,0.0006290460815768784,0.0002444384269233435,6.851974985000453e-05,0.00013734039825452626,0.027030146594164695,0.0038169271031536223,0.003685662142667967,0.00017276486255846102,0.0010907621026403636,3.46825002361939e-05,0.0001619258369520704,2.0286313970885317e-06,5.0162920375074194e-05,1.0514686320184374e-05,1.4032573689704009e-06,1.5983324177515357e-06,2.2206000931168646e-05,9.044879027408914e-05,1.2730791814075104e-05,6.747761316150402e-05,1.0093706381386625e-05,1.7662457381106833e-05,2.7675133400517637e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08043651283019959,0.0045032856294293655,0.03316534945619409,0.011262556883792185,0.007358613493949173,3.734119182841056e-05,0.0005360264913483181,0.009265236743431826,0.013987104172010989,0.02028082480518778,0.002047962228384659,0.00026336376533731,0.00019980986031087333,2.2718285245248993e-05,4.263197865905788e-05,2.665597151230159e-06,9.135664497561535e-06,5.186258591916015e-06,1.163184724983779e-06,6.035473676391234e-08,1.8697634023290277e-05,8.339484175279299e-05,1.229970799343505e-05,3.779287730187875e-05,2.7138588601594016e-05,3.882359518647682e-06,4.056753886150233e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7154562952036558,2.0178041878282493,2.500484517879769,0.11505686618188594,0.010916144387578042,0.026951211996916635,0.0055635684374484295,0.01610827864876363,0.02659708389439419,0.002806980066967224,0.00014205663385258305,0.0004762755513258998,0.00010241166841029603,7.5262437391449e-05,7.387812076098399e-06,8.005627901708223e-06,1.795343753351053e-05,6.261503040505545e-07,5.0978402443835336e-06,9.342058443373435e-05,0.0003018797334396611,4.2622515048856835e-05,5.633936685695007e-05,2.369696313840597e-05,1.2019976194113657e-05,2.24678297966463e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02570276870915511,0.09226499124784238,0.01093632515552867,0.005100844489698497,0.0004446126392547711,0.0006495888742907852,0.012957672678141297,0.03496156543005213,0.002586498921490765,1.7118987644781924e-05,0.00031439001487498786,4.345838801689261e-05,3.1166560283457656e-05,5.04817490454279e-06,1.4666162828635976e-06,4.9971695478268074e-06,6.296870616040451e-07,8.572042615728748e-07,2.586183855290969e-06,6.573404332743671e-06,6.579288419628071e-07,4.354264444716982e-05,4.204577997968251e-05,4.6342273195554284e-06,8.65732382893114e-07
