 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,O29,O30,C31,O32,O33,H34
N1,0.0,1.9614820086933837,1.929693956184018,3.0735005767987196,0.0836923826763818,0.1882491898489047,0.0088954412656157,0.02823254568954847,0.03355190767732727,0.03570913047561575,0.004185337123387145,0.0009281498210647054,0.00033458024612431636,0.00014015019364999048,0.00319317940266331,0.0008361871276827415,0.00022260335552148902,0.00028634526106530167,0.21020131358026534,0.06153779988760273,0.032918753971734147,0.0029678353398108204,0.006934496792562889,0.0002614057636095568,0.0011991043183930683,0.00013596934003778927,0.00016058157412035534,0.00010736469722413822,8.944958341693121e-05,3.8188705754463315e-05,0.0004941990062115598,0.00015348429017156273,7.865008706869903e-05,1.787616165416228e-05
H2,0.0,0.0,0.027284612361368366,0.1069065440586392,0.00880726892701178,0.031589565889245996,0.0010304973641566129,0.002048779903166986,0.0015580959722869547,0.0003544913163928687,0.0002589247156636887,0.00010304048856779602,4.9147134349336596e-05,7.1925448095200295e-06,0.00014282117177222275,5.421136573158236e-05,2.7942782609979844e-06,2.4257257728699244e-05,0.006723545035029144,0.004066842625017997,0.0005162580987702059,3.4435952548150794e-05,0.00016760746509469904,8.921961436314518e-07,1.1290141566422385e-05,1.322678227166918e-06,1.740268118721744e-06,1.3061748691534092e-06,2.5911627966612727e-06,3.079084327506365e-07,3.0404151698859572e-05,2.542059524635043e-05,7.980621659631204e-06,1.3398052425284135e-06
H3,0.0,0.0,0.0,0.10569628663334918,0.03438761269952928,0.0076326995867476155,0.0043644985342097264,0.00017002668690713207,0.0006470061425691842,0.0002597149365883844,9.789667149706638e-05,3.0786639805047145e-05,8.595253513377088e-07,1.2149616739565161e-05,0.0003853493836941668,0.00011338338533373182,3.250282952760308e-05,2.6724406865463735e-05,0.02906867025497839,0.08311370849320177,0.004970096862393469,0.0007363790210475063,0.0005023486323485482,4.473591345077743e-05,0.00010825144819526233,1.9140860474164967e-05,8.27442200868056e-06,1.2549277823237226e-05,5.840063038276e-06,1.8336309831612496e-06,3.5480309071966865e-05,7.249612991144794e-06,2.2000480370820696e-06,3.033356783532781e-07
C4,0.0,0.0,0.0,0.0,1.8251090736754971,2.667283009239665,0.08658923663815621,0.08760863479721093,0.14992833501884195,0.00973027454911679,0.032169127876547465,0.0007404923350275983,0.004574034998737542,0.0010199817356451035,0.021300348717085915,0.009895472157615437,0.0021288405931398913,0.0005658488357604963,2.4683619336152502,0.2871736148208164,0.2303617591803659,0.017219026828168338,0.03736066506894198,0.0027024946451313925,0.003925716964853387,0.00036937429289451984,0.0007105834472485029,0.00047551940460427433,0.00028451633917296604,0.00021582085165909592,0.003574694351659219,0.0012571645323639774,0.000734645080292945,0.00012778664340695745
H5,0.0,0.0,0.0,0.0,0.0,0.07940673965230771,0.03576333069081428,0.0033006843914860085,0.0074492724662806875,0.00010496637426071764,0.001102521123851119,3.548192719460275e-05,7.451182412676616e-05,0.00022590750449014152,0.011655413997353925,0.014128842387612472,0.0007599909685571671,2.9593232505842337e-05,0.08935922163799637,0.02419997785940975,0.01227238342989767,0.006830852755328243,0.0017471788608054428,9.24084257818425e-05,6.009488511760086e-05,2.1053996308362244e-05,1.048342921650125e-05,5.777306416598904e-06,5.56802658013833e-06,1.5716825029654657e-05,0.0005461226014551457,3.008753253497254e-05,0.00011039135836310443,3.224771230891932e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8509969034735123,2.124988128006003,2.6365627350156866,0.08420403597492454,0.1798445504154114,0.009522310047779925,0.03058307497746493,0.010332355820686034,0.16019642800122777,0.00608471655634335,0.030676880751719038,0.009586008228232634,0.19112381176516965,0.037251209377213795,0.033261068789341625,0.0039462197084828565,0.003453707043110682,0.000759924525565725,0.0002866185114505093,3.432908167999571e-05,2.8221170433662124e-05,4.1155343929372146e-05,2.5793422297623603e-05,5.3727757284779964e-05,0.0020506301907421975,0.004079345598175563,0.0006122918819150697,0.00010168289752832127
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0230731415342198,0.08678988954304012,0.0036801144554332588,0.013802260774436359,0.00023014762109796472,0.0009578182927885148,0.0061144915753423845,0.03018032290444439,0.0006660908427011947,0.0016765772197422368,0.0004629575887749038,0.010531954724014359,0.004739940930920894,0.0011653646204545787,7.072363219817746e-05,0.00011921234466250041,4.965122828659574e-06,1.4931627032033212e-05,3.0734763829531886e-06,3.104205027693041e-06,4.1642737849123534e-06,2.922874947519638e-06,2.4843144925679184e-06,8.03149207220244e-05,0.00035077516460835234,3.0043481556774054e-05,1.1259190602075364e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08161006380802549,0.034645064467893505,0.007777492217046378,0.004017936873874639,0.00036020049136453736,0.00016346828694957516,0.009731514517277606,0.00013147012572800598,0.0005052814176440545,0.004738658564837905,0.010889167301975533,0.002302676305345308,0.008417069630677565,0.004011451186638926,0.0008510497584766075,0.0003838795623629654,6.797781546841186e-05,6.133991528489702e-06,1.4481980104008585e-06,1.5615523996537206e-05,6.207701701343993e-06,3.004148790308747e-05,0.0013946018789265935,0.008102254339290127,0.0006574044812943658,5.229682780694134e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.078066390044575,2.782366734880469,0.0815784639171131,0.0819139993163922,0.08256076303973559,2.739464962137463,0.08225427895703574,0.08473968477869342,0.08005265027943032,0.029303158467949092,0.007940491936884536,0.0053100826623256325,0.0007698360695175266,0.0007087765038500948,0.000142594272340979,4.906283907059328e-05,4.835248886614352e-06,7.411693062842062e-06,4.9171026876571045e-06,2.7157013767625804e-06,9.214204814034233e-06,0.0004377451998857085,0.00047335670810852437,0.0001364046075996994,2.7447117466716797e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08238601566900161,0.03520355684083709,0.004394966605835382,0.004577442844323265,0.0833851651037778,0.004814222316239514,0.0041315393098591,0.03504124182398205,0.0018603048522836119,0.0002687365821200105,0.0004993021270267572,0.0003340618260108119,9.90774255260618e-05,3.1540202627411418e-06,1.0233111139679174e-05,3.1011757728460765e-06,2.1122689173314058e-06,1.5866468345837603e-06,1.5888115496576205e-06,4.77520559649669e-07,2.400675864722146e-05,8.003932027422778e-05,6.858042722601709e-06,1.9831095292577317e-06
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1351628253920722,1.9358305801273508,1.932044237898231,0.17231640292128783,0.031182561070122183,0.010679268178264811,0.008978664484107224,0.005124314170532079,0.0017055238556143437,0.0009342768148189601,3.991160249450232e-05,0.0001524222757618432,1.8165212706922063e-05,8.480765383497846e-06,1.1440577283305942e-06,1.2487821166029534e-06,1.0385932208145654e-06,4.6689391169918437e-07,1.6165090652442426e-06,7.191420633714807e-05,4.4186866219417253e-05,1.574145131331972e-05,3.465935332069847e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022120728645231624,0.022696562505062357,0.009343170958440838,0.0004989846988381341,0.00018081764826471947,0.004370496425280868,9.721487751002122e-05,2.6278412173397214e-05,5.0366481405550445e-05,7.433326086658809e-06,6.555316687917312e-06,1.7711009607790373e-06,2.734333213183504e-07,4.63147296070332e-08,4.529269115316481e-08,4.385748186841454e-08,1.5110958262454233e-08,1.4770264800123556e-07,4.203367277133552e-06,7.734022846150879e-06,1.438803615361195e-06,4.4414597399899947e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02337777527300844,0.009958146730176365,0.0006728829318032314,0.004807219693195863,0.00018046117565573283,0.0012194950543458205,0.00036713887383843513,0.00025933897595553645,8.214286101981827e-06,4.157188730413708e-05,5.924498334808348e-06,1.5251058143039842e-06,2.801306433486417e-07,2.905422296084481e-07,1.742459727616108e-07,3.958100769363426e-08,4.859362531250966e-07,2.2286937426674314e-05,2.5295886987297678e-06,4.773199678620443e-06,1.3025254079757076e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03177006178247943,0.0027906927481198274,0.0007601757789843511,0.0005084254821088319,7.74862767805029e-05,5.498572429685211e-05,3.435665940254573e-05,1.358582256694163e-06,3.661174745372975e-06,6.854061351813101e-07,2.8667126383830066e-07,5.2833217356607065e-08,4.7628240906760766e-08,2.8947867436457386e-08,2.3694644135652254e-08,6.13007922201092e-08,2.30856500804677e-06,1.575300454303985e-06,3.7715797240878146e-07,9.348741270009953e-08
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.046111452644788,1.940366568447027,2.168756536476133,0.0031745705266429947,0.0018466111582068484,0.0003987223765136161,0.0001688443774843229,5.417487665732024e-05,1.4335021570777151e-05,7.044686289842117e-06,1.8571056044081047e-06,8.22127731225919e-07,1.3223717564014859e-06,5.564524595408349e-07,1.1804313408553258e-06,2.8219695609843498e-05,2.4788175602405427e-05,7.204117279266398e-06,1.4244819332986935e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023663867930594495,0.023224522037792905,0.0009641031556948398,0.0011809712141137574,0.00016406618419395613,1.1264931119692179e-05,1.2196002645792348e-05,3.072696592054669e-06,2.785867627475014e-06,5.247976557765099e-07,2.1660210847151973e-07,1.0379860220233184e-06,3.7711780587201815e-07,4.182303430244616e-07,7.4537469212376806e-06,1.6036021743826012e-06,1.0518059503361599e-06,2.8389012851626205e-07
