,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29O,30O,31C,32O,33O,34H
1N,0.0,1.021345892637172,1.0243738035103693,1.4687593279170221,2.0881651996601476,2.4685608564313735,2.6866680697103993,3.412885673769419,3.0457224760287094,2.632622317195181,4.37449459602629,5.022381357492583,5.051013282447195,4.448071340834951,3.780339979021685,3.3949894488137735,4.544649864025314,4.488967009430554,2.492837965541829,2.7706446847900357,3.6762139171624657,3.9312463354998624,4.955488449463631,5.066310552088822,6.117035139484402,5.946454494135231,6.9499489898248585,6.88934094381224,7.965825711341892,6.548259019654182,5.521553986823546,5.372214718743404,6.66631526637741,7.119064590517933
2H,0.0,0.0,1.606212997453287,2.0301277443483157,2.2808158540058545,3.3399267628094806,3.6486864637165772,4.172647848831793,3.90278333021405,3.473171642113891,5.312615748324949,5.9349258980725415,5.9396508509663395,5.451054262558273,4.371407079889901,3.755834516020678,5.112811448007141,5.068124150300147,2.758734063809915,2.980135149985395,3.829100371539625,4.130600975423421,5.0626718042143235,5.027215556108354,6.1133381697164895,5.9249760942309795,7.046730269789903,6.670825882444287,7.724406017560437,6.232304731736359,5.864553429272678,5.908236979312568,6.949265490923496,7.512877295299345
3H,0.0,0.0,0.0,1.995555163361471,2.8791115785262336,2.7886771193599666,2.601727040750365,3.705631878424374,3.5876280257177204,3.178508027567685,4.699922183675089,5.341761991482354,5.455342057053531,4.537829559532035,4.57507037439601,4.325562868279414,5.348536657515799,5.22598808412467,2.474669168784714,2.2901327564537275,3.810425068458683,4.277952762625528,4.895081358074091,4.8769177891218325,6.21863549845455,6.226888978690028,7.011894519478099,6.956072208950581,8.108788963314998,6.5008942438539,5.303956180346556,5.175086350733721,6.331923451797646,6.737608380017145
4C,0.0,0.0,0.0,0.0,1.0975932508808295,1.5445921752542597,2.1430984799463837,2.1727014646428326,2.606156882588506,2.767638883683966,3.933589688671529,4.284795159514143,4.773386271450998,4.176941255872903,3.173489511391242,2.872418166296164,4.16550841380737,3.564152553036053,1.547682945996805,2.413923435035137,2.455948297818515,2.5438458443337257,3.840529691135848,4.207476693949641,4.915223541323749,4.674639704512712,5.676586631777866,5.892325816421375,6.914525889638532,5.77300853553164,4.38886226799401,4.190704284844555,5.643901655997374,6.096437224336085
5H,0.0,0.0,0.0,0.0,0.0,2.1760543733894173,3.0582337327242937,2.5458156425214336,2.8470266994021634,3.086918151922505,4.29303488098283,4.5666801080835775,5.008890432517727,4.773602827497073,2.8373014628238558,2.236217821259416,3.828208727697518,3.16196311344347,2.168094147803604,3.218716686171786,2.587040301134039,2.3487612981318273,4.042129610112158,4.481012454412224,4.810738615046315,4.345560060227067,5.625097626937053,5.732054143104687,6.63003288511733,5.7320756799585215,4.824290411745711,4.713500827680321,6.106896894210982,6.63598098269325
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0992419883369982,1.099808464333572,1.540801484875728,2.136408597159405,2.524043450408161,2.7956963620941426,3.4910710142588304,2.7649259321315887,2.559903265736473,2.8372175792510235,3.514175426064964,2.8284426496451065,2.5131352773124536,3.272539922521699,3.18116483973991,3.0522136523158383,4.418142176412843,5.011893111029779,5.497692046603845,5.252418463804069,6.024830420927557,6.741854482625365,7.713998672334417,6.7915337686570645,4.491459536171307,3.876536452890781,5.78833327909201,6.011450725522234
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.751133802963374,2.1663152119501676,2.50235992342792,2.679664691602429,3.025838442828875,3.70186896376626,2.4606020277677567,3.4973559877021496,3.855222567194832,4.330885738005573,3.79813949669652,2.71386109647033,3.075642243935453,3.5843707909660676,3.705298224493078,4.614720247524674,5.0992128304912665,5.8835342694070585,5.828412880503956,6.35037294863946,7.109773366128516,8.161024908789981,7.051804922394242,4.4299383781667325,3.7334077972956354,5.6115529404059545,5.7240242442754345
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.177088167096514,3.0560338771317195,2.8015578476191068,2.6247392697752234,3.812173847724224,3.1545061113191797,2.8028387944619575,3.1740176355582648,3.808809190717772,2.6247594654582174,2.676910597040131,3.582895042871216,2.872641261644832,2.54731535326316,3.9625607801884333,4.748874214588266,4.889187268396964,4.613575237073856,5.2731925464337905,6.2783869939791765,7.166163260728792,6.5088208222431385,3.894042955429486,3.169556601127347,5.21997555656176,5.396630306113673
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0977501722049563,1.5370926439113892,2.1864741544018638,2.1903207775412508,2.189343668129944,1.5370467352990032,2.195625359852772,2.185536687400592,2.186805991665622,3.9312809442527903,4.68362082327794,4.5619617397979155,4.240682979998285,5.869616883720647,6.490412392152109,6.81278676113994,6.407244962401646,7.328326419224481,8.060687949078861,8.956370701790812,8.160559598696013,5.968971274571083,5.267608904378081,7.2796240560486805,7.456143280394238
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.155404337729171,3.077942851040126,2.517456168311792,2.5031803770526166,2.147824629773747,2.493866091548597,2.5091754100294885,3.0727794288395933,4.201319725367313,4.7750301019991195,5.065252583326129,4.8842295246419685,6.412907352928212,6.886999739690384,7.44893434915477,7.082794249219644,8.060604436307841,8.575253222709094,9.529437707778817,8.533355479735452,6.603971528471052,5.98983883518213,7.881105344916483,8.096952974721834
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098810138578956,1.098220334122646,1.097206980703093,2.5234878577207294,3.491080922801252,2.751197052265832,2.8049192489810113,5.029502114880817,5.667700261662839,5.587190557754123,5.256756641755116,6.7285026196877915,7.429460519139985,7.685865068554947,7.340176440586373,8.026633335381227,9.063848633605208,9.938570064583914,9.237744264766155,6.50382888466179,5.574661757448744,7.746525198524324,7.732344209099991
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7732107627422808,1.7709052347853327,2.803266096954435,3.824322126377075,3.127190058734004,2.6372652214235335,5.182286158771825,5.912956524739753,5.494423464590092,5.060204509071469,6.51229366297697,7.329662428650676,7.342989403994778,6.981054747752808,7.552173240101355,8.810441110890412,9.60708741529026,9.117741067005007,6.163401410530562,5.151154912115291,7.384995399969742,7.306284845993672
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7746450562596296,2.7613656310384678,3.7651254267855294,2.5327264440908808,3.140618344695092,5.998214501588644,6.649588309573175,6.564430191389299,6.174004605559134,7.757180909495809,8.458854734156295,8.659516741246113,8.240489059370883,9.011841282209861,10.024585194679085,10.865260739721395,10.21231508195494,7.582608474780788,6.654592014055055,8.835090572729543,8.818688620929196
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4882691959633587,4.349442473829102,3.759108355393186,3.8206571769456614,5.109552563752388,5.524531007612436,5.81691606374198,5.66139623374388,6.855885969987143,7.472359974054289,7.967462505602216,7.764952614831511,8.28749660445627,9.328155283079138,10.280834395673528,9.406545400794634,6.4777127276723245,5.511009104202796,7.630684050641693,7.538155903922991
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0956824810964736,1.0979800830879938,1.099218870033616,4.53456462285249,5.518529203173903,4.8497624422778,4.258192214949144,6.212740311577777,6.917385594900611,6.851439346020052,6.219842440007187,7.384154852675379,8.06291914036348,8.802408430797184,8.30721981007285,6.5328775584396706,5.932140330319372,7.888364068896326,8.15330002864349
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.768088469125886,1.7736574129476046,4.257594841663206,5.276908363033527,4.558054505607148,3.98206946213354,5.9801405305017585,6.592441034617135,6.546658119615483,5.861908012741671,7.205776409810582,7.602368422297864,8.327351039386189,7.789661613789334,6.548652697886615,6.139788090740376,7.897772257489795,8.287065600204143
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77189902883127,5.586909147245314,6.522076971592154,5.944779318594796,5.343030888737821,7.310455907978547,8.009751815053361,7.922684322826585,7.2533888098895245,8.43930190987624,9.124117160047344,9.83036896756691,9.374527701804166,7.60509520460356,6.95484510432106,8.957908585801237,9.188898393797434
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67874385197553,5.761648030561681,4.703728846583248,3.9572517918821415,5.950430635538344,6.783436204513746,6.419822963164381,5.7301855399703445,6.830701902243269,7.724889289406713,8.36705529554987,8.126137256014681,6.193245033811105,5.550789413213344,7.538048699564425,7.767713498070063
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2303520109031436,1.3560504069746235,2.0334377433745607,2.4795066581105742,2.710201978032958,3.7655573270431932,3.8217859257255378,4.54336278893748,4.669433871138381,5.795671691149786,4.4536853411049835,3.111401587542446,3.2323157745028,4.259253599098985,4.814582857492556
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.288691183469888,3.1599595156135756,2.8704116205157955,2.695041343619017,4.326274197119937,4.638740808235355,5.068308424278175,5.011669198993727,6.22825732223046,4.530312241863788,3.2949364111605015,3.5352687426035376,4.169912856996535,4.698633068958695
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0113501413794372,1.4582763929239368,2.0888537692558438,2.4874335177425935,2.482977910121621,3.274098038242632,3.573891908078239,4.6143068471858335,3.653877244187069,2.4264336025417506,2.7759816142069034,3.621305940366635,4.280423623818242
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.110018936993494,2.941130398163854,2.627020122881988,2.2180818707814822,3.3125506424014217,3.873074173471502,4.720909951821069,4.213038748267112,2.9325883797746646,3.050260500708792,4.192612241250045,4.776809633269742
