,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24C,25H,26H,27C,28H,29H,30N,31H,32C,33N,34H,35H,36N,37H,38H,39C,40O,41O,42H
1N,0.0,1.0209817471036327,1.0224130530162858,1.4641264642976812,2.0796718349399916,2.4845349648075294,2.4045823362903644,3.2475501631344805,3.5621535203038492,3.414132847681068,4.281308761239264,4.639613849172485,5.809980320992828,4.588221445875033,2.5051817538489978,2.8181388940769057,3.6983025225587416,3.893908334989431,4.962382692935903,5.2842972622004005,6.112796716463823,6.084465283765574,7.037945860883585,6.48825223165365,7.118800245996149,5.710417531990311,7.505464150099082,8.293831371597376,8.075296796726818,7.071050740230343,6.0715418794078735,8.038105109717074,9.339396972645297,9.60164125606813,10.057471010507312,7.9202636078132125,7.022883989025872,8.787646865171993,5.308703004088387,5.205998708763935,6.276704442230713,6.671632500190064
2H,0.0,0.0,1.606995041078712,2.0317886615317753,2.3105714348727404,3.3648153925200743,3.41399251237928,4.081738731813578,4.339353779902793,4.067661672095533,5.1547699646203045,5.255502721712587,6.465365378278494,5.009509667081066,2.7273449989555876,2.8745483180266866,3.8977188902510473,4.204103272213015,5.103667671959435,5.22171910499274,6.311053096541523,6.44794720402719,7.219387786361703,6.541282667005995,7.042884924581872,5.699062294944436,7.6531759353783455,8.487852996615116,8.123112319886719,7.366648348230736,6.40403091362495,8.41358325135861,9.667975015428025,9.861353739756845,10.450483397649846,8.411896526830335,7.570272925045276,9.295062918607073,5.609440734394894,5.7107297015443805,6.450357251742776,6.93182524294069
3H,0.0,0.0,0.0,2.016072395443725,2.902012482421686,2.7829131150471027,2.4971711790375846,3.2903205168384466,4.115333081129199,4.165041298326317,4.709090998365379,5.220014877275831,6.367849645995609,5.184441582343622,2.578939767296679,2.4952641519456122,3.9011653551509786,4.27312173629438,4.980663145840621,5.284270061656811,6.2610948621812215,6.238664016753205,7.08921970451522,6.845378480793761,7.443726897918,6.181656450238699,7.941617114498385,8.638372802967165,8.594164331957781,7.569984197899759,6.606830051579177,8.557897623090428,9.848607238106483,10.073252359807988,10.54546948786885,8.462638927646191,7.576601423657457,9.352650113780289,5.0470238664068,4.872601079811334,5.910909051951633,6.188157220007761
4C,0.0,0.0,0.0,0.0,1.0964418831781695,1.563132519020277,2.1447946492664505,2.202352353730354,2.631619455083545,2.7611326318878975,3.536369505531262,3.396575515091186,4.6217238857636485,3.1985601025322,1.5464605730542982,2.4476680211754127,2.4272748909653643,2.459371397338597,3.7980912952662784,4.297709027822569,4.777658835467093,4.681561409910305,5.754595752753374,5.149039775094822,5.875476262481106,4.415446127061088,6.094304521122491,6.866543579013493,6.716236758230557,5.629499182534477,4.639871782423322,6.609154356496615,7.903234765930767,8.157609798955255,8.622970805988974,6.5496399392997064,5.699476780149284,7.452432564324204,4.304693398855851,4.2236412966838826,5.428604478887857,5.905810442789722
5H,0.0,0.0,0.0,0.0,0.0,2.1748768580482594,2.897979998626152,2.9010482669042985,2.609230931855766,2.445064581900095,3.6562140506452603,3.0985296728863325,4.3303103228258335,2.7412139422863664,2.147148751627525,3.178748109831894,2.593931258764669,2.3654503555347124,4.031092730517693,4.4646946290447005,4.792938359374809,4.749237819752396,5.842598506587847,4.828721601725899,5.547877709490243,3.941185077068285,5.6736933728040295,6.563809754375056,6.153177712237821,5.186254222311172,4.181700601439634,6.160128877508263,7.435752901562542,7.706780726642055,8.200117227143593,6.129985770061086,5.310703662250148,7.006811859423099,4.862015043202038,4.923564605888536,5.988357741575788,6.581879705973206
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0958563357508873,1.096845686450567,1.5436856512178179,2.1701995196626376,2.1759486457109447,2.615117259715911,3.6610137762360027,2.9605840870925855,2.5498107880700704,3.4407301188555337,3.0456582151567493,2.748067833800275,4.277751058848872,5.064593118323452,4.979111040370859,4.53628571519542,5.929908162882311,5.5378035110723625,6.440642929264681,4.971219057777698,6.204978626581999,6.866666543647551,6.95617186719926,5.450667511293568,4.448074214789323,6.201272079888304,7.547333256422109,7.9404862415206665,8.12245125016225,5.888154881015083,4.942845914951548,6.726633889194735,4.480734454749386,4.000396546074472,5.752623857882611,6.064286460679963
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7587026797116343,2.1468519838352007,2.572267878214806,2.3655470306513884,3.5017914230172775,4.4009968521865455,4.017770630271657,3.2150010580243116,3.829750448622279,3.973488640045695,3.806577589588173,5.148997927840248,5.888417382126145,5.965373130865325,5.514740230233671,6.866419535309049,6.60327657163296,7.482402353314849,6.038662735234185,7.292514425310282,7.928550082096817,8.051898764867484,6.516462400878381,5.5163418700201605,7.20793729022248,8.560016142270037,8.985706217091046,9.087773218531755,6.795693803095352,5.808904068187697,7.579565843538416,5.14308515474188,4.537264093919051,6.343131863379346,6.534364134464622
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1721564222131664,3.0694119447017085,2.6012488496064226,2.7826537150561137,3.7138911561443972,3.0206893651185442,2.517479185233762,3.3184043182927847,2.762777733298881,2.547827406965095,3.7211936522957383,4.628673519922863,4.364036482237796,3.8235186277072732,5.2147940233395484,5.176623129873837,6.093398860666975,4.814579343381841,5.842170728068303,6.357179925848848,6.714156309317301,5.15000566675268,4.250543839500925,5.902338792018536,7.202501645643612,7.542529636997112,7.739485452174429,5.664741864365016,4.804404186080896,6.537689551907404,3.668726839179678,3.0259406263656565,4.966625757731057,5.197795060421639
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1001023289024165,1.0945501709896328,1.5347720277631858,2.3950071902268144,2.417314713736149,3.7385069207201065,4.805105367294798,3.8434879378911297,3.1510440969760367,5.0905003612514665,5.93770520224255,5.3979640739281765,4.80549633627313,6.408813755223651,5.67141520212109,6.670835569013028,5.061526775880355,5.9853516771051005,6.70763811793074,6.64137757818824,4.949119917680126,3.924823932433547,5.451775419994663,6.820461122292199,7.371347266204608,7.322771875116915,4.898887394551579,3.8664581582530433,5.623436727450422,5.515342890590033,5.044918522928938,6.849857688831633,7.218000112370057
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7575078699912334,2.14284719804272,2.93661831765696,2.857596005372341,4.111585916858397,5.1662351257203065,4.344785825271513,3.6774470945990183,5.705880936009639,6.431253739160122,6.071524134446652,5.600151154215479,7.130714728782366,6.133428982266462,7.074913550801395,5.369987896033326,6.460289139769629,7.294323740019967,6.972781721749908,5.448729098841615,4.403754215915616,5.954743461376435,7.305795114482679,7.871225006326073,7.848968236799115,5.399206154641563,4.375664212953506,6.061922550009637,6.292150945871452,5.940871887634315,7.593074325832658,8.026222060183859
