,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24C,25H,26H,27C,28H,29H,30N,31H,32C,33N,34H,35H,36N,37H,38H,39C,40O,41O,42H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127127880949717,2.461330150442025,3.2666056143303837,4.622355039536334,5.5999204423288385,4.757073133396484,4.081421067172703,5.9049682251252555,6.819558194322476,6.145488914698669,5.4206903023238935,7.094662930859637,6.525840213606212,7.562662717741938,6.010053168175597,6.710841594127285,7.341347584891711,7.410887849392965,5.560247155365498,4.606006752608722,5.8614103000936435,7.207171163763893,7.844550022829155,7.5776509087441,5.10466772147576,4.044314493136076,5.706881699368367,6.132913801274055,5.479213545368596,7.472587658437808,7.728094086122316
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.256216351631829,1.2821573839161613,4.075165187101807,5.262471062496991,3.6423579835664768,2.691316452415522,4.6930832734845795,5.587594207206806,4.570989498841302,3.9003263700760664,5.574501250989326,4.641836689160728,5.697834396853164,4.135401868670105,4.670163584786402,5.385602513870883,5.306524553680868,3.502018429550493,2.51765500763758,3.9248618012357537,5.292380260270874,5.866916779778689,5.810548976366562,3.4144368420086577,2.424180284996454,4.200985772761086,5.3307054345324705,4.999017397020077,6.66328342437397,7.125763023232735
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.243153587948275,5.283693811496311,6.4520529925924714,4.758923911573483,3.784501053057275,5.648109602462286,6.591727673696501,5.266764688295884,4.450440930272531,6.176148606305553,5.2923250049684025,6.37141683600235,4.933138820929796,4.967098640479004,5.5626941152481395,5.5704919143113445,3.5921904703152463,2.8380834249263884,3.5663663405781896,4.868968789753278,5.60825345337495,5.199881309830059,2.6787747268596616,1.6076378772352855,3.2763975719752776,6.201649809213274,5.772292304603319,7.524487521949829,7.930472211657079
14O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5049979485515945,4.718953567876418,2.7723192764928455,1.750329122109905,3.7587279356430914,4.560896391781995,3.561371001349052,3.096863910639858,4.6158710464538375,3.435979705603098,4.462920068409305,2.85884317543079,3.6159130543592135,4.439775146020537,4.226163991508397,2.678418732947747,1.6158500595851972,3.4741034874459134,4.801185701321353,5.197919088115375,5.498427470049431,3.4191380827023248,2.691283376313419,4.343803465564779,4.678700968721225,4.629868122392286,5.940595281034052,6.53845717846418
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2290884967900553,1.361364438227954,2.0245216157652157,2.464200479470134,2.8566985007456456,3.7273362557960383,3.8682660786119816,4.580255244184456,4.320398246024462,4.903661365373182,3.7725594053920823,5.5183083856364705,6.167882925653439,6.209377669500502,5.384127457217487,4.558094734121365,6.524299896342975,7.707412858508313,7.783408905790948,8.477615337782566,6.733042642318249,6.048384794264841,7.711626543362359,2.96185494449587,3.179633882647076,3.967645230809551,4.52642353887493
16O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2841932064806754,3.151964899093458,2.8409573917074726,2.929999503123236,4.331012008025459,4.6113887025418725,4.984524225651301,5.075676964095506,5.481516965638787,4.640992441092708,6.405407726199909,6.961578270192987,7.100598575263976,6.434184965173123,5.6815290383479375,7.6074017678436485,8.738096790868916,8.73559255130511,9.51056357378399,7.8739907235223,7.216265565985834,8.861823926012388,2.9456674100924762,3.2646599840550166,3.6123447673081404,4.080239956093486
17N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0268539481442904,1.4445678940479825,2.1025178727192664,2.4273701540461383,2.6276342499984207,3.3720136469536794,2.9925278933098096,3.660634860292478,2.5607983352587373,4.1825088402680946,4.808710820202248,4.919012459882155,4.154227126650678,3.4441904654038744,5.354072083389496,6.465211309307382,6.47556723184112,7.262272362653671,5.731993483375897,5.195479697448043,6.735374647573384,2.459185666894588,2.8861451931984723,3.564996827157957,4.269851510968576
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.135429747031349,2.9194498299918132,2.4992187516325237,2.392045119815508,3.568909146643103,2.8102407107943552,3.6952836499913104,2.2832042355005804,3.6914595912749095,4.411293776357542,4.431252322913953,3.3733832454507287,2.5379869253953014,4.5046381181680495,5.696951367679608,5.825001478027811,6.473858353245952,4.782759954745731,4.204175504327234,5.776371396456323,3.139206958989884,3.336682112141406,4.349512700512538,5.01124209211774
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096728134111031,1.5463865755280348,2.1399960950170698,2.1708018157650777,2.5854844764352802,3.021466158217148,2.673586007154507,3.9168893387908152,4.267914753228195,4.7306885164354275,4.277536378969038,3.8870759014076004,5.5017007765849595,6.409728510919823,6.22784715695396,7.196988674295925,6.110350621695557,5.780156653239131,7.114983192069465,1.5335905797391851,2.4422711410256275,2.3876604634548904,3.219075221893551
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18860168540029,3.062573098181684,2.5375993064474764,2.8451429584854595,2.8879041165453074,2.8970769608298985,4.337921329752148,4.69736202238461,4.980618296409039,4.957174024234332,4.6408458336658045,6.238764764510375,7.046273755898756,6.7508600512918555,7.89134235160769,6.963049184081198,6.684435439970862,7.962393450316066,2.139380170942812,3.2560125910227544,2.4167275169846114,3.368985545262281
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097279717898515,1.0970943790141459,1.541382733466061,2.175617887459018,2.1807449902706977,2.572493403287213,2.753548663903432,3.5032479602115383,3.1004465458593597,3.045249180001358,4.2726068138850675,5.018846418228767,4.7569695929625135,5.796637052485893,5.073044461693296,4.97963763116719,6.042324856624998,2.4888171310066465,3.1560898688333854,3.2225358322679374,3.9814871034939894
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.763346452188955,2.1773980825976054,3.0569505869028264,2.689522486547865,2.665526208954301,2.7822821318897213,3.7329032017060655,2.6936815453990937,2.5755390807185266,3.693461774333336,4.566338400864725,4.483574104960322,5.235840627981309,4.3090380759850655,4.166683496491817,5.274125689436612,2.684529233865414,2.9137569208751177,3.666837332139181,4.239146069435803
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.173223752325885,2.3940131509449656,3.0565277416992704,2.9936346419648445,2.7831290167868556,3.8778667699646685,3.7668561721071088,3.9379532457885307,4.807930621193073,5.3224114445420145,4.902435176504085,6.034488346000002,5.70987087186379,5.753672310038784,6.624937877258915,2.66089549724973,3.411391895026452,2.972856348543341,3.6747452736316797
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966732813422122,1.095624148182643,1.5364238096901748,2.16897613906262,2.1648755638514237,2.4652420652318523,2.586967630200481,3.7393031958088527,4.3661966727016175,4.02728997896487,5.291355052997936,4.740392238790263,4.783005363105702,5.66424073421553,3.8967773638414043,4.60245469746349,4.554946755431341,5.402916770273709
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7556839726256028,2.146969382656276,2.5475111002276276,2.387740379533491,3.386982243052726,3.6282048917869463,4.5841170841181444,4.984415192242581,4.460092322696635,5.922154282312228,5.691143963313656,5.816687209639775,6.567648132072741,4.3197963597112645,5.21325054372085,4.682215280614886,5.586629481428632
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.148337686563257,3.059711297809847,2.5265070058935946,2.641993634174396,2.397155749703784,3.9544840474423752,4.770362830877713,4.5934444878972,5.726201393408889,4.7818473204323,4.6485049810040255,5.719499315221402,4.143225022557093,4.803647399763251,4.938139239360449,5.81004666732095
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1014792535507396,1.1001430115707158,1.4629768125859854,2.186886989387019,2.4779869362292684,2.870080915733088,2.506720216235481,3.817659696209873,3.6837466106739627,4.026787222039706,4.492341190239566,5.0379358277494575,5.524866637216629,5.7614020781093265,6.512290423607854
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7760067190437663,2.108216658690646,2.976156193507729,2.7477720125902874,2.777610293949035,2.177193746330682,3.579805560288542,3.999449937919859,4.496606464206894,4.721268326335961,5.151842708396344,5.614263320765053,5.731109713308536,6.40276635903773
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1115880474901,2.8310477878751046,2.868281182984033,2.961501003568524,2.48889835609698,3.9547432464832197,4.111630026193614,4.550835727392462,4.788928965845667,5.972718194441137,6.539420835673272,6.6268538225372815,7.4316705225592745
30N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0635390873966128,1.3280882854895264,2.343685769614796,2.5430980802530354,3.2068192875726904,2.305426803510982,2.564940502642513,3.2017703141242433,5.273471987500453,5.466052277727508,6.253647602760139,6.908750636428815
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.028841306321715,3.272618348986915,3.5904046372908627,4.057056417513377,2.469352508186951,2.2588625387070276,3.4486021010672534,4.902051829942278,5.0124627557835755,6.018441614825032,6.666848093222898
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3692378838702148,2.0487533519637497,2.0415836105906133,1.3331214450860178,2.0993950840115745,2.02306584495635,6.347067073821854,6.382668320699562,7.343273465726526,7.915109928959812
33N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0095234013254466,1.010594238234958,2.3317911081389777,3.3164166910830124,2.5186066850887037,7.246009976095832,7.365150873549498,8.095309386836103,8.66914279769557
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7005602065784777,3.227290949313625,4.131981642155161,3.5181382810738455,7.093766439997506,7.35131534387594,7.8027664779158545,8.411189976732953
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.539553303458053,3.6020290532543964,2.3790998352579584,7.9050203817725135,7.916423666288157,8.758223382734,9.258234770125542
36N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07169027474533,1.010086658754554,6.822715212393736,6.6422103950208795,7.949353704751632,8.436943972138092
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7867036332133868,6.452420871518483,6.177866261699981,7.673949452145073,8.138831414851673
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.800431591713429,7.580624616399861,8.916051952954398,9.37889130898487
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.209792089273523,1.3544345773795408,1.8750659420255895
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2553716533551733,2.2850748137106858
41O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763901674239694
42H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
