 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,H23,C24,H25,H26,C27,H28,H29,N30,H31,C32,N33,H34,H35,N36,H37,H38,C39,O40,O41,H42
N1,0.0,1.9505109488152774,1.846890333417556,3.0180199825005856,0.09148922038989515,0.1866039014628485,0.03599936167022355,0.013115765082562403,0.015484613813246631,0.0018778681144120402,0.0014578701289705842,0.0019793340191247566,0.0006369913170171382,0.002541410367156244,0.2242457989318881,0.04461822957402385,0.03591026433196402,0.002678196538148714,0.007817766239035948,0.00020899446465016958,0.0012373018805414554,5.607699387555343e-05,0.0002553744238205091,7.77561591895487e-05,1.523250961810163e-06,2.6445859745649614e-05,2.052220252572734e-05,6.548510347981207e-06,1.5690884402896899e-06,6.328795922869168e-05,4.314176371056355e-05,1.145668917654219e-05,4.593572918501487e-06,5.27572651787267e-07,9.111059326993853e-07,2.562331041296162e-05,3.178264287262422e-05,1.2196316083734615e-06,0.0007017658722495712,0.00018580155524816622,9.488178679011028e-05,1.4816177249521445e-05
H2,0.0,0.0,0.026943291771720723,0.10695109999520869,0.007532961547085826,0.03471699697383446,0.003155496710663508,0.0011094197520820082,0.002148761773218988,0.0003896526041216042,0.0003580059828278692,0.00025218349701894294,0.00015204942327473603,7.21446878734211e-05,0.007820232487846357,0.007039627209641686,0.0008163902011726343,7.873701293847901e-05,0.00020505840927942387,5.475555547640454e-06,1.9887587660361028e-05,2.1683356243862306e-06,5.078178491491059e-06,4.325038385100122e-06,2.8402381468950466e-07,2.0540248726330645e-06,1.081936838454034e-06,1.0290097063325732e-07,3.079687638241069e-08,9.964510684357109e-07,1.3822467264112959e-06,1.4871596067944637e-06,6.522878973624913e-07,2.325727070928707e-07,9.790916966068153e-08,1.090073464016239e-05,1.5346668670090935e-05,3.9873014268110296e-07,3.844490240212384e-05,4.658362456610998e-05,5.398192717831485e-06,6.293782446320506e-07
H3,0.0,0.0,0.0,0.10526912560052148,0.03605879316008309,0.007575605374695926,0.004609600664516211,8.036624452456564e-05,0.0011064287688252739,2.965408590704932e-05,0.0001263294113051927,0.0003349678007089629,0.00010354847603299966,0.00039717960492557935,0.019074811758928112,0.04186489837541241,0.0029569110444666036,0.00045331339987475516,0.00036765153539874973,9.941534798718621e-06,6.30964117152022e-05,5.074938738136581e-06,7.80646754328096e-06,1.112897657173928e-05,6.200026436697925e-07,5.0840280263475535e-06,3.2678635202287865e-06,2.6112930395782996e-07,2.8119145789595734e-07,8.310403285416434e-06,8.468752268564472e-06,1.6047083396530937e-06,5.775358710158329e-07,1.4926532077019772e-07,1.868397845328218e-07,6.25579901303297e-06,8.786317420961254e-06,1.7108361149986706e-07,7.593561998298082e-05,2.552285139478805e-05,1.2363480567434415e-05,4.548924774638863e-07
C4,0.0,0.0,0.0,0.0,1.8563030507338534,2.648038557541413,0.08729561423739596,0.07146841633885259,0.15486112078163478,0.013962012878434127,0.026144593404237026,0.009124275427263934,0.0029863042367288956,0.01786105091768006,2.628393901744655,0.27684900139391344,0.23079163385076373,0.01729166980808028,0.036358684185918394,0.00134807163334838,0.003803078173690161,0.00015776112000853715,0.0013446072203009418,0.00035916780171690865,7.936633988459008e-06,0.00018617400882825486,9.021060342664922e-05,1.7535705012505787e-05,3.909598437212836e-06,0.0003521215072173206,0.0002183092208879467,5.628861968165477e-05,1.9074781604649926e-05,2.2767948927304715e-06,4.1587230228401495e-06,9.377816580712073e-05,0.00010203490038140917,4.575688167252068e-06,0.006158478023024105,0.0019424111720208609,0.000884388726250851,6.555333887225956e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07128498876767231,0.010712356937611744,0.008521783458036447,0.022724973979666996,0.005312158154331836,0.0018063582139014045,0.002850602919273637,0.0020740807777543946,0.014245844023330845,0.10153457398923149,0.027197783928337493,0.01151611120337459,0.004512380626187307,0.0014830849395126577,5.590026694735073e-05,5.6876361778424034e-05,6.863592486583414e-06,1.2403684648054636e-05,3.852374136903425e-05,2.665317641259435e-06,3.6633985625256216e-05,2.4906557068327118e-05,3.5052203128937975e-06,2.7173249246281728e-06,0.00013645766235814705,4.5686455325100184e-05,1.6705864819943628e-05,5.638456916923218e-06,1.1408731759310342e-06,1.5671464366207033e-06,3.5929728714356735e-05,3.932372752801783e-05,1.6616793989676637e-06,0.0007089969978821831,6.920528166731721e-05,8.787865826154206e-05,1.9176779123109e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9785234920325157,1.7572780887324253,2.7930713039979866,0.08283221148455011,0.08903779928114453,0.163475524742755,0.038393309863726605,0.026976919689492465,0.18327654350060146,0.03767038477846492,0.034448752018539724,0.005466254101715862,0.003196516025314858,0.0010284278015582071,0.00031301295403084184,7.07773406318779e-05,6.128375599812053e-05,7.999851096114619e-05,6.1661746590946365e-06,3.3083867470695694e-05,4.903430199069969e-05,1.4059447359437982e-05,1.4441314120094972e-06,0.0002680986926366369,0.00037799364584722994,0.00022887274801355884,8.564012227196827e-05,2.2970711319403314e-05,9.605746972729534e-06,0.0012669515840764145,0.0011976108336668734,5.160590306296786e-05,0.002021259657851604,0.004264950740056964,0.0005841993345546276,6.913231479399595e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027993314737170927,0.09624140725301289,0.0026666989740551372,0.008382856026176944,0.025703035824623077,0.003126645112828008,0.004542409659819446,0.009163424114587704,0.0010337611346392661,0.003932654379606548,0.00022100293138804794,0.0004354270458191145,0.00019978704164724803,4.510440958371831e-05,9.457698483705812e-06,1.4219201819987148e-05,7.350766733416059e-06,1.3669800011939515e-06,3.1299072977830633e-07,5.77099789289548e-06,1.3849739091131852e-06,4.058746918556011e-07,2.5130115973381884e-05,7.059800760522705e-05,3.2590120075060014e-05,1.3732278791311892e-05,3.890583621490862e-06,2.228809032445156e-06,0.0001987916710379789,0.00031824159783511163,4.933941246232365e-06,0.0001860315993715833,8.656489028247005e-05,2.7508171599244235e-05,4.54794581816742e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08468335608552757,0.031896665276342384,0.0018836109750148822,0.011954880692809366,0.0015365393687560847,0.0023864654849741207,0.026089606555811606,0.0034536740421147183,0.009286862646484817,0.0022100973339964636,0.0008480484921729037,0.0004057069856482354,8.550555996178488e-05,0.00012612335670691976,1.2530778877195559e-05,4.247769202792018e-05,1.6656249122171118e-06,1.1955225836635108e-05,5.12251529838359e-06,1.9347610007436344e-06,9.572873445051755e-07,9.352018310759824e-06,3.268680222756615e-05,1.621410106089627e-05,5.944051906792147e-06,1.2031995511030402e-06,6.894718842520575e-07,7.948669030266586e-05,7.229241821926635e-05,2.2849670848756887e-06,0.002614412152170953,0.014627893965233896,0.0011497500815089712,6.84819394256575e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.742725247862851,1.9202063270516274,2.750806455961325,0.27015868189092646,0.24483044635070073,0.018287329982030226,0.005671052891748185,0.002337318108384473,0.0010928503701436165,0.000449411808218822,4.155376341896666e-05,0.00012119880891732493,7.420059696272574e-05,1.9446349034168975e-05,0.00028368220839099234,1.2988828803517372e-05,0.00017286640806535303,0.0007553096457536962,0.0001222997949459348,3.0160644610588427e-05,0.00749814568113398,0.015112846209243691,0.0019434742698139496,0.0007553717700479051,8.543143945916043e-05,0.00014134533102949653,0.008539616598339031,0.016982440837243873,0.00022290827192172902,0.00025234893769399136,0.0003262327444324975,6.42625600326685e-05,7.897724503713732e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025519396382638337,0.11199385828803265,0.027253962199762505,0.01665309008456639,0.0012606052074375373,0.00048417551141266557,0.00025247039549958217,9.827539698137322e-05,2.1054361009076317e-05,5.081131811746076e-06,1.585548059401809e-05,2.7094123632664946e-05,2.7833186380110675e-06,2.2697025008344696e-06,1.3772081608465214e-07,3.9215273668347095e-06,5.485567575735928e-06,6.640423948489627e-07,9.585998741457047e-07,6.437388281943512e-05,6.0036222654824556e-05,5.126505835106876e-05,1.6627168584526508e-05,1.1085256397258547e-06,1.492384349877085e-06,7.721758304579662e-05,3.805910237342225e-05,3.2332360924147707e-06,3.4739889829271675e-05,9.751908041788493e-05,1.0015339484525931e-05,2.3185079882637183e-06
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1033731341975912,0.019511613402120043,0.022846559196967986,0.0034633912909043385,0.001071449358123977,0.0002631703905147109,7.394449255082591e-05,3.0639161905376966e-05,3.7571040181205717e-06,3.1847088522996e-05,1.4753940865031012e-05,9.434240137773386e-06,4.028031918024144e-05,2.571457485389672e-06,9.827060332145976e-06,9.539855249096618e-05,1.7091675131197803e-05,9.202677437869511e-06,0.0008855094401944985,0.00041056775558279135,0.00015066781193495693,5.250919889832062e-05,8.11419790514023e-06,1.3151411057510387e-05,0.0002994474156692295,0.000373570952878044,1.3948386238249455e-05,2.6431955734596002e-05,1.4403025335507635e-05,3.1166388624326302e-06,1.8648225852402334e-07
