 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,C30,H31,H32,C33,O34,O35,C36,O37,O38,H39
N1,0.0,1.9080560803671887,1.8789810744621096,3.078524474972867,0.08941136673884775,0.19589184611089377,0.03360119879000523,0.003227327202637298,0.029409428178396202,0.005963375548941205,0.00018817696089257208,0.004480008328346552,0.00021791276811655713,0.00102364394969999,8.667692907160518e-05,0.0008239991331033536,5.451182244509134e-05,0.0013691503806035482,0.000352539599178206,9.69509076920172e-06,0.2207322717180967,0.06234900493592394,0.03321833102295073,0.002514531991805624,0.006717973688521936,0.0003039442762315936,0.000998344387577968,3.65631691471302e-05,1.697711386050571e-05,0.00034362705294760376,5.9025523859723705e-06,2.2596369854133158e-05,8.948916132830997e-05,5.123339523789572e-05,1.275667292793825e-05,0.000880310045017707,0.0001318191518403511,9.007834960807204e-05,9.161141999447509e-06
H2,0.0,0.0,0.026920056000640846,0.10803479939997696,0.008281987348710773,0.032067396923852964,0.0019653302078181945,0.00020689648712690634,0.003938063119120039,0.0008388617395193032,4.566945769379771e-05,0.0008111348571019361,3.7850122916793794e-05,0.00016716650810244538,3.057652112503639e-05,0.00012529468185973336,1.904015153564309e-05,0.000223837934475557,5.268933302748913e-05,3.4738345002782722e-06,0.007807635245273059,0.003948633948891334,0.00047478706311798735,3.732196972783264e-05,0.0001546550065807395,9.766583031201037e-07,8.939778349814631e-06,1.046386160163948e-06,5.564140295177822e-07,3.915482783334312e-06,7.087167808172978e-08,1.8849788774311094e-07,1.4828867431759818e-06,9.337000972386988e-07,2.899651913024215e-07,3.692666911991882e-05,3.181387547412928e-05,6.272667316786773e-06,1.3003188199522953e-06
H3,0.0,0.0,0.0,0.10821285413737314,0.03518245872276027,0.00621865192751081,0.0004670616033184416,0.0022261029027315082,0.0009574488459779262,0.0001655542625507156,9.993826411758278e-06,0.0002860034513232357,1.8781330642925198e-05,2.9484490935760554e-05,4.824562095162577e-06,6.114242339549936e-05,8.49594832597056e-06,2.294549682091418e-05,4.398711724529214e-06,4.812037499579702e-07,0.026392103909201436,0.07615310505897965,0.004615676361969467,0.0006215615438438515,0.0004671067302201015,1.936815755287924e-05,0.00010913503891996079,1.0157390677445477e-05,9.36948983354391e-06,1.7985471900683336e-05,7.323744926068798e-07,1.4151114586802294e-06,5.093491420193885e-06,3.3586841434729564e-06,1.574406282567331e-06,0.00012776412666426484,5.9797575652553725e-05,1.857716441089341e-05,3.147635561084883e-07
C4,0.0,0.0,0.0,0.0,2.0293226617509346,2.7284883020780684,0.09246759866829501,0.0810350543527254,0.16561880353519481,0.0325423600095231,0.00044982999608289553,0.035793873275964616,0.0006252002775581911,0.0037997580328586467,0.00010426979140309989,0.00462329711163037,0.0001574510110440297,0.011429544296794047,0.0027761162660896593,2.1781794961150958e-05,2.6491953275194167,0.27958699012363375,0.22202624764061268,0.014722443221798942,0.03615695593077897,0.001985475759401112,0.003768428583319716,0.00014071235449253372,6.924483928671954e-05,0.0014599414178099457,1.693454244455772e-05,4.721092638293456e-05,0.000282564594724366,0.0001850555295981604,4.796339770848923e-05,0.0057091319314135636,0.0013044765397550034,0.0009403076823127771,6.947551481428782e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07661831820087017,0.002137216502752226,0.031652636559871494,0.015441230171292064,0.0012997897901014799,9.43837608728959e-05,0.004552429045167727,0.00043096359132532847,0.000553845954595733,1.4564923799476048e-05,0.0003700589862278836,5.3794119301509014e-05,0.0005836521842343956,0.0001496123977431374,4.632161517248434e-06,0.09013172063761021,0.02321691333446263,0.010381308201962258,0.0067054983555459025,0.0013570281425232533,5.9335116492365e-05,7.562881249434383e-05,9.513566857410893e-06,1.6717984032688094e-06,2.3233633244412744e-05,7.399857708811908e-07,4.870120362543418e-07,7.263258430034725e-06,7.507533600792371e-06,2.050616162541097e-06,0.0004946594955246297,3.703764924656294e-05,8.273746682541105e-05,2.5225984602306184e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8323755266932913,2.005483039096158,2.6812578265659033,0.2312866613635789,0.012596701005162192,0.24650196049124992,0.01553438633165194,0.03502858612993037,0.0023549494396777337,0.0371483403718621,0.002321332260039055,0.02034364818106968,0.004953822992740414,0.00031739028569643946,0.18287752422859593,0.038407055945315974,0.027454929961007526,0.0009353435857617498,0.0029015885272040964,0.0006385772780717058,0.0003149993133906015,2.5110786606497015e-05,1.716932834638918e-05,7.544708622206353e-05,6.195377241002831e-06,3.906487033189521e-06,1.6960795591908218e-05,9.786296578592757e-06,3.5216576262792065e-06,0.0011744706943349614,0.0006337615853589385,0.00020506005191370247,2.9109658620241063e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025093704348014834,0.10131929238406623,0.026014021242527052,0.0006379196906058926,0.019974241794515457,0.007015958732317529,0.0028075547763921627,0.0006418255409876839,0.0019154855609311294,5.7366357208765706e-05,0.002535703202745765,0.0005693651152838264,1.6717893645434856e-05,0.027780719667382936,0.004439202407745424,0.004618322924470952,0.0001158028072452133,0.0006050602751785927,0.00010995720711393098,5.71681513199529e-05,5.038147531610804e-06,4.760868461239909e-06,2.038703559525956e-05,1.176182259809977e-06,1.8755445196916298e-07,3.872629848133968e-06,1.8542704803836685e-06,8.36742025667192e-07,0.0002780995285087684,3.721570830872434e-05,5.878986831364674e-05,4.929613398152455e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09489693248702702,0.014999783781622478,0.003633644106502354,0.026603882415489943,0.0006616413370019725,0.0014235980007824,5.2297888331276354e-05,0.0029611486797938014,0.0005809095458304547,0.0028543465578760863,0.0006728420056069107,6.837674594573073e-05,0.018434023064065164,0.008153012431253104,0.0020640509939643392,0.00026989157522705476,0.00015323021286839378,1.3367625676163897e-05,2.979219183796289e-05,1.2404640425955904e-06,1.9185153685707945e-06,8.518996042150562e-06,4.4520508613032916e-08,2.0811494771955097e-07,2.186912038792954e-06,1.5427468578188552e-06,8.860183193792892e-07,0.00010454996306785702,0.00035137390981476724,2.9275040942522423e-05,1.5871865011174435e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5576556268566697,0.12597644552706067,3.845871074971543,0.12551556955861698,0.32082772197173515,0.02654167855457934,0.32857811225964034,0.025734850429718126,0.2616377149644207,0.05191306237130815,0.0015350751304892274,0.009007445667946201,0.003117227689816912,0.006605205961746685,0.009113823056062897,0.0006698629516214694,0.0002483232961980608,0.00016299338547873243,5.408916145643872e-06,7.094510600968995e-05,2.3230950216723834e-05,1.2640166144883835e-06,1.7366133407747952e-05,2.444569047826972e-06,3.2057587365519336e-06,3.7340645578920473e-06,0.0006346251439506012,0.002887405506081589,0.00020291298017514892,3.1331426345260205e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.028052652156603,0.3350498879173186,0.029487047956303858,3.809975294743419,0.13257335968846928,0.29694598256470683,0.0040025039822817465,0.3431918361265093,0.041459230992215004,0.003917903610907936,0.004515910814333168,0.001326730389748551,0.01885790741247563,0.013636251426365043,0.001577198837763888,0.0007478937486711246,0.00048738881907350873,6.609680864899659e-05,0.0010069431319474909,5.542911449216148e-05,3.635365667609136e-06,2.5267003524565013e-05,3.432304366418615e-06,3.6180285997583495e-06,1.0693406906292502e-05,0.0044012770313606175,0.025714149417560367,0.0018292076141155494,0.00022770293143070663
