 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,O25,H26,C27,H28,H29,H30,C31,O32,O33,H34
N1,0.0,1.959668167155411,1.82803528713412,2.8941738264782098,0.08438060249792023,0.17972970006270467,0.009544330177022609,0.0294081784240543,0.011809651816191924,0.0017058742290175788,0.0011655949682617406,0.007388543921567764,0.0031467193965515478,0.10423107990414004,0.26566089123001857,0.0028946664307055725,0.21126408871116886,0.059835062152070184,0.0330581735689999,0.002391101763465131,0.0067492619525577335,0.0004309174614993694,0.0006680294679817372,6.130177626884059e-05,0.0002903386542453118,6.766815903613832e-06,4.524611829924419e-05,3.3001388161091327e-06,1.4800190129671265e-05,5.547774565184405e-06,0.0009107095369245977,0.00014560402842776765,0.0002574372569534855,5.7164510418039605e-05
H2,0.0,0.0,0.028735030946379414,0.10854878562011772,0.009534884518115794,0.030120867193819012,0.0011387597584864295,0.0020420319251719388,0.0007875209286063445,0.00019333736123816614,0.00012349932583055612,0.0002579352340046359,0.0001918174864279365,0.0019273157995504109,0.0019197060526434662,0.00021315961382839532,0.005717732287488175,0.0023444472617668577,0.00038367779900982946,3.56875235862919e-05,0.00015175223491692424,1.3534799590431135e-05,1.2812698771180742e-05,2.0880272959544754e-06,4.335081531192664e-06,4.1994917565624235e-07,2.3121440406725924e-06,8.235359769681594e-07,7.805205586297603e-07,1.8229937515101824e-07,1.378395312723324e-05,4.138368402184511e-06,3.793033550469893e-06,1.0538491321820942e-06
H3,0.0,0.0,0.0,0.10764278852036491,0.031921564576742334,0.006380130310590815,0.003216779356922439,0.00011484328704614022,0.0005101036499259859,0.00014611602842551363,9.938153069288802e-05,0.00026492665815702754,0.0001599583129044957,0.0012885233904090798,0.004202070852395323,7.15658958427845e-05,0.03042865696163133,0.07757923530831023,0.005208756370714718,0.0006531687391202468,0.0005705517604932542,6.287562753337639e-05,6.272167281162755e-05,2.7979135161171342e-05,1.8851186879276227e-05,6.028071457553352e-07,7.797685013133382e-06,1.2155595991991675e-06,8.302029801399158e-07,3.7889646467004212e-06,9.32397517091621e-05,5.669692182286301e-05,1.1664813237000082e-05,2.28600421214864e-06
C4,0.0,0.0,0.0,0.0,1.695310965665661,2.6757163029496387,0.08313851703887365,0.09257521054223683,0.1553658531619974,0.019153484677159494,0.021272763925844318,0.00837802448495753,0.0038104036660286528,0.006980084751698548,0.015246920255749696,0.000298519745484227,2.6739020795320037,0.2851785764356545,0.2276488891648986,0.013329566493479716,0.03588557873925535,0.0037539371141761535,0.0033878507417092474,0.000882143244322009,0.0010791078642321122,4.1039657079910974e-05,0.00025662895058195523,3.652564484979415e-05,4.4353440312949743e-05,1.1373217573718009e-05,0.003993101956018208,0.0004530781444873899,0.0011542691171697733,0.00022748883732459646
H5,0.0,0.0,0.0,0.0,0.0,0.07747767602139177,0.03438476730547535,0.0029218964499375666,0.013663085763026439,0.0004512298916428126,0.00859538642964397,0.0007290971168225635,0.000541210461106334,0.00010833095691409333,0.00017825663607107245,1.8555638750417103e-05,0.09582998563486478,0.024929317110888194,0.011043852542828247,0.005668828666426595,0.00158084439544659,0.0003466958711770829,0.00016612177373787063,7.45852670638314e-05,3.202997280771225e-05,8.267914267445775e-06,2.5071408602084233e-05,2.030334195213257e-06,2.3881992399887864e-05,5.824193014536405e-07,9.329518329570519e-05,7.10308874737331e-05,3.751981705413243e-05,1.4321061026167925e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7475832492113912,1.7979465709067874,2.821408884027599,0.09107485909521096,0.08098543066167474,0.16034418789274968,0.04160042137980723,0.025480201347051555,0.004021654508785666,0.001338227443569373,0.1897151899263115,0.03707858203686874,0.03278716489804158,0.0029282408344365463,0.0034641166259601203,0.00026450244086595465,0.0013337971192948772,0.0001828358824292886,0.00022730390394955918,7.0299956830277566e-06,0.00010901597199060309,7.876428838260452e-06,3.273253085023242e-05,7.419634294958399e-06,0.0005388018444963671,9.49444228306312e-05,0.00017232135111507063,5.588064381478741e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02528179752010251,0.07828036667581806,0.0018526699346481657,0.026187565916431677,0.01632956515907158,0.0022901664543438782,0.004343035127585271,0.0004475337436853355,0.00017200808314643545,0.007084178323412571,0.0026810470877881576,0.0008561860921914022,5.389650415632552e-05,0.00011075603079291341,4.948650939251564e-06,4.6310453741593705e-05,3.952279288732541e-06,1.1457828547056792e-05,1.2424849660241932e-07,3.5571300169845443e-06,4.6264929443040614e-08,1.6547046766124396e-06,6.091447783962423e-07,2.675156135278911e-06,1.593412891964796e-06,6.202914542008386e-07,1.1073135608441476e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087365763220427,0.013049798017685132,0.0014124488631435117,0.019186104074958577,0.0023840112188481255,0.0041189533050172145,0.00029876226586300625,0.00026274163260842087,0.015206181553447662,0.003132759536194518,0.01071139732340698,0.00270214171019334,0.0006336674980622625,3.1558704515211033e-05,0.0004613883805564267,8.243300523735897e-06,0.00010395537068963456,6.655416127099301e-07,2.3973504300611737e-05,2.4432420087094897e-07,9.948732367259794e-06,2.0032507415113088e-06,0.00010501014887531746,0.00011000814944728265,1.8142843167701095e-05,4.383851375022729e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9371867858439855,1.7253132932140767,2.683057196337994,0.3037582014324174,0.22660854427063581,0.01177336549896768,0.04614989668277425,0.03110581251733746,0.008365452744159882,0.004791897043220181,0.00042025139341839157,0.0007087677115507618,4.613639329109631e-05,0.00015866224154409414,1.2747073130037201e-05,2.163843674320154e-05,1.4379598511915503e-06,2.0424435410962283e-05,1.4997374156999754e-06,5.985500296734614e-06,1.735344438813513e-06,0.00014803824182321734,1.1204335111578145e-05,4.8141770307513765e-05,1.4230627043088084e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026765076202075466,0.10786298852803933,0.02494307095946713,0.02202673611472572,0.0011301454160541624,0.0019526287382320984,0.0021500661820199607,0.0008234694250077723,0.0003725140462141896,1.949396814748816e-05,6.759013049073559e-05,6.758907243220591e-06,5.041552930240556e-06,1.3149705493376018e-06,7.665589355498881e-07,1.6987762596620826e-07,7.021450402211471e-07,2.6095580718532574e-07,6.867494928286533e-08,3.643018753329841e-08,1.5233289539562378e-05,2.378830118443531e-06,4.78238099332895e-06,1.8699300492475146e-06
