,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25O,26H,27C,28H,29H,30H,31C,32O,33O,34H
1N,0.0,1.019906669718484,1.0236327603190463,1.4690414482249743,2.090893627010249,2.4988537020747423,2.6997186205075545,3.409814825964145,3.1877012462204752,4.227666073974162,3.20630131423562,3.5386408742436415,4.743818186563609,2.926649822426663,1.9610770250287073,3.689458815853248,2.471764462360636,2.7651158494538635,3.668816321923842,3.9827425202432094,4.913082895912249,5.011396102587149,5.476134936448487,4.880964899231517,6.755943782180378,6.760353972682976,5.9543696455674375,6.549548862704883,5.265673129126232,6.734870989573089,6.043325762223606,6.202551758760929,7.128944883076134,7.843731377568568
2H,0.0,0.0,1.6225867817476016,2.0485582087422882,2.2747393727816414,3.361840205453841,3.683378403788513,4.170502169261815,3.9704246577834956,5.013274089247225,3.750410535334838,4.361116132885851,5.580378187566806,3.6453195705240624,2.6377683684311113,4.351034801221544,2.8031478863610375,3.068699856895578,3.870399749294513,4.183585405634445,5.068717375578833,5.290826285559566,5.350899684814842,4.670705089664542,6.662054347848296,6.754605814193172,5.660119813982488,6.121745310933131,4.913753100198551,6.520900289767366,6.2649365889994835,6.417524965626071,7.388153629205148,8.117816040821408
3H,0.0,0.0,0.0,2.013549289034785,2.8876415667220403,2.8683824509944484,2.6955734592819884,3.7229629385639185,3.8036945011048404,4.7855587976394185,4.041709425224466,4.0117079761790695,5.14097031242003,3.341283831127735,2.4337450945277617,3.9458907779343875,2.4560422166851494,2.275319083962,3.7990203203523856,4.332696902489216,4.838685453342909,4.727045132840014,5.377209249296714,4.681962025514426,6.5382872657060265,6.405813092514694,6.087248113930147,6.641962711131597,5.5537371235214374,6.914357398993126,6.089927566886278,6.437460746443726,7.041445615413103,7.829928013727001
4C,0.0,0.0,0.0,0.0,1.0981387630606987,1.548710678776564,2.1654288019187735,2.1488854223084553,2.6231943066217696,3.468526861957846,2.6780063606385083,3.57390384449676,4.723363624726338,3.5196859851211593,2.8029893542127264,4.449120533999812,1.543697784030634,2.4208985554800426,2.4674483362444586,2.6201559557986065,3.8386166978225775,4.068936132401988,4.666844794244955,4.33981526215859,5.971157456848693,6.048452952341216,5.108531937965586,5.885007003750695,4.430530250042037,5.727339259831386,4.767968850242809,4.8180287457864095,5.9118368643966,6.548578338282542
5H,0.0,0.0,0.0,0.0,0.0,2.1592542726198225,3.0581190074807947,2.5345865774998275,2.772370813742893,3.5462222089411477,2.400636244947329,3.90565226022432,5.045181891095154,3.93221405473054,3.2565160364967145,4.909815446949481,2.169030041634222,3.2315188099594305,2.6044895131235433,2.4053162963040946,4.04923553220478,4.540968583500827,4.748397373539649,4.53345479305819,6.128828057871549,6.3732713917846935,4.853465029046138,5.6249214340775335,4.006958208404526,5.409687795699802,4.807306977944289,4.627463208139762,6.0701950082139495,6.613944984675083
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0978401714109869,1.097184630842458,1.5500868771584653,2.1721836325819,2.1811734335196626,2.6312200708921276,3.585492695013213,3.099246353498419,2.815452733684495,4.0214650300374455,2.521312407405343,3.2901103202350255,3.1948904280781787,3.1561029882808262,4.450296359670473,4.519252622221349,5.624778304151975,5.4680471778789,6.812013840643329,6.798995020723751,6.169586590806958,7.067183783847575,5.568642405482216,6.60801337842012,5.061377251750832,5.004936374986873,6.100822219039729,6.62421423136978
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7526088406923825,2.1930220103111506,2.7299778363576634,3.053401082165512,2.7148699335551916,3.5406231403128317,3.0551474818912996,2.844682238431571,3.8060497976644334,2.7985319449495294,3.1724057327781834,3.6798169328957644,3.8789472753078873,4.740478708406371,4.550508014841545,5.939819707125525,5.694304051893526,7.013683125969604,6.847731112901014,6.709071507618773,7.575690696307131,6.227049853067499,7.195714563278506,5.4561386344605705,5.595764643278904,6.333260974276321,6.9227466450743105
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.158886129311245,2.293958795869558,2.7145491390873744,3.4556048222958267,4.222081989573178,4.132502678252907,3.906093984551946,5.045153766890999,2.6124344844259135,3.506654346268062,2.8227030832804694,2.6231295824937573,3.9421973685482357,4.062291938762194,5.286214215806892,5.341201233216958,6.3926145032513375,6.4107700637810066,5.818275804606388,6.805240617598642,5.3053457761462886,6.0946540366977295,4.272782955363103,4.131234006872339,5.279554589079768,5.710857352903885
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0926941338157818,1.0993699520548048,1.5373649591401444,2.4115029515344863,2.449979940036353,2.591635780989904,3.3730949975840505,3.93710004618154,4.749681272412541,4.514348877409653,4.233972685763071,5.845409507466127,6.018541215836847,6.981696855205319,6.842143659583896,8.225816410355936,8.282920804915271,7.325207613502587,8.21423266996376,6.5867107889690635,7.7121175463187255,6.299201028038646,6.013635863488337,7.393061920781211,7.804795020719616
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7621304271350955,2.1010012809333634,2.45004326662088,3.3130196490755046,3.6253792180437863,4.12119353464895,4.593440838351096,5.455109859529991,4.946592770813133,4.5386839052871455,6.180655014349485,6.354691881937713,7.447254597856061,7.446696948617927,8.626327746906835,8.688543030009763,7.773995345603844,8.732070349884964,7.079498339366154,8.023925824859814,6.389201832983875,5.988169923981283,7.418294066973387,7.712120261431849
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.157293535605008,3.0613085733679704,2.768729709842824,2.7559147432608273,3.7230913428896333,4.110145814009131,5.051933559852034,4.577105657726507,4.162017390475795,5.990845683835896,6.340651342726338,6.975145397511219,6.840227692006691,8.297307368220542,8.471774612176798,7.098042922909788,7.9397503390901765,6.244206807849953,7.488112324671562,6.434770589178842,6.0261483900589266,7.635781331505736,8.021134860930628
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2260880510054741,1.360446977653045,2.073949782880842,2.0317920109211123,4.9280148620874815,5.480721386614854,5.759807549181708,5.6293394278775,7.0659872155607495,7.0982009897272995,8.150083652298294,7.863797051228065,9.380769176858594,9.346929130350402,8.59259887628032,9.418842104868588,7.85454860028953,9.074813140491871,7.660533019529642,7.477889281667292,8.697221676022512,9.165433386569275
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2798000079560543,3.1830155128660556,2.504821168505111,6.005663120866921,6.535185025432019,6.769499784654826,6.591563297307147,8.022284522224492,8.004179667431154,9.200554714265593,8.966697534120115,10.388088549250499,10.32187056313854,9.669455099407466,10.535432203014519,8.952426987303946,10.087550885345404,8.49458225441942,8.265807236360933,9.466472981015567,9.869823083712511
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0235885395961029,1.0108136179173288,4.883638590497532,5.245224305051933,5.930378980331343,5.958332203524655,7.243910102502046,7.2460193047923065,8.134227871865729,7.674680764899106,9.388094135042628,9.331332847941113,8.598629060089928,9.30966756841813,7.844962933550474,9.224130961226633,8.070768574470641,8.012087526304075,9.127367215101243,9.70233598200653
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7680286799451708,4.135057500516257,4.4537029654367455,5.25389797562676,5.368753956349889,6.563390753114234,6.595165849189199,7.327295297427324,6.800973415589226,8.596776233318609,8.559270932538919,7.7827205998029,8.436939917801624,7.033322169044284,8.475326360975577,7.510253206669281,7.521211047190973,8.58930629155229,9.220534740498913
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7406048875057225,5.964641064920689,6.8516410097221865,6.932749413356221,8.125283920126183,8.054028060362246,8.993620552165721,8.475325748460714,10.218517725020389,10.109719143070562,9.511083879151608,10.189496018564284,8.774335208111442,10.16997943312068,8.994276668010698,8.979802478536183,10.010425939725176,10.605923408655146
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2297670453357954,1.3610580513410908,2.076391713002163,2.4628134157127426,2.598943611109429,3.2852820415687014,2.96663291483664,4.509016648436281,4.519876049445514,4.029075134502575,4.816373996299796,3.6190488985151563,4.686761094988885,3.6463037890269736,4.023800037853085,4.673649446540288,5.43051771825511
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273960593055828,3.18072548393651,2.80617123446305,2.525968633742652,3.3813740944258415,2.791407323858676,4.392203027404309,4.180292180807724,4.435698476689869,5.062283828924378,4.238533848032283,5.202176295631502,4.193596579910478,4.840878576508723,4.970540155605022,5.841942954231999
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0136972991432076,1.4529044042929038,2.078574030558548,2.500729025231791,2.6502654451953203,3.7377963963791334,3.9424619363566458,3.0764868105279075,4.03584035341186,2.7518805817621104,3.523202920968625,2.399867564347157,2.706272708733038,3.5707432701421715,4.250984769391413
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1032456520058274,2.8878216290159497,3.120506281964902,3.446859059349862,4.344441577193601,4.683921197773248,3.2843543508724027,4.311125890206853,2.7750740996489194,3.516059711171869,2.44647525785886,2.2616228039157313,3.757576176049958,4.23782388977487
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0957947001759636,1.5677427939491022,2.1312935955501864,2.463107810958234,2.6293457656054096,2.5863426532749703,3.5224312996658096,2.8189837798515684,2.883334728165903,1.5194444367471647,2.4174560319602083,2.3820931253648454,3.215109650376487
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1637660590994257,2.4364054642476387,2.6673605275379115,2.4162648024721625,3.497081999837162,4.301040750907203,3.81398827979274,3.838413903393521,2.149437579366055,3.204367861942163,2.5278681048578595,3.461501123485041
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1001455710623036,1.4173701546552997,1.957791797060953,1.5234300673656795,2.1503288865781265,2.170034420070792,2.1720100402592477,2.561441590704314,3.3779482754078582,3.140764315229463,3.948140362730263
