 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,H27,C28,H29,C30,H31,C32,H33,H34,C35,H36,H37,H38,C39,H40,H41,H42,C43,O44,O45,H46
N1,0.0,1.9597302930034464,1.962989704133387,3.0252509873770577,0.09582462694558536,0.2028873468276508,0.013428563548522177,0.010827903502896752,0.035658406054325076,0.0025157739205328156,0.0014699459728572117,0.004155248228656941,0.00019052756659787562,0.00023520842841640022,0.0010764745172907805,3.8985141088909714e-05,0.00030105591070613,0.0006012973640274616,0.0005687959120008745,7.21302765505083e-06,0.0001111762036168848,6.26985856722051e-06,2.8391417653539364e-06,0.26493385361787275,0.052680799007845024,0.04532182393724425,0.004610499783387456,0.004640902789643381,0.0009352978276460089,0.00048723166959577235,4.414048433643014e-05,0.00020272228143777826,0.00013861786415403365,1.4258172477243924e-05,0.00016672620912391856,8.52298987075173e-06,1.6867650793117583e-05,2.1565323025329874e-05,0.0002878555814996922,1.346189365969419e-05,0.0006417793022529539,6.026675744341681e-06,0.001778213662846112,0.00023043614697017267,0.0001978109215271251,1.4425904142467694e-05
H2,0.0,0.0,0.027814076404703014,0.10362065285229072,0.00608678304013166,0.03275171345331995,0.0006143897932959774,0.0009555631154531952,0.004889932921231632,0.00012782746947537227,0.0004568493472412172,0.0006290749574114907,2.111005227511953e-06,6.208692198739207e-05,0.00020882480546502435,9.733290645685955e-06,5.882197431672509e-05,2.849809005800452e-05,1.994429015672594e-05,2.604946301110189e-06,2.228555391514675e-05,3.72204805865195e-07,2.949318449463334e-07,0.007655779217996761,0.0007139733239730495,0.010419110361894579,0.0011889200017112245,0.000674744128702276,0.00014147243422568678,0.00010674957802425666,5.168130795984993e-06,0.0002542926057648165,0.00024597798515157976,1.1527117900200778e-06,3.970278429887841e-05,1.9962162385978033e-05,1.390664057909774e-06,1.9625887444085777e-06,0.0004874798166916161,4.018403397676451e-05,0.0004521703510764752,1.4904607346100107e-05,0.0004024120116791208,7.131727751297223e-05,4.8094755809691137e-05,1.5485635763035077e-05
H3,0.0,0.0,0.0,0.10241928348761942,0.03662400539700483,0.011241801600560763,0.00019702810568000828,0.0067522450661181566,0.001010387028740567,0.0005061261965233488,0.00016302064681794626,8.455376783289559e-05,6.566022762166668e-06,1.935273499387158e-05,2.278776807074223e-05,2.2189185910903575e-07,1.611826699443597e-05,6.310527298569735e-05,2.517908991639395e-05,5.433789003195244e-07,4.5769136173268166e-06,1.0222208217669504e-06,2.393883367091121e-07,0.010707651816311614,0.004720042539122948,0.0005488807240933147,3.4642834817244506e-05,7.376654632595958e-05,4.858839948385096e-06,5.722813299580132e-06,5.2683743811954287e-08,4.877688362880939e-06,1.2525612992808632e-05,1.0530719596335558e-06,1.7957252937961243e-06,1.6505410682654542e-07,1.8003705570812656e-07,1.9289028285740528e-07,1.5288599150675708e-05,1.3091416368737896e-06,9.481294352520209e-06,1.0490722470724023e-06,3.0842770750050263e-05,4.460917306758905e-05,4.641068817368144e-06,3.0615479285067693e-07
C4,0.0,0.0,0.0,0.0,1.9820668908112418,2.8141039865554682,0.10139091444786308,0.0909027413970267,0.16514411009554117,0.025087287630725985,0.010004794429636643,0.017250587379742555,0.000868654373808786,0.001230288183874828,0.0027953858468171555,0.00013164029369183705,0.0006604100174542049,0.0012921596426032633,0.002218826763360826,3.1062420355443265e-05,0.00019757707636190724,1.3332686472189437e-05,1.024663440984952e-05,2.6699846551668,0.2530254193292639,0.23537753497863448,0.018494795965843913,0.03532140989136484,0.0016633579228577666,0.0036344144534897205,0.00014612801015934096,0.0003101317723836483,9.805747518187857e-05,2.4842427906790476e-05,0.0014141911337907653,4.878828168708438e-05,1.9812435813282292e-05,0.00020081759682710754,5.864219524233383e-05,6.886972766295685e-06,7.42481136026818e-05,5.3233896732951536e-06,0.006716350583808733,0.0014071842238670695,0.0010924521832497286,7.802790897948331e-05
H5,0.0,0.0,0.0,0.0,0.0,0.0829994758715552,0.0061374486539000905,0.03356345613696665,0.006082052896318135,0.001971277825757456,0.00012157919583177801,0.0010972266421491739,0.00020170486901149864,0.0002422164099062929,0.00012823266677852718,8.114032719053199e-07,7.822161207560185e-05,0.0003079290189269557,0.0002876660693462707,6.282074178631802e-07,2.6484466069676138e-05,5.18839327789955e-06,1.503818127357448e-06,0.09961848706502607,0.022723784771999767,0.01103525078758616,0.009351812490927758,0.0016030207175417033,0.00029739140753060056,6.816969556977526e-05,1.2779599619205939e-05,2.73607729639469e-05,8.316117380280375e-06,4.7291174887220677e-07,1.847996135029284e-05,7.568763349397045e-07,2.6328834548117186e-06,7.140396908411617e-06,3.927332942854633e-06,3.164062074567653e-07,1.2430698361765025e-06,6.4946001798738e-07,0.0001938056729147153,0.00010706366562418523,3.952639540738545e-05,1.1533422027421025e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.020739660956817,2.0620504858054427,2.801402358592661,0.07541683700850621,0.08428809612345112,0.1867255939267582,0.0035495730866113018,0.015493325947502856,0.03273495749296876,0.0010996308554808154,0.0046624621142529465,0.001837997037162864,0.0006858445729618357,6.802930855243083e-05,0.001575391525837494,5.41472519645092e-05,5.882480407570778e-05,0.16748159346151434,0.032117151773500364,0.02758577931384104,0.0020209959253674192,0.00539326912150126,0.00012948560984649138,0.0007907529706747407,1.9471623393774173e-05,7.50483672572605e-05,3.0058979592295643e-05,1.164385412277813e-05,0.0002792098809707433,4.851673920391875e-06,3.5787802670217417e-06,6.0957854295828895e-05,2.10956646013033e-05,7.331773577146095e-07,3.2950742129500554e-05,5.446731379254999e-07,0.0006386037080374496,0.00019997174768608683,0.0001229163148847856,2.9191944609263665e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02532995174780739,0.08429515855365133,0.008821780189958606,0.01309822373289471,0.011072799949346512,8.815908295534136e-05,0.0003782488672983142,0.00200075114546594,0.000278085468646605,0.00040371253091198156,0.0002563741193361002,0.0003575151408885535,1.153022622379929e-05,0.00010473357725682142,1.1701630644234129e-05,6.792594191562529e-06,0.02891865642753011,0.0037112498271656413,0.003756308157009891,9.414315740596813e-05,0.0009600894831529594,2.4051115076195728e-05,0.00016816947820430528,2.0822841801937386e-06,6.478915328789192e-06,1.9322691169332273e-06,2.3947303393612174e-06,6.072937015455526e-05,9.599618306932456e-07,9.487116476858404e-07,1.492391583779451e-05,1.0332570378190908e-06,1.7043647893011382e-07,6.365387898998875e-07,2.335594495583848e-08,4.890272442170662e-05,1.1143338226604627e-05,8.269241286940066e-06,4.390203256487979e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07482127526165638,0.011219397294903954,0.00842862632522312,0.03209858780553243,0.0011826768119411746,0.008554641132825891,0.00332496870133836,0.00020687847327383047,0.0007419950037486078,0.000247346283774208,8.716310669987237e-05,6.404094158085627e-06,0.00019018639141388238,4.517734438991283e-06,1.354169589729004e-05,0.007876940279240463,0.008353036095999244,0.001071491575487915,0.0009225203031300033,0.0001246471246425518,9.97392052770607e-06,3.655370509636491e-05,1.363115567309947e-06,6.351160087958441e-06,2.222939865959006e-06,1.295547819468723e-06,4.8240894610085405e-06,1.1805308952617111e-07,1.024815494687914e-07,7.419798491170582e-07,4.4476010607752414e-07,8.250650607166676e-09,1.342097364354089e-07,3.727796071828493e-08,3.1141547738533504e-05,2.999947373305556e-05,3.5400970752608174e-06,4.736222301016113e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9225280399165277,1.8993084475239823,2.509598065810867,0.08038181075854034,0.08033128162675507,0.1776914192035446,0.006257024809797618,0.0371195035569524,0.014770627662022792,0.00370610122249182,0.0003074900467697761,0.00990642370037649,0.00013463330255159,0.00021135290013851726,0.02205336868803176,0.01320793407382237,0.0035016828624174767,0.00010925369229231041,0.00044307033298249254,4.206750684643268e-05,5.8657658056820994e-05,4.073800542014894e-06,7.829039889370448e-06,6.363752435012415e-06,6.667354890410593e-07,1.4935862800075084e-05,5.756143992563523e-07,7.933059080755811e-07,2.8725348009128737e-06,5.730845860613121e-06,4.550397805225259e-07,8.524249531349781e-06,8.613485058539538e-08,0.00012031815552143721,9.960546425206995e-05,3.212741289869425e-05,6.651301632798479e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025677511884154125,0.08287925623672132,0.02953269098186162,0.0026382883421829373,0.010651746181628785,0.00031682191844728536,0.007325262851215708,0.010272397574065506,0.0020515501322873053,5.6978080669178865e-05,0.0010457673091087694,1.1039909258991898e-05,0.00012157607874674348,0.011927502743478202,0.003221480862678261,0.0006801034587538002,5.2168064289759286e-05,0.0001839154686611444,4.4251086071200874e-05,1.378691721254377e-05,2.539971510673311e-06,2.9646609538414026e-06,3.1931738742052573e-07,6.960492604513036e-08,5.778391235722324e-06,1.1657788911989542e-07,9.993509353378727e-08,9.127210336412617e-07,3.6749026544047325e-07,5.237900779775373e-09,9.445542858976808e-08,3.6307918893641045e-08,7.309298054125613e-05,0.0002130929807209192,3.173225878227992e-05,4.5671272383973616e-06
