,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27H,28C,29H,30C,31H,32C,33H,34H,35C,36H,37H,38H,39C,40H,41H,42H,43C,44O,45O,46H
1N,0.0,1.01764363490693,1.0193189581360396,1.4658580079147256,2.07567453043326,2.4347649610236335,2.6117880258045187,2.6185975595226476,3.8488335266596194,4.029848924188286,4.486824132979703,4.791522619728001,5.242029564699387,4.511248779919892,6.046968394389091,6.853818623346279,6.39240823779144,5.779968036883029,4.868671799395043,6.172884866263723,7.6453638751889645,8.243429422193756,8.173980708125386,2.4850518031824698,3.2874416306069922,3.1372031954314386,3.1057340753231237,4.365114784343148,4.35698387236306,5.281182023477279,5.560183921868285,4.993752037472464,4.29707517311544,5.968127021541295,6.664246598375384,7.200220230530571,6.757767989159439,7.354510634694196,5.012088478552492,5.938102967597897,4.22391244118339,5.280199012165617,5.367827468417679,5.754283699119668,6.18900426505884,6.940215952468317
2H,0.0,0.0,1.642340169564977,2.0764479406507648,2.3676119303069254,3.345296198588377,3.527243230169826,3.5934079389403504,4.64563595537297,4.641611269370689,5.287495342620243,5.638263613308748,6.1759342233994206,5.320557700304361,6.805189037206722,7.655070024552842,7.003483966276288,6.265185634046999,5.368389338997874,6.515512869644665,8.213034097179976,8.868729965701963,8.657147737077008,2.742957329038817,3.693781116104194,2.93987554373335,2.7109547090214563,4.057270319618346,4.030505846209776,4.731462768556399,5.068435718976851,4.20648302513019,3.477234572937972,5.138193609243155,6.118360086441699,6.772031341737147,6.211660312400004,6.710179481325283,4.173631579450089,5.158249340062552,3.4704404612940705,4.339120284956517,5.277595615998489,5.775119439871874,6.09966276784851,6.927585737818214
3H,0.0,0.0,0.0,2.0588251611134534,2.9376475587786754,2.696851115870964,3.008753627065025,2.445801492094266,4.133467351179224,4.4306855505750615,4.8812714502271985,4.7735592801900735,5.151053589638223,4.301069726725942,6.087290505589672,6.905216579255911,6.464328433945058,5.807982364768347,4.826722225102057,6.271956000376937,7.773330405481435,8.397743249726993,8.287092040797488,2.6798402381800503,3.1276036639430966,3.485514756306667,3.69488480733713,4.503553781171079,4.268478403077864,5.577852239499117,6.008171594245877,5.352898045189618,4.821486826944147,6.386591373788892,6.83242103776673,7.358820890368972,6.772249915144122,7.597451867597285,5.128794744936085,5.946197151593114,4.192648130104871,5.4455377643539915,5.438108932681305,5.9480401649737145,6.065572100625329,6.821357195189761
4C,0.0,0.0,0.0,0.0,1.0992777070390907,1.5362463483014155,2.126410633415418,2.144600445223973,2.5955512210116787,2.5935997292320776,3.320585797704302,3.6778136503534435,4.3150340491719,3.543544282710715,4.785950116369798,5.616163359859752,5.053690393385766,4.501212569554239,3.6821988136037866,4.889683526036538,6.259955423270518,6.852135756433227,6.7994446719838395,1.544783506808646,2.452852763224144,2.4545636696364834,2.5567915210713883,3.83527293538614,4.115971794126158,4.875671517160032,4.946356299502989,4.977238368600691,4.310531870184523,5.94125371815751,6.28178030538491,6.624068599607244,6.532954192765655,7.03865496195288,5.353353952751865,6.222901892642817,4.669458101609835,5.832318963391438,4.5345990466116435,4.665954076653429,5.514140536385121,6.1372072772526955
5H,0.0,0.0,0.0,0.0,0.0,2.159955726306042,2.4328426885405223,3.0494225530898142,2.8739891228820778,2.63572693670762,3.3418644373701643,4.222343389573035,4.889333489034182,4.303650896349235,5.161761556731252,5.937257019981683,5.35597850367165,4.8773749232705805,4.213511612122558,5.133088081401974,6.430514829087837,6.9766555766560305,6.960047782318092,2.1609939489426777,3.2537352513434743,2.587700853490599,2.304493217098017,4.047633924319241,4.546257700451865,4.802979485048551,4.664170889602801,4.8314002594783165,4.014079138231646,5.67024518816543,6.294569013499838,6.642614009738697,6.70728332656173,6.933026993337525,5.459401867941902,6.396950386270147,4.964836210128875,5.8640088741404375,4.788037874393256,4.76424784923893,5.927620881119052,6.529991940317509
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.093169485814804,1.0979193468162072,1.5474017358222572,2.1844148154318725,2.191558956175287,2.552658979934857,2.9453760254817793,2.6622899884386144,3.859890901779972,4.546336541754137,4.500641370839793,4.314957637445553,3.579267218213733,4.9693924987691585,5.739408792258188,6.168886832124302,6.4528828180135545,2.5618204203636545,2.885878031224793,3.7572664932969095,3.9957150320718213,5.039731920023196,5.285731514393552,6.228191374970101,6.242612328960451,6.476251629487847,5.8355741206515175,7.445037457692778,7.564891723559191,7.775651735871445,7.794658566162443,8.389594569216507,6.822839610303377,7.643381022123805,6.066957549853417,7.321744908543472,5.409612692390495,5.352777825147524,6.3053794763541315,6.776700185223495
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7522741860875823,2.1928023463965056,2.917007262108592,2.332061552339455,3.290710331783449,3.410414576286049,3.5765829638462425,4.590097630061798,5.123160426394462,5.366636836654377,5.319734055698031,4.641839324892812,5.970782062348916,6.539294041735725,6.855956555084988,7.31489611453873,3.4762402886747794,3.9423632516346627,4.542895188903593,4.586323228262468,5.908781133046903,6.160249696933625,6.975742461694672,6.94809940860309,7.047474485400409,6.28547249495426,7.970826477100493,8.383102264419385,8.659756809503854,8.639119282850725,9.141214305534788,7.384556833526157,8.282920936915913,6.65168641588555,7.751060545410269,6.399822453071208,6.327083004924656,7.3391074615248995,7.837435681868067
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1808510686411386,2.9310167326973784,2.914831200054514,2.5189944822514336,2.723835576867745,2.2898763828720985,3.9604129787925717,4.6449085447990415,4.677063746614398,4.446736147322694,3.611713772389874,5.202498404524965,5.989666501272363,6.4419964829846075,6.688666884712812,2.837024605743566,2.7801941458414463,4.153021817780442,4.564237433975239,5.26766100308887,5.30408702057425,6.594204705877561,6.765520148852228,6.852083862282092,6.319531833485957,7.884108739517689,7.829912757583893,8.046896724144874,7.914022761535668,8.720920554658138,6.984105580161887,7.729423716929385,6.107535985702243,7.5053467168617445,5.597617636567929,5.686355263539973,6.293441403602723,6.767172598882687
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0970413298629706,1.0954766710302302,1.5400625162517303,2.185184424001353,2.1746522832475574,2.5199187465808155,3.163447822226857,3.211961599363203,3.357972247832589,2.933790925324803,4.07088439189681,4.348098759787049,4.688115768814498,5.141480770411855,3.070216440311998,3.1469186434509275,4.173183852917734,4.492884438758637,5.32958465877112,5.7677070587637465,6.5235880602406775,6.353239748035222,7.070674297263442,6.499518734640912,7.980482038189523,7.7724188546767845,7.7742940845007285,8.118657287877173,8.6230587364457,7.640829527050412,8.386724655991923,6.979658729052799,8.264041543004502,5.296326573739941,4.912784778644661,6.2372820359644585,6.503005717462237
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7503709538970336,2.1595182438912857,3.058925248297917,2.6320136017087754,2.639969854465909,3.4001629829734035,2.862789175704499,2.8163419090537447,2.5160864010554,3.3183529881413447,3.9037249286670286,4.371892553884894,4.576316295190522,2.7064716648762737,2.922278988150703,3.5576483820964553,3.858553371340892,4.65238530283694,5.254402646796108,5.743626694192456,5.4604736904283,6.41504385185306,5.8877545771553965,7.2631312317809025,6.969225991940272,6.908924553606919,7.415395920963803,7.788251404372413,7.151615321639454,7.866292261586025,6.608472780414007,7.831876589130048,4.525739090405185,4.0065012354554685,5.580573436585919,5.816401693584696
