,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27C,28H,29C,30N,31H,32C,33C,34H,35C,36H,37C,38H,39C,40H,41C,42O,43O,44H
1N,0.0,1.0202261584753687,1.02240335885446,1.4640756925466232,2.0898293074757426,2.4474587744896885,2.542933509402638,2.7297320852467855,3.811765070660688,4.341334641885147,5.018940982411665,5.450609832738974,5.618534665262079,6.454799626632158,5.999098588714066,6.981661875633697,2.487915758408799,2.7846419181285897,3.679134598374923,3.9634971048331233,4.912622503731689,4.9934611844569075,5.473770508504761,4.877137280318941,5.662848918965263,6.852010605596454,7.352128557508622,6.982552718134367,8.104395152049998,8.722141180922042,9.40917965780327,9.150535817972154,8.623200572530665,8.077785937468173,10.486292711261969,11.30632296406697,10.00867097051092,10.546527652299032,10.853849145940352,11.922859991360474,6.062233226473545,6.35003552779443,7.044628655931105,7.803986180837357
2H,0.0,0.0,1.613039061021312,2.0337052768487953,2.2959749034902557,3.324482867281917,3.423782465989566,3.698318377016234,4.5558824025580344,4.847075507393737,5.834578478364887,6.354060427245212,6.15237385625676,6.882482330177689,6.697257374628713,7.695638241614266,2.7660311127044492,3.003465550003387,3.8401110919959174,4.160172777339795,4.997947855280475,5.171584034710893,5.263769459378734,4.552052950478768,5.371163055110464,6.637633980576154,7.128549482656124,6.753457916292018,7.901719423219915,8.503115552534227,9.186739734079412,8.940509925623369,8.438018481222624,7.907307504028078,10.280950270087008,11.097091677000774,9.826167242416997,10.37627831643283,10.660187200165806,11.73173957380992,6.241253739676561,6.522458071423752,7.277809571245366,8.054154024942731
3H,0.0,0.0,0.0,2.0123654353054485,2.8982058875352643,2.7947840994335853,3.062011062311202,2.6735012402413867,4.194815749433108,4.904519728322927,5.254771629615839,5.5332670906815835,6.115732438745228,7.003752236438119,6.340928431012575,7.282396712829231,2.5087570451805425,2.345693958702118,3.8494867305786924,4.343423827999419,4.888086415737547,4.746764260588942,5.479409400084016,4.813371935234899,5.858116330192998,6.740447415261113,7.06557258339347,6.576497352246608,8.065631042545313,8.434916637249984,9.04365018761178,8.995263011897347,8.72726769649076,8.29231197380844,10.359734774727455,11.113014772554664,10.10771598329349,10.728187686124535,10.844259688681273,11.92282105554228,6.129328651213463,6.597094516329323,6.960326542892133,7.785543517263959
4C,0.0,0.0,0.0,0.0,1.0949005789316546,1.5479651257185612,2.125819218789717,2.173688885775385,2.5697067402065548,2.9650961878447117,3.8511663499108653,4.457833201022377,4.229030519155801,5.051350521329261,4.68656087924976,5.678064493842718,1.5459740737434082,2.42412706563913,2.46789646792715,2.5886077155729557,3.837686636365972,4.072217650382578,4.637641580386892,4.305030054690375,4.762071359604268,6.062845795557962,6.75198519065798,6.568139698030113,7.1901505429991355,8.070507043156123,8.843690979363352,8.329554198897522,7.567558513737402,6.9526206155151735,9.605967480529749,10.484202051681319,8.93091860612525,9.402339513425318,9.853812382296937,10.900214916224426,4.79239513110459,4.977437063729425,5.83718540541721,6.522071899618251
5H,0.0,0.0,0.0,0.0,0.0,2.1472598268582956,2.4728487405285393,3.0562560672439516,2.7448541509732634,2.638533981736772,4.116433248243418,4.9045469785811875,3.948259664555483,4.614356328276559,4.688761999095406,5.695453087512867,2.1664449808020487,3.2288542022876676,2.5955790562955117,2.375784180965108,4.031842983556646,4.527426121649681,4.663318942675839,4.419464541480365,4.530531679170987,6.152765126549752,7.005030168748802,6.947482824145363,7.164401812220959,8.290195678828788,9.128380856156475,8.404494860128889,7.373429125511311,6.645189789817671,9.628005284279348,10.564580950407246,8.719418080405337,9.094890784911893,9.747348281612915,10.77130855890227,4.841387760562395,4.789201030336233,6.035890989385623,6.628915801155993
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.097716104848974,1.098112454399646,1.5040417767987715,2.5237137098505156,2.596302957323986,3.065751549440359,3.5955247350361614,4.5963861398443635,3.6753689120979742,4.625074885758328,2.5569835299667893,3.3299583330961227,3.2471611197687866,3.1519818805024156,4.53682457465721,4.651191543463514,5.671760007209891,5.518512611094284,5.841077931727256,7.018624604128191,7.715234487757025,7.562383895018444,8.049940859851848,8.972604356471582,9.738581721765968,9.181539879302184,8.341204619223701,7.696790270868007,10.402647564039004,11.28039903903232,9.647728802673667,10.055987320097742,10.593059215406704,11.60557396429378,5.161853341024403,5.258374854880478,6.073653824459204,6.653228590820824
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7585530486710703,2.15011822702833,3.038977658610665,3.1228306058287156,3.508116397953756,4.090047046798564,5.058222361459721,4.173876472041784,5.095165632978682,3.46549246918076,4.196684285849715,4.205632218068142,4.013823666596793,5.5596622454259865,5.71634856418485,6.601910091602417,6.3831356976974165,6.686248240483901,7.995970339158185,8.703500275860057,8.522204194952405,9.033682409300688,9.984642695925851,10.752234309175732,10.193770916555733,9.284196159486731,8.587916864089697,11.41945034896668,12.311021751469285,10.594974893566258,10.962425329770381,11.582112169130959,12.592875327853726,6.18197215897357,6.176606039110577,7.139073863031199,7.68731837265697
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.142885087997394,3.3814755904996483,2.7838808511196595,2.8827834687727742,4.278951028237028,5.326891808151201,4.0619880138750775,4.90826578209318,2.774653292052364,3.170536407290457,3.6401709838396807,3.7816088333580433,4.725839085403603,4.582244268485243,5.941479879997589,5.739862148255455,6.296500034672947,7.174357414359164,7.706813741598047,7.449713092601547,8.268221023903969,8.954429279738482,9.643846309596626,9.285300827572222,8.693758493265614,8.15718977824938,10.528834949679942,11.340433930121375,9.990620717183534,10.475830691882093,10.829616657950769,11.848263743775643,5.411555308059751,5.706245413722621,6.127180137612976,6.765510638654428
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.385848645249013,1.374454776721733,2.247692997924544,2.1597556127391435,3.212608612921926,2.1978433710503364,3.1781242217412613,3.1381447308750916,4.102671985949953,3.204973656592238,2.765302043664482,4.361751804877596,4.628398660202316,5.661269213139469,5.796675238720528,5.723024855592561,6.937718009365897,7.79459425075219,7.83366146818465,7.749790867913075,8.934166714470827,9.761729515149806,8.941089366220927,7.830974333202449,7.112825621739537,10.043686010746718,10.966172657557848,9.04749497153038,9.337203987004305,10.071838853570481,11.024802858008377,4.531231376953467,4.3906989264985725,5.4291384447067985,5.824118900724236
10N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2551997685279934,3.318184793350983,1.3166529818695645,2.1377199832601534,2.2128062605740215,3.180846461428528,3.4106306861166544,4.571022501446513,3.0094107044667067,2.1921320221072857,4.149463355130208,4.72278572956657,5.280684001093766,5.564163821380143,5.09454619846896,6.579984775769602,7.622274948325193,7.8242095798661655,7.2259424126261065,8.701078804853738,9.604725057950281,8.522837889191232,7.097475518160858,6.257873676622024,9.546132883357393,10.53413993871658,8.274872147871843,8.449353362745633,9.415622051311603,10.334668116621742,4.097454733188979,3.6301088540226862,5.181381331907897,5.4508748034456636
