 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,C27,H28,C29,N30,H31,C32,C33,H34,C35,H36,C37,H38,C39,H40,C41,O42,O43,H44
N1,0.0,1.788143178388876,1.8251739540484873,2.6800031496377277,0.08972128375046418,0.20980916680560086,0.023245659266225238,0.00625424852433365,0.03167846967650928,0.004541946558377891,0.005901845351178034,7.050798107655076e-05,0.0008691636777405087,2.0724443030251116e-05,0.001870247787039217,0.0002895939748673859,0.22282041941110758,0.05617844482487237,0.03510050464288039,0.0021068935833935543,0.007139148244562549,0.00047637255725085925,0.0008471337319277406,6.506332167488527e-05,1.619007366193692e-05,0.0002529874839798524,0.00010612486396513465,1.068328494779891e-06,3.4399539132146106e-05,3.410855575085303e-05,1.6072124560118084e-06,9.022731174784804e-06,2.8808319645357017e-06,6.320990399988347e-07,1.8889308390779291e-06,3.041491531963203e-07,3.3366791963168607e-06,8.070407009341807e-09,1.1539991569969876e-06,5.764882349268419e-09,0.0009975015988454572,0.00018043987145226204,0.0002573921428106474,4.518917230200703e-05
H2,0.0,0.0,0.027034291882319428,0.1094628934448294,0.008938701091208978,0.03145596105117976,0.0010541912012875798,0.0006274366567009526,0.004352280280044529,0.0003225615459668818,0.0011884962481694128,1.4428069469163418e-05,8.12159544143487e-05,5.593959897742806e-06,0.0002822150267676182,4.83408161668919e-05,0.006628924662084534,0.003403431933490686,0.0004541364817279847,2.681717915398174e-05,0.00016020720578946435,1.0477103757455808e-05,1.493915434702675e-05,4.5328509068465195e-06,1.145155783532914e-06,1.9967246593921573e-06,1.4542496525882243e-06,6.522387741014768e-09,5.182715269169691e-07,6.480426339994239e-07,2.927162512378345e-09,1.3510840235486654e-07,9.63413855359363e-08,2.0099963249364805e-08,4.3080766953806915e-08,1.3384493513513007e-10,8.671790929781764e-08,7.83964004824611e-11,4.1487879576251885e-08,2.4080981653185063e-10,1.963353814138369e-05,5.3897819540793535e-06,5.118288786465364e-06,1.569698132586339e-06
H3,0.0,0.0,0.0,0.10577858848143751,0.03406063721188013,0.006753960814689375,0.00020671337460043127,0.0031830306649651696,0.0005764727548860371,0.0008961375825597973,0.00017773121337039122,1.0318122380725825e-05,0.00014991964179733586,1.3615335570538178e-05,5.558866342803004e-05,1.8828022334993477e-05,0.02479057666477258,0.06647937994456676,0.004167385752358754,0.0003591106641505082,0.0005482195892956288,6.69039451512976e-05,4.804318556517195e-05,2.113547463467036e-05,7.475096106546175e-07,8.878158013425619e-06,2.607568764023682e-06,3.136270332326774e-07,2.105131787333292e-06,7.64113496032337e-07,4.4147324462784354e-08,4.7348546261538615e-07,1.4800161396433253e-07,2.1972490271693346e-08,1.2027252394020138e-07,3.92055556908133e-08,7.84911508011632e-08,2.8706710342163433e-09,2.223989858940456e-08,5.98876281898697e-10,7.188068029628791e-05,4.33377034768645e-05,7.297977790754473e-06,1.1616904840305864e-06
C4,0.0,0.0,0.0,0.0,2.00935476170348,2.613826436565191,0.09317542470401863,0.0793119445937045,0.16941583693463322,0.034410179177478406,0.032323689907515746,0.00044707637505037034,0.0062759975614141705,0.00023712778275841728,0.007942996498425475,0.0010192186521458257,2.5996288268110934,0.2719920763293589,0.22251914648905874,0.01315664529427163,0.035192172173412334,0.00436597137244954,0.003405885944085113,0.0005922807365486005,0.00010202923014301923,0.0008352961653375623,0.00023315772605758678,4.972392136481929e-06,0.00011737277649800926,8.047248779186056e-05,3.6207274578536897e-06,2.985478440076239e-05,1.0018194501248967e-05,1.8350257524613056e-06,6.86981824349342e-06,1.1553506511496892e-06,8.143745665656343e-06,2.9732343032051745e-08,3.475619095499871e-06,2.704227175520657e-08,0.003958329936792959,0.000543501308709296,0.00115299799938956,0.00022255078968269615
H5,0.0,0.0,0.0,0.0,0.0,0.08172628204792698,0.004932404847391547,0.03391458471812592,0.00918341946392287,0.02240216088163305,0.0015259509186826836,8.893678661814342e-05,0.0015907238044432503,4.194496899501132e-05,0.001067155856766977,0.0001155566759967197,0.09452375006968583,0.024201884841149046,0.01099126178013099,0.00553520963778209,0.0014683168759277443,0.00026688464514101895,0.0001964827296041527,7.124567732841314e-05,1.368652805555648e-05,1.2847062252130392e-05,3.6473251350255254e-06,1.0188542476363693e-06,3.549278766667996e-06,7.100048162733685e-07,5.0091479852909515e-08,9.442244639501496e-07,3.485658225388377e-07,5.9259870122119196e-08,2.072717982803951e-07,8.10379476856582e-08,1.0669550765118885e-07,5.077198439451536e-09,7.298584969728239e-08,1.9609862622615992e-09,0.00013291800762571526,6.599435643739326e-05,4.5023864675419745e-05,1.9776214771116685e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0224186137917437,2.028886386494964,2.6306203247600792,0.18876941052558235,0.2476643505267707,0.0038996473981158797,0.04698328372228647,0.0023986146384507023,0.04420977372046195,0.0023558428426565525,0.17342141556337717,0.034879612024756035,0.026975071049877536,0.0009774928666524962,0.0029812487742296445,0.00026372463246460143,0.0010778067240796857,0.0001540118758043274,2.9368997165768462e-05,9.800042546828647e-05,3.156431525483394e-05,7.342920309572065e-07,1.7992362814606144e-05,1.1323500413579213e-05,3.771315761902372e-07,5.537190806481629e-06,1.6585702108662392e-06,3.014453522354188e-07,1.2906962331415972e-06,2.657943953821018e-07,1.1180623588624705e-06,3.846444496247159e-09,5.316046710196476e-07,2.0257155952663197e-09,0.0005554363929854422,9.532529453724903e-05,0.00018462290232658385,6.860160947641525e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023887182236034477,0.100466378314777,0.015394991292233762,0.04181794092335678,0.00012643203411011328,0.0055433528861486,8.307194235945836e-05,0.008400281074974592,8.066939013451346e-05,0.028733071541666044,0.004673976186286843,0.004420088517275156,0.00016268992019896622,0.0007053047684244529,4.369635304501962e-05,0.00012152968486867088,1.8112450781426759e-06,4.265533161795787e-06,4.28708249855525e-06,7.174237481866186e-07,1.0538532757564667e-07,1.2222472440814869e-06,2.6149078902193423e-07,1.1935639143700882e-09,3.8574366811872096e-07,1.3783576080506066e-07,1.9116746408087693e-08,1.002970004826409e-07,2.3877348098721995e-08,2.329801207512361e-08,4.0103764753496307e-10,3.309325313782807e-08,1.7688073228327994e-10,0.00014185793913723543,2.6011707394357764e-05,4.747863636866967e-05,1.4530801831114104e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10743184091415703,0.02207128831392824,0.014755336207205927,0.0013997088261690216,0.003643303530916242,0.0008396564736865564,0.002636476557245082,8.899562857300758e-05,0.010538554701406966,0.004159966626428813,0.0009339761811042457,0.00011311019619753004,0.00011187476953922193,1.0769130112775471e-05,2.2878931266179237e-05,4.041194289650107e-06,9.475508977452307e-07,4.1881425265621886e-06,1.5446667798180158e-06,8.76890318135537e-08,9.376102607649983e-07,4.4714240132748273e-07,2.7800760804552738e-08,1.7959159848146555e-07,8.89865845454807e-08,3.4179754582197575e-08,4.336944581240232e-08,1.056910226004959e-08,5.15243048226921e-08,1.6571863881154059e-09,1.8872537643765952e-08,4.867777292361097e-10,1.2297484329959474e-05,8.548546172604254e-06,2.7895123447807535e-06,3.387378515462558e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5691307618262753,3.9768378733036807,0.11873942046630459,0.5489803695410029,0.036204415695197056,0.49625545992478903,0.028775834044487136,0.013535266164282578,0.004019995915339802,0.016639634618306975,0.014940209023435846,0.0011736023398987439,0.00015105859685826672,0.0005365842297287149,2.533215362121588e-05,1.3566713569002076e-05,9.274209530873989e-05,2.7338549723532335e-05,4.988096129476816e-07,1.2654493885766449e-05,7.95594855568238e-06,4.4109310648465794e-07,4.384033194609893e-06,1.7555220898635149e-06,6.551377327301822e-07,1.0542174326555465e-06,1.8811349922209786e-07,1.018141060321609e-06,4.022608912634951e-09,5.293195919631177e-07,6.174556421711941e-09,0.00030775554875395184,0.00050690603079942,6.552394527695182e-05,9.562036237364957e-06
N10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41402608334516167,0.025984856299395176,4.1499015199763605,0.11132508575471367,0.5292420387753178,0.030416323183834137,0.006012689637937191,0.0017669584786498549,0.043793865522086084,0.12983736815770797,0.004369232044680121,0.0004371032932615204,0.0006410434575510743,1.4162265470796243e-05,4.066824116288892e-05,0.00017454133080291312,6.391808637441765e-05,1.0352867536589372e-06,2.462027203323225e-05,1.678122441077512e-05,5.195179350048207e-07,9.563845644433577e-06,9.275070911946015e-06,6.053223567503707e-06,2.947109626699751e-06,2.6736268421423404e-07,4.966369921213798e-06,2.1716441311880885e-08,2.9897316249916095e-06,3.5975166623458676e-08,0.0016416977708885727,0.002921971766379483,0.00030948671803807115,2.2568770564057594e-05
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8651205563007598,0.6198315366597892,0.029703137259054824,3.397516500386549,0.10767897095047207,0.0025013885849105855,0.0009247492252568573,0.002675962507491164,0.004085558643255438,0.00035187420635562905,5.31710120756923e-05,7.966535193872082e-05,1.0448444459187911e-05,3.552752385393987e-06,2.9024981352071544e-05,6.3779515183381985e-06,1.2986293596028986e-07,3.5222549571445327e-06,2.276335293857623e-06,1.6131193925073006e-07,9.318981951667027e-07,1.9631198006631045e-06,1.612276959273018e-06,2.3154022589511047e-07,4.446219903364579e-08,4.066254292445226e-07,8.415432795061406e-09,1.6530428023631139e-07,1.425216944461738e-08,0.0005147097916856913,0.0006472201593233501,0.00013594219469023616,6.517868727073939e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030079144550572146,0.0008570174473143677,0.09714635737187494,0.004554859236315378,2.4815611338491195e-05,7.398138259007148e-06,7.25358535094145e-05,4.490726895878261e-05,6.064934236604813e-06,1.3272857135593341e-06,1.624171105163441e-06,2.5167536277237446e-08,8.304141907444773e-08,3.0532431072316513e-07,1.5366815686590485e-07,4.385978247256617e-09,4.483524018716878e-08,3.614055676948169e-08,1.4114773794204893e-09,2.4856710467702214e-08,2.032808499308203e-08,2.751713079618412e-09,9.989671534427202e-09,7.069460572495245e-10,1.505707802884615e-08,1.5471401937361406e-11,1.2062319143524292e-08,5.169242811575714e-11,4.835236092848305e-06,8.648874878391943e-06,1.2361054724241427e-06,1.5444627732286165e-07
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1280694664409805,3.416014046303309,0.11718330856937842,0.0016208171117824965,0.0006770786515347404,0.009411504542083643,0.017352231134208362,0.0010572525003619826,0.00018030179614370034,0.00022303041394469703,4.750486703342105e-06,1.0099041077404891e-05,4.5227858766372364e-05,1.9973411620549664e-05,3.3826404410852717e-07,1.1282411716134755e-05,5.542690240195602e-06,1.125508901633765e-07,3.872479943073381e-06,8.461303862172809e-06,5.2998614317179005e-06,1.6593382453078398e-06,1.0918270687554354e-07,3.3105709986713805e-06,2.349644301347098e-08,1.5498381966405628e-06,7.113720323914663e-08,0.0023930787463799508,0.008109309266299325,0.0005839468936198328,2.8137138847195153e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10284801161042445,0.004689073223637097,2.6436951692021537e-05,1.2065297506302919e-05,7.965454262492955e-05,0.00012136025576303666,1.999079600811804e-05,4.692090992630682e-06,8.062869798819428e-06,3.561808714636072e-07,1.097002433336769e-07,7.783974560471307e-07,7.409624875887033e-07,1.1410099753916825e-08,1.8248189226355294e-07,1.4429236094848363e-07,2.7791946521915634e-09,5.2903757596922674e-08,7.56102213728127e-07,2.8023364229134984e-07,1.343242921336696e-07,6.033984423226002e-10,2.351217083251811e-07,1.9055725886119035e-09,1.221763347158955e-07,6.671595276230846e-09,0.00027207550331298513,0.0013258349568530114,7.443816438545969e-05,1.9117452267902735e-06
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.854976803899918,0.0009486634857306664,0.0004036960023993258,0.004105729219783916,0.005249418527864758,0.000497089422195951,4.6365654885693885e-05,9.478827528026923e-05,5.239700932913038e-06,4.350304880551548e-06,3.331116759779096e-05,1.1084065629884954e-05,1.5980641809854035e-07,5.523026302550749e-06,3.3774231239375174e-06,1.3776557983291582e-07,1.6856331953307713e-06,1.266763884871791e-06,7.034328661781331e-07,4.0456950854694806e-07,6.984232192586148e-08,6.059290124232897e-07,3.4399496584569533e-09,3.539576731159677e-07,8.395909301128768e-09,0.00023830852494399757,0.0004621761779894096,6.112404035255037e-05,2.9751004524403157e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5523202904054187e-05,1.0214563179511416e-05,0.00013997011761890388,0.00013331575794328643,2.3480081688287413e-05,4.477673002822868e-06,1.6827043382017237e-06,1.505516777910998e-08,2.7705306915315475e-07,7.002391859689538e-07,3.70836944374453e-07,4.074034887224798e-09,1.3470068127574564e-07,1.0222726276598593e-07,2.029763690458708e-09,5.6773496237561005e-08,3.231670109293816e-08,8.22767143304759e-09,1.6795270618708003e-08,1.2197398646662805e-09,2.7449140627133772e-08,4.249178786608354e-11,2.4612343385577162e-08,2.666400433781746e-11,2.638566589663327e-06,6.386749769160538e-06,8.480176940661721e-07,4.0913243903872853e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.728387321933306,3.536361544802017,0.137763460414559,0.2757400720910474,0.0242154365104299,0.03854138030004747,0.005753146949613708,0.0008770269710789425,0.005092701782195758,0.0016614160046267978,2.5651434753859448e-05,0.0008461155529375652,0.0005523939776913844,2.7267299534949885e-05,0.00020593767275961516,7.706059594503323e-05,1.5209342068223108e-05,4.5843330828743145e-05,7.349881834706196e-06,5.362579533779721e-05,5.865664558513117e-07,2.4346421730103707e-05,2.1172281305936735e-07,0.029623971835008256,0.0060018525048522176,0.0055192054605675556,0.001470497408212701
